년도,월,나이,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2020,3,총,"304,217","21,675","12,395","10,946","16,789","27,307","9,724","11,617","10,983","18,105","12,685","13,396","18,120","7,847","8,463","20,070","23,136","13,463","23,116","11,936","12,444"
2020,3,0,"20,931","2,087",669,716,887,"1,524",671,673,618,"1,260",670,782,886,288,379,"1,821","2,033","1,306","2,315",604,742
2020,3,10,"22,890","2,232",640,757,"1,086","1,364",780,832,711,"1,218",783,851,"1,028",234,334,"2,667","2,902",854,"2,132",721,764
2020,3,20,"46,458","3,001","2,719","1,639","2,106","4,926","1,272","1,724","1,416","3,033","2,085","1,975","5,411","1,004","1,010","2,420","2,750","1,966","2,865","1,800","1,336"
2020,3,30,"50,114","3,899","2,905","1,824","2,292","5,151","1,503","1,710","1,738","3,090","1,996","2,196","3,891","1,235","1,577","2,456","3,104","2,509","3,489","1,664","1,885"
2020,3,40,"46,239","3,946","1,656","1,611","2,164","3,706","1,625","1,704","1,623","2,854","1,853","1,988","2,191",735,954,"3,908","4,640","1,919","3,856","1,548","1,758"
2020,3,50,"46,308","3,070","1,594","1,886","3,033","4,081","1,550","1,837","1,859","2,684","2,162","2,185","2,249","1,306","1,294","2,964","3,298","1,933","3,411","1,917","1,995"
2020,3,60,"39,898","2,038","1,111","1,501","2,651","3,840","1,352","1,814","1,717","2,310","1,868","1,965","1,490","1,587","1,491","2,132","2,621","1,631","2,850","1,876","2,053"
2020,3,70,"20,191",892,606,657,"1,394","1,885",694,877,882,"1,133",831,"1,053",601,833,892,"1,106","1,234",876,"1,429","1,158","1,158"
2020,3,80,"9,216",435,411,286,956,710,226,360,354,414,360,343,309,522,434,483,436,376,641,551,609
2020,3,90,"1,818",64,81,65,213,110,46,67,61,103,71,55,60,102,96,106,101,77,121,82,137
2020,3,100,154,11,3,4,7,10,5,19,4,6,6,3,4,1,2,7,17,16,7,15,7
2020,4,총,"303,738","21,696","12,368","10,930","16,758","27,263","9,685","11,593","10,975","18,026","12,741","13,364","18,095","7,831","8,446","20,045","23,070","13,427","23,117","11,882","12,426"
2020,4,0,"20,771","2,078",674,702,874,"1,514",659,656,621,"1,243",677,767,883,281,370,"1,806","2,019","1,299","2,320",597,731
2020,4,10,"22,746","2,232",620,760,"1,078","1,341",774,828,709,"1,188",778,837,"1,018",232,329,"2,656","2,895",848,"2,140",712,771
2020,4,20,"46,536","3,001","2,731","1,641","2,086","4,946","1,277","1,738","1,415","3,028","2,122","1,990","5,406","1,002","1,020","2,424","2,760","1,963","2,869","1,782","1,335"
2020,4,30,"49,859","3,897","2,884","1,812","2,286","5,140","1,489","1,685","1,725","3,092","1,999","2,173","3,905","1,238","1,561","2,438","3,069","2,481","3,472","1,648","1,865"
2020,4,40,"46,150","3,953","1,658","1,603","2,161","3,686","1,609","1,708","1,620","2,847","1,852","1,985","2,173",729,953,"3,911","4,626","1,922","3,849","1,534","1,771"
2020,4,50,"46,132","3,079","1,583","1,886","3,020","4,062","1,538","1,835","1,853","2,659","2,163","2,174","2,236","1,289","1,289","2,974","3,288","1,933","3,406","1,890","1,975"
2020,4,60,"40,037","2,046","1,120","1,512","2,672","3,851","1,359","1,812","1,729","2,314","1,876","1,968","1,501","1,605","1,484","2,126","2,628","1,636","2,851","1,899","2,048"
2020,4,70,"20,276",897,607,656,"1,395","1,886",695,891,888,"1,140",837,"1,064",599,828,908,"1,109","1,231",875,"1,434","1,167","1,169"
2020,4,80,"9,240",439,407,288,963,715,233,355,348,406,362,347,310,521,435,485,438,378,643,554,613
2020,4,90,"1,835",63,81,66,216,112,47,66,63,103,69,56,59,105,94,109,99,76,126,84,141
2020,4,100,156,11,3,4,7,10,5,19,4,6,6,3,5,1,3,7,17,16,7,15,7
2020,5,총,"303,438","21,654","12,376","10,903","16,766","27,255","9,672","11,575","10,948","17,949","12,796","13,329","18,144","7,844","8,451","20,061","22,980","13,411","23,087","11,867","12,370"
2020,5,0,"20,650","2,077",676,696,882,"1,505",656,644,613,"1,220",682,746,879,281,370,"1,808","1,996","1,298","2,310",591,720
2020,5,10,"22,655","2,236",617,756,"1,075","1,336",768,832,703,"1,188",766,833,"1,005",227,328,"2,656","2,871",835,"2,142",716,765
2020,5,20,"46,541","2,978","2,719","1,640","2,077","4,967","1,289","1,732","1,407","3,013","2,166","1,982","5,437","1,008","1,007","2,440","2,763","1,965","2,851","1,777","1,323"
2020,5,30,"49,780","3,889","2,898","1,793","2,300","5,114","1,478","1,678","1,725","3,082","2,020","2,169","3,929","1,231","1,580","2,429","3,043","2,476","3,467","1,636","1,843"
2020,5,40,"46,036","3,937","1,665","1,599","2,135","3,699","1,603","1,704","1,603","2,828","1,845","1,983","2,183",733,945,"3,904","4,609","1,921","3,828","1,539","1,773"
2020,5,50,"46,033","3,073","1,574","1,893","3,025","4,044","1,536","1,832","1,850","2,647","2,161","2,162","2,233","1,281","1,285","2,986","3,270","1,925","3,409","1,885","1,962"
2020,5,60,"40,107","2,042","1,128","1,510","2,672","3,855","1,356","1,823","1,731","2,319","1,880","1,985","1,505","1,612","1,492","2,119","2,634","1,642","2,851","1,902","2,049"
2020,5,70,"20,355",904,611,659,"1,406","1,886",704,889,901,"1,145",837,"1,057",599,836,909,"1,119","1,234",869,"1,451","1,166","1,173"
2020,5,80,"9,283",443,404,291,973,726,231,358,346,401,362,356,310,530,434,482,445,382,643,556,610
2020,5,90,"1,839",64,81,62,214,113,46,64,65,100,71,52,59,104,98,111,98,81,128,83,145
2020,5,100,159,11,3,4,7,10,5,19,4,6,6,4,5,1,3,7,17,17,7,16,7
2020,6,총,"303,239","21,592","12,465","10,922","16,725","27,222","9,651","11,497","10,925","17,967","12,853","13,323","18,186","7,815","8,428","20,034","22,971","13,371","23,071","11,868","12,353"
2020,6,0,"20,517","2,062",660,694,871,"1,493",655,640,604,"1,219",687,742,874,282,370,"1,797","1,979","1,294","2,295",587,712
2020,6,10,"22,592","2,233",619,743,"1,069","1,323",762,836,697,"1,187",765,825,995,227,325,"2,654","2,861",834,"2,139",721,777
