년도,월,나이,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2020,3,총,"236,924","11,221","7,650","9,398","8,276","8,444","6,086","12,476","9,326","6,104","11,795","11,252","12,523","5,969","7,315","10,984","20,320","7,608","25,078","1,961","8,540","17,999","6,671","9,928"
2020,3,0,"20,576","1,156",375,523,619,582,389,819,667,464,"1,068",695,805,226,407,967,"2,865",707,"3,400",61,848,"1,746",554,633
2020,3,10,"26,563","1,581",557,805,818,680,330,"1,305",691,612,"1,326",978,"1,046",334,719,"1,540","2,392",867,"3,272",85,"1,817","2,441",746,"1,621"
2020,3,20,"37,642","1,443","1,331","1,434","1,207","1,223","1,140","2,317","1,941",852,"1,715","2,235","2,789","1,471","1,042","1,653","2,499","1,334","3,423",173,884,"2,774","1,281","1,481"
2020,3,30,"34,429","1,391",898,"1,087",939,"1,144","1,163","2,105","1,890",821,"1,470","2,006","2,265","1,077",831,"1,304","3,310","1,056","4,257",177,656,"2,621","1,099",862
2020,3,40,"38,752","2,085",993,"1,392","1,189","1,270",895,"2,116","1,494",941,"1,972","1,621","1,972",895,968,"1,681","3,864","1,114","4,531",258,"1,811","3,023","1,094","1,573"
2020,3,50,"37,775","1,705","1,332","1,598","1,502","1,514",880,"2,017","1,194",967,"1,850","1,671","1,970",982,"1,417","1,873","2,693","1,321","3,601",391,"1,312","3,108","1,043","1,834"
2020,3,60,"25,425","1,115","1,234","1,472","1,251","1,203",751,"1,151",885,828,"1,381","1,317","1,117",637,"1,200","1,406","1,757",739,"1,610",403,661,"1,594",585,"1,128"
2020,3,70,"11,464",569,685,782,530,602,389,453,411,451,757,570,420,254,518,396,701,323,743,272,390,495,189,564
2020,3,80,"3,902",158,227,284,203,204,135,179,142,156,233,149,131,85,185,151,211,130,221,125,140,175,71,207
2020,3,90,379,17,17,20,17,22,13,14,11,12,20,8,8,7,27,13,28,17,16,16,20,22,9,25
2020,3,100,17,1,1,1,1,0,1,0,0,0,3,2,0,1,1,0,0,0,4,0,1,0,0,0
2020,4,총,"237,012","11,248","7,651","9,367","8,265","8,444","6,116","12,488","9,347","6,096","11,764","11,241","12,576","5,998","7,325","10,975","20,375","7,590","25,057","1,967","8,511","18,005","6,697","9,909"
2020,4,0,"20,516","1,150",381,521,617,585,390,811,675,459,"1,056",693,804,232,412,967,"2,857",701,"3,372",63,838,"1,750",547,635
2020,4,10,"26,463","1,576",546,810,813,674,330,"1,296",687,607,"1,322",954,"1,032",339,719,"1,536","2,412",864,"3,274",83,"1,811","2,411",749,"1,618"
2020,4,20,"37,671","1,444","1,343","1,426","1,203","1,231","1,144","2,338","1,942",859,"1,705","2,241","2,816","1,476","1,041","1,636","2,488","1,323","3,419",174,882,"2,784","1,286","1,470"
2020,4,30,"34,445","1,389",883,"1,080",934,"1,139","1,182","2,102","1,905",821,"1,463","1,992","2,282","1,079",840,"1,303","3,311","1,048","4,265",176,646,"2,642","1,110",853
2020,4,40,"38,732","2,102",995,"1,373","1,184","1,260",901,"2,113","1,497",934,"1,966","1,625","1,972",894,966,"1,681","3,889","1,114","4,529",254,"1,809","3,000","1,096","1,578"
2020,4,50,"37,773","1,706","1,341","1,597","1,501","1,512",881,"2,023","1,189",963,"1,852","1,683","1,985",983,"1,415","1,868","2,698","1,320","3,587",395,"1,309","3,106","1,043","1,816"
2020,4,60,"25,532","1,124","1,228","1,468","1,255","1,208",740,"1,160",889,832,"1,385","1,318","1,123",641,"1,195","1,419","1,772",746,"1,622",406,662,"1,610",591,"1,138"
2020,4,70,"11,561",579,690,785,538,605,398,453,411,453,756,572,420,262,525,402,704,326,751,275,392,501,193,570
2020,4,80,"3,925",160,227,286,202,209,136,179,141,156,234,153,134,84,184,150,217,131,219,125,140,178,73,207
2020,4,90,378,17,16,20,17,21,14,13,11,12,22,8,8,7,27,13,27,17,15,16,21,23,9,24
2020,4,100,16,1,1,1,1,0,0,0,0,0,3,2,0,1,1,0,0,0,4,0,1,0,0,0
2020,5,총,"237,046","11,292","7,651","9,367","8,243","8,427","6,082","12,687","9,335","6,072","11,762","11,268","12,601","5,987","7,301","10,955","20,396","7,591","25,021","1,972","8,499","17,992","6,676","9,869"
2020,5,0,"20,442","1,153",381,516,610,585,388,850,670,452,"1,047",690,801,230,407,960,"2,858",699,"3,357",62,822,"1,738",540,626
2020,5,10,"26,367","1,576",545,810,815,662,333,"1,300",679,606,"1,315",949,"1,025",340,714,"1,528","2,408",860,"3,261",86,"1,805","2,404",745,"1,601"
2020,5,20,"37,746","1,458","1,340","1,430","1,183","1,219","1,141","2,367","1,963",851,"1,713","2,233","2,840","1,465","1,043","1,636","2,500","1,319","3,431",171,889,"2,782","1,298","1,474"
2020,5,30,"34,426","1,391",885,"1,087",925,"1,144","1,167","2,160","1,893",808,"1,470","2,017","2,284","1,088",828,"1,299","3,316","1,049","4,231",179,635,"2,627","1,094",849
2020,5,40,"38,645","2,105",993,"1,360","1,193","1,256",888,"2,125","1,487",933,"1,963","1,629","1,965",891,964,"1,669","3,889","1,107","4,522",253,"1,814","2,983","1,091","1,565"
2020,5,50,"37,818","1,715","1,337","1,601","1,482","1,513",873,"2,049","1,182",971,"1,847","1,686","1,992",985,"1,410","1,862","2,695","1,322","3,613",395,"1,318","3,120","1,036","1,814"
2020,5,60,"25,637","1,134","1,235","1,465","1,270","1,212",739,"1,186",892,831,"1,393","1,327","1,125",634,"1,195","1,432","1,776",754,"1,616",406,663,"1,623",594,"1,135"
2020,5,70,"11,636",584,692,789,545,604,400,455,416,455,754,572,427,262,528,407,709,330,754,278,391,510,196,578
2020,5,80,"3,935",159,226,288,203,211,138,182,142,153,236,155,134,84,184,149,218,135,217,126,138,180,72,205
2020,5,90,377,16,16,20,16,20,15,13,11,12,21,8,8,7,27,13,27,16,15,16,23,25,10,22
2020,5,100,17,1,1,1,1,1,0,0,0,0,3,2,0,1,1,0,0,0,4,0,1,0,0,0
2020,6,총,"236,945","11,289","7,625","9,371","8,239","8,413","6,038","12,914","9,304","6,058","11,730","11,253","12,582","5,986","7,306","10,910","20,400","7,599","25,019","1,972","8,489","17,957","6,636","9,855"
2020,6,0,"20,383","1,156",381,514,607,577,378,873,663,453,"1,046",683,787,229,411,953,"2,858",702,"3,345",59,821,"1,734",529,624
2020,6,10,"26,266","1,569",543,800,817,659,331,"1,297",671,604,"1,305",944,"1,032",331,712,"1,517","2,400",865,"3,252",87,"1,802","2,389",742,"1,597"
2020,6,20,"37,760","1,458","1,330","1,444","1,180","1,210","1,125","2,408","1,966",849,"1,702","2,245","2,848","1,478","1,038","1,622","2,495","1,315","3,453",172,894,"2,767","1,283","1,478"
2020,6,30,"34,354","1,383",884,"1,076",926,"1,147","1,154","2,219","1,894",806,"1,462","1,998","2,276","1,097",820,"1,280","3,291","1,047","4,212",174,631,"2,641","1,093",843
2020,6,40,"38,594","2,099",995,"1,360","1,197","1,251",886,"2,149","1,477",932,"1,963","1,622","1,958",883,965,"1,667","3,908","1,094","4,517",251,"1,808","2,971","1,077","1,564"
2020,6,50,"37,819","1,729","1,325","1,607","1,468","1,504",870,"2,095","1,173",964,"1,846","1,695","1,986",989,"1,399","1,856","2,700","1,333","3,623",394,"1,313","3,102","1,036","1,812"
2020,6,60,"25,723","1,128","1,236","1,461","1,275","1,227",745,"1,215",888,826,"1,390","1,323","1,130",622,"1,213","1,441","1,789",760,"1,628",410,661,"1,636",593,"1,126"
2020,6,70,"11,707",594,687,797,549,604,398,463,417,457,757,572,423,266,533,413,713,332,754,281,394,516,201,586
2020,6,80,"3,947",156,226,290,203,213,136,182,144,157,235,161,134,83,187,148,219,135,217,128,141,177,71,204
