년도,월,나이,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2020,3,총,"66,754","3,360",916,625,989,"1,097",352,"1,611","2,201","9,673","5,024","3,011","2,515","5,179","8,981","5,643","7,950","7,627"
2020,3,0,"4,528",138,24,14,23,28,11,45,47,854,401,134,109,388,687,398,382,845
2020,3,10,"5,826",179,37,25,35,95,17,55,96,"1,227",569,211,158,439,916,578,545,644
2020,3,20,"6,666",216,40,32,23,35,9,77,136,"1,010",612,304,245,489,"1,230",598,868,742
2020,3,30,"6,491",216,47,25,34,39,15,61,83,"1,090",556,224,194,570,"1,012",560,647,"1,118"
2020,3,40,"9,143",322,63,37,56,70,31,108,156,"1,790",842,364,262,710,"1,384",900,962,"1,086"
2020,3,50,"11,902",603,178,136,201,203,68,305,466,"1,646",869,531,468,907,"1,560","1,005","1,602","1,154"
2020,3,60,"10,936",767,231,141,259,260,94,436,551,"1,121",636,640,585,785,"1,065",765,"1,593","1,007"
2020,3,70,"6,750",509,151,116,187,209,56,286,380,603,313,384,321,567,644,528,849,647
2020,3,80,"3,844",344,123,82,154,133,39,199,237,293,190,178,153,280,426,262,417,334
2020,3,90,619,64,19,14,14,25,11,36,47,35,35,38,18,33,56,46,80,48
2020,3,100,49,2,3,3,3,0,1,3,2,4,1,3,2,11,1,3,5,2
2020,4,총,"66,608","3,348",916,623,985,"1,092",354,"1,604","2,197","9,636","5,028","3,008","2,509","5,171","8,964","5,612","7,928","7,633"
2020,4,0,"4,488",138,23,14,22,27,11,42,50,836,395,139,107,390,688,387,378,841
2020,4,10,"5,795",178,38,23,35,95,18,56,95,"1,218",569,212,157,432,905,578,539,647
2020,4,20,"6,619",205,40,32,21,34,9,74,134,"1,014",613,297,245,493,"1,218",590,858,742
2020,4,30,"6,458",216,46,25,34,36,17,61,82,"1,069",557,227,193,567,"1,008",553,644,"1,123"
2020,4,40,"9,113",318,61,36,55,68,31,105,158,"1,780",841,364,257,706,"1,397",892,954,"1,090"
2020,4,50,"11,875",602,180,134,200,204,67,303,463,"1,654",876,528,470,905,"1,550",999,"1,590","1,150"
2020,4,60,"10,993",771,231,144,260,261,95,439,550,"1,127",633,639,585,785,"1,077",773,"1,608","1,015"
2020,4,70,"6,740",508,150,116,188,207,56,282,377,607,316,383,322,565,641,527,852,643
2020,4,80,"3,859",347,125,82,153,135,38,203,240,293,191,178,153,284,420,264,420,333
2020,4,90,619,63,19,14,14,25,11,36,46,33,36,38,18,33,59,46,80,48
2020,4,100,49,2,3,3,3,0,1,3,2,5,1,3,2,11,1,3,5,1
2020,5,총,"66,547","3,341",913,627,987,"1,089",355,"1,595","2,191","9,619","5,032","3,010","2,498","5,161","8,995","5,598","7,921","7,615"
2020,5,0,"4,457",137,23,13,21,26,11,42,50,832,391,138,106,388,693,382,369,835
2020,5,10,"5,778",175,36,25,36,97,18,54,93,"1,216",565,211,157,422,908,574,534,657
2020,5,20,"6,596",201,40,32,21,33,9,74,140,"1,011",622,298,239,497,"1,215",580,852,732
2020,5,30,"6,424",208,46,25,32,35,17,58,76,"1,050",552,224,191,572,"1,015",552,650,"1,121"
2020,5,40,"9,078",324,59,36,54,67,32,100,158,"1,775",837,365,255,706,"1,394",888,942,"1,086"
2020,5,50,"11,876",602,180,132,204,200,66,299,455,"1,664",879,529,465,900,"1,559","1,001","1,589","1,152"
2020,5,60,"11,029",777,233,146,258,261,97,440,551,"1,124",638,643,584,788,"1,084",772,"1,617","1,016"
2020,5,70,"6,766",505,148,118,191,207,55,281,378,615,317,383,326,565,646,534,862,635
2020,5,80,"3,874",347,127,82,153,136,39,208,242,295,193,176,155,280,421,267,424,329
2020,5,90,620,63,18,15,14,27,10,36,46,32,37,40,18,33,59,45,77,50
2020,5,100,49,2,3,3,3,0,1,3,2,5,1,3,2,10,1,3,5,2
2020,6,총,"66,470","3,341",904,626,991,"1,088",354,"1,594","2,190","9,602","5,043","2,986","2,494","5,141","9,029","5,583","7,899","7,605"
2020,6,0,"4,425",135,21,13,22,26,12,41,51,831,390,134,105,384,694,376,366,824
2020,6,10,"5,771",175,35,25,36,97,16,54,94,"1,212",565,208,156,423,907,573,535,660
2020,6,20,"6,563",202,39,32,21,33,10,75,136,"1,001",627,297,236,487,"1,221",574,847,725
2020,6,30,"6,387",206,42,24,32,35,16,54,73,"1,048",549,219,193,568,"1,016",544,652,"1,116"
2020,6,40,"9,052",324,60,35,53,67,31,97,158,"1,764",837,361,260,705,"1,396",884,931,"1,089"
2020,6,50,"11,848",596,179,133,209,196,67,301,450,"1,668",878,524,460,888,"1,563","1,003","1,578","1,155"
2020,6,60,"11,103",789,230,147,258,260,97,441,562,"1,129",645,645,581,799,"1,091",776,"1,629","1,024"
2020,6,70,"6,762",500,149,118,189,212,53,282,378,618,319,379,330,562,653,534,853,633
2020,6,80,"3,889",348,127,82,153,135,41,210,240,293,196,177,154,283,428,271,426,325
2020,6,90,621,64,19,15,15,27,10,36,46,33,36,39,17,31,59,45,77,52
2020,6,100,49,2,3,2,3,0,1,3,2,5,1,3,2,11,1,3,5,2
2020,7,총,"66,426","3,340",903,628,993,"1,093",353,"1,589","2,197","9,592","5,045","2,987","2,492","5,141","9,014","5,572","7,870","7,617"
2020,7,0,"4,400",130,22,11,21,27,12,42,51,821,390,136,104,384,688,373,359,829
2020,7,10,"5,747",176,34,25,36,95,16,55,90,"1,211",558,206,158,429,910,564,524,660
2020,7,20,"6,568",202,42,32,22,35,11,72,139,"1,006",628,300,238,478,"1,210",575,847,731
2020,7,30,"6,371",204,42,26,32,35,15,55,75,"1,047",552,219,190,575,"1,014",534,653,"1,103"
2020,7,40,"9,024",322,60,34,52,70,30,95,158,"1,755",836,367,257,704,"1,380",880,932,"1,092"
2020,7,50,"11,806",598,178,129,211,192,67,296,453,"1,669",880,517,457,882,"1,563","1,006","1,551","1,157"
2020,7,60,"11,160",790,228,154,258,262,96,443,563,"1,130",646,641,586,800,"1,103",786,"1,645","1,029"
2020,7,70,"6,780",508,149,118,187,213,54,283,377,621,324,384,332,562,657,536,842,633
2020,7,80,"3,892",345,126,81,156,135,41,209,242,290,194,175,152,284,427,270,435,330
2020,7,90,630,63,19,17,15,29,10,37,47,36,36,39,16,32,61,45,77,51
2020,7,100,48,2,3,1,3,0,1,2,2,6,1,3,2,11,1,3,5,2
2020,8,총,"66,366","3,322",898,624,992,"1,088",351,"1,589","2,193","9,596","5,037","2,997","2,487","5,142","9,007","5,571","7,877","7,595"
2020,8,0,"4,372",129,22,11,21,27,12,43,49,818,388,131,102,384,680,373,356,826
2020,8,10,"5,719",172,34,25,35,96,16,53,86,"1,211",557,209,155,422,901,564,527,656
2020,8,20,"6,562",203,41,32,21,35,9,75,139,"1,008",627,303,241,485,"1,200",573,843,727
2020,8,30,"6,315",199,40,25,31,36,16,51,77,"1,044",543,216,185,575,"1,015",527,646,"1,089"
2020,8,40,"9,023",318,59,34,52,69,30,98,160,"1,749",836,368,257,697,"1,384",881,936,"1,095"
2020,8,50,"11,799",597,176,129,209,187,66,294,445,"1,676",887,523,454,883,"1,564","1,011","1,544","1,154"
2020,8,60,"11,193",789,230,153,261,263,96,445,566,"1,126",642,645,586,805,"1,116",781,"1,658","1,031"
2020,8,70,"6,798",505,149,114,188,210,54,282,377,630,324,384,334,560,657,542,852,636
2020,8,80,"3,904",344,126,83,157,136,41,209,245,291,194,176,154,288,429,271,431,329
2020,8,90,632,64,18,17,14,29,10,37,47,37,38,39,17,31,60,45,79,50
2020,8,100,49,2,3,1,3,0,1,2,2,6,1,3,2,12,1,3,5,2
2020,9,총,"66,421","3,322",896,629,991,"1,084",353,"1,590","2,198","9,604","5,034","2,975","2,497","5,154","9,030","5,587","7,875","7,602"
2020,9,0,"4,355",127,21,11,21,27,12,42,48,806,382,129,102,378,691,388,347,823
2020,9,10,"5,716",169,35,25,34,94,17,52,86,"1,211",558,205,154,426,897,556,535,662
2020,9,20,"6,563",203,40,31,22,32,9,71,142,"1,026",626,301,240,482,"1,197",576,836,729
