년도,월,나이,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020,3,총,"60,497","16,927","12,483","17,003","2,316","2,833","1,928","5,271","1,736"
2020,3,0,"5,215","1,259","1,023","2,450",41,82,41,188,131
2020,3,10,"6,210","1,816","1,690","1,930",76,99,72,422,105
2020,3,20,"7,055","2,299","1,680","1,602",193,287,169,674,151
2020,3,30,"8,777","1,918","1,298","4,365",179,226,152,463,176
2020,3,40,"11,220","2,855","2,599","3,842",281,345,238,805,255
2020,3,50,"10,534","3,214","2,527","1,666",516,600,446,"1,237",328
2020,3,60,"6,727","2,091","1,050",714,560,694,455,841,322
2020,3,70,"3,219",948,435,313,303,361,248,441,170
2020,3,80,"1,396",474,164,108,156,131,89,185,89
2020,3,90,137,50,17,12,11,8,17,14,8
2020,3,100,7,3,0,1,0,0,1,1,1
2020,4,총,"60,414","16,924","12,433","17,011","2,317","2,823","1,924","5,252","1,730"
2020,4,0,"5,178","1,256","1,014","2,434",38,77,38,190,131
2020,4,10,"6,188","1,815","1,674","1,933",75,99,70,415,107
2020,4,20,"6,991","2,272","1,672","1,590",190,277,169,671,150
2020,4,30,"8,757","1,921","1,281","4,358",182,229,153,462,171
2020,4,40,"11,206","2,849","2,581","3,864",277,342,239,801,253
2020,4,50,"10,548","3,222","2,534","1,681",520,599,438,"1,229",325
2020,4,60,"6,768","2,102","1,056",718,565,698,458,848,323
2020,4,70,"3,223",954,437,313,302,361,252,433,171
2020,4,80,"1,411",479,168,107,156,133,90,188,90
2020,4,90,137,51,16,12,12,8,16,14,8
2020,4,100,7,3,0,1,0,0,1,1,1
2020,5,총,"60,357","16,898","12,420","17,010","2,324","2,814","1,918","5,239","1,734"
2020,5,0,"5,151","1,252","1,011","2,419",39,76,36,189,129
2020,5,10,"6,169","1,800","1,670","1,939",75,96,68,412,109
2020,5,20,"6,962","2,269","1,651","1,585",192,278,171,668,148
2020,5,30,"8,707","1,906","1,278","4,336",180,224,156,455,172
2020,5,40,"11,185","2,849","2,577","3,860",270,340,233,799,257
2020,5,50,"10,578","3,223","2,535","1,705",525,596,439,"1,232",323
2020,5,60,"6,801","2,104","1,073",730,569,700,454,845,326
2020,5,70,"3,250",967,440,316,304,363,254,433,173
2020,5,80,"1,409",473,169,107,159,133,90,190,88
2020,5,90,138,52,16,12,11,8,16,15,8
2020,5,100,7,3,0,1,0,0,1,1,1
2020,6,총,"60,161","16,871","12,358","16,953","2,317","2,802","1,909","5,224","1,727"
2020,6,0,"5,115","1,247",995,"2,406",44,75,33,183,132
2020,6,10,"6,137","1,783","1,653","1,953",73,96,69,401,109
2020,6,20,"6,904","2,258","1,644","1,556",192,272,171,667,144
2020,6,30,"8,640","1,913","1,264","4,288",178,221,150,455,171
2020,6,40,"11,150","2,845","2,561","3,866",266,330,226,795,261
2020,6,50,"10,562","3,213","2,527","1,715",518,601,445,"1,227",316
2020,6,60,"6,829","2,117","1,086",731,565,695,454,857,324
2020,6,70,"3,263",967,442,321,307,368,254,432,172
2020,6,80,"1,416",475,170,104,163,136,89,191,88
2020,6,90,138,50,16,12,11,8,17,15,9
2020,6,100,7,3,0,1,0,0,1,1,1
2020,7,총,"60,050","16,846","12,296","16,953","2,316","2,781","1,917","5,217","1,724"
2020,7,0,"5,079","1,246",978,"2,394",46,73,33,180,129
2020,7,10,"6,124","1,784","1,639","1,962",71,95,71,396,106
2020,7,20,"6,881","2,259","1,629","1,548",192,271,174,666,142
2020,7,30,"8,555","1,900","1,235","4,247",178,213,148,460,174
2020,7,40,"11,153","2,831","2,563","3,896",263,328,224,787,261
2020,7,50,"10,573","3,210","2,527","1,727",522,597,449,"1,230",311
2020,7,60,"6,843","2,110","1,095",737,561,694,454,862,330
2020,7,70,"3,274",975,445,324,309,369,253,427,172
2020,7,80,"1,418",475,169,105,162,133,92,193,89
2020,7,90,143,53,16,12,12,8,18,15,9
2020,7,100,7,3,0,1,0,0,1,1,1
2020,8,총,"59,903","16,825","12,270","16,900","2,294","2,764","1,911","5,225","1,714"
2020,8,0,"5,045","1,230",976,"2,384",45,69,34,178,129
2020,8,10,"6,109","1,780","1,634","1,961",69,93,72,394,106
2020,8,20,"6,852","2,257","1,619","1,533",188,270,175,672,138
2020,8,30,"8,463","1,888","1,224","4,187",176,211,142,458,177
2020,8,40,"11,125","2,826","2,550","3,909",255,324,225,782,254
2020,8,50,"10,562","3,204","2,528","1,743",517,590,444,"1,228",308
2020,8,60,"6,888","2,124","1,108",746,563,694,451,870,332
2020,8,70,"3,284",984,441,320,308,370,255,435,171
2020,8,80,"1,426",477,174,104,162,135,94,191,89
2020,8,90,142,52,16,12,11,8,18,16,9
2020,8,100,7,3,0,1,0,0,1,1,1
2020,9,총,"59,823","16,798","12,324","16,840","2,290","2,757","1,908","5,196","1,710"
2020,9,0,"4,998","1,218",975,"2,361",43,66,36,170,129
2020,9,10,"6,102","1,780","1,632","1,963",68,93,71,390,105
2020,9,20,"6,837","2,241","1,634","1,529",184,268,173,669,139
2020,9,30,"8,386","1,880","1,227","4,139",176,212,139,441,172
