년도,월,나이,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2020,1,총,"112,770","13,500","3,497","4,032","6,622","5,263","2,890","25,054","5,252","13,876","14,052","18,732"
2020,1,0,"10,051",760,103,209,354,279,117,"2,825",327,"1,060","1,307","2,710"
2020,1,10,"12,194","1,400",192,246,517,316,169,"3,705",410,"1,462","2,018","1,759"
2020,1,20,"14,091","1,844",416,533,799,622,314,"2,571",964,"1,920","1,977","2,131"
2020,1,30,"14,134","1,304",336,492,703,612,270,"2,835",651,"1,555","1,545","3,831"
2020,1,40,"19,873","2,077",457,509,"1,045",644,390,"5,369",780,"2,342","2,730","3,530"
2020,1,50,"19,345","2,706",814,815,"1,450",907,596,"3,734","1,000","2,783","2,346","2,194"
2020,1,60,"13,156","2,013",711,732,"1,050","1,023",575,"2,086",650,"1,669","1,122","1,525"
2020,1,70,"7,245","1,001",331,341,496,608,327,"1,482",333,811,666,849
2020,1,80,"2,455",366,123,137,192,222,123,413,122,257,309,191
2020,1,90,215,29,14,16,16,27,7,34,13,17,30,12
2020,1,100,11,0,0,2,0,3,2,0,2,0,2,0
2020,2,총,"112,854","13,450","3,503","4,037","6,620","5,245","2,879","24,981","5,233","13,828","13,985","19,093"
2020,2,0,"10,033",750,98,206,354,278,118,"2,806",322,"1,056","1,275","2,770"
2020,2,10,"12,177","1,389",194,248,508,312,169,"3,681",407,"1,459","1,997","1,813"
2020,2,20,"14,091","1,826",416,534,803,616,318,"2,572",962,"1,893","1,982","2,169"
2020,2,30,"14,080","1,307",336,501,701,611,269,"2,806",651,"1,527","1,518","3,853"
2020,2,40,"19,931","2,063",459,509,"1,043",637,393,"5,350",770,"2,353","2,724","3,630"
2020,2,50,"19,294","2,690",802,803,"1,440",895,584,"3,733",998,"2,772","2,351","2,226"
2020,2,60,"13,297","2,024",724,740,"1,057","1,037",572,"2,106",654,"1,680","1,130","1,573"
2020,2,70,"7,254","1,000",335,342,504,608,324,"1,473",334,813,668,853
2020,2,80,"2,471",372,124,136,194,221,124,420,120,257,309,194
2020,2,90,215,29,15,16,16,27,6,34,13,18,29,12
2020,2,100,11,0,0,2,0,3,2,0,2,0,2,0
