년도,월,나이,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020,3,총,"405,837","36,570","21,454","25,056","24,175","20,713","29,788","9,306","23,618","28,051","32,334","32,271","21,402","22,608","39,777","24,372","14,342"
2020,3,0,"29,871","3,735","1,996","1,010","1,478",921,"1,971",271,"1,444","1,971","2,130","2,464","1,380","1,305","3,793","1,598","2,404"
2020,3,10,"31,055","3,572","2,047","1,478","1,485","1,197","1,728",321,"2,079","2,399","2,436","2,472","1,544","1,284","3,881","2,114","1,018"
2020,3,20,"55,597","4,439","2,897","3,310","4,272","2,914","5,137","1,369","3,300","3,709","4,238","3,850","2,699","3,949","4,761","3,146","1,607"
2020,3,30,"64,219","6,400","3,955","3,023","5,130","3,061","5,578","1,184","3,006","3,495","4,496","4,912","3,112","4,389","5,491","3,443","3,544"
2020,3,40,"64,088","6,566","3,664","3,703","4,081","3,094","4,259","1,276","3,671","4,518","4,859","4,977","3,301","3,173","6,820","3,962","2,164"
2020,3,50,"63,664","5,199","3,064","4,838","3,007","3,574","4,642","1,987","4,037","4,904","5,560","4,938","3,535","3,069","5,752","4,023","1,535"
2020,3,60,"54,040","3,971","2,471","3,928","2,554","3,032","3,598","1,593","3,468","3,857","4,792","4,919","3,367","2,900","4,853","3,455","1,282"
2020,3,70,"30,905","1,914",951,"2,671","1,517","2,059","2,065",863,"1,905","2,252","2,772","2,770","1,724","1,799","3,165","1,939",539
2020,3,80,"10,789",671,346,944,570,758,714,367,613,840,926,833,654,652,"1,101",595,205
2020,3,90,"1,444",95,61,121,60,86,96,53,90,100,117,125,77,82,152,86,43
