년도,월,나이,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2020,3,총,"2,952,689","137,587","64,039","406,829","370,796","531,960","506,682","301,395","544,034","68,996","20,371"
2020,3,0,"238,763","12,221","4,200","28,606","36,894","44,774","35,512","19,955","52,316","3,298",987
2020,3,10,"279,780","12,462","5,326","32,685","41,589","51,189","45,336","28,042","57,269","4,738","1,144"
2020,3,20,"405,826","19,210","6,803","57,106","50,839","72,221","72,539","45,468","73,429","5,520","2,691"
2020,3,30,"416,119","21,065","7,433","57,082","55,096","76,076","70,887","39,164","81,906","5,442","1,968"
2020,3,40,"489,213","24,289","10,358","64,309","65,903","90,244","80,011","47,514","96,275","7,859","2,451"
2020,3,50,"515,257","19,851","10,354","68,093","62,435","91,050","92,586","61,835","93,186","12,192","3,675"
2020,3,60,"347,493","15,238","9,804","53,758","34,874","62,459","63,169","36,176","54,577","13,627","3,811"
2020,3,70,"172,868","9,056","6,529","30,692","14,919","29,909","30,859","15,110","23,503","10,002","2,289"
2020,3,80,"74,768","3,524","2,748","12,434","6,983","11,979","13,554","7,025","9,905","5,501","1,115"
2020,3,90,"11,685",596,410,"1,888","1,209","1,936","2,033","1,044","1,563",776,230
2020,3,100,917,75,74,176,55,123,196,62,105,41,10
2020,4,총,"2,950,972","137,994","63,866","406,690","371,396","531,526","505,236","300,885","543,994","69,030","20,355"
2020,4,0,"237,571","12,193","4,162","28,485","36,874","44,488","35,178","19,826","52,115","3,274",976
2020,4,10,"279,083","12,504","5,285","32,592","41,596","51,121","45,106","27,848","57,170","4,721","1,140"
2020,4,20,"405,343","19,250","6,789","57,157","50,851","72,072","72,250","45,347","73,430","5,519","2,678"
2020,4,30,"415,072","21,157","7,395","56,978","55,106","75,783","70,542","39,003","81,731","5,424","1,953"
2020,4,40,"488,260","24,306","10,326","64,217","65,886","90,104","79,698","47,296","96,118","7,874","2,435"
2020,4,50,"515,034","19,917","10,325","68,017","62,570","91,096","92,293","61,777","93,229","12,148","3,662"
2020,4,60,"349,309","15,321","9,795","53,907","35,232","62,715","63,391","36,468","54,936","13,700","3,844"
2020,4,70,"173,536","9,112","6,537","30,790","14,998","30,036","30,928","15,160","23,630","10,034","2,311"
2020,4,80,"75,066","3,562","2,766","12,460","7,008","12,037","13,601","7,046","9,950","5,521","1,115"
2020,4,90,"11,777",594,411,"1,908","1,220","1,950","2,052","1,052","1,582",777,231
2020,4,100,921,78,75,179,55,124,197,62,103,38,10
2020,5,총,"2,950,063","138,535","63,795","406,602","372,206","531,031","503,946","300,446","544,010","69,102","20,390"
2020,5,0,"236,555","12,184","4,139","28,340","36,907","44,226","34,926","19,682","51,879","3,293",979
2020,5,10,"278,178","12,543","5,254","32,447","41,539","50,991","44,813","27,653","57,103","4,696","1,139"
2020,5,20,"405,158","19,306","6,768","57,294","50,869","71,988","72,042","45,240","73,449","5,517","2,685"
2020,5,30,"414,252","21,283","7,361","56,862","55,242","75,505","70,263","38,916","81,457","5,415","1,948"
2020,5,40,"487,282","24,393","10,292","64,019","65,987","89,898","79,272","47,071","96,058","7,867","2,425"
2020,5,50,"515,113","20,029","10,306","68,019","62,748","91,103","92,141","61,678","93,305","12,135","3,649"
2020,5,60,"351,033","15,393","9,828","54,060","35,528","62,978","63,539","36,768","55,306","13,759","3,874"
2020,5,70,"174,370","9,156","6,584","30,976","15,074","30,148","31,083","15,208","23,742","10,070","2,329"
2020,5,80,"75,383","3,571","2,778","12,492","7,034","12,123","13,617","7,096","10,017","5,537","1,118"
2020,5,90,"11,815",598,410,"1,912","1,226","1,945","2,054","1,068","1,593",776,233
2020,5,100,924,79,75,181,52,126,196,66,101,37,11
2020,6,총,"2,947,217","138,783","63,546","406,125","372,566","530,416","502,365","299,853","544,136","69,060","20,367"
2020,6,0,"235,526","12,184","4,069","28,139","36,886","44,007","34,678","19,533","51,772","3,293",965
2020,6,10,"277,423","12,552","5,209","32,325","41,501","50,825","44,606","27,531","57,065","4,669","1,140"
2020,6,20,"404,099","19,308","6,750","57,263","50,829","71,841","71,637","45,044","73,278","5,496","2,653"
2020,6,30,"412,813","21,320","7,278","56,608","55,309","75,110","69,790","38,762","81,308","5,400","1,928"
2020,6,40,"486,833","24,410","10,274","63,898","66,023","89,886","78,993","46,915","96,152","7,858","2,424"
2020,6,50,"513,748","20,077","10,248","67,843","62,700","90,849","91,623","61,479","93,185","12,094","3,650"
2020,6,60,"353,459","15,482","9,848","54,356","35,862","63,389","63,993","37,054","55,776","13,815","3,884"
2020,6,70,"175,105","9,191","6,598","31,099","15,133","30,295","31,192","15,293","23,871","10,082","2,351"
2020,6,80,"75,394","3,572","2,776","12,487","7,044","12,120","13,599","7,111","10,023","5,538","1,124"
2020,6,90,"11,889",607,421,"1,927","1,227","1,965","2,059","1,065","1,604",777,237
2020,6,100,928,80,75,180,52,129,195,66,102,38,11
2020,7,총,"2,945,565","139,042","63,309","405,498","374,353","529,413","501,128","299,210","544,147","69,032","20,433"
2020,7,0,"234,618","12,190","4,013","27,908","37,144","43,662","34,451","19,374","51,598","3,311",967
2020,7,10,"276,709","12,546","5,169","32,206","41,625","50,622","44,363","27,381","57,019","4,644","1,134"
2020,7,20,"403,335","19,315","6,713","57,264","50,851","71,671","71,391","44,851","73,145","5,464","2,670"
2020,7,30,"411,328","21,331","7,201","56,307","55,668","74,563","69,330","38,590","81,035","5,388","1,915"
2020,7,40,"486,394","24,419","10,224","63,788","66,320","89,748","78,798","46,697","96,126","7,823","2,451"
2020,7,50,"513,643","20,192","10,239","67,725","62,945","90,800","91,388","61,374","93,241","12,081","3,658"
2020,7,60,"355,205","15,544","9,852","54,493","36,222","63,620","64,231","37,298","56,204","13,842","3,899"
2020,7,70,"175,811","9,205","6,631","31,164","15,229","30,446","31,287","15,366","24,006","10,113","2,364"
2020,7,80,"75,651","3,609","2,768","12,520","7,071","12,186","13,624","7,144","10,050","5,553","1,126"
2020,7,90,"11,943",611,426,"1,944","1,226","1,965","2,069","1,067","1,622",775,238
2020,7,100,928,80,73,179,52,130,196,68,101,38,11
2020,8,총,"2,943,491","139,154","63,093","404,360","378,093","528,255","499,290","298,184","543,627","69,003","20,432"
2020,8,0,"233,407","12,114","3,941","27,631","37,650","43,222","34,104","19,107","51,351","3,316",971
2020,8,10,"275,994","12,535","5,135","31,999","41,947","50,459","44,011","27,222","56,932","4,625","1,129"
2020,8,20,"402,504","19,291","6,699","57,195","51,093","71,493","71,035","44,652","72,976","5,422","2,648"
2020,8,30,"409,809","21,331","7,112","55,859","56,452","73,985","68,809","38,258","80,705","5,384","1,914"
2020,8,40,"485,648","24,430","10,194","63,581","66,955","89,489","78,384","46,495","95,900","7,771","2,449"
2020,8,50,"513,155","20,242","10,194","67,547","63,432","90,624","91,048","61,139","93,215","12,066","3,648"
2020,8,60,"357,885","15,640","9,894","54,673","36,836","64,107","64,652","37,614","56,627","13,915","3,927"
2020,8,70,"176,064","9,232","6,643","31,149","15,310","30,531","31,303","15,371","24,056","10,103","2,366"
2020,8,80,"76,036","3,649","2,777","12,575","7,127","12,249","13,654","7,178","10,117","5,581","1,129"
2020,8,90,"12,061",612,431,"1,973","1,238","1,962","2,096","1,080","1,648",783,238
2020,8,100,928,78,73,178,53,134,194,68,100,37,13
2020,9,총,"2,942,553","139,299","62,957","403,500","380,980","527,515","497,902","297,540","543,365","69,070","20,425"
2020,9,0,"232,208","12,062","3,907","27,444","37,905","42,895","33,772","18,944","50,967","3,348",964
2020,9,10,"275,316","12,566","5,104","31,802","42,122","50,323","43,741","27,063","56,865","4,609","1,121"
2020,9,20,"401,966","19,240","6,667","57,118","51,533","71,242","70,724","44,484","72,893","5,399","2,666"
2020,9,30,"408,436","21,313","7,056","55,567","56,861","73,501","68,440","38,058","80,373","5,353","1,914"
2020,9,40,"485,291","24,483","10,146","63,384","67,475","89,369","78,108","46,319","95,796","7,767","2,444"
2020,9,50,"512,938","20,291","10,174","67,363","63,796","90,608","90,789","60,919","93,342","12,032","3,624"
2020,9,60,"360,499","15,703","9,930","54,888","37,421","64,534","64,970","37,996","57,086","14,033","3,938"
2020,9,70,"176,377","9,274","6,655","31,126","15,393","30,618","31,329","15,394","24,113","10,106","2,369"
2020,9,80,"76,383","3,673","2,806","12,647","7,150","12,310","13,728","7,197","10,158","5,587","1,127"
2020,9,90,"12,195",617,439,"1,982","1,266","1,983","2,101","1,097","1,666",799,245
2020,9,100,944,77,73,179,58,132,200,69,106,37,13
2020,10,총,"2,942,233","139,391","62,802","402,662","383,529","527,080","496,958","297,282","542,982","69,069","20,478"
2020,10,0,"230,733","12,017","3,859","27,144","38,043","42,535","33,479","18,774","50,571","3,350",961
2020,10,10,"275,120","12,573","5,107","31,646","42,469","50,252","43,608","26,951","56,780","4,613","1,121"
2020,10,20,"401,806","19,198","6,646","57,000","52,034","71,155","70,500","44,351","72,846","5,367","2,709"
2020,10,30,"407,042","21,276","6,988","55,325","57,128","73,119","67,988","37,950","80,037","5,327","1,904"
2020,10,40,"484,692","24,483","10,094","63,215","67,841","89,204","77,875","46,183","95,590","7,763","2,444"
2020,10,50,"513,053","20,353","10,154","67,190","64,138","90,632","90,627","60,876","93,460","12,005","3,618"
2020,10,60,"362,963","15,803","9,955","55,075","37,867","64,956","65,382","38,344","57,517","14,107","3,957"
