년도,월,나이,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2020,3,총,"264,508","15,818","18,043","14,391","7,953","11,658","11,335","14,533","14,620","7,790","12,415","9,230","10,814","8,113","12,405","10,343","19,750","11,187","16,447","16,832","20,831"
2020,3,0,"23,036","1,759","1,974",890,415,761,922,903,986,412,975,739,805,392,855,916,"3,207",737,"1,533","1,415","2,440"
2020,3,10,"26,169","1,479","2,374",873,637,900,"1,139","1,098","1,218",585,"1,259",886,"1,089",544,"1,236","1,185","1,859","1,105","1,914","1,853","2,936"
2020,3,20,"37,338","2,126","2,298","2,922","1,156","1,706","1,563","2,162","2,221","1,026","1,777","1,325","1,624","1,244","1,887","1,328","1,967","1,654","2,290","2,499","2,563"
2020,3,30,"39,047","2,470","2,248","3,018","1,025","1,840","1,501","2,132","2,264","1,048","1,691","1,295","1,566","1,126","1,578","1,313","3,949","1,269","2,495","2,591","2,628"
2020,3,40,"45,918","2,897","3,308","2,427","1,299","1,883","2,040","2,367","2,314","1,237","2,143","1,493","1,667","1,211","1,875","1,787","3,743","1,862","3,023","2,989","4,353"
2020,3,50,"44,858","2,526","2,943","2,133","1,623","2,022","1,898","2,758","2,608","1,538","2,120","1,670","1,865","1,560","2,389","1,697","2,309","2,252","2,747","2,781","3,419"
2020,3,60,"30,215","1,654","1,824","1,331","1,063","1,478","1,376","1,912","1,908","1,163","1,538","1,165","1,381","1,233","1,648","1,356","1,829","1,460","1,596","1,622","1,678"
2020,3,70,"13,475",692,830,589,544,802,676,899,828,565,707,516,601,614,680,564,724,638,629,775,602
2020,3,80,"4,024",195,210,185,177,253,185,272,246,199,182,125,188,181,229,180,151,194,199,279,194
2020,3,90,399,20,30,23,13,12,34,24,25,17,19,12,28,8,28,17,11,14,20,26,18
2020,3,100,29,0,4,0,1,1,1,6,2,0,4,4,0,0,0,0,1,2,1,2,0
2020,4,총,"264,348","15,790","18,002","14,406","7,977","11,572","11,334","14,519","14,667","7,740","12,374","9,212","10,787","8,081","12,409","10,338","19,864","11,160","16,450","16,806","20,860"
2020,4,0,"22,903","1,749","1,962",887,417,744,910,890,987,403,967,727,806,391,850,911,"3,207",727,"1,531","1,405","2,432"
2020,4,10,"26,147","1,480","2,368",872,636,881,"1,143","1,102","1,217",577,"1,251",889,"1,077",540,"1,248","1,184","1,877","1,101","1,905","1,840","2,959"
2020,4,20,"37,277","2,106","2,298","2,916","1,161","1,702","1,563","2,169","2,238","1,015","1,767","1,322","1,617","1,239","1,868","1,324","1,996","1,646","2,285","2,491","2,554"
2020,4,30,"38,901","2,467","2,238","3,020","1,036","1,815","1,476","2,105","2,260","1,033","1,675","1,283","1,557","1,104","1,578","1,307","3,976","1,266","2,491","2,586","2,628"
2020,4,40,"45,856","2,903","3,293","2,424","1,289","1,861","2,043","2,372","2,314","1,229","2,131","1,496","1,666","1,210","1,874","1,796","3,764","1,845","3,013","2,988","4,345"
2020,4,50,"44,895","2,509","2,941","2,153","1,628","2,031","1,905","2,760","2,621","1,534","2,116","1,664","1,847","1,555","2,395","1,699","2,315","2,253","2,758","2,771","3,440"
2020,4,60,"30,342","1,663","1,830","1,335","1,073","1,471","1,384","1,913","1,916","1,169","1,554","1,167","1,394","1,228","1,650","1,352","1,835","1,470","1,611","1,641","1,686"
2020,4,70,"13,547",695,830,588,547,803,689,899,837,558,708,524,607,625,689,567,734,636,630,779,602
2020,4,80,"4,052",197,210,188,177,252,183,278,250,205,182,125,188,181,231,181,149,199,205,275,196
2020,4,90,399,21,28,23,12,11,37,25,25,17,19,11,28,8,26,17,10,15,20,28,18
2020,4,100,29,0,4,0,1,1,1,6,2,0,4,4,0,0,0,0,1,2,1,2,0
2020,5,총,"264,071","15,758","17,987","14,452","7,901","11,534","11,304","14,466","14,671","7,744","12,344","9,187","10,765","8,034","12,407","10,314","19,935","11,163","16,471","16,767","20,867"
2020,5,0,"22,760","1,731","1,954",873,403,742,904,867,981,399,964,720,807,387,841,908,"3,200",728,"1,534","1,393","2,424"
2020,5,10,"26,059","1,472","2,359",875,630,876,"1,143","1,120","1,213",573,"1,236",889,"1,069",532,"1,244","1,167","1,884","1,093","1,901","1,832","2,951"
2020,5,20,"37,279","2,113","2,302","2,941","1,138","1,696","1,569","2,151","2,241","1,025","1,751","1,310","1,615","1,220","1,872","1,332","2,022","1,652","2,274","2,487","2,568"
2020,5,30,"38,789","2,457","2,241","3,013","1,029","1,821","1,455","2,075","2,250","1,032","1,672","1,270","1,542","1,092","1,582","1,307","3,967","1,264","2,499","2,589","2,632"
2020,5,40,"45,734","2,895","3,283","2,432","1,281","1,859","2,026","2,361","2,329","1,224","2,129","1,496","1,659","1,209","1,881","1,775","3,780","1,842","3,000","2,962","4,311"
2020,5,50,"44,897","2,495","2,939","2,168","1,609","2,014","1,924","2,756","2,625","1,537","2,103","1,661","1,845","1,551","2,389","1,705","2,312","2,251","2,777","2,773","3,463"
2020,5,60,"30,417","1,680","1,826","1,341","1,077","1,465","1,375","1,915","1,914","1,169","1,560","1,172","1,395","1,230","1,651","1,350","1,863","1,474","1,612","1,649","1,699"
2020,5,70,"13,611",695,839,596,542,800,691,907,841,559,723,529,614,623,687,567,745,643,645,766,599
2020,5,80,"4,098",199,212,190,179,249,181,282,251,209,183,125,192,182,234,186,151,199,207,285,202
2020,5,90,397,21,28,22,12,11,35,26,24,17,19,11,27,8,26,17,10,15,21,29,18
2020,5,100,30,0,4,1,1,1,1,6,2,0,4,4,0,0,0,0,1,2,1,2,0
2020,6,총,"263,707","15,770","17,934","14,427","7,858","11,456","11,293","14,421","14,644","7,742","12,314","9,205","10,726","8,021","12,370","10,316","19,973","11,145","16,434","16,747","20,911"
2020,6,0,"22,673","1,722","1,946",872,396,734,896,858,976,403,962,723,801,389,839,900,"3,202",722,"1,531","1,379","2,422"
2020,6,10,"25,974","1,473","2,346",882,618,867,"1,143","1,116","1,206",574,"1,240",875,"1,054",519,"1,235","1,174","1,892","1,093","1,887","1,824","2,956"
2020,6,20,"37,170","2,123","2,303","2,904","1,137","1,690","1,563","2,146","2,223","1,012","1,740","1,324","1,609","1,208","1,868","1,319","2,027","1,652","2,272","2,486","2,564"
2020,6,30,"38,569","2,426","2,229","3,008","1,022","1,797","1,432","2,061","2,250","1,023","1,651","1,272","1,539","1,093","1,571","1,307","3,939","1,254","2,471","2,586","2,638"
2020,6,40,"45,731","2,919","3,264","2,434","1,265","1,855","2,031","2,352","2,308","1,229","2,128","1,505","1,648","1,206","1,884","1,770","3,808","1,839","3,009","2,952","4,325"
2020,6,50,"44,774","2,485","2,927","2,168","1,598","1,995","1,932","2,741","2,625","1,522","2,089","1,662","1,838","1,544","2,367","1,704","2,325","2,240","2,777","2,763","3,472"
2020,6,60,"30,614","1,701","1,839","1,352","1,086","1,467","1,379","1,924","1,939","1,180","1,568","1,179","1,407","1,236","1,654","1,368","1,870","1,486","1,598","1,665","1,716"
2020,6,70,"13,681",702,837,598,546,788,698,909,840,570,729,528,612,630,694,568,751,647,658,770,606
2020,6,80,"4,088",199,211,186,178,252,182,281,249,212,185,123,191,187,233,188,148,193,207,288,195
2020,6,90,403,20,28,22,11,10,36,27,26,17,18,10,27,9,25,18,10,17,23,32,17
2020,6,100,30,0,4,1,1,1,1,6,2,0,4,4,0,0,0,0,1,2,1,2,0
2020,7,총,"263,176","15,720","17,892","14,400","7,839","11,382","11,281","14,376","14,618","7,680","12,316","9,182","10,688","8,036","12,334","10,326","19,900","11,112","16,418","16,726","20,950"
2020,7,0,"22,456","1,706","1,929",866,388,722,889,847,965,395,953,722,792,382,832,895,"3,171",712,"1,516","1,368","2,406"
2020,7,10,"25,877","1,471","2,325",889,608,854,"1,137","1,106","1,206",561,"1,246",865,"1,047",519,"1,230","1,179","1,893","1,084","1,872","1,806","2,979"
2020,7,20,"37,042","2,110","2,296","2,871","1,145","1,686","1,565","2,141","2,208","1,008","1,730","1,321","1,594","1,211","1,857","1,325","2,025","1,637","2,277","2,473","2,562"
2020,7,30,"38,351","2,409","2,207","3,006","1,021","1,779","1,424","2,035","2,246","1,006","1,651","1,269","1,531","1,090","1,574","1,300","3,878","1,237","2,475","2,591","2,622"
2020,7,40,"45,669","2,912","3,261","2,443","1,266","1,844","2,037","2,354","2,300","1,209","2,106","1,503","1,643","1,201","1,868","1,774","3,824","1,845","3,005","2,938","4,336"
2020,7,50,"44,750","2,491","2,927","2,170","1,590","1,989","1,925","2,730","2,613","1,522","2,105","1,641","1,835","1,561","2,347","1,705","2,328","2,232","2,783","2,769","3,487"
2020,7,60,"30,721","1,702","1,856","1,352","1,079","1,455","1,388","1,935","1,945","1,174","1,575","1,194","1,403","1,239","1,666","1,376","1,865","1,491","1,604","1,686","1,736"
