년도,월,나이,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2020,3,총,"40,573","5,436","3,285","2,685","17,099","1,588","3,121","2,369",998,"2,519","1,473"
2020,3,0,"3,508",372,125,106,"2,569",26,112,59,29,60,50
2020,3,10,"4,295",542,195,167,"2,689",69,228,123,47,143,92
2020,3,20,"3,801",580,249,226,"1,881",107,278,146,76,136,122
2020,3,30,"4,545",477,173,150,"3,190",47,202,94,48,105,59
2020,3,40,"5,921",779,288,253,"3,678",106,289,146,71,198,113
2020,3,50,"5,633",907,526,499,"1,696",251,520,400,178,409,247
2020,3,60,"5,189",787,643,509,813,296,578,505,234,518,306
2020,3,70,"4,354",611,595,424,367,335,485,522,195,535,285
2020,3,80,"2,833",334,425,290,187,310,348,319,90,352,178
2020,3,90,465,46,66,57,28,39,65,54,28,62,20
2020,3,100,29,1,0,4,1,2,16,1,2,1,1
2020,4,총,"40,552","5,412","3,279","2,685","17,154","1,580","3,111","2,356",994,"2,520","1,461"
2020,4,0,"3,492",368,123,102,"2,561",27,113,57,31,61,49
2020,4,10,"4,286",548,193,163,"2,685",67,229,122,47,143,89
2020,4,20,"3,798",566,247,230,"1,912",104,271,142,72,132,122
2020,4,30,"4,529",472,168,148,"3,194",46,199,93,47,105,57
2020,4,40,"5,937",774,295,253,"3,693",105,288,146,72,200,111
2020,4,50,"5,619",898,524,497,"1,714",248,517,397,175,405,244
2020,4,60,"5,188",793,643,513,817,295,573,501,233,515,305
2020,4,70,"4,345",610,594,420,364,333,491,519,196,535,283
2020,4,80,"2,852",337,426,294,184,310,348,322,91,360,180
2020,4,90,477,45,66,61,29,43,66,56,28,63,20
2020,4,100,29,1,0,4,1,2,16,1,2,1,1
2020,5,총,"40,645","5,411","3,279","2,682","17,256","1,582","3,110","2,357",991,"2,520","1,457"
2020,5,0,"3,492",365,124,101,"2,568",28,109,56,31,61,49
2020,5,10,"4,287",545,196,162,"2,694",66,228,122,47,137,90
2020,5,20,"3,812",568,241,226,"1,924",107,273,142,72,137,122
2020,5,30,"4,530",477,166,148,"3,197",45,202,89,46,105,55
2020,5,40,"5,953",765,293,254,"3,726",105,287,145,73,196,109
2020,5,50,"5,610",898,524,495,"1,734",246,510,396,171,397,239
2020,5,60,"5,231",797,650,518,825,294,580,502,234,520,311
2020,5,70,"4,342",612,595,415,366,334,491,518,196,535,280
2020,5,80,"2,878",339,426,298,187,312,349,327,92,367,181
2020,5,90,478,45,62,60,34,43,65,59,27,63,20
2020,5,100,32,0,2,5,1,2,16,1,2,2,1
2020,6,총,"40,680","5,396","3,264","2,673","17,341","1,577","3,114","2,357",984,"2,514","1,460"
2020,6,0,"3,470",363,123,91,"2,566",28,107,53,28,61,50
2020,6,10,"4,282",534,193,166,"2,706",67,227,121,44,133,91
2020,6,20,"3,832",567,239,220,"1,946",103,283,144,72,134,124
2020,6,30,"4,522",481,165,148,"3,201",42,196,87,45,104,53
2020,6,40,"5,955",759,288,250,"3,741",104,290,145,71,196,111
2020,6,50,"5,604",892,522,490,"1,750",247,504,394,167,398,240
2020,6,60,"5,258",808,647,524,832,294,581,503,239,520,310
2020,6,70,"4,351",612,596,417,372,335,491,521,195,534,278
2020,6,80,"2,894",336,426,302,192,314,353,328,92,369,182
2020,6,90,480,44,63,60,34,42,66,60,28,63,20
2020,6,100,32,0,2,5,1,1,16,1,3,2,1
2020,7,총,"40,636","5,378","3,257","2,674","17,325","1,576","3,114","2,354",984,"2,513","1,461"
2020,7,0,"3,423",361,122,92,"2,530",27,101,54,26,60,50
2020,7,10,"4,295",539,193,170,"2,706",67,230,120,45,133,92
2020,7,20,"3,821",557,235,218,"1,952",104,290,141,71,131,122
2020,7,30,"4,514",474,164,146,"3,205",40,196,87,45,104,53
2020,7,40,"5,933",758,287,249,"3,731",104,282,144,72,197,109
2020,7,50,"5,634",885,517,490,"1,773",250,514,398,168,397,242
2020,7,60,"5,240",805,642,523,829,293,579,502,236,523,308
2020,7,70,"4,366",618,599,417,377,334,490,518,198,535,280
2020,7,80,"2,899",338,429,304,191,314,352,329,92,367,183
2020,7,90,479,43,67,60,30,42,64,60,28,64,21
2020,7,100,32,0,2,5,1,1,16,1,3,2,1
2020,8,총,"41,347","5,349","4,375","2,675","16,980","1,577","3,110","2,355",985,"2,493","1,448"
2020,8,0,"3,573",358,386,90,"2,425",27,100,54,25,57,51
2020,8,10,"4,382",531,350,166,"2,651",66,226,123,45,133,91
2020,8,20,"3,876",555,308,221,"1,957",102,285,139,69,127,113
2020,8,30,"4,672",467,459,146,"3,077",40,193,90,47,99,54
2020,8,40,"6,092",755,489,244,"3,692",106,288,144,74,192,108
2020,8,50,"5,686",877,592,489,"1,761",252,515,398,166,396,240
2020,8,60,"5,287",807,682,527,821,296,583,501,234,528,308
2020,8,70,"4,363",620,611,421,370,333,483,515,201,529,280
2020,8,80,"2,899",337,427,305,193,311,356,329,91,369,181
2020,8,90,485,42,69,61,32,43,65,61,30,61,21
2020,8,100,32,0,2,5,1,1,16,1,3,2,1
2020,9,총,"42,056","5,354","5,274","2,671","16,811","1,571","3,118","2,352",981,"2,488","1,436"
2020,9,0,"3,686",350,594,93,"2,340",28,96,53,25,57,50
2020,9,10,"4,455",534,441,166,"2,630",66,229,123,43,132,91
2020,9,20,"3,974",565,378,219,"1,981",97,290,140,69,127,108
2020,9,30,"4,843",463,714,146,"2,992",44,195,90,48,97,54
2020,9,40,"6,232",758,656,243,"3,665",102,290,145,76,191,106
2020,9,50,"5,731",874,650,485,"1,774",251,511,396,162,390,238
2020,9,60,"5,323",808,716,528,833,295,579,499,232,527,306
2020,9,70,"4,375",622,612,422,371,327,490,515,202,532,282
2020,9,80,"2,908",335,439,300,192,316,353,328,91,373,181
2020,9,90,497,45,72,64,32,44,69,62,30,60,19
2020,9,100,32,0,2,5,1,1,16,1,3,2,1
2020,10,총,"42,304","5,345","5,712","2,668","16,655","1,561","3,102","2,347",983,"2,487","1,444"
2020,10,0,"3,695",348,686,89,"2,268",25,95,51,26,58,49
2020,10,10,"4,497",532,521,165,"2,599",65,226,123,43,131,92
2020,10,20,"4,015",564,407,219,"1,998",95,284,140,70,129,109
2020,10,30,"4,880",457,813,146,"2,934",44,193,90,50,99,54
2020,10,40,"6,271",757,726,246,"3,642",98,292,143,74,188,105
2020,10,50,"5,750",872,683,480,"1,779",248,505,394,162,387,240
2020,10,60,"5,362",812,735,534,836,298,578,503,231,525,310
2020,10,70,"4,375",621,617,421,372,326,493,513,202,527,283
2020,10,80,"2,926",336,450,300,194,316,350,324,92,382,182
2020,10,90,501,46,72,63,32,45,70,65,30,59,19
2020,10,100,32,0,2,5,1,1,16,1,3,2,1
2020,11,총,"42,416","5,324","6,017","2,646","16,526","1,565","3,087","2,343",983,"2,483","1,442"
2020,11,0,"3,716",344,774,86,"2,209",27,92,52,25,61,46
2020,11,10,"4,515",531,552,163,"2,591",64,224,124,43,129,94
2020,11,20,"4,028",562,423,214,"2,009",97,280,139,70,127,107
2020,11,30,"4,923",450,913,143,"2,889",43,192,92,50,97,54
2020,11,40,"6,266",750,769,239,"3,607",101,292,141,73,187,107
2020,11,50,"5,761",874,695,481,"1,786",245,506,391,161,383,239
2020,11,60,"5,371",810,751,531,837,297,575,505,233,525,307
2020,11,70,"4,378",620,618,423,370,330,492,510,200,533,282
2020,11,80,"2,911",334,446,298,194,315,347,323,94,374,186
2020,11,90,516,49,75,63,33,45,71,65,31,65,19
2020,11,100,31,0,1,5,1,1,16,1,3,2,1
2020,12,총,"42,878","5,314","6,441","2,633","16,603","1,570","3,081","2,340",976,"2,477","1,443"
2020,12,0,"3,786",346,874,85,"2,185",25,90,51,25,59,46
2020,12,10,"4,547",526,597,158,"2,584",66,228,123,44,128,93
2020,12,20,"4,054",552,453,213,"2,033",99,275,137,67,122,103
2020,12,30,"5,048",448,"1,042",143,"2,882",44,190,95,50,97,57
2020,12,40,"6,366",750,840,239,"3,644",101,287,138,76,187,104
2020,12,50,"5,812",877,718,479,"1,820",246,503,385,159,381,244
2020,12,60,"5,411",811,776,528,853,294,584,508,228,525,304
2020,12,70,"4,376",617,619,420,373,330,490,513,196,531,287
2020,12,80,"2,925",336,446,298,194,319,346,324,97,380,185
2020,12,90,524,51,75,66,34,46,72,65,31,65,19
2020,12,100,29,0,1,4,1,0,16,1,3,2,1
2021,1,총,"43,281","5,306","6,830","2,627","16,650","1,581","3,067","2,337",976,"2,462","1,445"
2021,1,0,"3,827",343,950,86,"2,148",27,89,53,26,58,47
2021,1,10,"4,571",520,655,156,"2,582",65,222,118,43,120,90
2021,1,20,"4,093",551,470,215,"2,061",100,269,137,67,121,102
2021,1,30,"5,107",441,"1,141",145,"2,842",44,190,98,51,96,59
2021,1,40,"6,491",745,941,232,"3,682",103,290,135,73,186,104
