년도,월,나이,기장군,기장읍,장안읍,정관읍,일광면,철마면
2020,1,총,"81,621","27,080","4,799","40,957","4,547","4,238"
2020,1,0,"9,538","2,003",234,"6,797",271,233
2020,1,10,"8,751","2,598",301,"5,339",248,265
2020,1,20,"8,451","3,492",631,"3,338",527,463
2020,1,30,"11,970","3,239",660,"7,116",535,420
2020,1,40,"15,618","4,512",619,"9,288",607,592
2020,1,50,"11,315","4,749",891,"4,103",821,751
2020,1,60,"9,025","3,663",835,"2,861",847,819
2020,1,70,"5,240","2,050",460,"1,678",522,530
2020,1,80,"1,588",719,149,412,157,151
2020,1,90,119,54,14,25,12,14
2020,1,100,6,1,5,0,0,0
2020,2,총,"82,373","26,730","4,770","40,653","6,029","4,191"
2020,2,0,"9,677","1,916",227,"6,676",636,222
2020,2,10,"8,818","2,544",296,"5,340",378,260
2020,2,20,"8,430","3,441",620,"3,291",613,465
2020,2,30,"12,108","3,159",661,"6,944",943,401
2020,2,40,"15,823","4,454",607,"9,283",891,588
2020,2,50,"11,402","4,712",899,"4,119",926,746
2020,2,60,"9,118","3,680",831,"2,871",919,817
2020,2,70,"5,267","2,044",458,"1,688",549,528
2020,2,80,"1,605",727,151,415,161,151
2020,2,90,118,51,15,26,13,13
2020,2,100,7,2,5,0,0,0
2020,3,총,"83,008","26,607","4,752","40,705","6,781","4,163"
2020,3,0,"9,692","1,860",226,"6,620",768,218
2020,3,10,"8,862","2,524",287,"5,366",438,247
2020,3,20,"8,559","3,438",625,"3,332",695,469
2020,3,30,"12,201","3,125",651,"6,878","1,156",391
2020,3,40,"15,917","4,396",599,"9,315","1,020",587
2020,3,50,"11,488","4,732",893,"4,145",989,729
2020,3,60,"9,224","3,706",840,"2,889",967,822
2020,3,70,"5,314","2,043",457,"1,713",568,533
2020,3,80,"1,623",732,152,420,165,154
2020,3,90,121,49,17,27,15,13
2020,3,100,7,2,5,0,0,0
2020,4,총,"83,279","26,393","4,723","40,650","7,383","4,130"
2020,4,0,"9,688","1,819",224,"6,574",859,212
2020,4,10,"8,878","2,482",278,"5,374",500,244
2020,4,20,"8,578","3,412",614,"3,346",750,456
2020,4,30,"12,237","3,075",648,"6,809","1,320",385
2020,4,40,"15,970","4,350",592,"9,320","1,129",579
2020,4,50,"11,566","4,724",894,"4,165","1,058",725
2020,4,60,"9,264","3,702",838,"2,901",996,827
2020,4,70,"5,344","2,051",461,"1,713",586,533
2020,4,80,"1,626",727,152,423,170,154
2020,4,90,121,49,17,25,15,15
2020,4,100,7,2,5,0,0,0
2020,5,총,"83,765","26,301","4,678","40,575","8,118","4,093"
2020,5,0,"9,737","1,798",223,"6,530",981,205
2020,5,10,"8,902","2,447",272,"5,396",545,242
2020,5,20,"8,629","3,412",605,"3,334",834,444
2020,5,30,"12,304","3,051",642,"6,757","1,477",377
2020,5,40,"16,052","4,319",581,"9,316","1,262",574
2020,5,50,"11,643","4,724",881,"4,164","1,151",723
2020,5,60,"9,332","3,703",838,"2,901","1,071",819
2020,5,70,"5,384","2,058",463,"1,722",606,535
2020,5,80,"1,650",736,151,428,176,159
2020,5,90,125,51,17,27,15,15
