년도,월,나이,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020,1,총,"50,245","5,311","2,053","2,023","1,579","1,099","1,531",585,"2,106","2,717","2,156","1,455","15,205","4,439","2,481","3,488","2,017"
2020,1,0,"2,882",187,51,49,36,23,34,6,64,146,43,36,"1,397",304,83,291,132
2020,1,10,"3,179",221,69,96,38,38,38,17,75,113,70,45,"1,435",416,150,254,104
2020,1,20,"4,331",451,138,104,71,49,89,33,115,199,109,90,"1,614",520,235,340,174
2020,1,30,"4,404",378,121,101,81,47,64,27,117,213,100,72,"1,881",431,175,403,193
2020,1,40,"5,899",561,133,150,114,63,93,23,156,201,163,88,"2,547",628,252,522,205
2020,1,50,"8,676",983,402,324,250,188,266,120,324,436,352,256,"2,659",808,448,543,317
2020,1,60,"8,919","1,091",484,473,346,264,390,117,486,514,500,386,"1,881",590,492,521,384
2020,1,70,"6,861",866,369,403,349,214,309,127,445,508,442,260,"1,041",464,380,395,289
2020,1,80,"4,514",515,246,285,266,184,217,101,288,341,330,202,681,238,234,203,183
2020,1,90,554,56,39,37,28,28,27,13,35,44,45,20,65,36,31,15,35
2020,1,100,26,2,1,1,0,1,4,1,1,2,2,0,4,4,1,1,1
2020,2,총,"50,139","5,286","2,039","1,992","1,567","1,093","1,529",579,"2,101","2,692","2,152","1,448","15,131","4,586","2,475","3,468","2,001"
2020,2,0,"2,881",188,51,48,38,23,35,5,65,138,43,37,"1,384",326,81,289,130
2020,2,10,"3,161",218,64,91,35,35,38,17,75,112,69,46,"1,427",425,153,252,104
2020,2,20,"4,253",443,133,99,65,48,86,31,107,195,105,83,"1,593",526,239,333,167
2020,2,30,"4,382",367,117,98,79,44,65,26,115,204,100,73,"1,857",470,167,406,194
2020,2,40,"5,877",556,135,144,114,65,92,23,159,196,160,89,"2,524",665,249,508,198
2020,2,50,"8,664",986,398,318,239,188,262,119,324,438,352,252,"2,665",819,442,544,318
2020,2,60,"8,937","1,087",487,472,351,260,392,119,483,510,504,384,"1,891",603,493,517,384
2020,2,70,"6,861",866,366,402,350,210,307,123,444,507,440,263,"1,045",466,383,402,287
2020,2,80,"4,534",516,248,285,267,190,222,100,290,346,331,199,675,245,236,201,183
2020,2,90,563,57,39,34,29,29,26,15,38,44,46,22,66,37,31,15,35
2020,2,100,26,2,1,1,0,1,4,1,1,2,2,0,4,4,1,1,1
2020,3,총,"49,945","5,230","2,036","1,979","1,560","1,095","1,532",577,"2,088","2,672","2,149","1,436","15,005","4,683","2,454","3,470","1,979"
2020,3,0,"2,874",191,50,50,36,23,34,5,67,133,41,37,"1,362",338,83,293,131
2020,3,10,"3,150",215,64,89,36,35,38,18,74,107,66,45,"1,422",439,147,251,104
2020,3,20,"4,198",425,134,95,62,46,87,29,104,206,103,81,"1,566",547,231,323,159
2020,3,30,"4,328",355,120,95,79,46,64,25,112,195,97,74,"1,813",485,164,411,193
2020,3,40,"5,850",551,131,145,110,65,88,24,159,189,165,91,"2,497",681,245,514,195
2020,3,50,"8,594",964,397,313,240,186,260,120,316,434,347,240,"2,660",820,439,542,316
2020,3,60,"8,960","1,088",482,467,349,261,398,118,481,513,511,388,"1,895",615,498,518,378
2020,3,70,"6,845",868,367,402,352,212,305,122,444,505,436,261,"1,042",466,383,398,282
2020,3,80,"4,552",514,250,287,266,191,225,100,291,346,334,196,678,250,236,205,183
2020,3,90,566,57,40,35,30,29,28,15,39,42,47,23,66,38,27,13,37
2020,3,100,28,2,1,1,0,1,5,1,1,2,2,0,4,4,1,2,1
2020,4,총,"50,057","5,230","2,040","1,976","1,547","1,098","1,533",578,"2,085","2,687","2,148","1,440","15,039","4,730","2,474","3,474","1,978"
2020,4,0,"2,873",193,50,48,34,22,36,5,66,135,40,38,"1,366",335,87,289,129
2020,4,10,"3,143",214,68,87,34,38,37,18,74,110,65,45,"1,409",440,145,256,103
2020,4,20,"4,227",418,132,91,58,47,85,30,103,203,106,83,"1,587",571,232,325,156
2020,4,30,"4,322",355,114,98,77,43,63,24,115,203,94,76,"1,802",487,168,410,193
2020,4,40,"5,852",548,135,150,112,67,89,23,153,185,164,89,"2,498",688,247,508,196
2020,4,50,"8,610",959,399,309,237,182,259,121,317,435,344,238,"2,666",836,438,547,323
2020,4,60,"9,014","1,097",484,469,347,265,402,118,483,515,513,386,"1,917",617,505,519,377
2020,4,70,"6,846",866,368,400,350,210,306,122,444,501,441,261,"1,049",465,386,399,278
2020,4,80,"4,581",523,249,287,266,194,222,101,294,355,331,199,675,252,239,208,186
2020,4,90,560,55,39,36,32,29,29,15,35,43,48,25,66,35,26,11,36
2020,4,100,29,2,2,1,0,1,5,1,1,2,2,0,4,4,1,2,1
2020,5,총,"50,013","5,222","2,030","1,972","1,547","1,099","1,538",582,"2,090","2,677","2,154","1,442","15,002","4,750","2,462","3,471","1,975"
2020,5,0,"2,876",193,51,48,34,23,38,6,65,130,40,41,"1,366",340,88,285,128
2020,5,10,"3,115",212,66,88,33,38,37,18,73,109,66,44,"1,394",441,140,254,102
2020,5,20,"4,205",418,129,89,56,48,84,29,103,207,107,83,"1,583",562,231,317,159
2020,5,30,"4,324",355,115,100,78,41,65,24,112,198,97,73,"1,791",495,172,417,191
2020,5,40,"5,815",546,134,151,108,67,90,23,155,186,163,85,"2,476",689,239,506,197
2020,5,50,"8,605",959,385,307,240,183,259,121,313,437,345,237,"2,674",844,432,547,322
2020,5,60,"9,011","1,093",487,466,347,263,399,121,488,513,508,390,"1,918",623,504,517,374
2020,5,70,"6,866",857,369,401,351,210,307,122,446,503,444,265,"1,052",468,385,407,279
2020,5,80,"4,603",532,253,285,268,195,224,101,299,352,333,196,678,249,244,208,186
2020,5,90,564,55,39,36,32,30,30,16,35,40,49,28,66,35,26,11,36
2020,5,100,29,2,2,1,0,1,5,1,1,2,2,0,4,4,1,2,1
2020,6,총,"49,965","5,196","2,033","1,964","1,545","1,110","1,534",585,"2,080","2,666","2,154","1,453","14,993","4,746","2,464","3,482","1,960"
2020,6,0,"2,872",192,48,48,33,27,39,6,64,129,41,38,"1,364",336,90,290,127
2020,6,10,"3,102",207,68,86,34,38,35,18,71,107,66,45,"1,393",439,139,255,101
2020,6,20,"4,175",414,134,89,55,49,82,28,101,197,106,82,"1,570",564,232,316,156
2020,6,30,"4,301",353,113,99,77,42,65,24,110,201,97,73,"1,776",492,172,417,190
2020,6,40,"5,802",538,135,150,106,68,90,24,155,186,160,88,"2,483",682,239,504,194
2020,6,50,"8,554",957,382,300,236,183,255,122,307,430,341,231,"2,661",851,427,553,318
2020,6,60,"9,067","1,092",488,467,346,265,400,121,494,523,514,399,"1,937",622,508,515,376
2020,6,70,"6,883",862,368,403,359,210,304,124,448,503,443,271,"1,048",469,386,411,274
2020,6,80,"4,614",524,255,286,265,197,229,101,293,348,335,198,690,253,244,208,188
2020,6,90,567,56,40,35,34,30,30,16,36,40,49,28,67,34,26,11,35
2020,6,100,28,1,2,1,0,1,5,1,1,2,2,0,4,4,1,2,1
2020,7,총,"49,965","5,193","2,026","1,961","1,532","1,106","1,538",582,"2,082","2,671","2,160","1,454","14,981","4,785","2,459","3,478","1,957"
2020,7,0,"2,875",194,51,46,31,28,39,7,64,127,42,38,"1,355",344,91,293,125
2020,7,10,"3,101",201,67,87,35,41,36,18,68,108,63,50,"1,393",447,134,252,101
2020,7,20,"4,171",417,133,86,55,45,77,27,103,201,108,83,"1,565",568,228,319,156
2020,7,30,"4,286",350,112,96,76,41,65,24,108,202,97,73,"1,778",494,175,409,186
2020,7,40,"5,799",540,131,153,103,69,92,25,156,189,164,89,"2,459",688,241,503,197
2020,7,50,"8,538",953,376,297,230,185,254,119,309,427,339,226,"2,670",857,422,558,316
2020,7,60,"9,079","1,088",489,473,345,260,405,121,489,522,512,399,"1,955",620,507,516,378
2020,7,70,"6,914",866,370,403,356,211,305,123,453,508,449,271,"1,057",475,384,409,274
2020,7,80,"4,599",526,255,283,269,196,229,101,293,345,333,197,679,253,249,205,186
2020,7,90,574,56,40,36,32,29,31,16,38,40,51,28,66,35,27,12,37
2020,7,100,29,2,2,1,0,1,5,1,1,2,2,0,4,4,1,2,1
