년도,월,나이,성동구,왕십리제2동,왕십리도선동,마장동,사근동,행당제1동,행당제2동,응봉동,금호1가동,금호2.3가동,금호4가동,옥수동,성수1가제1동,성수1가제2동,성수2가제1동,성수2가제3동,송정동,용답동
2020,1,총,"147,020","8,449","13,029","11,471","5,958","7,749","11,535","7,619","7,597","11,374","7,193","12,589","8,411","7,085","8,896","5,788","5,780","6,497"
2020,1,0,"11,166",656,"1,240",671,245,532,973,646,691,941,759,"1,385",600,466,479,331,297,254
2020,1,10,"10,648",650,846,914,335,554,"1,037",859,608,797,512,884,615,502,518,290,374,353
2020,1,20,"22,738","1,241","2,080","2,194","2,374","1,290","1,445",893,943,"1,511",809,"1,418","1,332","1,129","1,293",944,876,966
2020,1,30,"25,000","1,531","2,310","1,728",901,"1,268","1,831","1,097","1,352","2,094","1,360","2,378","1,475","1,279","1,426","1,082",924,964
2020,1,40,"23,644","1,357","2,043","1,585",611,"1,213","2,080","1,481","1,323","1,912","1,323","2,227","1,246","1,149","1,317",794,899,"1,084"
2020,1,50,"24,202","1,350","2,117","1,925",614,"1,266","1,935","1,182","1,147","1,762","1,045","1,847","1,543","1,139","1,796","1,022","1,142","1,370"
2020,1,60,"17,134",967,"1,433","1,389",430,950,"1,219",746,884,"1,315",773,"1,390","1,023",861,"1,305",787,806,856
2020,1,70,"9,102",506,695,778,336,501,727,509,457,764,455,738,415,425,577,385,342,492
2020,1,80,"3,016",166,232,262,98,158,254,185,174,240,138,281,139,118,174,137,109,151
2020,1,90,305,19,27,22,9,15,27,19,16,31,15,33,20,13,10,13,10,6
2020,1,100,65,6,6,3,5,2,7,2,2,7,4,8,3,4,1,3,1,1
2020,2,총,"146,688","8,450","13,013","11,449","5,977","7,679","11,465","7,579","7,604","11,347","7,164","12,574","8,383","7,030","8,924","5,809","5,753","6,488"
2020,2,0,"11,015",652,"1,230",655,238,529,956,633,688,920,745,"1,382",590,453,479,320,295,250
2020,2,10,"10,594",648,839,914,364,543,"1,023",846,603,787,508,874,615,504,520,283,368,355
2020,2,20,"22,678","1,236","2,075","2,205","2,374","1,263","1,438",891,944,"1,506",814,"1,398","1,320","1,112","1,300",961,873,968
2020,2,30,"24,905","1,527","2,295","1,694",889,"1,261","1,824","1,106","1,345","2,086","1,344","2,374","1,471","1,278","1,441","1,095",922,953
2020,2,40,"23,512","1,363","2,043","1,588",606,"1,203","2,051","1,448","1,328","1,911","1,307","2,222","1,238","1,130","1,306",795,890,"1,083"
2020,2,50,"24,268","1,346","2,131","1,924",632,"1,253","1,940","1,191","1,153","1,766","1,052","1,862","1,540","1,137","1,802","1,029","1,135","1,375"
2020,2,60,"17,180",968,"1,442","1,396",428,948,"1,213",749,894,"1,324",781,"1,394","1,032",860,"1,308",786,806,851
2020,2,70,"9,113",519,690,779,332,500,728,510,457,768,452,741,414,421,579,385,345,493
2020,2,80,"3,045",167,235,270,100,159,258,185,172,239,142,286,139,117,177,138,108,153
2020,2,90,313,18,27,21,9,18,27,18,18,33,15,33,21,14,11,14,10,6
2020,2,100,65,6,6,3,5,2,7,2,2,7,4,8,3,4,1,3,1,1
2020,3,총,"146,300","8,449","13,009","11,441","6,010","7,467","11,516","7,574","7,568","11,339","7,125","12,545","8,381","6,971","8,907","5,790","5,752","6,456"
2020,3,0,"10,910",653,"1,221",650,230,521,962,623,674,914,728,"1,368",583,449,476,318,290,250
2020,3,10,"10,591",641,843,904,383,536,"1,033",854,592,789,512,875,617,496,521,276,364,355
2020,3,20,"22,683","1,235","2,081","2,216","2,399","1,217","1,445",895,947,"1,521",800,"1,388","1,328","1,108","1,302",961,886,954
2020,3,30,"24,738","1,509","2,294","1,698",887,"1,230","1,822","1,106","1,340","2,055","1,335","2,369","1,468","1,268","1,432","1,086",911,928
2020,3,40,"23,385","1,356","2,043","1,581",610,"1,159","2,062","1,441","1,313","1,902","1,302","2,218","1,229","1,107","1,309",792,889,"1,072"
2020,3,50,"24,163","1,358","2,119","1,898",628,"1,210","1,933","1,194","1,153","1,774","1,048","1,853","1,545","1,125","1,789","1,027","1,131","1,378"
2020,3,60,"17,257",984,"1,456","1,416",422,930,"1,226",745,894,"1,336",782,"1,399","1,033",862,"1,314",786,811,861
2020,3,70,"9,135",518,686,785,333,486,736,512,464,768,457,745,416,421,573,390,350,495
2020,3,80,"3,058",170,233,269,104,157,263,184,171,242,142,288,138,117,178,137,109,156
2020,3,90,313,18,27,21,9,19,27,17,18,31,15,34,21,14,12,14,10,6
2020,3,100,67,7,6,3,5,2,7,3,2,7,4,8,3,4,1,3,1,1
2020,4,총,"145,833","8,452","12,994","11,424","6,029","7,258","11,466","7,546","7,562","11,311","7,129","12,545","8,358","6,911","8,884","5,775","5,756","6,433"
2020,4,0,"10,844",654,"1,227",640,227,520,940,614,676,916,723,"1,360",583,436,472,318,292,246
2020,4,10,"10,521",632,836,898,390,525,"1,028",840,588,786,515,877,616,488,511,277,365,349
2020,4,20,"22,608","1,242","2,061","2,209","2,418","1,178","1,436",890,940,"1,519",794,"1,382","1,330","1,102","1,301",960,890,956
2020,4,30,"24,644","1,503","2,287","1,700",885,"1,201","1,814","1,113","1,334","2,055","1,338","2,372","1,455","1,261","1,423","1,077",896,930
2020,4,40,"23,254","1,350","2,040","1,572",597,"1,115","2,053","1,434","1,323","1,880","1,305","2,213","1,218","1,093","1,305",793,897,"1,066"
2020,4,50,"24,061","1,363","2,114","1,895",634,"1,172","1,930","1,189","1,147","1,765","1,047","1,849","1,547","1,121","1,772","1,021","1,132","1,363"
2020,4,60,"17,310",988,"1,463","1,421",425,912,"1,227",748,895,"1,344",787,"1,409","1,039",855,"1,335",781,815,866
2020,4,70,"9,136",522,697,795,333,459,740,513,465,769,457,756,411,420,570,392,347,490
2020,4,80,"3,076",173,235,270,106,155,264,185,174,238,144,288,136,117,182,138,111,160
2020,4,90,312,18,28,21,9,19,27,17,18,32,15,31,20,14,12,15,10,6
2020,4,100,67,7,6,3,5,2,7,3,2,7,4,8,3,4,1,3,1,1
2020,5,총,"145,567","8,432","13,017","11,401","6,061","7,093","11,452","7,521","7,542","11,311","7,131","12,542","8,370","6,873","8,880","5,757","5,752","6,432"
2020,5,0,"10,801",650,"1,227",638,225,515,936,605,670,910,722,"1,375",578,431,475,314,290,240
2020,5,10,"10,442",633,834,888,379,518,"1,021",841,577,789,508,868,617,483,510,270,353,353
2020,5,20,"22,614","1,241","2,067","2,206","2,450","1,147","1,439",888,936,"1,522",790,"1,385","1,333","1,110","1,292",963,892,953
2020,5,30,"24,557","1,491","2,278","1,695",895,"1,183","1,805","1,101","1,323","2,048","1,339","2,353","1,460","1,244","1,419","1,079",908,936
2020,5,40,"23,156","1,345","2,040","1,573",592,"1,089","2,037","1,428","1,323","1,884","1,301","2,213","1,216","1,076","1,298",789,888,"1,064"
2020,5,50,"24,043","1,359","2,124","1,878",637,"1,151","1,936","1,191","1,147","1,765","1,058","1,851","1,545","1,120","1,777","1,009","1,128","1,367"
2020,5,60,"17,304",989,"1,473","1,428",422,864,"1,227",750,906,"1,349",790,"1,409","1,043",852,"1,338",777,822,865
2020,5,70,"9,179",529,701,798,335,451,752,512,468,763,458,760,417,420,575,402,350,488
2020,5,80,"3,087",170,239,273,110,154,265,186,172,242,146,287,138,119,183,135,110,158
2020,5,90,316,18,28,21,11,19,26,16,18,32,15,33,20,14,12,16,10,7
2020,5,100,68,7,6,3,5,2,8,3,2,7,4,8,3,4,1,3,1,1
2020,6,총,"145,258","8,415","13,028","11,372","6,100","6,979","11,425","7,508","7,560","11,300","7,129","12,527","8,361","6,812","8,839","5,754","5,741","6,408"
2020,6,0,"10,778",650,"1,224",637,228,519,937,602,672,919,718,"1,370",581,416,470,314,282,239
2020,6,10,"10,396",630,841,873,378,503,"1,013",842,577,785,518,860,617,486,500,271,355,347
2020,6,20,"22,571","1,236","2,062","2,216","2,475","1,131","1,433",886,933,"1,520",784,"1,391","1,320","1,097","1,275",949,893,970
