년도,월,나이,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2020,3,총,"53,625","21,928","4,825","7,046","1,797","1,789","1,378","2,412","2,406","4,103","5,342",411,188
2020,3,0,"3,759","2,090",191,662,80,87,52,95,79,142,257,12,12
2020,3,10,"4,346","2,414",275,558,122,76,59,201,68,171,384,15,3
2020,3,20,"5,132","2,450",371,869,148,138,96,177,138,244,467,26,8
2020,3,30,"4,979","2,380",284,932,136,124,118,134,135,277,426,21,12
2020,3,40,"6,781","3,420",494,899,180,148,105,269,184,383,603,71,25
2020,3,50,"8,806","3,437",826,"1,186",291,297,262,395,362,696,933,84,37
2020,3,60,"8,239","2,781",848,857,309,324,278,400,447,901,936,109,49
2020,3,70,"7,139","1,905",932,700,303,316,244,430,551,847,837,41,33
2020,3,80,"3,885",900,535,338,190,244,146,274,397,396,432,25,8
2020,3,90,522,138,62,40,36,34,18,34,43,46,63,7,1
2020,3,100,37,13,7,5,2,1,0,3,2,0,4,0,0
2020,4,총,"53,539","21,919","4,799","7,034","1,805","1,788","1,377","2,407","2,409","4,079","5,327",408,187
2020,4,0,"3,777","2,101",193,657,83,86,56,96,80,142,260,12,11
2020,4,10,"4,303","2,392",270,558,123,72,58,200,67,167,378,15,3
2020,4,20,"5,097","2,440",365,861,147,137,95,171,133,245,468,27,8
2020,4,30,"4,977","2,374",280,939,138,123,121,132,138,275,425,20,12
2020,4,40,"6,755","3,420",480,898,180,153,103,267,189,376,593,71,25
2020,4,50,"8,777","3,436",831,"1,184",292,293,257,396,356,684,929,82,37
2020,4,60,"8,265","2,799",846,857,314,328,278,403,448,900,936,107,49
2020,4,70,"7,125","1,905",928,697,299,317,243,430,554,840,837,42,33
2020,4,80,"3,899",901,536,340,192,243,148,273,398,402,433,25,8
2020,4,90,529,139,64,38,35,35,18,36,44,48,64,7,1
2020,4,100,35,12,6,5,2,1,0,3,2,0,4,0,0
2020,5,총,"53,512","21,894","4,800","7,012","1,810","1,799","1,384","2,401","2,418","4,080","5,320",406,188
2020,5,0,"3,801","2,102",196,652,86,89,57,94,85,147,270,12,11
2020,5,10,"4,275","2,379",268,557,124,76,56,198,70,157,372,15,3
2020,5,20,"5,085","2,437",367,859,144,134,97,168,130,247,470,24,8
2020,5,30,"4,962","2,368",279,939,141,118,122,132,139,274,418,21,11
2020,5,40,"6,726","3,401",475,888,183,156,103,262,192,382,588,71,25
2020,5,50,"8,754","3,441",833,"1,177",289,294,255,397,351,677,919,84,37
2020,5,60,"8,287","2,790",842,860,318,335,286,404,453,904,939,105,51
2020,5,70,"7,130","1,913",928,699,298,315,243,431,549,842,836,43,33
2020,5,80,"3,919",908,541,338,187,245,147,273,404,402,443,23,8
2020,5,90,539,143,66,38,38,36,18,39,43,48,61,8,1
2020,5,100,34,12,5,5,2,1,0,3,2,0,4,0,0
2020,6,총,"53,475","21,869","4,784","7,022","1,812","1,792","1,387","2,389","2,413","4,090","5,323",407,187
2020,6,0,"3,805","2,104",196,649,90,87,60,93,87,149,267,12,11
2020,6,10,"4,276","2,371",265,565,129,80,57,199,70,153,371,13,3
2020,6,20,"5,074","2,441",363,849,147,137,94,164,126,252,466,27,8
2020,6,30,"4,934","2,344",271,941,138,114,126,128,137,276,426,21,12
2020,6,40,"6,687","3,378",475,892,179,153,102,261,192,375,583,72,25
2020,6,50,"8,719","3,430",820,"1,172",289,293,252,393,352,679,920,83,36
2020,6,60,"8,367","2,814",854,870,319,334,291,411,453,919,946,105,51
2020,6,70,"7,120","1,927",928,701,296,314,239,425,544,839,831,43,33
2020,6,80,"3,924",906,542,341,185,243,148,274,408,399,448,23,7
2020,6,90,534,141,64,37,38,36,18,38,43,49,61,8,1
2020,6,100,35,13,6,5,2,1,0,3,1,0,4,0,0
2020,7,총,"53,440","21,834","4,777","7,010","1,819","1,803","1,384","2,385","2,416","4,108","5,312",408,184
2020,7,0,"3,815","2,098",194,650,87,87,63,94,90,156,273,12,11
2020,7,10,"4,271","2,367",259,564,130,81,60,200,72,153,370,13,2
2020,7,20,"5,045","2,417",366,850,151,134,90,160,127,255,461,27,7
2020,7,30,"4,945","2,336",275,944,142,119,126,130,137,278,426,20,12
2020,7,40,"6,669","3,372",469,892,177,153,103,261,192,379,573,74,24
2020,7,50,"8,678","3,424",825,"1,154",288,293,244,386,349,676,920,83,36
