년도,월,나이,마포구,아현동,공덕동,도화동,용강동,대흥동,염리동,신수동,서강동,서교동,합정동,망원제1동,망원제2동,연남동,성산제1동,성산제2동,상암동
2020,4,70,"24,444","1,212","2,732","1,568","1,283",897,848,"1,541","1,410","1,554","1,222","1,618","1,455","1,115","1,361","2,888","1,740"
2020,4,80,"10,772",631,"1,243",834,629,426,369,661,663,734,521,624,520,506,517,"1,106",788
2020,4,90,"1,590",100,170,144,77,77,46,96,96,127,80,79,70,83,62,180,103
2020,4,100,324,51,40,27,10,23,12,17,15,24,17,6,16,18,16,14,18
2020,5,총,"374,837","24,848","39,589","22,144","21,839","13,963","12,239","23,340","25,082","24,499","18,565","21,182","19,130","15,789","19,684","41,014","31,930"
2020,5,0,"26,009","2,657","2,380","1,555","2,340",662,941,"1,738","1,962",884,"1,254","1,144","1,267",684,"1,045","2,750","2,746"
2020,5,10,"29,224","1,602","2,539","1,681","1,981",933,"1,128","1,970","1,784","1,297","1,013","1,379","1,663",848,"1,521","3,597","4,288"
2020,5,20,"61,568","3,088","6,701","3,072","2,315","3,196","1,810","3,563","4,715","5,633","3,603","3,539","2,828","3,155","3,197","6,803","4,350"
2020,5,30,"65,486","5,171","6,677","3,724","3,802","2,251","1,943","3,838","4,259","5,152","3,818","4,022","3,059","3,216","3,497","6,937","4,120"
2020,5,40,"62,124","3,997","5,892","3,347","4,375","2,060","2,178","3,978","4,135","3,756","2,696","3,326","3,313","2,387","3,475","6,840","6,369"
2020,5,50,"54,455","3,765","6,736","3,526","2,934","1,991","1,792","3,541","3,686","3,108","2,403","3,042","2,790","2,065","2,854","5,747","4,475"
2020,5,60,"38,749","2,555","4,479","2,662","2,099","1,421","1,167","2,392","2,353","2,226","1,929","2,396","2,149","1,706","2,150","4,140","2,925"
2020,5,70,"24,486","1,222","2,726","1,572","1,278",914,850,"1,540","1,413","1,557","1,229","1,621","1,452","1,119","1,347","2,896","1,750"
2020,5,80,"10,796",640,"1,245",830,627,429,371,661,665,736,522,621,523,507,523,"1,110",786
2020,5,90,"1,615",100,174,148,78,83,47,102,95,125,80,86,70,84,60,180,103
2020,5,100,325,51,40,27,10,23,12,17,15,25,18,6,16,18,15,14,18
2020,6,총,"374,390","24,890","39,362","22,069","21,817","14,109","12,233","23,332","25,070","24,647","18,474","21,094","19,113","15,769","19,618","40,967","31,826"
2020,6,0,"25,880","2,681","2,367","1,551","2,328",663,944,"1,725","1,957",875,"1,224","1,146","1,257",674,"1,045","2,710","2,733"
2020,6,10,"29,114","1,606","2,505","1,674","1,984",929,"1,138","1,961","1,785","1,293","1,009","1,360","1,657",836,"1,509","3,592","4,276"
2020,6,20,"61,673","3,065","6,685","3,066","2,297","3,249","1,789","3,552","4,693","5,801","3,586","3,526","2,841","3,192","3,186","6,822","4,323"
2020,6,30,"65,359","5,177","6,642","3,700","3,782","2,292","1,953","3,834","4,269","5,184","3,805","4,006","3,017","3,193","3,491","6,909","4,105"
2020,6,40,"61,932","4,002","5,842","3,308","4,389","2,087","2,182","3,968","4,125","3,734","2,691","3,310","3,335","2,390","3,452","6,785","6,332"
2020,6,50,"54,313","3,752","6,682","3,542","2,929","2,011","1,783","3,547","3,682","3,082","2,385","3,014","2,790","2,053","2,832","5,768","4,461"
2020,6,60,"38,860","2,586","4,462","2,650","2,109","1,425","1,170","2,413","2,366","2,235","1,924","2,404","2,154","1,701","2,156","4,168","2,937"
2020,6,70,"24,522","1,236","2,723","1,571","1,283",918,842,"1,548","1,422","1,559","1,229","1,615","1,452","1,119","1,350","2,901","1,754"
2020,6,80,"10,797",635,"1,245",833,625,429,375,659,660,731,523,621,523,511,522,"1,119",786
2020,6,90,"1,614",99,169,147,81,83,45,108,96,126,80,86,71,82,60,179,102
2020,6,100,326,51,40,27,10,23,12,17,15,27,18,6,16,18,15,14,17
2020,7,총,"374,036","24,885","39,261","21,990","21,829","14,188","12,206","23,302","24,998","24,832","18,446","21,103","19,067","15,736","19,590","40,840","31,763"
2020,7,0,"25,719","2,685","2,354","1,536","2,314",665,938,"1,724","1,945",874,"1,214","1,151","1,236",668,"1,040","2,666","2,709"
