년도,월,나이,마포구,아현동,공덕동,도화동,용강동,대흥동,염리동,신수동,서강동,서교동,합정동,망원제1동,망원제2동,연남동,성산제1동,성산제2동,상암동
2021,5,30,"64,041","4,988","6,498","3,621","3,680","2,405","2,419","3,658","4,142","5,355","3,656","3,875","2,929","3,054","3,319","6,592","3,850"
2021,5,40,"60,458","4,277","5,364","3,120","4,385","2,052","2,828","3,817","3,954","3,667","2,614","3,196","3,195","2,290","3,294","6,419","5,986"
2021,5,50,"54,426","3,790","6,271","3,464","2,988","2,040","2,291","3,578","3,622","3,061","2,354","2,977","2,829","1,975","2,842","5,814","4,530"
2021,5,60,"40,275","2,762","4,539","2,705","2,207","1,497","1,453","2,479","2,508","2,287","1,937","2,438","2,179","1,719","2,224","4,313","3,028"
2021,5,70,"23,715","1,177","2,520","1,520","1,267",868,871,"1,474","1,382","1,496","1,175","1,568","1,457","1,050","1,323","2,867","1,700"
2021,5,80,"11,176",658,"1,261",848,626,457,439,683,679,735,533,654,585,499,538,"1,193",788
2021,5,90,"1,567",102,149,127,96,70,53,92,90,131,80,82,60,79,55,191,110
2021,5,100,104,10,13,1,3,11,12,5,2,9,3,4,6,5,3,6,11
2021,6,총,"370,132","25,273","37,296","21,325","21,687","14,392","15,978","22,663","24,930","24,997","17,590","20,468","18,746","15,198","19,033","39,806","30,750"
2021,6,0,"24,276","2,741","2,232","1,451","2,172",649,"1,413","1,691","1,778",805,980,995,"1,130",587,897,"2,386","2,369"
2021,6,10,"28,115","1,669","2,244","1,570","2,045",841,"1,467","1,850","1,747","1,199",927,"1,305","1,548",775,"1,430","3,390","4,108"
2021,6,20,"61,815","3,092","6,234","2,902","2,210","3,521","2,342","3,361","5,014","6,259","3,345","3,407","2,825","3,230","3,148","6,605","4,320"
2021,6,30,"63,856","4,947","6,487","3,608","3,674","2,400","2,525","3,639","4,127","5,344","3,628","3,864","2,926","3,033","3,269","6,576","3,809"
2021,6,40,"60,539","4,290","5,352","3,126","4,358","2,046","2,953","3,811","3,949","3,682","2,626","3,191","3,207","2,261","3,299","6,419","5,969"
2021,6,50,"54,490","3,792","6,253","3,446","3,004","2,046","2,373","3,578","3,641","3,065","2,348","2,966","2,811","1,976","2,844","5,823","4,524"
2021,6,60,"40,492","2,794","4,562","2,726","2,218","1,495","1,494","2,488","2,532","2,280","1,937","2,437","2,197","1,712","2,236","4,339","3,045"
2021,6,70,"23,645","1,182","2,497","1,516","1,276",859,892,"1,461","1,366","1,490","1,182","1,564","1,456","1,034","1,302","2,870","1,698"
2021,6,80,"11,223",656,"1,273",851,627,455,453,684,681,735,534,651,579,505,550,"1,204",785
2021,6,90,"1,574",100,149,128,100,69,54,95,93,129,80,83,61,80,55,186,112
2021,6,100,107,10,13,1,3,11,12,5,2,9,3,5,6,5,3,8,11
2021,7,총,"370,185","25,283","37,274","21,313","21,691","14,365","16,246","22,650","24,954","25,051","17,612","20,395","18,737","15,187","19,002","39,738","30,687"
2021,7,0,"24,195","2,744","2,221","1,453","2,160",649,"1,423","1,692","1,775",806,974,984,"1,125",585,891,"2,369","2,344"
2021,7,10,"28,041","1,660","2,233","1,556","2,049",840,"1,496","1,839","1,735","1,195",923,"1,293","1,547",769,"1,427","3,382","4,097"
2021,7,20,"61,919","3,109","6,216","2,904","2,224","3,520","2,403","3,376","5,028","6,288","3,365","3,370","2,825","3,240","3,140","6,585","4,326"
2021,7,30,"63,793","4,921","6,511","3,594","3,662","2,400","2,571","3,622","4,127","5,373","3,636","3,840","2,905","3,035","3,259","6,566","3,771"
2021,7,40,"60,498","4,303","5,342","3,116","4,360","2,050","2,992","3,816","3,948","3,674","2,626","3,201","3,197","2,247","3,298","6,371","5,957"
2021,7,50,"54,568","3,807","6,254","3,442","3,014","2,030","2,415","3,587","3,651","3,078","2,341","2,967","2,814","1,970","2,835","5,839","4,524"
2021,7,60,"40,576","2,800","4,559","2,743","2,206","1,486","1,521","2,476","2,548","2,271","1,944","2,438","2,213","1,725","2,235","4,348","3,063"
2021,7,70,"23,649","1,175","2,505","1,522","1,285",857,898,"1,460","1,363","1,492","1,191","1,563","1,461","1,016","1,302","2,865","1,694"
2021,7,80,"11,256",650,"1,275",850,625,451,461,683,685,739,527,649,581,515,557,"1,218",790
2021,7,90,"1,583",104,145,132,103,70,54,94,92,126,82,85,63,80,55,187,111
2021,7,100,107,10,13,1,3,12,12,5,2,9,3,5,6,5,3,8,10
2021,8,총,"370,053","25,254","37,300","21,242","21,653","14,492","16,475","22,642","24,972","25,072","17,562","20,338","18,673","15,151","18,983","39,621","30,623"
2021,8,0,"24,017","2,714","2,197","1,445","2,150",653,"1,444","1,679","1,759",813,956,983,"1,112",581,874,"2,337","2,320"
2021,8,10,"27,982","1,661","2,223","1,545","2,042",839,"1,523","1,833","1,736","1,190",920,"1,282","1,540",770,"1,420","3,384","4,074"
2021,8,20,"62,040","3,093","6,241","2,894","2,204","3,592","2,464","3,406","5,036","6,306","3,349","3,372","2,823","3,236","3,142","6,562","4,320"
2021,8,30,"63,774","4,904","6,522","3,580","3,671","2,420","2,594","3,596","4,145","5,390","3,614","3,843","2,886","3,029","3,263","6,551","3,766"
2021,8,40,"60,257","4,305","5,307","3,096","4,331","2,049","3,039","3,811","3,930","3,665","2,622","3,177","3,185","2,246","3,269","6,319","5,906"
2021,8,50,"54,664","3,831","6,270","3,439","3,032","2,043","2,451","3,582","3,649","3,068","2,352","2,941","2,812","1,972","2,842","5,834","4,546"
2021,8,60,"40,713","2,804","4,580","2,747","2,206","1,500","1,539","2,502","2,573","2,278","1,944","2,442","2,201","1,712","2,256","4,360","3,069"
2021,8,70,"23,603","1,184","2,516","1,509","1,282",865,886,"1,454","1,362","1,486","1,189","1,553","1,452","1,008","1,300","2,859","1,698"
2021,8,80,"11,319",647,"1,289",853,629,447,473,681,686,742,532,655,592,510,558,"1,224",801
2021,8,90,"1,577",102,142,132,103,71,50,93,94,125,82,85,64,82,56,183,113
2021,8,100,107,9,13,2,3,13,12,5,2,9,2,5,6,5,3,8,10
2021,9,총,"369,903","25,263","37,269","21,281","21,663","14,501","16,597","22,565","24,930","25,013","17,519","20,270","18,644","15,128","18,939","39,568","30,753"
2021,9,0,"23,941","2,710","2,204","1,448","2,151",645,"1,447","1,680","1,751",810,943,973,"1,109",586,870,"2,309","2,305"
2021,9,10,"27,896","1,665","2,210","1,560","2,045",834,"1,524","1,825","1,716","1,164",910,"1,279","1,521",768,"1,416","3,374","4,085"
2021,9,20,"61,867","3,090","6,207","2,888","2,196","3,599","2,486","3,372","5,019","6,298","3,337","3,345","2,818","3,224","3,124","6,549","4,315"
2021,9,30,"63,757","4,882","6,503","3,591","3,681","2,435","2,618","3,570","4,149","5,373","3,617","3,825","2,887","3,036","3,258","6,546","3,786"
2021,9,40,"60,166","4,311","5,293","3,106","4,326","2,054","3,071","3,792","3,915","3,660","2,606","3,169","3,184","2,228","3,248","6,288","5,915"
2021,9,50,"54,820","3,839","6,294","3,431","3,052","2,040","2,461","3,584","3,651","3,074","2,359","2,937","2,808","1,971","2,862","5,856","4,601"
2021,9,60,"40,864","2,806","4,605","2,768","2,207","1,501","1,560","2,507","2,583","2,276","1,948","2,444","2,215","1,713","2,246","4,377","3,108"
2021,9,70,"23,535","1,193","2,505","1,504","1,269",855,891,"1,456","1,358","1,475","1,184","1,556","1,449",999,"1,294","2,843","1,704"
2021,9,80,"11,367",656,"1,292",850,631,453,476,681,689,748,534,654,582,517,563,"1,231",810
2021,9,90,"1,583",102,143,133,102,72,51,93,97,126,79,83,65,81,55,187,114
2021,9,100,107,9,13,2,3,13,12,5,2,9,2,5,6,5,3,8,10
2021,10,총,"369,695","25,281","37,241","21,239","21,671","14,517","16,742","22,594","24,968","24,927","17,440","20,139","18,612","15,058","18,943","39,534","30,789"
2021,10,0,"23,889","2,718","2,214","1,445","2,147",645,"1,460","1,691","1,762",797,922,969,"1,096",580,856,"2,300","2,287"
2021,10,10,"27,880","1,672","2,204","1,560","2,051",833,"1,545","1,827","1,708","1,156",909,"1,251","1,508",767,"1,425","3,359","4,105"
2021,10,20,"61,607","3,058","6,210","2,870","2,200","3,590","2,486","3,358","5,023","6,254","3,297","3,324","2,806","3,173","3,125","6,541","4,292"
2021,10,30,"63,696","4,893","6,486","3,586","3,662","2,448","2,649","3,566","4,143","5,394","3,611","3,807","2,901","3,026","3,237","6,525","3,762"
2021,10,40,"60,023","4,308","5,279","3,081","4,340","2,043","3,112","3,799","3,901","3,638","2,586","3,126","3,181","2,222","3,250","6,253","5,904"
2021,10,50,"54,937","3,846","6,274","3,431","3,055","2,050","2,483","3,592","3,671","3,068","2,368","2,933","2,815","1,969","2,860","5,882","4,640"
2021,10,60,"41,020","2,816","4,604","2,784","2,220","1,508","1,571","2,527","2,601","2,275","1,959","2,437","2,206","1,719","2,257","4,396","3,140"
2021,10,70,"23,519","1,194","2,513","1,496","1,263",865,891,"1,457","1,364","1,464","1,171","1,540","1,435",996,"1,305","2,846","1,719"
2021,10,80,"11,415",661,"1,303",848,628,454,482,679,695,745,532,664,592,515,569,"1,236",812
2021,10,90,"1,604",106,141,136,102,70,51,93,98,128,83,83,66,86,55,188,118
2021,10,100,105,9,13,2,3,11,12,5,2,8,2,5,6,5,4,8,10
2021,11,총,"369,238","25,269","37,209","21,216","21,639","14,536","16,766","22,570","24,946","24,820","17,338","20,063","18,586","14,986","18,939","39,550","30,805"
2021,11,0,"23,772","2,725","2,212","1,444","2,126",647,"1,458","1,671","1,760",786,909,967,"1,085",566,858,"2,287","2,271"
2021,11,10,"27,810","1,687","2,212","1,540","2,055",829,"1,546","1,854","1,687","1,141",897,"1,244","1,510",751,"1,421","3,318","4,118"
2021,11,20,"61,474","3,041","6,160","2,872","2,181","3,585","2,494","3,355","5,017","6,211","3,274","3,305","2,789","3,164","3,120","6,610","4,296"
2021,11,30,"63,605","4,855","6,472","3,589","3,653","2,448","2,672","3,531","4,144","5,401","3,587","3,793","2,887","3,030","3,260","6,554","3,729"
2021,11,40,"59,917","4,314","5,292","3,068","4,325","2,042","3,119","3,801","3,895","3,611","2,573","3,112","3,194","2,214","3,221","6,235","5,901"
2021,11,50,"54,978","3,850","6,254","3,417","3,080","2,064","2,478","3,612","3,683","3,068","2,358","2,942","2,813","1,959","2,861","5,885","4,654"
2021,11,60,"41,076","2,820","4,624","2,798","2,227","1,522","1,575","2,528","2,601","2,266","1,958","2,419","2,206","1,705","2,261","4,386","3,180"
2021,11,70,"23,463","1,196","2,512","1,501","1,256",863,885,"1,445","1,358","1,452","1,166","1,534","1,436",997,"1,306","2,832","1,724"
2021,11,80,"11,452",665,"1,318",849,636,459,486,678,699,745,532,660,591,510,573,"1,246",805
2021,11,90,"1,610",108,140,136,98,69,52,91,100,133,82,83,70,87,55,189,117
2021,11,100,81,8,13,2,2,8,1,4,2,6,2,4,5,3,3,8,10
2021,12,총,"368,905","25,233","37,164","21,151","21,619","14,517","16,817","22,489","24,938","24,826","17,311","20,041","18,567","14,914","18,930","39,608","30,780"
2021,12,0,"23,661","2,705","2,202","1,434","2,130",647,"1,461","1,666","1,766",781,896,965,"1,077",555,845,"2,268","2,263"
2021,12,10,"27,705","1,694","2,195","1,533","2,055",819,"1,555","1,843","1,666","1,141",887,"1,236","1,510",748,"1,419","3,303","4,101"
2021,12,20,"61,353","3,026","6,140","2,863","2,173","3,579","2,493","3,324","5,005","6,196","3,272","3,298","2,777","3,138","3,110","6,657","4,302"
2021,12,30,"63,597","4,802","6,492","3,551","3,638","2,457","2,689","3,533","4,174","5,410","3,614","3,782","2,862","3,033","3,263","6,599","3,698"
2021,12,40,"59,819","4,329","5,263","3,062","4,338","2,024","3,140","3,780","3,884","3,625","2,550","3,113","3,189","2,194","3,229","6,202","5,897"
2021,12,50,"54,962","3,863","6,251","3,397","3,081","2,057","2,471","3,596","3,684","3,074","2,357","2,928","2,837","1,952","2,865","5,891","4,658"
2021,12,60,"41,205","2,831","4,640","2,815","2,224","1,536","1,577","2,547","2,601","2,258","1,955","2,427","2,213","1,705","2,275","4,403","3,198"
2021,12,70,"23,378","1,198","2,506","1,498","1,245",852,893,"1,428","1,351","1,443","1,163","1,542","1,427",989,"1,291","2,838","1,714"
2021,12,80,"11,521",669,"1,322",855,634,467,484,677,706,761,533,660,599,513,574,"1,246",821
2021,12,90,"1,632",108,147,141,100,71,53,92,98,131,82,86,70,84,56,193,120
2021,12,100,72,8,6,2,1,8,1,3,3,6,2,4,6,3,3,8,8
