년도,월,나이,광명시,광명1동,광명2동,광명3동,광명4동,광명5동,광명6동,광명7동,철산1동,철산2동,철산3동,철산4동,하안1동,하안2동,하안3동,하안4동,소하1동,소하2동,학온동,일직동
2020,1,총,"156,095","3,718","4,610","4,835","6,933","7,309","5,567","8,611","6,418","7,054","16,353","6,901","13,423","6,906","10,103","6,296","15,853","23,913","1,292",
2020,1,0,"13,058",197,200,205,371,491,489,494,598,298,"1,612",610,"1,343",571,906,597,"1,661","2,373",42,
2020,1,10,"16,908",346,334,337,459,732,584,846,814,553,"2,239",675,"1,681",666,"1,065",842,"2,242","2,429",64,
2020,1,20,"21,406",570,705,738,"1,008",992,701,"1,308",894,"1,179","2,198",892,"1,774",855,"1,248",839,"1,934","3,446",125,
2020,1,30,"22,724",538,631,662,"1,112",999,735,"1,125",852,"1,034","1,928","1,246","1,563","1,390","1,591","1,068","1,966","4,146",138,
2020,1,40,"27,240",563,668,742,"1,007","1,262",946,"1,294","1,191","1,055","2,989","1,229","2,568","1,283","1,806","1,206","3,099","4,183",149,
2020,1,50,"26,024",692,904,931,"1,197","1,243",968,"1,504","1,084","1,491","2,697","1,099","2,278","1,018","1,588",955,"2,390","3,708",277,
2020,1,60,"17,845",502,665,689,"1,060",948,702,"1,266",638,961,"1,722",717,"1,455",658,"1,124",515,"1,649","2,293",281,
2020,1,70,"8,146",229,383,397,558,480,352,582,258,348,714,343,581,316,536,193,697,"1,035",144,
2020,1,80,"2,454",74,107,116,140,148,79,178,78,118,234,84,160,128,216,75,188,266,65,
2020,1,90,256,7,13,16,16,12,10,13,11,14,17,6,19,18,22,6,23,28,5,
2020,1,100,34,0,0,2,5,2,1,1,0,3,3,0,1,3,1,0,4,6,2,
2020,2,총,"156,129","3,623","4,547","4,805","6,921","7,266","5,512","8,543","6,379","6,961","16,318","6,842","13,398","6,850","10,050","6,277","15,831","24,711","1,295",
2020,2,0,"12,982",179,190,207,364,474,480,494,589,288,"1,602",577,"1,335",558,883,594,"1,646","2,481",41,
2020,2,10,"16,815",332,325,333,454,721,581,834,818,515,"2,210",661,"1,687",639,"1,051",829,"2,231","2,529",65,
2020,2,20,"21,373",554,686,729,"1,003",992,702,"1,293",874,"1,159","2,201",889,"1,761",865,"1,258",831,"1,922","3,532",122,
2020,2,30,"22,734",526,613,651,"1,107",983,714,"1,106",851,"1,040","1,929","1,232","1,557","1,383","1,571","1,073","1,981","4,280",137,
2020,2,40,"27,258",552,661,748,"1,012","1,273",934,"1,279","1,177","1,034","2,962","1,232","2,552","1,265","1,793","1,196","3,087","4,350",151,
2020,2,50,"26,061",670,897,918,"1,200","1,230",956,"1,496","1,080","1,468","2,716","1,099","2,277","1,013","1,587",949,"2,390","3,837",278,
2020,2,60,"17,972",503,666,691,"1,063",945,702,"1,265",641,972,"1,726",718,"1,466",661,"1,128",531,"1,656","2,355",283,
2020,2,70,"8,155",224,387,394,556,487,354,583,258,345,714,343,583,314,533,190,702,"1,044",144,
2020,2,80,"2,478",75,109,117,140,146,78,179,78,123,237,86,159,131,222,78,187,266,67,
2020,2,90,267,8,13,15,17,13,10,13,13,14,18,5,20,18,23,6,25,31,5,
2020,2,100,34,0,0,2,5,2,1,1,0,3,3,0,1,3,1,0,4,6,2,
2020,3,총,"156,128","3,488","4,446","4,792","6,917","7,273","5,468","8,497","6,373","6,924","16,282","6,850","13,334","6,850","10,037","6,275","15,802","25,222","1,298",
2020,3,0,"12,946",175,187,214,365,470,465,490,582,285,"1,584",569,"1,320",554,876,594,"1,636","2,538",42,
2020,3,10,"16,711",312,314,324,457,714,578,820,814,507,"2,197",666,"1,679",628,"1,042",819,"2,224","2,553",63,
2020,3,20,"21,453",531,665,724,"1,003","1,005",707,"1,289",884,"1,158","2,204",895,"1,744",869,"1,270",833,"1,927","3,626",119,
2020,3,30,"22,730",503,592,647,"1,102",986,701,"1,093",842,"1,036","1,909","1,236","1,537","1,400","1,561","1,082","1,977","4,383",143,
2020,3,40,"27,122",532,655,749,999,"1,255",923,"1,272","1,170","1,015","2,949","1,225","2,540","1,258","1,781","1,188","3,057","4,406",148,
2020,3,50,"26,077",651,872,911,"1,192","1,240",939,"1,499","1,081","1,460","2,712","1,102","2,267","1,009","1,587",945,"2,393","3,936",281,
2020,3,60,"18,084",482,661,694,"1,080",950,708,"1,257",646,982,"1,744",715,"1,472",660,"1,132",534,"1,669","2,413",285,
2020,3,70,"8,187",222,383,394,554,489,353,581,261,340,725,349,591,318,542,193,699,"1,051",142,
2020,3,80,"2,516",72,104,117,144,149,82,183,80,124,236,88,163,133,222,81,190,279,69,
2020,3,90,267,8,13,16,16,13,11,12,13,14,19,5,20,17,23,6,26,31,4,
2020,3,100,35,0,0,2,5,2,1,1,0,3,3,0,1,4,1,0,4,6,2,
2020,4,총,"155,900","3,324","4,221","4,777","6,945","7,282","5,457","8,488","6,331","6,895","16,239","6,851","13,348","6,834","10,008","6,274","15,800","25,531","1,295",
2020,4,0,"12,882",160,177,211,364,476,457,488,574,277,"1,571",566,"1,303",548,873,597,"1,631","2,568",41,
2020,4,10,"16,644",283,293,324,465,706,587,820,811,506,"2,184",667,"1,676",624,"1,038",815,"2,228","2,554",63,
2020,4,20,"21,421",501,626,714,"1,005","1,005",701,"1,284",873,"1,150","2,216",894,"1,759",868,"1,254",829,"1,928","3,696",118,
2020,4,30,"22,680",492,561,651,"1,087",993,698,"1,087",838,"1,028","1,899","1,239","1,525","1,391","1,551","1,096","1,972","4,427",145,
2020,4,40,"27,040",505,623,738,"1,009","1,245",923,"1,276","1,151","1,017","2,922","1,229","2,540","1,261","1,778","1,176","3,052","4,447",148,
2020,4,50,"26,060",623,821,912,"1,208","1,232",933,"1,500","1,077","1,431","2,728","1,094","2,276","1,014","1,587",947,"2,400","3,999",278,
2020,4,60,"18,120",465,636,695,"1,089",961,709,"1,251",649,998,"1,739",724,"1,488",649,"1,132",531,"1,668","2,450",286,
2020,4,70,"8,225",218,370,397,551,498,354,585,260,344,728,346,597,322,548,196,702,"1,068",141,
2020,4,80,"2,525",69,101,118,146,151,83,183,85,127,231,87,162,137,222,81,189,284,69,
2020,4,90,267,8,13,15,16,13,11,12,13,14,18,5,21,16,24,6,26,32,4,
2020,4,100,36,0,0,2,5,2,1,2,0,3,3,0,1,4,1,0,4,6,2,
2020,5,총,"155,249","3,016","3,915","4,775","6,960","7,264","5,442","8,483","6,307","6,832","16,235","6,832","13,349","6,809","9,973","6,282","15,834","25,653","1,288",
2020,5,0,"12,816",147,160,211,364,471,452,490,574,273,"1,558",562,"1,299",539,869,598,"1,632","2,577",40,
2020,5,10,"16,516",248,275,317,462,693,583,822,805,495,"2,175",657,"1,668",611,"1,035",815,"2,227","2,565",63,
2020,5,20,"21,309",448,575,710,"1,004","1,009",699,"1,285",868,"1,134","2,207",897,"1,772",880,"1,249",826,"1,936","3,692",118,
2020,5,30,"22,506",441,517,644,"1,090",981,695,"1,089",831,"1,008","1,901","1,234","1,504","1,376","1,530","1,098","1,973","4,451",143,
2020,5,40,"26,876",453,572,733,"1,009","1,232",917,"1,273","1,142","1,004","2,925","1,212","2,538","1,255","1,777","1,172","3,049","4,469",144,
2020,5,50,"25,993",579,757,914,"1,214","1,225",935,"1,496","1,079","1,430","2,728","1,097","2,289","1,012","1,583",949,"2,410","4,022",274,
2020,5,60,"18,136",428,604,706,"1,091",974,711,"1,246",649,994,"1,749",727,"1,493",654,"1,134",536,"1,677","2,475",288,
