년도,월,나이,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2020,1,총,"31,005","14,614","4,346","1,254","2,158","2,599","2,723","2,173","1,138"
2020,1,0,"1,625","1,138",163,38,75,70,57,64,20
2020,1,10,"2,217","1,450",258,75,101,84,112,90,47
2020,1,20,"2,209","1,312",253,58,152,114,119,139,62
2020,1,30,"2,439","1,604",277,59,120,120,106,105,48
2020,1,40,"3,389","2,112",453,96,149,171,199,156,53
2020,1,50,"5,269","2,442",727,225,393,469,473,371,169
2020,1,60,"5,995","2,106","1,003",268,477,700,671,483,287
2020,1,70,"4,568","1,461",754,255,393,513,558,407,227
2020,1,80,"2,812",851,377,157,259,307,368,304,189
2020,1,90,464,134,72,23,39,49,59,54,34
2020,1,100,18,4,9,0,0,2,1,0,2
2020,2,총,"30,894","14,533","4,337","1,247","2,146","2,601","2,715","2,177","1,138"
2020,2,0,"1,606","1,122",163,38,76,70,52,64,21
2020,2,10,"2,179","1,438",250,74,92,83,108,88,46
2020,2,20,"2,183","1,296",253,55,149,113,115,141,61
2020,2,30,"2,392","1,561",272,59,118,121,109,104,48
2020,2,40,"3,382","2,110",454,89,149,171,198,158,53
2020,2,50,"5,227","2,434",727,221,384,469,466,359,167
2020,2,60,"6,037","2,117","1,003",273,489,698,678,495,284
2020,2,70,"4,567","1,458",753,256,390,515,557,408,230
2020,2,80,"2,838",859,381,159,259,312,372,305,191
2020,2,90,464,134,72,23,40,46,59,55,35
2020,2,100,19,4,9,0,0,3,1,0,2
2020,3,총,"30,890","14,543","4,349","1,238","2,133","2,605","2,705","2,179","1,138"
2020,3,0,"1,603","1,121",164,37,75,68,52,65,21
2020,3,10,"2,178","1,439",255,74,88,83,106,88,45
2020,3,20,"2,166","1,287",252,53,147,116,113,139,59
