년도,월,나이,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2020,1,총,"349,080","7,409","13,312","6,425","8,548","10,000","9,876","8,484","13,453","9,601","20,984","13,494","10,752","17,459","16,843","13,890","14,245","17,162","10,700","15,946","16,778","14,510","15,314","19,175","18,774","11,485","9,036","5,425"
2020,1,0,"25,816",356,966,351,536,562,516,547,594,629,"1,485",702,821,883,900,846,"1,463","1,323",685,868,"1,319","2,376",694,"2,173","1,653","1,503",754,311
2020,1,10,"29,954",482,"1,084",534,683,815,729,875,642,"1,340","1,679",743,981,"1,032","1,018",981,"1,151","1,772",809,788,"1,527","1,748",978,"3,001","1,973","1,108",827,654
2020,1,20,"49,760",889,"2,134",838,918,"1,202","1,170","1,247","2,668","1,081","2,823","2,507","1,602","3,123","2,908","2,234","1,953","2,369","1,720","3,264","2,187","1,387","2,805","1,761","2,178","1,042","1,065",685
2020,1,30,"59,560","1,029","2,243",805,"1,112","1,083","1,096","1,196","2,916","1,072","3,086","2,965","1,614","3,749","3,505","2,447","2,903","2,604","1,786","4,196","2,570","2,859","3,258","2,726","2,721","2,012","1,392",615
2020,1,40,"57,306","1,043","2,133","1,052","1,398","1,493","1,399","1,530","1,862","1,940","3,237","1,875","1,652","2,595","2,771","2,024","2,162","3,004","1,515","2,206","2,652","2,689","2,390","4,727","3,410","2,238","1,473",836
2020,1,50,"54,040","1,361","1,908","1,174","1,481","1,730","1,922","1,434","2,041","1,607","3,825","2,040","1,804","2,581","2,526","2,498","2,149","2,817","1,890","1,842","2,902","1,652","2,223","2,121","2,755","1,482","1,423",852
2020,1,60,"42,448","1,253","1,631",922,"1,232","1,596","1,570",983,"1,651","1,225","2,864","1,609","1,420","2,040","1,897","1,729","1,610","1,996","1,435","1,598","2,085","1,110","1,787","1,505","2,452","1,274","1,218",756
2020,1,70,"19,822",683,803,520,772,988,961,395,729,430,"1,190",731,527,"1,040",875,748,577,819,558,739,946,429,817,814,"1,147",561,571,452
2020,1,80,"8,346",268,337,198,342,442,386,230,285,217,642,254,259,359,351,324,225,371,241,359,453,191,305,262,376,196,254,219
2020,1,90,"1,823",40,67,30,66,76,103,40,64,60,144,59,64,51,84,54,48,79,51,80,133,67,47,65,99,56,53,43
2020,1,100,205,5,6,1,8,13,24,7,1,0,9,9,8,6,8,5,4,8,10,6,4,2,10,20,10,13,6,2
2020,2,총,"348,902","7,356","13,410","6,416","8,533","9,971","9,836","8,467","13,492","9,603","21,000","13,521","10,735","17,439","16,794","13,900","14,327","17,133","10,704","16,016","16,552","14,520","15,315","19,180","18,743","11,443","9,079","5,417"
2020,2,0,"25,734",351,965,351,532,546,506,549,584,644,"1,479",695,820,875,877,832,"1,476","1,317",692,882,"1,282","2,373",673,"2,205","1,673","1,476",766,313
2020,2,10,"29,792",468,"1,085",518,676,818,719,856,637,"1,324","1,685",743,967,"1,012","1,010",973,"1,164","1,766",809,786,"1,499","1,770",977,"2,983","1,961","1,112",824,650
2020,2,20,"49,625",878,"2,150",840,912,"1,193","1,164","1,236","2,703","1,069","2,822","2,513","1,589","3,123","2,894","2,236","1,930","2,361","1,708","3,256","2,172","1,362","2,819","1,744","2,152","1,052","1,068",679
2020,2,30,"59,554","1,028","2,264",811,"1,112","1,073","1,087","1,206","2,954","1,084","3,069","2,976","1,628","3,761","3,495","2,450","2,912","2,586","1,775","4,223","2,529","2,833","3,242","2,761","2,716","1,972","1,388",619
2020,2,40,"57,289","1,022","2,147","1,047","1,395","1,482","1,382","1,517","1,856","1,951","3,242","1,883","1,650","2,585","2,770","2,039","2,191","3,005","1,523","2,222","2,614","2,719","2,388","4,688","3,409","2,246","1,489",827
2020,2,50,"53,918","1,353","1,937","1,173","1,474","1,727","1,907","1,440","2,014","1,596","3,820","2,021","1,792","2,581","2,524","2,497","2,158","2,806","1,892","1,842","2,847","1,653","2,231","2,130","2,734","1,478","1,441",850
2020,2,60,"42,687","1,267","1,648",926,"1,241","1,609","1,595",990,"1,656","1,225","2,884","1,630","1,432","2,044","1,900","1,731","1,636","2,017","1,435","1,612","2,082","1,112","1,791","1,513","2,457","1,276","1,217",761
2020,2,70,"19,887",681,800,520,775,987,961,395,739,430,"1,203",741,523,"1,042",882,751,587,811,566,747,942,436,828,802,"1,157",561,570,450
2020,2,80,"8,355",260,339,199,339,446,385,229,284,218,641,251,261,357,347,330,221,374,243,362,450,193,309,267,373,202,255,220
2020,2,90,"1,853",43,69,30,69,77,104,42,64,62,147,59,64,53,87,56,48,82,51,78,131,67,47,67,101,54,55,46
2020,2,100,208,5,6,1,8,13,26,7,1,0,8,9,9,6,8,5,4,8,10,6,4,2,10,20,10,14,6,2
2020,3,총,"348,236","7,325","13,440","6,393","8,537","9,924","9,798","8,462","13,593","9,560","20,992","13,429","10,722","17,395","16,786","13,836","14,332","17,105","10,687","16,038","16,310","14,554","15,279","19,133","18,703","11,427","9,061","5,415"
2020,3,0,"25,497",340,948,347,539,533,499,555,583,643,"1,473",686,817,859,864,824,"1,476","1,302",688,878,"1,265","2,364",664,"2,171","1,661","1,458",756,304
2020,3,10,"29,664",466,"1,090",514,669,827,710,850,642,"1,292","1,668",736,973,"1,004","1,003",958,"1,162","1,748",792,780,"1,470","1,790",967,"2,980","1,964","1,119",837,653
2020,3,20,"49,831",882,"2,162",845,915,"1,200","1,154","1,238","2,775","1,074","2,834","2,511","1,574","3,141","2,931","2,227","1,929","2,377","1,716","3,269","2,133","1,373","2,860","1,757","2,150","1,051","1,067",686
2020,3,30,"59,136","1,014","2,269",787,"1,103","1,047","1,082","1,210","2,961","1,086","3,041","2,925","1,620","3,743","3,457","2,432","2,905","2,566","1,768","4,231","2,499","2,809","3,203","2,735","2,697","1,956","1,377",613
2020,3,40,"57,054","1,019","2,123","1,042","1,384","1,471","1,376","1,508","1,864","1,923","3,242","1,883","1,641","2,557","2,757","2,018","2,204","3,001","1,520","2,231","2,590","2,731","2,363","4,658","3,393","2,242","1,488",825
2020,3,50,"53,752","1,345","1,954","1,164","1,483","1,717","1,888","1,437","2,010","1,589","3,814","2,006","1,802","2,578","2,523","2,489","2,149","2,802","1,879","1,827","2,772","1,656","2,235","2,159","2,725","1,472","1,423",854
2020,3,60,"42,859","1,265","1,665",934,"1,240","1,614","1,609",985,"1,661","1,237","2,908","1,628","1,440","2,047","1,921","1,739","1,638","2,031","1,452","1,619","2,063","1,122","1,792","1,515","2,463","1,291","1,222",758
