년도,월,나이,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동,경기도 하남시 감일동
2020,3,총,"138,107","3,505","3,123","23,202","8,113","9,692","12,868","14,585","4,134","9,841","1,781","1,588","21,191","24,484",
2020,3,0,"14,630",185,155,"2,000",478,540,"1,059","2,279",515,"1,329",71,82,"2,386","3,551",
2020,3,10,"11,710",206,191,"1,935",548,649,"1,271","1,353",313,898,95,98,"1,744","2,409",
2020,3,20,"16,153",424,453,"2,530","1,041","1,176","1,411","1,553",395,"1,131",212,203,"3,589","2,035",
2020,3,30,"23,633",411,407,"3,378","1,072","1,329","1,695","2,972",812,"1,936",166,167,"4,672","4,616",
2020,3,40,"22,957",414,399,"3,640","1,122","1,281","2,249","2,625",613,"1,760",211,179,"3,661","4,803",
2020,3,50,"20,580",660,610,"3,824","1,611","1,851","2,151","1,856",642,"1,501",326,327,"2,246","2,975",
2020,3,60,"16,601",680,492,"3,395","1,334","1,637","1,714","1,180",450,878,347,294,"1,778","2,422",
2020,3,70,"7,542",316,270,"1,694",597,762,865,411,228,266,204,146,717,"1,066",
2020,3,80,"3,485",168,122,667,253,378,375,253,143,112,116,81,324,493,
2020,3,90,736,35,20,129,47,83,72,87,16,28,27,9,72,111,
2020,3,100,80,6,4,10,10,6,6,16,7,2,6,2,2,3,
2020,4,총,"139,178","3,511","3,137","23,161","8,117","9,657","12,828","14,648","1,274","9,845","1,777","1,597","21,400","24,485","3,741"
2020,4,0,"14,729",191,155,"1,987",478,535,"1,039","2,280",46,"1,320",69,82,"2,377","3,522",648
2020,4,10,"11,813",201,195,"1,933",545,642,"1,264","1,368",78,910,97,101,"1,769","2,419",291
2020,4,20,"16,288",421,446,"2,522","1,046","1,174","1,404","1,560",131,"1,122",211,200,"3,677","2,039",335
2020,4,30,"23,801",411,408,"3,367","1,060","1,334","1,675","2,992",153,"1,922",167,163,"4,701","4,582",866
2020,4,40,"23,185",417,405,"3,642","1,122","1,274","2,244","2,638",156,"1,769",210,182,"3,690","4,832",604
2020,4,50,"20,639",653,607,"3,805","1,600","1,834","2,149","1,853",269,"1,509",322,332,"2,267","2,975",464
2020,4,60,"16,787",690,500,"3,408","1,345","1,640","1,725","1,189",223,884,349,297,"1,787","2,435",315
2020,4,70,"7,601",314,272,"1,686",609,762,867,413,129,265,204,146,726,"1,084",124
2020,4,80,"3,510",172,125,671,256,372,384,253,73,114,116,82,331,482,79
2020,4,90,742,35,20,130,46,84,69,86,11,28,26,10,73,112,12
2020,4,100,83,6,4,10,10,6,8,16,5,2,6,2,2,3,3
2020,5,총,"140,039","3,499","3,156","23,131","8,095","9,678","12,835","14,846","1,282","9,818","1,780","1,598","21,541","24,469","4,311"
2020,5,0,"14,736",186,157,"1,981",468,535,"1,028","2,299",47,"1,317",66,83,"2,372","3,483",714
2020,5,10,"11,866",200,194,"1,920",541,639,"1,261","1,379",75,915,98,97,"1,779","2,442",326
2020,5,20,"16,426",418,446,"2,514","1,055","1,174","1,418","1,584",134,"1,118",211,199,"3,714","2,037",404
2020,5,30,"23,931",411,416,"3,357","1,052","1,339","1,656","3,040",155,"1,911",164,166,"4,729","4,550",985
2020,5,40,"23,324",419,412,"3,627","1,121","1,265","2,240","2,680",155,"1,758",214,182,"3,711","4,847",693
2020,5,50,"20,756",651,603,"3,815","1,592","1,834","2,155","1,877",267,"1,510",321,329,"2,282","2,980",540
2020,5,60,"16,954",688,498,"3,393","1,350","1,665","1,735","1,220",232,882,353,301,"1,804","2,450",383
2020,5,70,"7,685",313,275,"1,707",606,765,880,416,129,267,206,145,737,"1,087",152
2020,5,80,"3,529",173,130,672,254,370,384,251,72,111,116,84,337,479,96
2020,5,90,747,34,21,135,46,86,70,84,11,27,25,10,74,111,13
2020,5,100,85,6,4,10,10,6,8,16,5,2,6,2,2,3,5
2020,6,총,"140,944","3,502","3,203","23,166","8,113","9,705","12,838","15,104","1,285","9,799","1,779","1,599","21,689","24,494","4,668"
2020,6,0,"14,783",185,161,"1,980",481,538,"1,031","2,328",48,"1,301",66,83,"2,383","3,462",736
2020,6,10,"11,913",202,197,"1,914",531,637,"1,250","1,400",75,927,96,98,"1,788","2,450",348
2020,6,20,"16,588",418,450,"2,527","1,046","1,177","1,418","1,611",137,"1,117",214,198,"3,741","2,045",489
2020,6,30,"24,076",408,422,"3,358","1,061","1,357","1,655","3,085",155,"1,884",161,171,"4,752","4,513","1,094"
2020,6,40,"23,492",426,413,"3,634","1,122","1,250","2,242","2,714",156,"1,769",216,178,"3,758","4,884",730
2020,6,50,"20,773",658,606,"3,799","1,579","1,841","2,149","1,929",264,"1,498",313,327,"2,272","2,976",562
2020,6,60,"17,156",678,513,"3,419","1,370","1,676","1,739","1,255",233,896,356,307,"1,830","2,462",422
2020,6,70,"7,770",313,283,"1,724",610,770,885,430,131,268,210,141,738,"1,104",163
2020,6,80,"3,551",174,132,668,257,365,388,251,70,110,116,84,348,484,104
2020,6,90,755,34,22,133,46,88,73,85,11,26,25,10,77,110,15
2020,6,100,87,6,4,10,10,6,8,16,5,3,6,2,2,4,5
2020,7,총,"141,534","3,525","3,216","23,211","8,109","9,742","12,878","15,247","1,299","9,791","1,791","1,593","21,800","24,485","4,847"
2020,7,0,"14,803",185,159,"1,973",482,539,"1,031","2,350",47,"1,305",67,80,"2,385","3,459",741
2020,7,10,"11,934",207,198,"1,915",529,631,"1,244","1,411",76,936,94,94,"1,799","2,454",346
2020,7,20,"16,699",420,451,"2,527","1,044","1,192","1,424","1,639",139,"1,096",217,202,"3,764","2,028",556
2020,7,30,"24,143",415,420,"3,363","1,071","1,359","1,666","3,105",154,"1,877",162,167,"4,749","4,498","1,137"
2020,7,40,"23,625",431,424,"3,646","1,111","1,259","2,255","2,733",157,"1,776",215,181,"3,807","4,884",746
2020,7,50,"20,809",658,604,"3,794","1,576","1,833","2,146","1,951",269,"1,508",314,327,"2,278","2,977",574
2020,7,60,"17,270",684,519,"3,442","1,370","1,685","1,750","1,259",239,886,361,310,"1,842","2,480",443
2020,7,70,"7,830",309,280,"1,735",615,781,889,443,133,268,207,140,744,"1,108",178
2020,7,80,"3,579",177,135,674,254,369,390,254,69,108,124,82,353,484,106
2020,7,90,753,33,22,132,47,88,75,84,11,28,24,8,77,109,15
2020,7,100,89,6,4,10,10,6,8,18,5,3,6,2,2,4,5
2020,8,총,"142,138","3,531","3,244","23,193","8,082","9,737","12,908","15,275","1,303","9,817","1,788","1,593","22,218","24,524","4,925"
2020,8,0,"14,771",182,162,"1,955",484,536,"1,029","2,348",46,"1,312",66,80,"2,382","3,448",741
2020,8,10,"11,941",205,198,"1,896",524,630,"1,234","1,411",78,940,92,92,"1,826","2,464",351
2020,8,20,"16,915",420,453,"2,545","1,026","1,179","1,436","1,654",138,"1,099",221,201,"3,933","2,035",575
2020,8,30,"24,232",420,429,"3,351","1,082","1,348","1,669","3,078",156,"1,856",159,170,"4,870","4,474","1,170"
2020,8,40,"23,713",421,430,"3,632","1,107","1,266","2,253","2,750",157,"1,802",216,181,"3,845","4,907",746
2020,8,50,"20,847",658,606,"3,795","1,563","1,830","2,145","1,963",271,"1,501",313,325,"2,320","2,971",586
2020,8,60,"17,409",694,527,"3,467","1,379","1,699","1,769","1,264",240,896,362,308,"1,855","2,502",447
2020,8,70,"7,866",311,282,"1,726",610,786,896,447,131,273,205,140,748,"1,128",183
2020,8,80,"3,602",181,130,680,252,371,395,258,70,108,122,86,357,485,107
2020,8,90,751,33,23,136,45,86,73,83,11,27,26,8,80,105,15
2020,8,100,91,6,4,10,10,6,9,19,5,3,6,2,2,5,4
2020,9,총,"143,019","3,547","3,257","23,134","8,078","9,707","12,891","15,283","1,311","9,852","1,796","1,597","22,942","24,463","5,161"
2020,9,0,"14,757",182,160,"1,944",485,531,"1,021","2,347",46,"1,311",67,80,"2,402","3,431",750
2020,9,10,"12,003",202,202,"1,879",524,631,"1,244","1,413",77,961,91,89,"1,854","2,477",359
2020,9,20,"17,136",423,461,"2,531","1,021","1,160","1,422","1,646",143,"1,106",219,203,"4,189","2,016",596
2020,9,30,"24,416",429,424,"3,318","1,085","1,353","1,686","3,067",154,"1,848",166,172,"5,072","4,433","1,209"
