년도,월,나이,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020,1,총,"1,081,552","332,818","131,605","201,213","53,252","51,031","162,713","90,387","59,429","21,250","88,199","26,240","33,011","26,045","15,937","49,896","39,721","31,623"
2020,1,0,"92,704","32,825","11,200","21,625","3,194","3,253","17,883","8,221","3,960","2,089","8,448","1,414","1,679","1,225",703,"4,167","2,009","1,634"
2020,1,10,"107,651","36,286","14,148","22,138","4,482","4,484","17,664","9,347","5,304","3,383","8,252","2,321","2,609","1,884","1,134","5,016","3,083","2,402"
2020,1,20,"134,646","49,726","18,833","30,893","6,592","5,690","19,917","11,248","6,728","2,744","9,635","2,430","3,320","2,398","1,647","5,413","4,060","3,098"
2020,1,30,"149,019","56,623","18,144","38,479","5,384","5,413","26,920","12,422","5,988","2,327","13,518","2,163","2,583","2,081","1,264","5,693","3,570","3,070"
2020,1,40,"175,334","57,277","22,454","34,823","7,278","7,755","30,026","14,740","8,544","4,101","14,833","3,637","4,130","3,385","1,949","7,679","5,481","4,519"
2020,1,50,"179,360","52,378","22,599","29,779","9,807","9,281","24,402","14,921","10,620","3,403","14,440","5,063","5,863","4,708","2,972","8,338","7,414","5,750"
2020,1,60,"130,566","29,290","14,493","14,797","8,750","7,950","14,585","10,228","9,631","1,968","10,001","4,712","6,237","4,856","3,005","6,824","7,000","5,529"
2020,1,70,"74,953","13,000","6,835","6,165","5,068","4,857","7,728","6,268","5,599",872,"6,009","2,965","4,182","3,463","1,983","4,372","4,617","3,970"
2020,1,80,"34,011","4,915","2,638","2,277","2,437","2,146","3,278","2,753","2,748",327,"2,793","1,400","2,178","1,868","1,169","2,172","2,300","1,527"
2020,1,90,"3,108",454,240,214,248,191,279,231,284,36,257,125,222,167,108,205,181,120
2020,1,100,200,44,21,23,12,11,31,8,23,0,13,10,8,10,3,17,6,4
2020,2,총,"1,081,153","333,367","131,703","201,664","53,161","51,024","162,615","90,431","59,290","21,211","88,109","26,165","32,969","25,992","15,853","49,839","39,603","31,524"
2020,2,0,"92,163","32,678","11,120","21,558","3,189","3,243","17,769","8,177","3,913","2,054","8,376","1,407","1,667","1,226",695,"4,170","1,996","1,603"
2020,2,10,"107,267","36,191","14,084","22,107","4,458","4,441","17,615","9,315","5,272","3,402","8,242","2,309","2,605","1,870","1,116","4,993","3,056","2,382"
2020,2,20,"134,033","49,824","18,878","30,946","6,489","5,650","19,851","11,222","6,674","2,714","9,529","2,402","3,291","2,361","1,617","5,356","3,996","3,057"
2020,2,30,"148,441","56,588","18,129","38,459","5,392","5,390","26,725","12,382","5,953","2,292","13,464","2,132","2,556","2,059","1,249","5,650","3,580","3,029"
2020,2,40,"175,745","57,517","22,492","35,025","7,258","7,792","30,156","14,797","8,542","4,107","14,876","3,613","4,128","3,387","1,920","7,699","5,450","4,503"
2020,2,50,"179,212","52,446","22,601","29,845","9,787","9,270","24,404","14,915","10,598","3,413","14,412","5,058","5,848","4,705","2,963","8,300","7,375","5,718"
2020,2,60,"131,499","29,605","14,598","15,007","8,767","7,986","14,747","10,300","9,671","1,985","10,109","4,723","6,269","4,852","3,011","6,882","7,010","5,582"
2020,2,70,"75,193","13,068","6,889","6,179","5,112","4,887","7,738","6,298","5,595",875,"6,017","2,978","4,178","3,467","1,996","4,375","4,626","3,983"
2020,2,80,"34,252","4,939","2,642","2,297","2,447","2,163","3,299","2,784","2,760",332,"2,806","1,407","2,196","1,884","1,177","2,192","2,325","1,541"
