년도,월,나이,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2020,3,총,"21,659","2,688","1,720","5,631","7,743",868,"1,898","1,052",59,0,0,0,0
2020,3,0,"1,660",222,168,413,599,74,107,77,0,0,0,0,0
2020,3,10,"1,900",232,128,471,773,43,176,76,1,0,0,0,0
2020,3,20,"2,088",273,196,513,743,108,168,85,2,0,0,0,0
2020,3,30,"2,171",267,222,544,769,85,182,101,1,0,0,0,0
2020,3,40,"2,721",326,165,780,"1,026",85,249,87,3,0,0,0,0
2020,3,50,"3,472",416,223,971,"1,235",117,324,180,6,0,0,0,0
2020,3,60,"3,302",398,244,886,"1,143",131,303,182,15,0,0,0,0
2020,3,70,"2,677",350,228,659,894,129,228,164,25,0,0,0,0
2020,3,80,"1,364",177,116,312,459,78,126,90,6,0,0,0,0
2020,3,90,272,25,28,76,86,16,32,9,0,0,0,0,0
2020,3,100,32,2,2,6,16,2,3,1,0,0,0,0,0
2020,4,총,"21,617","2,689","1,706","5,622","7,713",868,"1,910","1,049",60,0,0,0,0
2020,4,0,"1,648",227,165,412,587,72,107,78,0,0,0,0,0
2020,4,10,"1,896",231,126,469,771,43,180,75,1,0,0,0,0
2020,4,20,"2,081",276,195,518,735,107,166,82,2,0,0,0,0
2020,4,30,"2,168",265,217,543,766,85,187,103,2,0,0,0,0
2020,4,40,"2,693",324,165,772,"1,010",86,248,85,3,0,0,0,0
2020,4,50,"3,459",416,219,968,"1,237",116,321,176,6,0,0,0,0
2020,4,60,"3,321",393,246,886,"1,153",132,309,187,15,0,0,0,0
2020,4,70,"2,673",354,223,657,893,129,229,163,25,0,0,0,0
2020,4,80,"1,372",175,120,315,460,79,128,89,6,0,0,0,0
2020,4,90,273,26,28,76,84,17,32,10,0,0,0,0,0
2020,4,100,33,2,2,6,17,2,3,1,0,0,0,0,0
2020,5,총,"21,609","2,675","1,709","5,630","7,712",874,"1,911","1,038",60,0,0,0,0
2020,5,0,"1,655",224,160,413,596,75,112,75,0,0,0,0,0
2020,5,10,"1,881",229,126,471,760,43,178,73,1,0,0,0,0
2020,5,20,"2,082",273,203,513,738,109,164,80,2,0,0,0,0
2020,5,30,"2,163",262,216,544,765,88,186,100,2,0,0,0,0
2020,5,40,"2,675",322,163,770,"1,001",84,247,85,3,0,0,0,0
2020,5,50,"3,460",419,224,969,"1,236",112,321,173,6,0,0,0,0
2020,5,60,"3,339",393,243,892,"1,161",137,311,187,15,0,0,0,0
2020,5,70,"2,667",346,224,658,892,128,229,165,25,0,0,0,0
2020,5,80,"1,381",178,119,318,463,80,128,89,6,0,0,0,0
2020,5,90,273,27,29,76,83,16,32,10,0,0,0,0,0
2020,5,100,33,2,2,6,17,2,3,1,0,0,0,0,0
2020,6,총,"21,586","2,680","1,696","5,612","7,699",880,"1,918","1,041",60,0,0,0,0
2020,6,0,"1,657",228,159,407,596,79,113,75,0,0,0,0,0
2020,6,10,"1,867",225,126,470,754,41,178,72,1,0,0,0,0
2020,6,20,"2,069",274,195,513,727,113,166,79,2,0,0,0,0
2020,6,30,"2,162",261,214,540,770,87,183,105,2,0,0,0,0
2020,6,40,"2,673",321,163,763,"1,003",84,252,84,3,0,0,0,0
2020,6,50,"3,444",419,225,965,"1,226",112,318,173,6,0,0,0,0
2020,6,60,"3,353",398,240,893,"1,169",138,313,187,15,0,0,0,0
2020,6,70,"2,669",347,227,660,889,128,227,166,25,0,0,0,0
2020,6,80,"1,381",176,117,318,464,80,132,88,6,0,0,0,0
2020,6,90,277,29,28,77,84,15,33,11,0,0,0,0,0
2020,6,100,34,2,2,6,17,3,3,1,0,0,0,0,0
2020,7,총,"21,578","2,674","1,695","5,611","7,690",883,"1,913","1,052",60,0,0,0,0
2020,7,0,"1,661",229,157,408,596,80,112,79,0,0,0,0,0
2020,7,10,"1,857",225,127,463,748,42,179,72,1,0,0,0,0
2020,7,20,"2,065",267,192,517,727,112,169,79,2,0,0,0,0
2020,7,30,"2,148",263,211,536,761,89,180,106,2,0,0,0,0
2020,7,40,"2,669",319,165,763,"1,005",82,245,87,3,0,0,0,0
2020,7,50,"3,439",418,223,963,"1,220",114,322,173,6,0,0,0,0
2020,7,60,"3,371",400,245,900,"1,175",137,310,189,15,0,0,0,0
2020,7,70,"2,668",346,226,655,892,129,228,167,25,0,0,0,0
2020,7,80,"1,391",177,119,323,466,80,132,88,6,0,0,0,0
2020,7,90,275,28,28,77,83,15,33,11,0,0,0,0,0
2020,7,100,34,2,2,6,17,3,3,1,0,0,0,0,0
2020,8,총,"21,553","2,677","1,690","5,597","7,679",885,"1,913","1,053",59,0,0,0,0
2020,8,0,"1,662",230,157,406,596,82,112,79,0,0,0,0,0
2020,8,10,"1,854",223,127,463,745,44,179,72,1,0,0,0,0
2020,8,20,"2,057",272,189,517,726,106,169,76,2,0,0,0,0
2020,8,30,"2,140",260,208,533,756,89,181,111,2,0,0,0,0
2020,8,40,"2,659",320,165,757,999,82,247,86,3,0,0,0,0
2020,8,50,"3,425",417,222,963,"1,215",113,319,170,6,0,0,0,0
2020,8,60,"3,383",397,245,899,"1,183",141,311,192,15,0,0,0,0
2020,8,70,"2,659",349,225,650,886,130,225,169,25,0,0,0,0
2020,8,80,"1,400",178,122,326,469,80,134,86,5,0,0,0,0
2020,8,90,280,29,28,77,87,15,33,11,0,0,0,0,0
2020,8,100,34,2,2,6,17,3,3,1,0,0,0,0,0
2020,9,총,"21,532","2,671","1,695","5,592","7,675",886,"1,900","1,054",59,0,0,0,0
2020,9,0,"1,655",231,155,402,593,83,111,80,0,0,0,0,0
2020,9,10,"1,851",221,128,463,746,44,176,72,1,0,0,0,0
2020,9,20,"2,048",269,186,515,722,109,168,77,2,0,0,0,0
2020,9,30,"2,135",264,210,532,751,88,176,112,2,0,0,0,0
2020,9,40,"2,660",318,167,754,"1,002",81,248,87,3,0,0,0,0
2020,9,50,"3,407",412,226,962,"1,209",113,313,166,6,0,0,0,0
2020,9,60,"3,402",399,245,903,"1,193",141,313,194,14,0,0,0,0
2020,9,70,"2,647",345,225,651,880,128,225,167,26,0,0,0,0
2020,9,80,"1,412",180,124,327,476,81,133,86,5,0,0,0,0
2020,9,90,282,30,27,77,87,15,34,12,0,0,0,0,0
2020,9,100,33,2,2,6,16,3,3,1,0,0,0,0,0
2020,10,총,"21,488","2,659","1,700","5,564","7,678",885,"1,894","1,049",59,0,0,0,0
2020,10,0,"1,662",233,158,404,592,85,112,78,0,0,0,0,0
2020,10,10,"1,836",220,129,455,745,41,173,72,1,0,0,0,0
2020,10,20,"2,047",264,186,517,722,111,167,78,2,0,0,0,0
2020,10,30,"2,112",255,211,525,748,89,172,110,2,0,0,0,0
2020,10,40,"2,653",320,169,744,"1,002",80,248,87,3,0,0,0,0
2020,10,50,"3,400",413,225,960,"1,203",114,315,164,6,0,0,0,0
2020,10,60,"3,403",405,242,892,"1,201",141,314,194,14,0,0,0,0
2020,10,70,"2,643",336,228,656,879,126,225,167,26,0,0,0,0
2020,10,80,"1,418",180,123,329,481,80,133,87,5,0,0,0,0
2020,10,90,281,31,27,76,89,15,32,11,0,0,0,0,0
2020,10,100,33,2,2,6,16,3,3,1,0,0,0,0,0
2020,11,총,"21,471","2,650","1,683","5,553","7,689",882,"1,902","1,054",58,0,0,0,0
2020,11,0,"1,655",226,155,400,595,84,112,83,0,0,0,0,0
2020,11,10,"1,837",219,129,453,753,40,172,70,1,0,0,0,0
2020,11,20,"2,047",271,185,511,722,114,168,74,2,0,0,0,0
2020,11,30,"2,097",246,203,531,739,87,173,116,2,0,0,0,0
2020,11,40,"2,653",322,166,742,"1,005",80,250,85,3,0,0,0,0
2020,11,50,"3,384",412,221,954,"1,199",113,315,164,6,0,0,0,0
2020,11,60,"3,419",404,243,896,"1,209",142,317,195,13,0,0,0,0
2020,11,70,"2,643",335,228,653,881,127,224,169,26,0,0,0,0
2020,11,80,"1,422",182,124,331,481,77,136,86,5,0,0,0,0
2020,11,90,282,31,27,76,90,15,32,11,0,0,0,0,0
2020,11,100,32,2,2,6,15,3,3,1,0,0,0,0,0
2020,12,총,"21,483","2,657","1,656","5,592","7,689",890,"1,891","1,051",57,0,0,0,0
2020,12,0,"1,659",227,154,411,595,82,106,84,0,0,0,0,0
2020,12,10,"1,830",224,124,457,745,41,172,66,1,0,0,0,0
2020,12,20,"2,057",272,179,521,723,117,165,78,2,0,0,0,0
2020,12,30,"2,104",247,199,537,743,91,169,117,1,0,0,0,0
2020,12,40,"2,651",315,165,752,"1,006",78,249,83,3,0,0,0,0
2020,12,50,"3,370",416,211,950,"1,194",114,316,163,6,0,0,0,0
2020,12,60,"3,436",405,246,905,"1,214",143,317,193,13,0,0,0,0
2020,12,70,"2,631",335,226,648,879,126,223,168,26,0,0,0,0
2020,12,80,"1,431",183,123,333,484,79,138,86,5,0,0,0,0
2020,12,90,280,31,27,70,91,16,33,12,0,0,0,0,0
2020,12,100,34,2,2,8,15,3,3,1,0,0,0,0,0
2021,1,총,"21,412","2,646","1,655","5,578","7,666",882,"1,880","1,048",57,0,0,0,0
2021,1,0,"1,662",224,156,415,596,82,105,84,0,0,0,0,0
2021,1,10,"1,807",221,119,451,740,38,171,66,1,0,0,0,0
2021,1,20,"2,047",271,179,520,723,111,164,77,2,0,0,0,0
2021,1,30,"2,087",249,200,529,734,91,169,114,1,0,0,0,0
2021,1,40,"2,629",308,167,747,996,78,246,84,3,0,0,0,0
2021,1,50,"3,350",413,211,948,"1,190",113,310,160,5,0,0,0,0
2021,1,60,"3,454",411,247,908,"1,213",145,320,196,14,0,0,0,0
2021,1,70,"2,620",333,222,649,877,126,220,168,25,0,0,0,0
2021,1,80,"1,439",182,125,333,489,79,140,85,6,0,0,0,0
2021,1,90,283,32,27,70,93,16,32,13,0,0,0,0,0
2021,1,100,34,2,2,8,15,3,3,1,0,0,0,0,0
2021,2,총,"21,309","2,642","1,648","5,572","7,609",869,"1,873","1,039",57,0,0,0,0
2021,2,0,"1,656",226,153,419,589,80,106,83,0,0,0,0,0
2021,2,10,"1,792",216,121,453,728,35,170,68,1,0,0,0,0
2021,2,20,"1,974",261,174,508,696,105,155,73,2,0,0,0,0
2021,2,30,"2,094",256,197,529,735,92,170,114,1,0,0,0,0
2021,2,40,"2,620",307,168,752,990,75,243,82,3,0,0,0,0
2021,2,50,"3,323",411,213,938,"1,180",110,310,156,5,0,0,0,0
2021,2,60,"3,476",415,245,919,"1,215",148,321,199,14,0,0,0,0
2021,2,70,"2,613",333,222,645,878,125,221,165,24,0,0,0,0
