년도,월,나이,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동,인천광역시 중구 개항동
2020,3,총,"66,382","2,971","2,584","6,635","2,032","1,706","2,848","1,441","2,319","6,838","21,036","14,132","1,840",
2020,3,0,"5,906",120,103,464,85,59,115,31,104,473,"3,427",870,55,
2020,3,10,"6,022",212,175,552,136,115,147,85,179,574,"2,219","1,568",60,
2020,3,20,"9,479",270,247,787,193,179,293,131,240,909,"2,058","4,073",99,
2020,3,30,"9,710",269,239,796,185,144,280,111,200,899,"4,650","1,824",113,
2020,3,40,"10,954",366,382,995,265,226,321,189,282,"1,034","4,170","2,552",172,
2020,3,50,"8,992",574,417,"1,074",356,287,487,235,416,"1,163","2,081","1,501",401,
2020,3,60,"7,696",596,442,957,380,318,540,290,423,976,"1,463",822,489,
2020,3,70,"4,867",343,336,654,285,236,387,236,304,483,668,650,285,
2020,3,80,"2,262",177,196,291,122,109,219,110,140,260,262,244,132,
2020,3,90,446,41,44,62,22,28,51,16,26,61,37,28,30,
2020,3,100,48,3,3,3,3,5,8,7,5,6,1,0,4,
2020,4,총,"66,605","2,967","2,587","6,634","2,030","1,693","2,846","1,438","2,324","6,853","21,170","14,237","1,826",
2020,4,0,"5,912",122,100,463,83,56,114,32,104,463,"3,454",869,52,
2020,4,10,"6,024",206,178,553,134,115,143,84,178,579,"2,222","1,572",60,
2020,4,20,"9,523",265,251,778,193,172,295,132,245,910,"2,067","4,115",100,
2020,4,30,"9,755",265,234,791,187,141,280,112,199,901,"4,678","1,853",114,
2020,4,40,"10,972",365,385,991,266,224,320,185,280,"1,030","4,189","2,566",171,
2020,4,50,"9,009",577,416,"1,070",356,292,480,232,417,"1,170","2,100","1,504",395,
2020,4,60,"7,736",603,434,963,375,315,541,291,427,991,"1,480",830,486,
2020,4,70,"4,895",340,344,663,289,235,389,239,304,482,674,652,284,
