년도,월,나이,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2020,3,총,"146,212","7,425","12,935","10,161","20,463","22,110","8,111","15,702","6,778","6,335","5,791","6,446","14,053","9,902"
2020,3,0,"9,772",404,715,497,"1,139","2,083",494,"1,367",271,244,240,469,"1,191",658
2020,3,10,"11,824",391,858,770,"1,685","2,305",679,"1,940",302,332,325,405,"1,188",644
2020,3,20,"18,088","1,016","1,750","1,359","2,220","2,837","1,095","1,882",789,953,702,745,"1,601","1,139"
2020,3,30,"16,986",901,"1,530",984,"1,926","3,012",834,"1,782",751,677,552,963,"1,799","1,275"
2020,3,40,"21,145",809,"1,718","1,474","2,834","3,670","1,121","3,093",800,767,701,745,"2,127","1,286"
2020,3,50,"29,152","1,592","2,760","2,249","4,117","4,517","1,796","2,703","1,296","1,242","1,051","1,248","2,539","2,042"
2020,3,60,"21,958","1,285","2,090","1,666","3,074","2,366","1,120","1,573","1,346","1,200","1,141","1,104","2,205","1,788"
2020,3,70,"11,218",661,"1,031",809,"2,086",851,591,935,751,585,722,528,936,732
2020,3,80,"5,181",314,411,302,"1,243",386,301,366,411,281,310,192,387,277
2020,3,90,810,48,58,47,135,78,55,60,56,50,43,43,76,61
2020,3,100,78,4,14,4,4,5,25,1,5,4,4,4,4,0
2020,4,총,"145,957","7,392","12,926","10,091","20,429","22,090","8,071","15,697","6,727","6,332","5,778","6,478","14,044","9,902"
2020,4,0,"9,737",396,720,485,"1,136","2,080",497,"1,360",267,242,237,476,"1,186",655
2020,4,10,"11,732",387,850,761,"1,666","2,287",667,"1,918",296,332,326,404,"1,191",647
2020,4,20,"18,020","1,017","1,740","1,339","2,209","2,850","1,080","1,897",767,958,695,741,"1,600","1,127"
2020,4,30,"16,910",876,"1,546",976,"1,912","3,004",826,"1,774",756,665,546,970,"1,789","1,270"
2020,4,40,"21,056",807,"1,705","1,465","2,826","3,656","1,102","3,076",789,767,704,750,"2,124","1,285"
2020,4,50,"29,051","1,574","2,743","2,233","4,103","4,517","1,799","2,719","1,278","1,233","1,049","1,244","2,536","2,023"
2020,4,60,"22,070","1,294","2,102","1,666","3,089","2,376","1,124","1,581","1,355","1,207","1,136","1,113","2,211","1,816"
2020,4,70,"11,260",668,"1,032",817,"2,082",844,590,948,752,590,722,541,938,736
2020,4,80,"5,228",321,412,297,"1,266",394,307,362,407,283,317,193,388,281
2020,4,90,814,48,62,48,136,77,54,61,55,51,42,42,77,61
2020,4,100,79,4,14,4,4,5,25,1,5,4,4,4,4,1
2020,5,총,"145,944","7,381","12,939","10,066","20,433","22,099","8,053","15,707","6,711","6,334","5,760","6,513","14,050","9,898"
2020,5,0,"9,692",391,720,479,"1,133","2,072",493,"1,346",262,236,235,480,"1,184",661
2020,5,10,"11,679",389,842,754,"1,663","2,269",661,"1,924",290,332,323,402,"1,187",643
2020,5,20,"18,025","1,006","1,759","1,333","2,202","2,866","1,080","1,899",787,944,679,747,"1,598","1,125"
2020,5,30,"16,873",889,"1,538",964,"1,900","2,994",821,"1,782",752,680,548,969,"1,778","1,258"
2020,5,40,"21,010",804,"1,706","1,451","2,835","3,651","1,083","3,073",778,755,702,760,"2,132","1,280"
2020,5,50,"29,019","1,564","2,732","2,233","4,090","4,524","1,804","2,717","1,279","1,227","1,049","1,249","2,530","2,021"
2020,5,60,"22,176","1,299","2,110","1,677","3,115","2,393","1,125","1,592","1,350","1,219","1,138","1,110","2,220","1,828"
2020,5,70,"11,311",666,"1,041",821,"2,092",853,593,941,751,597,722,552,945,737
2020,5,80,"5,265",321,415,302,"1,262",395,313,370,402,289,320,198,395,283
2020,5,90,815,48,62,48,137,77,55,62,55,51,40,42,77,61
2020,5,100,79,4,14,4,4,5,25,1,5,4,4,4,4,1
2020,6,총,"145,651","7,330","12,941","10,057","20,389","22,044","8,038","15,695","6,608","6,319","5,785","6,523","14,029","9,893"
2020,6,0,"9,625",392,705,479,"1,127","2,052",491,"1,348",256,229,235,480,"1,174",657
2020,6,10,"11,622",384,850,746,"1,644","2,262",662,"1,925",284,324,325,403,"1,182",631
2020,6,20,"17,962",994,"1,754","1,335","2,192","2,867","1,073","1,885",772,952,685,737,"1,591","1,125"
2020,6,30,"16,798",880,"1,546",956,"1,883","2,970",824,"1,765",740,681,550,977,"1,761","1,265"
2020,6,40,"20,938",799,"1,696","1,442","2,829","3,637","1,078","3,073",765,748,703,761,"2,137","1,270"
2020,6,50,"28,853","1,534","2,720","2,237","4,064","4,511","1,790","2,716","1,248","1,214","1,055","1,238","2,521","2,005"
2020,6,60,"22,302","1,308","2,130","1,684","3,130","2,406","1,128","1,603","1,342","1,221","1,140","1,126","2,238","1,846"
