년도,월,나이,수원시,장안구,파장동,율천동,정자1동,정자2동,정자3동,영화동,송죽동,조원1동,조원2동,연무동,권선구,세류1동,세류2동,세류3동,평동,서둔동,구운동,금곡동,호매실동,권선1동,권선2동,곡선동,입북동,팔달구,매교동,매산동,고등동,화서1동,화서2동,지동,우만1동,우만2동,인계동,행궁동,영통구,매탄1동,매탄2동,매탄3동,매탄4동,원천동,영통1동,영통2동,영통3동,망포1동,망포2동,광교1동,광교2동
2020,1,총,"1,193,894","277,846","23,956","43,751","30,558","30,411","43,423","20,552","19,900","29,286","19,501","16,508","371,509","10,599","24,028","20,035","40,889","38,858","25,251","45,853","45,991","24,849","50,231","27,792","17,133","175,698","5,929","10,670","9,217","23,599","27,208","11,815","20,977","17,398","37,952","10,933","368,841","18,920","15,389","36,540","22,481","38,810","36,524","26,573","32,961","31,956","28,326","52,272","28,089"
2020,1,0,"103,729","19,942","1,529","3,336","2,757","2,131","3,985",946,"1,252","1,687","1,560",759,"34,496",924,"1,207","1,083","3,233","2,629","1,556","5,292","7,313","1,425","6,073","1,848","1,913","10,341",250,467,395,"1,600","2,183",472,"1,008","1,295","2,388",283,"38,950","1,300","1,023","3,121","1,527","4,707","3,946","2,731","2,847","3,670","4,478","6,021","3,579"
2020,1,10,"123,236","30,338","2,008","4,588","3,700","3,373","7,253","1,312","1,815","2,998","2,169","1,122","34,608",659,"1,728","1,658","3,758","3,408","2,186","5,052","4,388","1,854","5,555","2,440","1,922","14,709",316,524,632,"2,318","3,187",802,"1,592","1,934","2,892",512,"43,581","2,084","1,650","4,588","2,518","3,582","5,092","2,267","4,468","4,243","3,220","6,928","2,941"
2020,1,20,"186,375","44,254","3,430","10,119","4,284","4,378","6,195","2,741","3,070","4,421","3,098","2,518","55,109","1,536","3,580","2,860","6,311","6,008","4,059","6,266","5,180","4,884","7,003","5,383","2,039","28,172",871,"1,858","1,148","3,235","4,167","1,381","3,249","3,533","7,238","1,492","58,840","3,233","2,518","6,590","3,810","6,513","5,005","5,808","6,230","4,656","3,480","7,942","3,055"
2020,1,30,"184,482","34,198","3,065","5,986","3,714","3,815","4,717","2,614","2,814","3,398","2,133","1,942","60,732","1,771","3,688","2,766","5,816","5,655","3,399","6,944","9,835","4,496","8,408","5,554","2,400","25,195",872,"1,729","1,108","2,838","3,604","1,328","3,046","2,316","7,043","1,311","64,357","2,585","2,025","5,647","3,268","7,932","5,694","6,582","4,547","5,135","6,113","9,426","5,403"
2020,1,40,"206,165","47,262","3,875","6,807","5,627","5,234","9,453","3,081","3,163","4,730","3,039","2,253","61,810","1,493","3,801","3,285","6,244","6,219","3,861","8,069","7,790","3,741","8,941","5,040","3,326","28,254",893,"1,464","1,424","3,968","4,717","1,780","3,237","2,822","6,422","1,527","68,839","3,238","2,567","6,890","3,963","6,964","7,361","4,269","6,330","6,011","5,279","10,697","5,270"
2020,1,50,"196,083","49,388","4,459","6,724","5,373","5,423","7,190","4,125","3,679","5,547","3,882","2,986","62,621","1,902","4,422","3,539","7,694","6,893","4,991","7,583","5,909","4,337","8,062","4,506","2,783","30,824","1,126","1,957","1,764","4,227","5,121","2,229","3,804","2,720","5,655","2,221","53,250","3,317","2,771","5,506","3,783","4,607","5,633","2,962","5,293","5,097","3,560","6,837","3,884"
2020,1,60,"111,269","28,714","3,117","3,508","2,843","3,183","2,551","3,251","2,386","3,476","1,889","2,510","36,813","1,313","3,244","2,735","4,600","4,686","3,036","3,803","3,359","2,551","4,014","1,849","1,623","21,211",862,"1,509","1,448","2,994","2,356","2,053","2,738","1,621","3,720","1,910","24,531","1,900","1,619","2,482","2,146","2,715","2,195","1,070","1,945","1,962","1,385","2,754","2,358"
2020,1,70,"54,808","15,360","1,647","1,679","1,467","1,899","1,308","1,725","1,131","1,956","1,007","1,541","16,944",662,"1,589","1,481","2,149","2,344","1,421","1,858","1,506","1,033","1,427",716,758,"11,610",495,776,910,"1,691","1,233","1,221","1,619",770,"1,756","1,139","10,894",882,805,"1,108",942,"1,220","1,013",586,793,793,526,"1,119","1,107"
2020,1,80,"23,793","7,164",696,869,672,837,673,649,507,916,629,716,"7,199",280,654,532,917,884,657,866,628,456,630,375,320,"4,610",212,329,332,621,553,472,596,332,719,444,"4,820",325,354,528,450,478,507,262,436,330,248,470,432
2020,1,90,"3,667","1,143",120,125,115,133,97,87,77,152,93,144,"1,091",48,108,86,153,121,79,117,78,67,112,75,47,684,26,51,42,94,82,69,82,54,102,82,749,50,52,75,71,91,72,36,71,58,36,78,59
2020,1,100,287,83,10,10,6,5,1,21,6,5,2,17,86,11,7,10,14,11,6,3,5,5,6,6,2,88,6,6,14,13,5,8,6,1,17,12,30,6,5,5,3,1,6,0,1,1,1,0,1
2020,2,총,"1,193,480","277,386","23,912","43,495","30,477","30,424","43,461","20,556","19,859","29,257","19,469","16,476","371,218","10,566","24,018","19,929","40,744","38,792","25,189","45,902","46,101","24,917","50,203","27,771","17,086","175,677","5,968","10,674","9,246","23,531","27,161","11,761","20,954","17,426","38,065","10,891","369,199","18,864","15,389","36,569","22,440","38,993","36,492","26,583","32,999","31,938","28,365","52,410","28,157"
2020,2,0,"103,170","19,783","1,513","3,277","2,721","2,134","3,984",928,"1,244","1,679","1,552",751,"34,232",913,"1,196","1,060","3,195","2,606","1,541","5,258","7,305","1,431","6,015","1,832","1,880","10,246",256,461,390,"1,586","2,172",468,"1,001","1,291","2,349",272,"38,909","1,296","1,011","3,104","1,518","4,722","3,931","2,677","2,843","3,689","4,491","6,043","3,584"
2020,2,10,"122,606","30,131","1,989","4,519","3,663","3,344","7,233","1,314","1,813","2,983","2,156","1,117","34,446",653,"1,714","1,650","3,721","3,393","2,171","5,045","4,387","1,844","5,564","2,404","1,900","14,643",325,526,631,"2,311","3,165",788,"1,581","1,931","2,878",507,"43,386","2,066","1,637","4,579","2,489","3,589","5,052","2,256","4,444","4,213","3,227","6,913","2,921"
2020,2,20,"186,021","44,059","3,411","10,043","4,267","4,359","6,187","2,728","3,042","4,418","3,075","2,529","54,962","1,541","3,589","2,826","6,273","5,991","4,029","6,255","5,167","4,914","6,951","5,388","2,038","28,222",888,"1,855","1,150","3,198","4,138","1,381","3,237","3,553","7,341","1,481","58,778","3,199","2,531","6,596","3,785","6,513","4,976","5,820","6,267","4,612","3,431","7,986","3,062"
2020,2,30,"184,060","34,038","3,037","5,936","3,689","3,799","4,711","2,623","2,808","3,374","2,152","1,909","60,447","1,769","3,659","2,751","5,777","5,601","3,392","6,907","9,792","4,504","8,379","5,541","2,375","25,192",882,"1,733","1,107","2,816","3,626","1,313","3,048","2,299","7,057","1,311","64,383","2,564","1,990","5,653","3,273","7,929","5,711","6,582","4,561","5,148","6,106","9,439","5,427"
2020,2,40,"206,250","47,177","3,874","6,762","5,641","5,231","9,445","3,087","3,156","4,720","3,019","2,242","61,948","1,482","3,807","3,266","6,224","6,191","3,861","8,130","7,902","3,752","8,983","5,031","3,319","28,210",900,"1,456","1,424","3,954","4,694","1,758","3,237","2,838","6,438","1,511","68,915","3,225","2,575","6,894","3,941","7,030","7,368","4,277","6,308","5,986","5,336","10,703","5,272"
