년도,월,나이,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2020,7,40,"1,927",859,80,148,126,96,79,117,122,78,78,144
2020,7,50,"2,464",803,170,179,147,163,148,187,223,124,89,231
2020,7,60,"2,380",596,148,230,169,225,135,226,215,115,97,224
2020,7,70,"1,694",385,111,144,136,109,106,145,161,108,93,196
2020,7,80,889,163,54,89,71,69,71,73,60,66,52,121
2020,7,90,94,20,6,5,6,8,4,9,13,8,0,15
2020,7,100,1,1,0,0,0,0,0,0,0,0,0,0
2020,8,총,"13,569","4,961",756,"1,009",869,861,704,981,"1,074",645,539,"1,170"
2020,8,0,812,460,33,39,33,27,34,34,71,14,33,34
2020,8,10,"1,150",675,48,52,51,39,39,65,68,20,28,65
2020,8,20,"1,142",528,63,60,56,59,44,73,81,63,35,80
2020,8,30,"1,012",463,46,62,72,64,45,57,60,46,34,63
2020,8,40,"1,926",860,79,149,124,96,79,116,120,82,77,144
2020,8,50,"2,463",810,168,177,148,167,146,184,226,120,87,230
2020,8,60,"2,382",596,150,230,168,225,136,228,213,118,100,218
2020,8,70,"1,698",386,111,147,137,108,106,143,159,106,93,202
2020,8,80,888,163,53,87,74,68,71,72,62,67,52,119
2020,8,90,95,19,5,6,6,8,4,9,14,9,0,15
2020,8,100,1,1,0,0,0,0,0,0,0,0,0,0
2020,9,총,"13,538","4,973",755,"1,007",864,856,702,978,"1,066",634,543,"1,160"
2020,9,0,804,461,33,38,32,25,34,32,70,12,33,34
2020,9,10,"1,145",669,49,52,53,39,38,66,69,21,27,62
2020,9,20,"1,144",538,64,58,55,59,44,74,81,59,34,78
2020,9,30,999,462,43,62,69,63,46,57,56,43,36,62
2020,9,40,"1,913",855,81,147,120,95,77,114,120,80,80,144
2020,9,50,"2,438",804,165,184,149,167,145,181,217,116,85,225
2020,9,60,"2,409",613,152,224,167,223,138,229,218,122,103,220
2020,9,70,"1,703",387,110,149,139,107,106,143,160,107,92,203
2020,9,80,886,164,53,87,74,70,70,72,62,64,53,117
