년도,월,나이,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2020,1,총,"22,690","10,425","2,150","1,481","2,790","1,160","1,174","1,683",998,829
2020,1,0,"1,073",735,63,29,120,21,18,42,29,16
2020,1,10,"1,733","1,014",111,231,176,47,28,63,34,29
2020,1,20,"1,773","1,098",143,61,178,60,60,87,56,30
2020,1,30,"1,703","1,069",120,69,189,56,37,79,53,31
2020,1,40,"2,354","1,412",185,85,294,74,74,105,62,63
2020,1,50,"4,260","1,735",429,285,581,239,264,359,198,170
2020,1,60,"4,504","1,517",494,333,605,309,304,417,270,255
2020,1,70,"2,931","1,050",327,209,364,196,203,270,152,160
2020,1,80,"1,979",666,235,144,235,130,156,224,120,69
2020,1,90,362,124,38,32,46,26,29,37,24,6
2020,1,100,18,5,5,3,2,2,1,0,0,0
2020,2,총,"22,676","10,408","2,148","1,473","2,786","1,158","1,185","1,696",995,827
2020,2,0,"1,074",730,62,30,122,21,20,43,29,17
2020,2,10,"1,700","1,002",110,218,171,46,27,63,34,29
2020,2,20,"1,750","1,079",142,58,178,62,59,88,57,27
2020,2,30,"1,698","1,069",117,68,189,57,37,78,50,33
2020,2,40,"2,346","1,404",184,87,292,75,74,105,64,61
2020,2,50,"4,239","1,732",430,284,577,236,258,359,194,169
2020,2,60,"4,566","1,541",495,338,615,312,318,425,267,255
2020,2,70,"2,928","1,053",329,208,363,191,200,269,156,159
2020,2,80,"1,986",663,234,146,233,131,160,226,121,72
2020,2,90,371,130,40,33,44,25,31,40,23,5
2020,2,100,18,5,5,3,2,2,1,0,0,0
2020,3,총,"22,617","10,385","2,138","1,461","2,793","1,151","1,184","1,691",990,824
2020,3,0,"1,065",728,60,30,121,19,20,42,28,17
2020,3,10,"1,694","1,001",108,211,174,47,26,62,36,29
2020,3,20,"1,728","1,069",134,58,179,63,59,88,53,25
2020,3,30,"1,683","1,057",115,67,186,55,39,79,53,32
2020,3,40,"2,334","1,397",185,85,293,76,71,103,63,61
2020,3,50,"4,199","1,741",420,279,568,229,255,348,190,169
2020,3,60,"4,606","1,548",503,340,629,312,320,431,270,253
2020,3,70,"2,917","1,039",329,208,363,193,198,273,153,161
2020,3,80,"1,991",664,239,147,234,130,162,221,122,72
2020,3,90,381,135,40,33,44,25,33,44,22,5
2020,3,100,19,6,5,3,2,2,1,0,0,0
2020,4,총,"22,563","10,366","2,138","1,443","2,783","1,153","1,188","1,685",983,824
2020,4,0,"1,065",724,61,32,122,19,20,42,28,17
2020,4,10,"1,684","1,000",106,206,169,50,26,62,37,28
2020,4,20,"1,702","1,060",135,55,174,60,58,86,49,25
2020,4,30,"1,673","1,047",118,67,183,55,40,78,52,33
2020,4,40,"2,312","1,386",182,84,293,74,71,100,63,59
2020,4,50,"4,179","1,744",422,270,565,229,255,345,185,164
2020,4,60,"4,652","1,557",502,343,633,317,329,437,276,258
2020,4,70,"2,908","1,039",327,207,365,191,196,271,150,162
2020,4,80,"1,989",666,239,144,233,131,164,220,120,72
2020,4,90,380,137,41,32,44,25,28,44,23,6
2020,4,100,19,6,5,3,2,2,1,0,0,0
2020,5,총,"22,577","10,372","2,140","1,438","2,787","1,150","1,195","1,685",989,821
2020,5,0,"1,066",725,62,31,122,19,22,42,27,16
2020,5,10,"1,675",997,101,206,172,48,25,60,38,28
2020,5,20,"1,691","1,055",135,51,172,59,61,84,50,24
2020,5,30,"1,678","1,044",120,67,189,55,41,78,51,33
2020,5,40,"2,300","1,383",183,81,289,72,72,100,63,57
2020,5,50,"4,174","1,745",422,268,567,227,252,345,185,163
2020,5,60,"4,684","1,565",506,347,632,319,333,441,282,259
2020,5,70,"2,909","1,048",327,206,363,188,197,270,148,162
2020,5,80,"1,996",666,237,146,235,135,163,220,121,73
2020,5,90,385,138,42,32,44,26,28,45,24,6
