년도,월,나이,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2020,1,총,"126,201","2,083","5,248","2,949","3,976","4,678","4,900","1,795","7,547","14,529","17,535","14,271","10,587","10,821","12,677","12,605"
2020,1,0,"7,346",197,217,98,211,191,142,49,259,626,"1,238",852,632,803,768,"1,063"
2020,1,10,"7,294",106,215,140,171,311,194,35,324,923,"1,062",969,625,899,527,793
2020,1,20,"18,465",198,503,333,666,"1,188",711,209,"1,292","2,411","2,093","1,990","1,663","1,511","2,155","1,542"
2020,1,30,"20,575",464,559,399,623,687,728,261,"1,256","2,341","2,571","2,276","1,767","1,409","2,857","2,377"
2020,1,40,"18,551",435,697,448,512,597,614,192,"1,143","2,135","2,576","2,068","1,620","1,676","1,821","2,017"
2020,1,50,"20,932",289,"1,032",504,606,605,892,358,"1,380","2,379","2,884","2,389","1,845","1,959","1,823","1,987"
2020,1,60,"17,016",234,"1,066",525,610,511,852,391,957,"1,928","2,579","1,866","1,261","1,341","1,476","1,419"
2020,1,70,"10,407",103,556,327,352,384,518,192,638,"1,223","1,625","1,183",803,743,859,901
2020,1,80,"4,580",41,277,138,166,168,201,76,240,477,758,580,318,404,333,403
2020,1,90,841,11,85,28,50,33,34,23,50,73,138,90,42,62,49,73
2020,1,100,194,5,41,9,9,3,14,9,8,13,11,8,11,14,9,30
2020,2,총,"126,259","2,110","5,236","2,960","3,974","4,661","4,924","1,815","7,559","14,494","17,541","14,222","10,594","10,843","12,698","12,628"
2020,2,0,"7,261",194,208,95,201,190,142,53,258,620,"1,228",827,623,797,758,"1,067"
2020,2,10,"7,281",111,218,148,176,323,200,36,316,915,"1,057",953,613,898,533,784
2020,2,20,"18,492",208,505,340,677,"1,171",724,209,"1,288","2,379","2,083","2,007","1,673","1,522","2,162","1,544"
2020,2,30,"20,510",452,552,390,615,678,744,277,"1,267","2,329","2,567","2,245","1,756","1,397","2,865","2,376"
2020,2,40,"18,573",449,694,454,512,604,614,193,"1,146","2,141","2,576","2,065","1,621","1,665","1,828","2,011"
2020,2,50,"20,982",298,"1,038",505,608,600,881,350,"1,382","2,385","2,896","2,397","1,856","1,980","1,812","1,994"
2020,2,60,"17,070",235,"1,058",526,605,506,847,395,965,"1,925","2,590","1,870","1,272","1,353","1,483","1,440"
2020,2,70,"10,420",106,559,326,352,384,522,191,638,"1,227","1,631","1,179",805,744,858,898
2020,2,80,"4,627",42,276,140,169,170,200,78,241,486,762,582,320,413,340,408
2020,2,90,848,10,87,27,50,32,36,24,50,74,140,89,44,59,50,76
2020,2,100,195,5,41,9,9,3,14,9,8,13,11,8,11,15,9,30
2020,3,총,"126,175","2,117","5,217","2,981","3,942","4,685","4,931","1,820","7,530","14,503","17,486","14,166","10,600","10,861","12,728","12,608"
2020,3,0,"7,193",189,205,91,195,189,140,54,261,615,"1,206",817,629,793,753,"1,056"
2020,3,10,"7,261",116,216,152,178,342,198,34,305,913,"1,040",943,610,890,539,785
