년도,월,나이,광주시,오포읍,초월읍,곤지암읍,도척면,퇴촌면,남종면,남한산성면,경안동,송정동,광남동,쌍령동,탄벌동,광남1동,광남2동
2020,1,총,"373,274","108,520","43,498","22,862","9,077","14,427","1,484","2,689","43,529","60,768","66,420",,,,
2020,1,0,"36,137","11,395","3,825","1,464",528,"1,062",41,154,"4,234","5,182","8,252",,,,
2020,1,10,"33,533","8,637","4,599","1,905",604,"1,170",69,217,"4,103","5,768","6,461",,,,
2020,1,20,"43,908","12,912","5,067","2,838",975,"1,141",113,198,"5,682","7,846","7,136",,,,
2020,1,30,"59,500","20,689","5,928","2,804",985,"1,482",87,240,"6,767","8,651","11,867",,,,
2020,1,40,"64,822","18,828","7,852","3,653","1,313","2,320",165,398,"7,419","10,577","12,297",,,,
2020,1,50,"61,699","16,588","7,405","4,534","1,785","2,488",270,506,"7,400","11,008","9,715",,,,
2020,1,60,"43,938","11,662","5,172","3,197","1,612","2,667",362,490,"4,789","7,296","6,691",,,,
2020,1,70,"20,868","5,586","2,525","1,578",820,"1,463",240,305,"2,231","3,198","2,922",,,,
2020,1,80,"7,642","1,910",990,764,390,537,118,152,779,"1,076",926,,,,
2020,1,90,"1,131",297,132,106,58,91,19,26,110,144,148,,,,
2020,1,100,96,16,3,19,7,6,0,3,15,22,5,,,,
2020,2,총,"373,867","109,002","43,567","22,832","9,082","14,413","1,503","2,704","43,468","60,687","66,609",,,,
2020,2,0,"36,052","11,382","3,837","1,449",517,"1,057",46,163,"4,197","5,124","8,280",,,,
2020,2,10,"33,454","8,631","4,601","1,897",603,"1,167",70,222,"4,082","5,730","6,451",,,,
2020,2,20,"43,878","12,949","5,049","2,838",971,"1,123",115,194,"5,654","7,838","7,147",,,,
2020,2,30,"59,138","20,609","5,883","2,757",993,"1,451",92,237,"6,728","8,566","11,822",,,,
2020,2,40,"65,157","19,024","7,862","3,661","1,316","2,338",166,401,"7,408","10,595","12,386",,,,
2020,2,50,"61,893","16,714","7,453","4,547","1,778","2,475",265,510,"7,413","10,999","9,739",,,,
2020,2,60,"44,308","11,801","5,205","3,204","1,624","2,690",367,494,"4,831","7,346","6,746",,,,
2020,2,70,"20,990","5,621","2,530","1,586",821,"1,466",238,299,"2,241","3,243","2,945",,,,
2020,2,80,"7,741","1,953","1,006",767,392,546,125,155,789,"1,077",931,,,,
2020,2,90,"1,160",304,137,107,60,94,19,27,110,147,155,,,,
2020,2,100,96,14,4,19,7,6,0,2,15,22,7,,,,
2020,3,총,"374,913","109,630","43,645","22,860","9,111","14,451","1,502","2,695","43,504","60,751","66,764",,,,
2020,3,0,"35,963","11,408","3,800","1,446",520,"1,058",46,159,"4,177","5,077","8,272",,,,
2020,3,10,"33,457","8,658","4,587","1,886",605,"1,173",71,220,"4,069","5,727","6,461",,,,
2020,3,20,"44,167","13,098","5,096","2,854",975,"1,107",113,188,"5,702","7,837","7,197",,,,
2020,3,30,"59,016","20,620","5,882","2,758",984,"1,448",92,237,"6,706","8,527","11,762",,,,
2020,3,40,"65,252","19,149","7,818","3,652","1,306","2,335",165,401,"7,388","10,603","12,435",,,,
2020,3,50,"62,020","16,764","7,490","4,531","1,784","2,480",260,508,"7,400","11,033","9,770",,,,
2020,3,60,"44,821","11,976","5,259","3,243","1,652","2,717",371,498,"4,883","7,417","6,805",,,,
2020,3,70,"21,155","5,662","2,544","1,597",821,"1,486",239,299,"2,260","3,280","2,967",,,,
2020,3,80,"7,793","1,967","1,024",767,397,548,125,156,795,"1,080",934,,,,
2020,3,90,"1,174",313,141,107,59,93,20,27,108,149,157,,,,
2020,3,100,95,15,4,19,8,6,0,2,16,21,4,,,,
2020,4,총,"375,561","109,965","43,746","22,833","9,135","14,506","1,497","2,678","43,434","60,817","66,950",,,,
2020,4,0,"35,890","11,405","3,770","1,439",521,"1,057",43,154,"4,155","5,072","8,274",,,,
2020,4,10,"33,422","8,663","4,588","1,880",611,"1,170",70,216,"4,027","5,716","6,481",,,,
