년도,월,나이,나주시,남평읍,세지면,왕곡면,반남면,공산면,동강면,다시면,문평면,노안면,금천면,산포면,다도면,봉황면,송월동,영강동,금남동,성북동,영산동,이창동,빛가람동
2020,1,총,"114,671","12,258","2,802","3,105","1,519","2,412","2,617","3,648","2,024","4,809","4,518","3,583","1,982","4,419","7,845","2,883","5,199","9,285","3,525","3,625","32,613"
2020,1,0,"10,308","1,174",58,82,28,91,62,77,34,109,161,99,51,130,681,171,261,856,134,159,"5,890"
2020,1,10,"9,364",792,171,177,56,135,100,169,64,193,232,157,62,223,929,272,397,987,320,219,"3,709"
2020,1,20,"12,320","1,293",236,289,111,164,197,255,139,392,416,347,119,355,"1,196",349,561,"1,352",302,408,"3,839"
2020,1,30,"14,846","1,734",139,203,80,142,148,218,90,293,378,270,116,264,997,299,433,"1,120",257,346,"7,319"
2020,1,40,"16,319","1,773",245,287,133,250,219,324,178,442,480,426,174,419,"1,302",445,654,"1,418",350,465,"6,335"
2020,1,50,"17,386","1,994",521,582,281,399,444,678,379,913,809,709,410,766,"1,243",481,930,"1,485",665,645,"3,052"
2020,1,60,"15,237","1,777",556,605,316,494,550,758,409,"1,045",849,698,423,865,763,394,842,"1,007",624,642,"1,620"
2020,1,70,"11,534","1,098",507,521,285,431,524,661,404,807,770,522,377,847,448,292,741,698,526,474,601
2020,1,80,"6,362",541,311,318,195,275,333,440,288,524,350,308,218,470,255,153,329,311,302,221,220
2020,1,90,931,75,54,39,34,27,40,65,38,86,68,47,31,74,30,27,47,48,41,33,27
2020,1,100,64,7,4,2,0,4,0,3,1,5,5,0,1,6,1,0,4,3,4,13,1
2020,2,총,"114,618","12,224","2,796","3,070","1,530","2,404","2,604","3,636","2,011","4,802","4,498","3,549","1,971","4,413","7,816","2,863","5,191","9,262","3,498","3,615","32,865"
2020,2,0,"10,270","1,166",60,85,28,92,59,74,33,108,153,94,50,132,678,168,262,846,127,160,"5,895"
2020,2,10,"9,352",792,168,168,57,133,97,167,62,186,235,152,59,224,916,266,393,987,316,220,"3,754"
2020,2,20,"12,259","1,272",234,282,113,161,200,250,137,390,413,342,118,354,"1,175",348,568,"1,344",295,397,"3,866"
2020,2,30,"14,825","1,720",138,195,79,140,147,219,91,294,367,272,114,261,997,296,430,"1,109",257,336,"7,363"
2020,2,40,"16,329","1,775",240,279,133,249,217,321,174,446,480,414,170,413,"1,294",442,648,"1,422",347,467,"6,398"
2020,2,50,"17,366","1,985",525,580,281,394,434,665,375,905,805,703,416,764,"1,255",479,928,"1,478",660,647,"3,087"
2020,2,60,"15,339","1,799",557,604,326,501,558,769,409,"1,053",857,696,423,871,762,394,837,"1,006",626,647,"1,644"
2020,2,70,"11,480","1,095",502,516,283,425,520,655,401,803,756,518,370,842,448,290,743,700,530,470,613
2020,2,80,"6,398",539,313,319,194,277,333,447,289,526,362,312,221,472,257,152,332,316,295,225,217
2020,2,90,936,76,55,40,36,28,39,66,39,86,65,46,28,74,33,27,46,51,41,33,27
2020,2,100,64,5,4,2,0,4,0,3,1,5,5,0,2,6,1,1,4,3,4,13,1
2020,3,총,"114,516","12,246","2,777","3,047","1,526","2,402","2,584","3,641","2,007","4,785","4,471","3,512","1,961","4,385","7,845","2,829","5,179","9,213","3,490","3,591","33,025"
2020,3,0,"10,251","1,178",60,84,28,92,56,72,34,108,153,92,50,129,682,165,254,843,126,156,"5,889"
2020,3,10,"9,317",789,162,164,55,134,95,166,61,184,228,147,60,223,911,257,390,971,309,220,"3,791"
2020,3,20,"12,254","1,269",234,282,112,160,198,255,135,377,407,335,113,351,"1,181",348,568,"1,344",299,391,"3,895"
2020,3,30,"14,763","1,727",137,188,78,139,136,220,90,287,365,262,108,257,"1,006",282,433,"1,086",250,330,"7,382"
2020,3,40,"16,283","1,752",234,273,132,249,217,326,172,445,469,405,172,410,"1,288",438,647,"1,404",347,457,"6,446"
2020,3,50,"17,365","2,000",518,577,280,387,430,663,372,906,808,702,411,755,"1,264",475,922,"1,480",662,644,"3,109"
2020,3,60,"15,394","1,807",559,596,329,505,555,765,416,"1,056",859,701,428,868,770,393,843,"1,014",625,645,"1,660"
2020,3,70,"11,450","1,100",500,518,280,426,525,652,396,800,744,511,366,838,447,287,741,703,527,473,616
2020,3,80,"6,419",544,313,323,196,277,332,453,287,526,368,308,224,474,261,156,329,313,300,226,209
2020,3,90,957,76,56,40,36,29,40,66,43,91,65,49,28,74,34,27,48,52,41,35,27
2020,3,100,63,4,4,2,0,4,0,3,1,5,5,0,1,6,1,1,4,3,4,14,1
2020,4,총,"114,380","12,205","2,765","3,025","1,520","2,397","2,577","3,633","2,010","4,769","4,455","3,503","1,954","4,364","7,844","2,819","5,150","9,178","3,465","3,593","33,154"
2020,4,0,"10,197","1,174",62,82,27,88,57,71,37,108,149,90,48,129,678,158,250,828,122,158,"5,881"
2020,4,10,"9,319",789,161,162,54,133,92,167,61,186,226,150,59,216,907,253,378,969,299,215,"3,842"
2020,4,20,"12,211","1,263",227,278,111,162,194,250,132,367,403,333,116,341,"1,170",353,567,"1,334",298,395,"3,917"
2020,4,30,"14,712","1,701",141,186,77,139,137,214,93,282,357,259,104,258,"1,008",280,425,"1,076",248,332,"7,395"
2020,4,40,"16,244","1,748",233,266,128,246,210,322,171,442,470,394,173,404,"1,281",434,638,"1,406",345,454,"6,479"
2020,4,50,"17,322","1,982",512,571,282,383,430,657,371,905,806,707,406,745,"1,274",474,916,"1,483",659,639,"3,120"
2020,4,60,"15,441","1,818",555,597,328,506,551,767,420,"1,059",856,697,430,880,779,397,846,"1,014",626,646,"1,669"
2020,4,70,"11,456","1,099",503,509,278,428,527,658,389,796,752,513,364,832,452,287,744,704,525,475,621
2020,4,80,"6,448",549,310,331,200,279,338,458,288,526,367,309,224,479,260,156,332,312,299,227,204
2020,4,90,969,78,57,40,35,28,41,66,47,94,64,51,29,74,34,27,50,51,40,38,25
2020,4,100,61,4,4,3,0,5,0,3,1,4,5,0,1,6,1,0,4,1,4,14,1
2020,5,총,"114,469","12,197","2,754","3,022","1,515","2,397","2,564","3,649","2,006","4,755","4,453","3,482","1,932","4,342","7,847","2,820","5,143","9,173","3,463","3,579","33,376"
2020,5,0,"10,173","1,174",62,84,25,90,55,72,37,105,149,89,44,128,682,159,248,822,122,153,"5,873"
2020,5,10,"9,328",791,159,156,53,133,92,167,61,179,228,152,55,214,898,247,379,965,302,212,"3,885"
2020,5,20,"12,191","1,247",226,278,111,158,184,254,132,363,394,326,113,337,"1,178",357,563,"1,338",292,394,"3,946"
2020,5,30,"14,682","1,688",141,184,78,142,133,214,93,278,361,249,104,254,"1,006",278,426,"1,066",245,320,"7,422"
2020,5,40,"16,236","1,740",230,266,125,243,205,315,168,441,463,391,168,393,"1,277",436,631,"1,417",339,455,"6,533"
2020,5,50,"17,328","1,982",503,567,281,387,430,664,365,906,801,702,400,740,"1,274",473,908,"1,478",660,637,"3,170"
2020,5,60,"15,543","1,831",565,606,329,502,556,773,424,"1,061",863,702,431,883,784,395,855,"1,009",637,648,"1,689"
2020,5,70,"11,479","1,107",499,506,279,427,529,659,385,793,755,513,364,836,452,292,744,712,525,480,622
2020,5,80,"6,479",553,310,333,200,282,338,463,291,528,369,307,223,481,262,154,335,315,298,228,209
2020,5,90,971,80,55,40,34,28,42,65,49,97,65,51,29,71,33,29,50,50,39,38,26
2020,5,100,59,4,4,2,0,5,0,3,1,4,5,0,1,5,1,0,4,1,4,14,1
2020,6,총,"114,448","12,194","2,748","3,020","1,518","2,381","2,541","3,637","2,005","4,757","4,453","3,485","1,929","4,328","7,829","2,817","5,132","9,145","3,451","3,553","33,525"
2020,6,0,"10,126","1,164",63,82,24,88,52,73,37,106,147,89,43,128,672,156,249,805,118,148,"5,882"
2020,6,10,"9,361",793,157,152,57,128,91,164,62,178,225,151,55,210,883,247,381,987,303,215,"3,922"
2020,6,20,"12,165","1,235",221,277,108,154,181,253,127,362,394,332,113,333,"1,181",359,554,"1,337",289,382,"3,973"
2020,6,30,"14,603","1,692",142,178,81,133,127,212,93,278,362,249,103,255,"1,006",276,423,"1,044",245,311,"7,393"
2020,6,40,"16,253","1,743",231,271,125,244,199,314,166,438,454,387,166,388,"1,267",437,634,"1,411",336,454,"6,588"
2020,6,50,"17,256","1,972",502,565,276,388,422,650,361,897,799,705,394,729,"1,283",465,895,"1,472",654,630,"3,197"
2020,6,60,"15,663","1,851",566,613,333,500,563,782,433,"1,071",873,701,433,896,790,395,859,"1,017",633,650,"1,704"
2020,6,70,"11,492","1,106",498,504,281,425,526,657,384,796,756,511,368,833,452,299,747,708,534,482,625
2020,6,80,"6,494",555,309,335,199,288,338,462,292,528,373,309,225,480,261,154,337,312,295,229,213
2020,6,90,977,80,55,41,34,28,42,67,49,99,65,51,28,71,33,29,49,51,40,38,27
2020,6,100,58,3,4,2,0,5,0,3,1,4,5,0,1,5,1,0,4,1,4,14,1
2020,7,총,"114,369","12,183","2,731","3,013","1,504","2,388","2,532","3,628","1,997","4,750","4,450","3,473","1,927","4,329","7,800","2,810","5,135","9,101","3,438","3,544","33,636"
2020,7,0,"10,113","1,158",60,82,24,87,51,70,37,107,147,92,43,131,673,159,253,802,120,143,"5,874"
2020,7,10,"9,355",794,158,149,56,131,90,165,61,177,223,146,54,211,876,237,382,979,294,218,"3,954"
2020,7,20,"12,146","1,229",215,270,108,155,183,254,125,356,400,326,116,330,"1,175",366,549,"1,320",287,380,"4,002"
2020,7,30,"14,545","1,695",140,179,80,135,126,216,94,274,355,248,102,252,"1,002",270,430,"1,034",242,308,"7,363"
