년도,월,나이,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼남면,울산광역시 울주군 삼동면,울산광역시 울주군 삼남읍
2020,3,총,"114,911","11,632","14,279","14,971","35,893","9,958","4,577","4,056","2,183","1,556","4,034","10,825",947,
2020,3,0,"9,591",813,"1,235","1,407","3,679",938,270,161,70,34,162,808,14,
2020,3,10,"12,103",873,"1,487","1,750","5,386",800,293,244,114,60,241,813,42,
2020,3,20,"15,026","1,609","2,024","1,830","5,058","1,239",468,521,181,114,427,"1,483",72,
2020,3,30,"14,154","1,807","1,705","1,987","3,876","1,616",522,373,168,116,341,"1,582",61,
2020,3,40,"19,480","2,291","2,309","2,841","6,598","1,562",743,464,265,165,489,"1,646",107,
2020,3,50,"21,956","2,345","2,633","2,721","6,634","1,815",936,916,504,308,888,"2,041",215,
2020,3,60,"14,382","1,271","1,817","1,594","3,214","1,303",776,804,529,413,869,"1,541",251,
2020,3,70,"6,101",469,795,637,"1,121",503,422,419,252,236,450,672,125,
2020,3,80,"1,951",141,257,189,305,168,137,137,88,100,154,217,58,
2020,3,90,163,10,17,15,22,14,9,17,12,10,13,22,2,
2020,3,100,4,3,0,0,0,0,1,0,0,0,0,0,0,
2020,4,총,"115,105","11,654","14,275","14,995","35,944","9,992","4,585","4,054","2,191","1,566","4,040","10,865",944,
2020,4,0,"9,562",809,"1,239","1,409","3,660",936,271,157,71,34,158,804,14,
2020,4,10,"12,059",875,"1,476","1,751","5,367",795,295,240,113,58,239,808,42,
2020,4,20,"15,114","1,610","2,032","1,831","5,104","1,253",470,528,179,116,425,"1,496",70,
2020,4,30,"14,140","1,815","1,703","1,978","3,866","1,623",510,371,171,115,336,"1,590",62,
2020,4,40,"19,454","2,275","2,300","2,855","6,581","1,550",748,463,266,165,492,"1,652",107,
2020,4,50,"22,004","2,355","2,624","2,721","6,667","1,826",940,908,499,310,893,"2,049",212,
2020,4,60,"14,492","1,289","1,828","1,605","3,239","1,318",780,812,536,417,871,"1,548",249,
2020,4,70,"6,145",469,799,641,"1,129",507,422,419,255,239,458,679,128,
2020,4,80,"1,964",144,257,187,309,169,139,140,89,102,155,216,57,
2020,4,90,167,10,17,17,22,15,9,16,12,10,13,23,3,
2020,4,100,4,3,0,0,0,0,1,0,0,0,0,0,0,
2020,5,총,"114,977","11,620","14,291","14,985","35,859","9,996","4,567","4,053","2,200","1,564","4,041","10,850",951,
