년도,월,나이,울릉군,울릉읍,서면,서면태하출장소,북면
2020,1,총,"5,190","3,656",487,262,785
2020,1,0,230,171,21,9,29
2020,1,10,254,185,31,11,27
2020,1,20,537,390,44,20,83
2020,1,30,576,423,38,22,93
2020,1,40,846,627,62,29,128
2020,1,50,"1,130",801,125,54,150
2020,1,60,931,634,97,56,144
2020,1,70,468,306,41,42,79
2020,1,80,195,107,26,15,47
2020,1,90,18,7,2,4,5
2020,1,100,5,5,0,0,0
2020,2,총,"5,160","3,647",485,256,772
2020,2,0,227,168,22,10,27
2020,2,10,247,181,28,11,27
2020,2,20,524,375,48,18,83
2020,2,30,565,419,32,22,92
2020,2,40,850,633,65,27,125
2020,2,50,"1,118",800,122,52,144
2020,2,60,943,644,98,58,143
2020,2,70,466,303,42,41,80
2020,2,80,196,111,26,13,46
2020,2,90,19,8,2,4,5
2020,2,100,5,5,0,0,0
2020,3,총,"5,085","3,601",476,245,763
2020,3,0,223,166,21,9,27
2020,3,10,243,179,28,9,27
2020,3,20,509,366,47,14,82
2020,3,30,555,414,31,22,88
2020,3,40,842,627,63,25,127
2020,3,50,"1,090",781,120,50,139
2020,3,60,934,642,94,56,142
2020,3,70,468,302,44,43,79
2020,3,80,197,111,26,13,47
2020,3,90,19,8,2,4,5
2020,3,100,5,5,0,0,0
2020,4,총,"5,049","3,583",474,249,743
2020,4,0,225,166,21,12,26
2020,4,10,238,177,26,10,25
2020,4,20,502,365,48,14,75
2020,4,30,544,405,33,22,84
2020,4,40,832,625,61,23,123
2020,4,50,"1,086",777,119,51,139
2020,4,60,935,647,94,55,139
2020,4,70,465,296,44,44,81
2020,4,80,198,112,26,14,46
2020,4,90,19,8,2,4,5
2020,4,100,5,5,0,0,0
2020,5,총,"5,033","3,567",475,246,745
2020,5,0,222,163,21,11,27
2020,5,10,243,181,25,11,26
2020,5,20,492,353,48,12,79
2020,5,30,548,408,34,22,84
2020,5,40,828,623,61,23,121
2020,5,50,"1,081",774,118,51,138
2020,5,60,932,644,96,54,138
2020,5,70,465,295,44,45,81
2020,5,80,197,112,26,13,46
2020,5,90,20,9,2,4,5
2020,5,100,5,5,0,0,0
2020,6,총,"5,026","3,559",468,240,759
2020,6,0,220,161,19,12,28
2020,6,10,242,182,25,11,24
2020,6,20,503,355,50,12,86
2020,6,30,544,406,30,22,86
2020,6,40,823,621,60,22,120
