년도,월,나이,영월군,영월읍,상동읍,중동면,김삿갓면,북면,남면,한반도면,한반도면쌍용출장소,주천면,무릉도원면,산솔면
2020,1,총,"39,040","21,310","1,116","1,481","1,771","2,179","2,304","1,278","1,741","3,845","2,015",
2020,1,0,"1,764","1,361",20,23,32,44,60,41,41,99,43,
2020,1,10,"2,998","2,198",32,62,85,86,95,60,82,215,83,
2020,1,20,"3,420","2,380",54,77,97,133,131,107,103,239,99,
2020,1,30,"2,989","2,036",53,59,71,128,132,83,115,219,93,
2020,1,40,"4,871","3,100",111,146,174,218,239,149,176,369,189,
2020,1,50,"7,565","3,818",245,340,440,453,452,277,351,763,426,
2020,1,60,"7,632","3,173",261,365,446,536,609,292,398,952,600,
2020,1,70,"4,901","2,096",212,268,265,353,347,163,289,570,338,
2020,1,80,"2,532","1,001",115,126,140,200,204,95,163,365,123,
2020,1,90,320,128,12,14,18,22,30,10,22,45,19,
2020,1,100,48,19,1,1,3,6,5,1,1,9,2,
2020,2,총,"38,969","21,262","1,111","1,475","1,757","2,174","2,287","1,278","1,760","3,859","2,006",
2020,2,0,"1,732","1,341",20,23,31,40,54,42,42,96,43,
2020,2,10,"2,986","2,185",32,59,83,89,96,58,82,220,82,
2020,2,20,"3,391","2,362",51,74,93,134,125,109,103,244,96,
2020,2,30,"2,961","2,019",53,61,66,120,130,84,116,215,97,
2020,2,40,"4,872","3,099",110,139,169,220,237,149,184,384,181,
2020,2,50,"7,541","3,817",243,339,441,452,451,275,349,752,422,
2020,2,60,"7,668","3,186",262,369,452,533,609,291,407,962,597,
2020,2,70,"4,886","2,090",211,265,261,357,342,162,290,565,343,
2020,2,80,"2,560","1,014",116,130,139,200,209,97,163,369,123,
2020,2,90,324,130,12,15,19,23,29,10,23,43,20,
2020,2,100,48,19,1,1,3,6,5,1,1,9,2,
2020,3,총,"38,938","21,254","1,106","1,481","1,752","2,161","2,296","1,279","1,763","3,845","2,001",
2020,3,0,"1,738","1,344",20,24,32,37,54,40,44,99,44,
2020,3,10,"2,987","2,203",32,59,78,83,97,57,81,214,83,
2020,3,20,"3,360","2,334",50,73,95,135,127,109,107,237,93,
2020,3,30,"2,939","2,005",55,65,62,116,125,84,115,215,97,
2020,3,40,"4,826","3,075",108,133,172,213,238,148,180,376,183,
2020,3,50,"7,497","3,797",236,345,435,457,449,277,347,747,407,
2020,3,60,"7,744","3,226",262,367,452,534,619,296,414,973,601,
2020,3,70,"4,892","2,100",211,265,264,353,343,159,288,561,348,
2020,3,80,"2,572","1,015",119,134,139,203,208,98,161,372,123,
2020,3,90,335,136,12,15,20,24,31,10,25,42,20,
2020,3,100,48,19,1,1,3,6,5,1,1,9,2,
2020,4,총,"38,762","21,149","1,103","1,475","1,743","2,155","2,287","1,271","1,758","3,817","2,004",
2020,4,0,"1,729","1,340",20,23,31,35,52,40,45,99,44,
2020,4,10,"2,965","2,189",32,56,79,83,98,59,80,206,83,
2020,4,20,"3,304","2,294",50,71,93,137,123,103,107,233,93,
2020,4,30,"2,900","1,986",53,63,60,112,124,82,114,208,98,
2020,4,40,"4,777","3,055",108,130,168,209,236,147,180,365,179,
2020,4,50,"7,471","3,783",234,348,432,458,448,276,343,744,405,
2020,4,60,"7,755","3,232",263,366,452,535,617,296,413,976,605,
2020,4,70,"4,899","2,095",212,268,264,350,347,159,290,562,352,
2020,4,80,"2,578","1,021",118,134,141,206,206,97,160,372,123,
2020,4,90,335,135,12,15,20,24,31,11,25,42,20,
2020,4,100,49,19,1,1,3,6,5,1,1,10,2,
2020,5,총,"38,759","21,165","1,099","1,480","1,746","2,155","2,277","1,266","1,749","3,809","2,013",
2020,5,0,"1,727","1,340",20,24,30,35,53,40,44,98,43,
2020,5,10,"2,943","2,173",32,57,80,84,97,54,79,203,84,
2020,5,20,"3,317","2,329",48,69,93,134,115,105,107,229,88,
2020,5,30,"2,876","1,962",53,64,62,110,127,81,111,203,103,
2020,5,40,"4,745","3,049",102,126,168,209,229,145,175,359,183,
2020,5,50,"7,465","3,786",236,353,425,455,444,274,340,748,404,
2020,5,60,"7,807","3,248",264,366,458,539,625,298,418,980,611,
2020,5,70,"4,888","2,093",211,268,261,350,344,159,292,560,350,
2020,5,80,"2,606","1,030",120,137,145,209,207,97,157,378,126,
2020,5,90,336,136,12,15,21,24,31,12,25,41,19,
2020,5,100,49,19,1,1,3,6,5,1,1,10,2,
2020,6,총,"38,840","21,224","1,103","1,484","1,751","2,159","2,272","1,272","1,749","3,806","2,020",
