년도,월,나이,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2020,3,총,"139,576","16,831","5,438","12,783","10,078","8,025","19,636","5,645","14,859","8,562","7,642","14,657","7,590","7,830"
2020,3,0,"9,774","1,337",188,"1,293",544,482,"1,245",418,"1,335",631,372,"1,013",497,419
2020,3,10,"12,049","1,317",322,"1,423",573,689,"1,411",535,"2,099",735,487,"1,401",564,493
2020,3,20,"15,927","1,881",562,"1,281","1,552",821,"2,752",629,"1,514",843,855,"1,525",824,888
2020,3,30,"16,942","2,208",417,"1,744","1,563",742,"2,565",712,"1,630","1,036",816,"1,657",933,919
2020,3,40,"22,312","2,568",662,"2,578","1,542","1,162","2,913",912,"3,118","1,426","1,010","2,431",992,998
2020,3,50,"23,746","2,853",993,"1,847","1,543","1,409","3,495",900,"2,380","1,328","1,413","2,643","1,379","1,563"
2020,3,60,"21,298","2,560","1,080","1,409","1,373","1,348","2,983",788,"1,628","1,350","1,492","2,342","1,380","1,565"
2020,3,70,"11,682","1,427",776,796,892,864,"1,567",500,771,839,815,"1,082",682,671
2020,3,80,"4,922",581,359,338,400,418,601,211,326,324,329,485,288,262
2020,3,90,811,91,58,67,72,86,88,39,54,45,49,66,47,49
2020,3,100,113,8,21,7,24,4,16,1,4,5,4,12,4,3
2020,4,총,"139,687","16,845","5,411","12,755","10,121","8,005","19,657","5,661","14,808","8,811","7,654","14,559","7,558","7,842"
2020,4,0,"9,774","1,331",178,"1,290",545,476,"1,249",418,"1,321",673,376,997,496,424
2020,4,10,"12,033","1,309",322,"1,418",573,688,"1,404",544,"2,093",754,483,"1,392",559,494
2020,4,20,"15,930","1,887",552,"1,277","1,560",809,"2,766",631,"1,514",870,854,"1,507",815,888
2020,4,30,"16,932","2,208",415,"1,727","1,564",748,"2,578",708,"1,610","1,088",810,"1,644",917,915
2020,4,40,"22,317","2,579",654,"2,578","1,538","1,156","2,902",915,"3,102","1,489","1,016","2,405",995,988
2020,4,50,"23,742","2,855",983,"1,841","1,562","1,397","3,491",899,"2,391","1,350","1,400","2,639","1,367","1,567"
2020,4,60,"21,339","2,558","1,081","1,411","1,373","1,351","2,992",795,"1,622","1,363","1,512","2,333","1,379","1,569"
2020,4,70,"11,737","1,436",783,799,902,865,"1,571",500,777,843,815,"1,082",686,678
2020,4,80,"4,955",580,363,341,409,423,604,211,320,328,332,483,294,267
2020,4,90,818,94,59,66,71,89,86,39,54,48,52,65,46,49
2020,4,100,110,8,21,7,24,3,14,1,4,5,4,12,4,3
2020,5,총,"139,665","16,846","5,386","12,749","10,143","7,967","19,676","5,653","14,794","8,907","7,651","14,494","7,550","7,849"
2020,5,0,"9,751","1,328",183,"1,286",543,479,"1,248",416,"1,306",677,376,988,497,424
2020,5,10,"11,998","1,294",317,"1,426",564,677,"1,396",547,"2,103",773,476,"1,387",552,486
2020,5,20,"15,932","1,884",538,"1,273","1,576",804,"2,768",632,"1,510",884,841,"1,511",819,892
