년도,월,나이,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동,대구광역시 달서구 유천동
2020,1,총,"568,663","24,747","15,642","9,079","27,975","14,830","17,794","32,316","30,139","23,994","16,864","31,827","22,202","44,253","16,913","77,515","40,313","20,716","11,767","37,320","19,994","18,910","13,553",
2020,1,0,"43,168","1,836",689,435,"2,222",724,"1,411","2,240","2,070","1,443",994,"1,572","2,218","5,457",696,"9,368","3,179","1,178",418,"2,539",934,814,731,
2020,1,10,"58,586","2,114",796,632,"2,464","1,122","1,819","3,872","3,201","2,750","1,535","2,645","2,179","8,403","1,269","8,574","5,155","1,605",669,"3,918","1,455","1,370","1,039",
2020,1,20,"80,700","3,136","2,446","1,358","4,313","2,496","2,546","5,159","4,885","4,149","2,573","6,414","2,742","4,201","1,889","9,352","5,512","3,638","1,335","5,314","2,889","2,595","1,758",
2020,1,30,"69,662","3,024","2,070","1,032","3,811","1,846","2,392","3,499","3,486","2,617","2,163","3,667","3,112","4,932","1,425","12,054","4,335","2,820","1,229","4,134","2,358","2,047","1,609",
2020,1,40,"93,009","3,820","2,054","1,237","4,306","2,102","2,889","5,610","4,948","3,973","2,483","4,904","3,993","10,913","2,382","13,699","6,767","2,687","1,335","5,515","2,831","2,514","2,047",
2020,1,50,"105,351","4,334","2,838","1,600","5,259","3,079","3,374","6,686","6,543","5,249","3,585","6,476","3,949","5,667","3,173","11,872","7,444","4,054","2,402","7,615","3,903","3,605","2,644",
2020,1,60,"69,343","3,693","2,510","1,401","3,495","2,144","2,066","3,165","3,052","2,303","2,330","3,452","2,568","2,770","3,079","7,558","4,738","2,875","2,485","5,057","3,178","3,279","2,145",
2020,1,70,"33,160","1,963","1,577",931,"1,539",917,924,"1,464","1,317",994,838,"1,800","1,009","1,279","2,035","3,444","2,055","1,251","1,223","2,124","1,694","1,757","1,025",
2020,1,80,"14,032",740,600,404,499,371,334,572,573,474,323,809,384,562,872,"1,421",994,540,588,991,668,825,488,
2020,1,90,"1,566",82,57,44,64,27,37,47,62,41,40,87,45,61,87,155,128,63,83,111,81,97,67,
2020,1,100,86,5,5,5,3,2,2,2,2,1,0,1,3,8,6,18,6,5,0,2,3,7,0,
2020,2,총,"567,716","24,660","15,630","9,051","27,916","14,801","17,774","32,200","30,008","23,977","16,858","31,780","22,122","44,254","16,871","77,319","40,172","20,957","11,738","37,189","20,017","18,907","13,515",
2020,2,0,"42,906","1,815",695,438,"2,204",713,"1,401","2,214","2,032","1,448",962,"1,539","2,187","5,485",687,"9,336","3,160","1,200",422,"2,523",924,805,716,
2020,2,10,"58,125","2,096",794,631,"2,432","1,106","1,787","3,837","3,175","2,739","1,523","2,644","2,170","8,390","1,254","8,476","5,109","1,611",659,"3,870","1,441","1,355","1,026",
2020,2,20,"80,311","3,109","2,453","1,358","4,294","2,466","2,546","5,136","4,833","4,131","2,563","6,387","2,731","4,168","1,884","9,263","5,479","3,671","1,331","5,253","2,902","2,608","1,745",
2020,2,30,"69,421","2,992","2,057","1,025","3,804","1,840","2,358","3,483","3,480","2,606","2,157","3,650","3,056","4,922","1,415","12,012","4,311","2,904","1,222","4,119","2,358","2,040","1,610",
2020,2,40,"92,672","3,782","2,041","1,233","4,278","2,105","2,899","5,549","4,922","3,941","2,496","4,885","3,998","10,886","2,369","13,702","6,725","2,696","1,327","5,479","2,817","2,501","2,041",
2020,2,50,"105,478","4,345","2,839","1,594","5,272","3,084","3,386","6,697","6,530","5,254","3,602","6,485","3,951","5,722","3,167","11,871","7,427","4,095","2,387","7,589","3,927","3,609","2,645",
2020,2,60,"69,754","3,709","2,514","1,391","3,507","2,154","2,089","3,196","3,085","2,334","2,352","3,476","2,581","2,781","3,080","7,600","4,765","2,911","2,496","5,111","3,179","3,292","2,151",
2020,2,70,"33,286","1,978","1,573",922,"1,553",927,932,"1,462","1,313","1,007",840,"1,809","1,017","1,269","2,037","3,456","2,064","1,262","1,226","2,138","1,703","1,770","1,028",
2020,2,80,"14,111",745,599,410,505,375,337,577,573,474,323,814,383,561,886,"1,429","1,000",540,588,998,683,824,487,
2020,2,90,"1,566",84,60,44,64,29,36,47,63,42,40,90,45,62,86,156,127,62,80,107,80,96,66,
2020,2,100,86,5,5,5,3,2,3,2,2,1,0,1,3,8,6,18,5,5,0,2,3,7,0,
2020,3,총,"567,978","24,574","15,564","9,044","28,100","14,798","17,729","32,180","29,989","24,010","16,897","31,836","22,184","44,254","16,893","77,435","40,177","21,039","11,726","37,121","20,022","18,901","13,505",
2020,3,0,"42,717","1,798",669,430,"2,217",720,"1,400","2,181","2,005","1,433",958,"1,522","2,184","5,477",677,"9,333","3,153","1,200",423,"2,510",910,804,713,
2020,3,10,"57,766","2,075",790,620,"2,429","1,086","1,779","3,814","3,143","2,722","1,501","2,645","2,166","8,369","1,255","8,465","5,050","1,596",648,"3,824","1,438","1,344","1,007",
2020,3,20,"80,679","3,104","2,455","1,373","4,314","2,461","2,531","5,161","4,856","4,170","2,566","6,464","2,754","4,186","1,884","9,323","5,535","3,681","1,325","5,248","2,916","2,606","1,766",
2020,3,30,"69,310","2,977","2,034","1,016","3,882","1,840","2,327","3,458","3,465","2,581","2,175","3,638","3,065","4,912","1,406","11,999","4,305","2,934","1,212","4,088","2,361","2,033","1,602",
2020,3,40,"92,201","3,729","2,014","1,207","4,274","2,105","2,878","5,519","4,882","3,933","2,479","4,847","3,980","10,820","2,380","13,713","6,662","2,699","1,314","5,428","2,802","2,494","2,042",
2020,3,50,"105,617","4,337","2,823","1,616","5,299","3,067","3,376","6,696","6,550","5,292","3,626","6,497","3,967","5,794","3,158","11,890","7,459","4,075","2,369","7,572","3,911","3,604","2,639",
2020,3,60,"70,321","3,729","2,520","1,402","3,535","2,168","2,123","3,244","3,123","2,338","2,374","3,495","2,610","2,796","3,096","7,646","4,804","2,965","2,519","5,184","3,197","3,308","2,145",
2020,3,70,"33,495","1,989","1,577",914,"1,567",944,940,"1,473","1,325","1,018",854,"1,816","1,022","1,272","2,046","3,468","2,069","1,275","1,248","2,148","1,716","1,773","1,041",
2020,3,80,"14,180",748,615,417,513,373,335,584,575,478,323,815,385,554,895,"1,424","1,008",544,588,"1,010",690,825,481,
2020,3,90,"1,607",81,62,44,67,32,37,48,63,44,41,96,48,66,90,157,127,66,80,108,78,103,69,
2020,3,100,85,7,5,5,3,2,3,2,2,1,0,1,3,8,6,17,5,4,0,1,3,7,0,
2020,4,총,"567,375","24,527","15,562","8,949","28,142","14,779","17,798","32,160","29,926","23,964","16,899","31,908","22,094","44,160","16,835","77,472","40,125","21,035","11,695","37,014","19,978","18,869","13,484",
2020,4,0,"42,483","1,808",660,419,"2,198",711,"1,413","2,170","1,984","1,423",952,"1,503","2,167","5,431",665,"9,328","3,135","1,204",418,"2,487",902,799,706,
2020,4,10,"57,513","2,072",786,612,"2,428","1,075","1,776","3,796","3,121","2,693","1,488","2,636","2,152","8,365","1,234","8,460","5,035","1,587",634,"3,808","1,414","1,341","1,000",
2020,4,20,"80,613","3,043","2,464","1,341","4,347","2,463","2,536","5,162","4,849","4,169","2,570","6,541","2,739","4,184","1,893","9,337","5,508","3,662","1,317","5,216","2,915","2,599","1,758",
2020,4,30,"69,143","2,962","2,027","1,011","3,900","1,827","2,354","3,459","3,425","2,569","2,175","3,656","3,039","4,867","1,383","11,967","4,306","2,956","1,205","4,060","2,365","2,034","1,596",
2020,4,40,"91,859","3,741","2,003","1,188","4,237","2,101","2,872","5,482","4,848","3,915","2,466","4,814","3,970","10,800","2,368","13,686","6,634","2,712","1,308","5,408","2,797","2,482","2,027",
2020,4,50,"105,488","4,317","2,816","1,601","5,325","3,053","3,400","6,701","6,562","5,281","3,617","6,514","3,954","5,806","3,132","11,906","7,447","4,035","2,352","7,544","3,889","3,589","2,647",
2020,4,60,"70,731","3,738","2,538","1,398","3,550","2,183","2,104","3,273","3,159","2,371","2,402","3,517","2,620","2,815","3,103","7,713","4,841","2,986","2,535","5,219","3,208","3,312","2,146",
2020,4,70,"33,617","1,999","1,576",913,"1,571",958,963,"1,480","1,343","1,020",858,"1,818","1,022","1,264","2,054","3,474","2,075","1,280","1,257","2,154","1,711","1,778","1,049",
2020,4,80,"14,226",759,620,415,517,372,338,588,570,479,330,816,381,553,905,"1,426","1,012",543,588,"1,010",696,823,485,
2020,4,90,"1,617",81,66,46,66,34,39,47,63,44,41,92,47,67,92,158,127,66,81,107,78,105,70,
2020,4,100,85,7,6,5,3,2,3,2,2,0,0,1,3,8,6,17,5,4,0,1,3,7,0,
2020,5,총,"566,213","24,459","15,445","8,938","28,171","14,749","17,763","32,097","29,829","23,889","16,887","31,923","22,012","44,088","16,777","77,402","40,078","20,955","11,667","36,900","19,935","18,818","13,431",
2020,5,0,"42,200","1,802",643,420,"2,210",717,"1,397","2,155","1,962","1,416",942,"1,495","2,132","5,383",659,"9,280","3,121","1,202",414,"2,468",889,801,692,
2020,5,10,"57,145","2,061",785,615,"2,402","1,063","1,770","3,770","3,094","2,659","1,463","2,605","2,140","8,352","1,222","8,465","5,015","1,573",620,"3,771","1,392","1,321",987,
2020,5,20,"80,465","3,026","2,446","1,339","4,343","2,434","2,516","5,139","4,822","4,155","2,580","6,601","2,745","4,203","1,885","9,311","5,486","3,655","1,322","5,199","2,917","2,581","1,760",
2020,5,30,"68,875","2,957","1,986","1,017","3,922","1,829","2,346","3,468","3,429","2,559","2,162","3,661","3,014","4,846","1,365","11,907","4,299","2,946","1,188","4,028","2,346","2,027","1,573",
