년도,월,나이,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020,1,총,"21,250","3,323","9,105","4,498","4,324"
2020,1,0,"2,089",329,695,668,397
2020,1,10,"3,383",459,"1,310","1,017",597
2020,1,20,"2,744",388,"1,328",441,587
2020,1,30,"2,327",318,887,659,463
2020,1,40,"4,101",538,"1,545","1,282",736
2020,1,50,"3,403",620,"1,684",391,708
2020,1,60,"1,968",440,959,15,554
2020,1,70,872,180,471,17,204
2020,1,80,327,45,206,7,69
2020,1,90,36,6,20,1,9
2020,1,100,0,0,0,0,0
2020,2,총,"21,211","3,300","9,028","4,552","4,331"
2020,2,0,"2,054",323,682,659,390
2020,2,10,"3,402",461,"1,286","1,053",602
2020,2,20,"2,714",373,"1,312",444,585
2020,2,30,"2,292",320,856,658,458
2020,2,40,"4,107",522,"1,547","1,294",744
2020,2,50,"3,413",628,"1,671",401,713
2020,2,60,"1,985",440,973,18,554
2020,2,70,875,180,473,16,206
2020,2,80,332,46,208,8,70
2020,2,90,37,7,20,1,9
2020,2,100,0,0,0,0,0
2020,3,총,"21,221","3,317","9,008","4,563","4,333"
2020,3,0,"2,065",316,681,676,392
2020,3,10,"3,386",462,"1,283","1,040",601
2020,3,20,"2,715",386,"1,306",439,584
2020,3,30,"2,313",325,849,680,459
2020,3,40,"4,083",517,"1,537","1,286",743
2020,3,50,"3,420",634,"1,679",399,708
2020,3,60,"1,994",446,974,19,555
2020,3,70,873,178,472,15,208
2020,3,80,336,47,207,8,74
2020,3,90,36,6,20,1,9
2020,3,100,0,0,0,0,0
2020,4,총,"21,294","3,309","8,998","4,634","4,353"
2020,4,0,"2,060",312,675,680,393
2020,4,10,"3,384",455,"1,275","1,056",598
2020,4,20,"2,729",386,"1,306",449,588
2020,4,30,"2,319",326,845,682,466
2020,4,40,"4,097",516,"1,530","1,309",742
2020,4,50,"3,447",637,"1,687",412,711
2020,4,60,"2,015",446,984,22,563
2020,4,70,871,179,468,15,209
2020,4,80,337,48,207,8,74
2020,4,90,35,4,21,1,9
2020,4,100,0,0,0,0,0
2020,5,총,"21,272","3,315","8,992","4,620","4,345"
2020,5,0,"2,053",313,671,680,389
2020,5,10,"3,382",459,"1,276","1,057",590
2020,5,20,"2,710",380,"1,297",443,590
2020,5,30,"2,316",327,841,680,468
2020,5,40,"4,087",525,"1,524","1,304",734
2020,5,50,"3,454",629,"1,693",411,721
2020,5,60,"2,017",448,987,22,560
2020,5,70,879,181,472,14,212
2020,5,80,337,48,209,8,72
2020,5,90,37,5,22,1,9
2020,5,100,0,0,0,0,0
2020,6,총,"21,319","3,323","9,032","4,611","4,353"
2020,6,0,"2,051",314,676,679,382
2020,6,10,"3,375",459,"1,278","1,051",587
2020,6,20,"2,708",377,"1,302",439,590
2020,6,30,"2,330",324,847,684,475
2020,6,40,"4,096",525,"1,534","1,310",727
2020,6,50,"3,466",634,"1,693",405,734
2020,6,60,"2,030",453,996,20,561
2020,6,70,885,184,472,14,215
2020,6,80,341,46,214,8,73
2020,6,90,37,7,20,1,9
2020,6,100,0,0,0,0,0
2020,7,총,"21,306","3,316","9,013","4,633","4,344"
2020,7,0,"2,034",311,674,672,377
2020,7,10,"3,354",451,"1,259","1,058",586
2020,7,20,"2,724",382,"1,301",454,587
2020,7,30,"2,318",324,839,689,466
2020,7,40,"4,096",524,"1,530","1,310",732
2020,7,50,"3,469",630,"1,702",409,728
2020,7,60,"2,043",455,"1,000",19,569
2020,7,70,887,185,472,13,217
2020,7,80,345,47,217,8,73
2020,7,90,36,7,19,1,9
2020,7,100,0,0,0,0,0
2020,8,총,"21,300","3,292","9,003","4,651","4,354"
2020,8,0,"2,030",311,674,672,373
2020,8,10,"3,335",446,"1,259","1,052",578
2020,8,20,"2,715",375,"1,292",460,588
2020,8,30,"2,295",314,826,688,467
