년도,월,나이,부천시,심곡동,부천동,중동,신중동,상동,대산동,소사본동,범안동,성곡동,오정동
2020,1,총,"411,912","33,334","46,100","20,927","63,267","43,412","41,423","28,308","47,579","43,302","44,260"
2020,1,0,"31,554","1,788","3,168","1,508","5,294","4,372","2,705","1,985","5,363","2,527","2,844"
2020,1,10,"38,147","2,140","3,991","2,123","6,017","5,347","3,502","2,328","4,644","4,071","3,984"
2020,1,20,"61,648","5,220","6,908","3,233","9,642","6,400","6,249","4,187","5,949","6,869","6,991"
2020,1,30,"61,829","5,522","6,675","2,797","10,812","6,202","6,268","4,340","7,640","5,496","6,077"
2020,1,40,"66,937","5,439","7,522","3,252","9,797","7,530","6,507","4,077","8,638","6,960","7,215"
2020,1,50,"73,342","6,083","8,479","3,850","10,748","7,592","7,170","4,962","6,942","8,699","8,817"
2020,1,60,"51,122","4,444","5,976","2,741","7,606","4,242","5,663","4,075","5,239","5,573","5,563"
2020,1,70,"20,472","2,066","2,524","1,070","2,515","1,317","2,494","1,813","2,318","2,276","2,079"
2020,1,80,"6,151",587,773,310,731,361,792,480,751,745,621
2020,1,90,653,38,74,39,100,49,65,57,83,81,67
2020,1,100,57,7,10,4,5,0,8,4,12,5,2
2020,2,총,"411,044","33,227","45,907","20,927","63,349","43,219","41,337","28,270","47,462","43,188","44,158"
2020,2,0,"31,209","1,750","3,131","1,498","5,284","4,312","2,661","1,961","5,284","2,494","2,834"
2020,2,10,"37,895","2,136","3,953","2,112","5,983","5,306","3,477","2,321","4,640","4,031","3,936"
2020,2,20,"61,373","5,186","6,856","3,214","9,642","6,372","6,215","4,154","5,939","6,841","6,954"
2020,2,30,"61,556","5,469","6,670","2,825","10,751","6,191","6,228","4,358","7,538","5,480","6,046"
2020,2,40,"66,787","5,430","7,439","3,247","9,871","7,451","6,506","4,062","8,687","6,921","7,173"
2020,2,50,"73,194","6,074","8,445","3,849","10,740","7,576","7,156","4,945","6,933","8,663","8,813"
2020,2,60,"51,535","4,464","6,025","2,754","7,698","4,271","5,713","4,106","5,261","5,630","5,613"
2020,2,70,"20,566","2,086","2,524","1,078","2,534","1,323","2,500","1,807","2,328","2,291","2,095"
2020,2,80,"6,220",588,779,307,739,369,808,496,756,752,626
2020,2,90,651,37,75,39,103,47,65,56,84,80,65
2020,2,100,58,7,10,4,4,1,8,4,12,5,3
2020,3,총,"410,853","33,066","45,809","20,915","63,945","43,084","41,237","28,231","47,448","43,039","44,079"
2020,3,0,"31,056","1,718","3,104","1,480","5,332","4,284","2,649","1,955","5,261","2,463","2,810"
2020,3,10,"37,722","2,110","3,960","2,115","5,998","5,265","3,440","2,314","4,627","3,988","3,905"
2020,3,20,"61,487","5,172","6,836","3,198","9,785","6,381","6,210","4,159","5,950","6,829","6,967"
2020,3,30,"61,334","5,406","6,602","2,839","10,874","6,171","6,190","4,328","7,468","5,442","6,014"
2020,3,40,"66,500","5,388","7,405","3,218","9,925","7,383","6,464","4,034","8,702","6,845","7,136"
2020,3,50,"73,166","6,061","8,419","3,831","10,807","7,556","7,156","4,940","6,945","8,657","8,794"
2020,3,60,"51,897","4,480","6,077","2,787","7,815","4,306","5,721","4,115","5,283","5,661","5,652"
2020,3,70,"20,711","2,097","2,536","1,088","2,553","1,319","2,527","1,822","2,364","2,302","2,103"
2020,3,80,"6,266",591,781,316,748,373,809,503,754,765,626
2020,3,90,657,36,79,39,104,45,63,57,83,82,69
2020,3,100,57,7,10,4,4,1,8,4,11,5,3
2020,4,총,"410,678","33,067","45,682","20,939","64,166","43,076","41,157","28,216","47,377","42,947","44,051"
2020,4,0,"30,891","1,696","3,073","1,480","5,339","4,260","2,624","1,949","5,214","2,462","2,794"
2020,4,10,"37,580","2,101","3,931","2,100","5,995","5,250","3,423","2,313","4,622","3,946","3,899"
2020,4,20,"61,536","5,196","6,836","3,218","9,804","6,377","6,210","4,164","5,935","6,831","6,965"
2020,4,30,"61,184","5,394","6,523","2,834","10,915","6,178","6,165","4,319","7,443","5,423","5,990"
2020,4,40,"66,377","5,385","7,391","3,225","9,934","7,389","6,428","4,011","8,706","6,784","7,124"
2020,4,50,"73,046","6,046","8,393","3,824","10,842","7,537","7,135","4,917","6,920","8,637","8,795"
2020,4,60,"52,178","4,504","6,092","2,803","7,894","4,328","5,736","4,146","5,308","5,697","5,670"
2020,4,70,"20,847","2,109","2,563","1,093","2,585","1,333","2,541","1,825","2,371","2,307","2,120"
2020,4,80,"6,322",590,787,318,752,378,821,511,765,773,627
2020,4,90,658,39,82,40,101,45,66,57,82,82,64
2020,4,100,59,7,11,4,5,1,8,4,11,5,3
2020,5,총,"410,257","32,976","45,602","20,891","64,184","42,991","41,102","28,213","47,564","42,769","43,965"
2020,5,0,"30,772","1,679","3,062","1,477","5,324","4,247","2,602","1,956","5,216","2,429","2,780"
2020,5,10,"37,388","2,092","3,915","2,089","5,968","5,203","3,411","2,293","4,630","3,903","3,884"
2020,5,20,"61,401","5,181","6,843","3,192","9,799","6,347","6,187","4,143","5,950","6,821","6,938"
2020,5,30,"61,032","5,350","6,459","2,827","10,894","6,158","6,171","4,337","7,468","5,379","5,989"
2020,5,40,"66,184","5,356","7,372","3,208","9,922","7,367","6,415","4,001","8,743","6,722","7,078"
2020,5,50,"72,990","6,021","8,357","3,821","10,854","7,540","7,112","4,908","6,955","8,644","8,778"
2020,5,60,"52,442","4,528","6,115","2,812","7,947","4,362","5,749","4,166","5,361","5,705","5,697"
2020,5,70,"20,956","2,126","2,596","1,101","2,604","1,345","2,551","1,831","2,373","2,308","2,121"
2020,5,80,"6,370",599,789,319,768,376,828,516,772,773,630
2020,5,90,663,37,83,41,99,45,68,58,85,80,67
2020,5,100,59,7,11,4,5,1,8,4,11,5,3
2020,6,총,"409,982","32,906","45,535","20,853","64,194","42,949","41,023","28,331","47,693","42,707","43,791"
2020,6,0,"30,639","1,658","3,045","1,470","5,300","4,241","2,590","1,958","5,212","2,408","2,757"
2020,6,10,"37,231","2,095","3,876","2,084","5,940","5,188","3,381","2,293","4,626","3,883","3,865"
2020,6,20,"61,334","5,184","6,863","3,159","9,786","6,312","6,175","4,166","5,987","6,799","6,903"
2020,6,30,"60,878","5,324","6,396","2,820","10,900","6,171","6,121","4,363","7,488","5,357","5,938"
2020,6,40,"66,188","5,351","7,371","3,213","9,919","7,358","6,411","4,030","8,772","6,713","7,050"
2020,6,50,"72,765","5,977","8,336","3,806","10,819","7,514","7,097","4,916","6,968","8,618","8,714"
2020,6,60,"52,777","4,554","6,137","2,832","8,025","4,384","5,783","4,188","5,392","5,745","5,737"
2020,6,70,"21,062","2,121","2,629","1,107","2,627","1,358","2,554","1,842","2,377","2,322","2,125"
2020,6,80,"6,378",596,790,317,773,377,836,512,771,774,632
2020,6,90,671,39,81,41,100,45,67,59,89,83,67
2020,6,100,59,7,11,4,5,1,8,4,11,5,3
2020,7,총,"409,371","32,890","45,456","20,852","64,158","42,861","40,957","28,383","47,520","42,593","43,701"
2020,7,0,"30,481","1,664","3,022","1,474","5,288","4,214","2,568","1,958","5,171","2,379","2,743"
2020,7,10,"37,091","2,082","3,878","2,085","5,918","5,167","3,356","2,282","4,630","3,852","3,841"
2020,7,20,"61,186","5,189","6,843","3,157","9,778","6,285","6,165","4,168","5,974","6,761","6,866"
2020,7,30,"60,690","5,321","6,358","2,827","10,861","6,150","6,111","4,392","7,376","5,347","5,947"
2020,7,40,"65,988","5,327","7,364","3,188","9,915","7,332","6,395","4,038","8,758","6,664","7,007"
2020,7,50,"72,643","5,972","8,315","3,786","10,776","7,523","7,088","4,906","6,976","8,616","8,685"
2020,7,60,"52,972","4,576","6,132","2,850","8,074","4,413","5,804","4,217","5,365","5,766","5,775"
2020,7,70,"21,175","2,121","2,656","1,120","2,668","1,352","2,557","1,838","2,388","2,339","2,136"
2020,7,80,"6,413",592,797,320,776,377,838,520,781,780,632
2020,7,90,672,39,80,41,99,47,67,60,89,84,66
2020,7,100,60,7,11,4,5,1,8,4,12,5,3
