년도,월,나이,중구,동인동,삼덕동,성내1동,성내2동,성내3동,대신동,남산1동,남산2동,남산3동,남산4동,대봉1동,대봉2동
2020,1,총,"39,993","4,629","3,457","2,576","2,255","2,661","4,270","2,703","1,776","3,857","6,426","4,084","1,299"
2020,1,0,"2,654",202,265,90,66,287,481,135,59,299,465,265,40
2020,1,10,"2,548",260,197,134,106,127,253,171,99,258,526,338,79
2020,1,20,"5,958",778,915,736,391,336,418,438,270,396,670,486,124
2020,1,30,"5,356",540,594,324,227,512,748,350,188,515,745,513,100
2020,1,40,"5,356",549,444,277,230,332,564,323,237,580,"1,010",624,186
2020,1,50,"5,882",695,356,301,374,380,679,417,277,602,976,619,206
2020,1,60,"5,467",670,335,285,385,346,530,375,263,569,971,514,224
2020,1,70,"4,258",597,210,269,301,206,391,312,232,400,655,455,230
2020,1,80,"2,074",272,111,124,135,108,168,168,112,205,354,228,89
2020,1,90,365,58,24,33,29,23,29,13,28,29,48,36,15
2020,1,100,75,8,6,3,11,4,9,1,11,4,6,6,6
2020,2,총,"39,967","4,576","3,472","2,597","2,263","2,644","4,259","2,712","1,787","3,848","6,416","4,094","1,299"
2020,2,0,"2,639",197,257,89,64,287,482,136,60,301,466,260,40
2020,2,10,"2,537",256,202,135,103,123,252,174,104,259,520,331,78
2020,2,20,"5,974",766,933,753,404,334,406,433,271,400,662,489,123
2020,2,30,"5,343",532,593,329,223,513,749,348,188,513,740,514,101
2020,2,40,"5,359",548,438,283,232,327,566,322,246,573,"1,015",627,182
2020,2,50,"5,878",691,365,296,368,374,679,422,277,597,977,622,210
2020,2,60,"5,448",662,335,286,385,338,530,371,264,562,975,513,227
2020,2,70,"4,269",587,206,263,305,214,390,320,230,405,653,465,231
2020,2,80,"2,079",272,113,127,136,106,167,171,111,207,353,229,87
2020,2,90,365,56,24,33,32,24,29,14,25,27,49,38,14
2020,2,100,76,9,6,3,11,4,9,1,11,4,6,6,6
2020,3,총,"39,975","4,554","3,483","2,643","2,286","2,635","4,257","2,709","1,791","3,840","6,405","4,078","1,294"
2020,3,0,"2,611",185,256,84,66,290,485,131,62,289,464,260,39
2020,3,10,"2,533",256,202,131,103,120,253,171,104,266,521,330,76
2020,3,20,"6,054",786,947,801,417,330,401,449,270,392,649,489,123
2020,3,30,"5,329",532,594,332,226,514,751,343,188,511,738,501,99
2020,3,40,"5,328",537,432,283,234,325,562,320,245,579,"1,008",617,186
2020,3,50,"5,845",677,368,296,357,373,671,426,274,589,985,623,206
2020,3,60,"5,467",660,333,286,395,337,543,371,265,568,965,522,222
2020,3,70,"4,267",581,207,268,308,215,387,313,230,404,660,463,231
2020,3,80,"2,094",272,113,127,135,105,168,171,116,208,358,230,91
2020,3,90,371,58,25,33,34,22,27,13,26,30,51,37,15
2020,3,100,76,10,6,2,11,4,9,1,11,4,6,6,6
2020,4,총,"39,891","4,512","3,523","2,661","2,280","2,622","4,240","2,715","1,785","3,827","6,380","4,068","1,278"
2020,4,0,"2,567",180,254,84,65,286,482,132,60,283,451,253,37
2020,4,10,"2,515",251,205,133,102,114,250,169,107,265,518,328,73
2020,4,20,"6,123",782,975,825,423,327,406,461,269,386,652,496,121
2020,4,30,"5,314",528,603,328,218,515,747,342,185,517,734,501,96
2020,4,40,"5,308",530,430,285,233,326,567,322,244,575,"1,000",609,187
2020,4,50,"5,808",669,369,293,358,367,660,421,273,586,984,629,199
