년도,월,나이,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2021,9,70,"11,010","2,926","1,321",819,454,814,110,147,705,666,,408,"1,037",993,610
2021,9,80,"3,455",867,449,318,162,266,60,75,228,178,,130,302,253,167
2021,9,90,271,76,31,29,14,26,6,6,9,17,,9,22,18,8
2021,9,100,13,5,2,1,1,2,0,1,1,0,,0,0,0,0
2021,10,총,"197,315","57,252","24,469","12,383","5,296","8,007",794,"1,334","13,337","11,193",,"9,161","19,946","17,274","16,869"
2021,10,0,"17,118","5,563","1,891",692,226,515,20,69,"1,068",756,,973,"1,443","1,320","2,582"
2021,10,10,"17,476","4,607","2,509",957,332,685,33,96,"1,154",984,,788,"1,810","1,395","2,126"
2021,10,20,"23,969","6,958","2,983","1,567",586,673,58,91,"1,885","1,486",,"1,200","2,684","2,298","1,500"
2021,10,30,"28,967","9,892","3,259","1,523",597,756,55,103,"1,957","1,557",,"1,415","2,730","2,427","2,696"
2021,10,40,"35,695","11,005","4,332","1,919",798,"1,371",78,189,"2,208","1,908",,"1,631","3,489","3,033","3,734"
2021,10,50,"33,235","8,616","4,410","2,537","1,083","1,383",149,259,"2,372","2,035",,"1,497","3,696","3,061","2,137"
2021,10,60,"26,036","6,712","3,275","2,018","1,042","1,514",225,299,"1,742","1,601",,"1,106","2,722","2,466","1,314"
2021,10,70,"11,029","2,923","1,322",820,453,815,110,146,714,669,,409,"1,048",993,607
2021,10,80,"3,499",891,455,320,164,266,59,75,227,179,,133,301,264,165
2021,10,90,278,80,31,29,14,27,7,6,9,18,,9,23,17,8
2021,10,100,13,5,2,1,1,2,0,1,1,0,,0,0,0,0
2021,11,총,"197,285","57,279","24,372","12,370","5,268","8,040",789,"1,322","13,441","11,171",,"9,178","19,947","17,270","16,838"
2021,11,0,"17,043","5,537","1,886",690,223,516,16,71,"1,081",747,,973,"1,433","1,304","2,566"
2021,11,10,"17,385","4,605","2,441",947,333,689,31,95,"1,157",972,,778,"1,810","1,399","2,128"
2021,11,20,"23,908","6,935","2,948","1,570",585,667,58,92,"1,897","1,484",,"1,196","2,688","2,280","1,508"
2021,11,30,"28,883","9,865","3,248","1,514",594,769,55,98,"1,992","1,543",,"1,420","2,716","2,407","2,662"
2021,11,40,"35,756","11,034","4,338","1,911",784,"1,366",74,185,"2,237","1,908",,"1,649","3,481","3,045","3,744"
2021,11,50,"33,322","8,651","4,417","2,540","1,077","1,396",151,257,"2,387","2,045",,"1,492","3,710","3,067","2,132"
2021,11,60,"26,138","6,760","3,282","2,025","1,041","1,519",229,295,"1,746","1,602",,"1,112","2,741","2,480","1,306"
2021,11,70,"11,044","2,911","1,325",825,453,823,109,146,707,674,,416,"1,048",996,611
2021,11,80,"3,523",899,456,320,161,265,59,76,230,179,,133,298,275,172
2021,11,90,273,78,29,28,16,28,7,6,7,17,,9,22,17,9
2021,11,100,10,4,2,0,1,2,0,1,0,0,,0,0,0,0
2021,12,총,"197,673","57,022","24,168","12,365","5,252","8,054",782,"1,320","14,725","11,105",,"9,152","19,825","17,142","16,761"
2021,12,0,"17,004","5,420","1,819",680,215,513,16,73,"1,389",728,,961,"1,402","1,271","2,517"
2021,12,10,"17,349","4,590","2,366",945,332,694,29,94,"1,254",963,,762,"1,808","1,383","2,129"
2021,12,20,"23,893","6,903","2,920","1,563",582,660,57,93,"2,016","1,471",,"1,204","2,649","2,262","1,513"
2021,12,30,"28,954","9,785","3,213","1,516",585,763,54,99,"2,361","1,513",,"1,405","2,683","2,369","2,608"
2021,12,40,"35,920","11,010","4,322","1,909",783,"1,371",76,182,"2,503","1,904",,"1,648","3,452","3,025","3,735"
2021,12,50,"33,402","8,655","4,417","2,529","1,078","1,405",150,258,"2,444","2,043",,"1,489","3,714","3,072","2,148"
2021,12,60,"26,223","6,757","3,301","2,044","1,050","1,529",226,294,"1,767","1,605",,"1,118","2,749","2,468","1,315"
2021,12,70,"11,051","2,905","1,319",824,445,824,111,145,738,674,,421,"1,042",995,608
2021,12,80,"3,593",914,461,325,164,267,56,75,246,187,,135,304,280,179
2021,12,90,276,79,29,30,17,27,7,6,7,17,,9,22,17,9
2021,12,100,8,4,1,0,1,1,0,1,0,0,,0,0,0,0
