년도,월,나이,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2020,1,총,"30,685","10,547","3,086","3,712","3,560","3,474","3,290","2,373",284,359
2020,1,0,"1,800",894,131,220,142,119,120,124,20,30
2020,1,10,"2,303","1,158",183,252,178,199,150,132,15,36
2020,1,20,"2,488","1,162",205,280,233,235,218,120,17,18
2020,1,30,"2,348","1,084",190,295,223,186,173,152,20,25
2020,1,40,"3,625","1,519",328,410,394,335,268,300,31,40
2020,1,50,"5,183","1,759",534,606,637,632,542,372,44,57
2020,1,60,"5,054","1,358",573,694,677,646,609,399,40,58
2020,1,70,"4,825","1,057",570,553,639,676,753,463,52,62
2020,1,80,"2,712",493,334,356,385,383,404,288,40,29
2020,1,90,334,61,37,42,51,62,52,20,5,4
2020,1,100,13,2,1,4,1,1,1,3,0,0
2020,2,총,"30,601","10,579","3,074","3,689","3,541","3,466","3,260","2,359",280,353
2020,2,0,"1,799",896,133,219,140,124,119,119,19,30
2020,2,10,"2,280","1,161",182,249,178,197,136,131,12,34
2020,2,20,"2,452","1,146",203,275,229,231,211,122,19,16
2020,2,30,"2,328","1,088",187,292,220,182,172,144,19,24
2020,2,40,"3,618","1,538",330,405,384,335,261,296,31,38
2020,2,50,"5,165","1,758",527,600,643,621,538,376,44,58
2020,2,60,"5,062","1,372",581,688,672,643,612,397,40,57
2020,2,70,"4,812","1,054",560,555,637,682,746,464,52,62
2020,2,80,"2,729",502,334,356,386,383,413,286,39,30
2020,2,90,340,62,36,45,51,67,50,20,5,4
2020,2,100,16,2,1,5,1,1,2,4,0,0
2020,3,총,"30,564","10,566","3,064","3,692","3,526","3,473","3,263","2,344",278,358
2020,3,0,"1,792",889,130,222,137,128,119,116,19,32
2020,3,10,"2,268","1,162",180,245,175,198,132,130,12,34
2020,3,20,"2,446","1,143",198,277,225,232,211,126,19,15
2020,3,30,"2,307","1,080",188,288,216,180,175,138,18,24
2020,3,40,"3,597","1,533",327,406,375,334,262,288,31,41
2020,3,50,"5,124","1,745",532,590,640,611,532,371,44,59
2020,3,60,"5,108","1,393",579,700,675,641,622,403,40,55
2020,3,70,"4,802","1,050",550,553,644,690,740,458,52,65
2020,3,80,"2,755",508,342,357,384,388,417,291,39,29
2020,3,90,349,61,37,49,54,70,51,19,4,4
2020,3,100,16,2,1,5,1,1,2,4,0,0
2020,4,총,"30,511","10,559","3,068","3,681","3,516","3,464","3,236","2,352",279,356
2020,4,0,"1,780",889,131,220,130,132,114,114,18,32
2020,4,10,"2,260","1,156",174,247,175,200,130,132,12,34
2020,4,20,"2,444","1,139",206,272,227,223,212,131,19,15
2020,4,30,"2,313","1,090",192,288,214,178,173,135,19,24
2020,4,40,"3,589","1,533",327,404,371,338,255,288,31,42
2020,4,50,"5,083","1,737",525,586,641,604,522,365,45,58
2020,4,60,"5,136","1,400",582,703,675,646,625,409,41,55
2020,4,70,"4,762","1,042",550,551,639,677,727,460,52,64
2020,4,80,"2,779",509,341,358,391,393,426,294,39,28
2020,4,90,349,62,39,47,52,72,50,20,3,4
2020,4,100,16,2,1,5,1,1,2,4,0,0
2020,5,총,"30,494","10,681","3,040","3,655","3,483","3,457","3,211","2,336",276,355
2020,5,0,"1,768",905,121,211,126,129,114,111,18,33
2020,5,10,"2,259","1,171",176,246,166,197,129,129,11,34
2020,5,20,"2,428","1,157",195,264,223,218,205,131,20,15
2020,5,30,"2,292","1,109",188,282,205,176,163,128,18,23
2020,5,40,"3,585","1,558",325,394,365,331,252,288,29,43
2020,5,50,"5,086","1,742",520,590,636,610,523,362,46,57
2020,5,60,"5,147","1,416",582,703,673,649,622,406,41,55
2020,5,70,"4,762","1,049",547,550,642,676,721,462,51,64
2020,5,80,"2,793",509,344,362,391,397,430,294,39,27
2020,5,90,357,62,41,48,55,73,50,21,3,4
2020,5,100,17,3,1,5,1,1,2,4,0,0
2020,6,총,"30,461","10,693","3,029","3,653","3,481","3,439","3,197","2,337",277,355
2020,6,0,"1,757",900,119,210,124,128,113,111,19,33
2020,6,10,"2,257","1,172",177,247,168,191,130,128,10,34
2020,6,20,"2,420","1,162",190,262,220,217,200,131,22,16
2020,6,30,"2,286","1,111",188,281,202,175,160,129,18,22
2020,6,40,"3,569","1,561",321,386,364,329,247,288,29,44
2020,6,50,"5,043","1,738",512,589,628,601,513,363,44,55
2020,6,60,"5,166","1,425",587,705,670,649,628,405,42,55
2020,6,70,"4,776","1,052",547,553,649,674,725,460,51,65
2020,6,80,"2,816",510,346,368,399,402,429,297,39,26
2020,6,90,353,59,41,46,56,72,50,21,3,5
2020,6,100,18,3,1,6,1,1,2,4,0,0
2020,7,총,"30,425","10,700","3,025","3,647","3,475","3,424","3,187","2,336",271,360
