년도,월,나이,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2020,1,총,"23,733","2,837","2,014","6,592","7,910","1,148","1,972","1,208",52,0,0,0,0
2020,1,0,"1,763",197,223,410,611,82,137,103,0,0,0,0,0
2020,1,10,"2,094",296,132,572,764,64,192,71,3,0,0,0,0
2020,1,20,"4,030",448,430,"1,206","1,115",335,286,210,0,0,0,0,0
2020,1,30,"2,659",327,267,705,874,142,199,143,2,0,0,0,0
2020,1,40,"3,185",378,222,896,"1,126",127,306,123,7,0,0,0,0
2020,1,50,"3,969",495,280,"1,140","1,365",131,348,201,9,0,0,0,0
2020,1,60,"3,043",332,228,871,"1,040",124,258,182,8,0,0,0,0
2020,1,70,"2,158",266,156,573,741,102,169,132,19,0,0,0,0
2020,1,80,747,89,71,200,239,34,72,38,4,0,0,0,0
2020,1,90,74,9,5,16,30,5,4,5,0,0,0,0,0
2020,1,100,11,0,0,3,5,2,1,0,0,0,0,0,0
2020,2,총,"23,636","2,820","2,000","6,565","7,894","1,136","1,963","1,206",52,0,0,0,0
2020,2,0,"1,745",195,222,411,609,72,134,102,0,0,0,0,0
2020,2,10,"2,066",292,130,570,751,63,185,72,3,0,0,0,0
2020,2,20,"4,002",445,429,"1,182","1,112",338,289,207,0,0,0,0,0
2020,2,30,"2,645",318,262,706,873,141,198,145,2,0,0,0,0
2020,2,40,"3,171",378,220,894,"1,126",118,309,119,7,0,0,0,0
2020,2,50,"3,959",496,278,"1,135","1,359",138,343,201,9,0,0,0,0
2020,2,60,"3,062",332,228,876,"1,051",124,259,184,8,0,0,0,0
2020,2,70,"2,142",267,153,567,735,101,168,133,18,0,0,0,0
2020,2,80,759,88,73,205,243,34,73,38,5,0,0,0,0
2020,2,90,73,9,5,15,30,5,4,5,0,0,0,0,0
2020,2,100,12,0,0,4,5,2,1,0,0,0,0,0,0
2020,3,총,"23,561","2,825","1,994","6,535","7,872","1,125","1,957","1,201",52,0,0,0,0
2020,3,0,"1,731",193,223,407,608,69,132,99,0,0,0,0,0
2020,3,10,"2,045",288,128,566,746,58,184,72,3,0,0,0,0
2020,3,20,"3,958",442,420,"1,166","1,101",335,284,210,0,0,0,0,0
2020,3,30,"2,639",317,258,704,873,144,197,144,2,0,0,0,0
2020,3,40,"3,156",384,223,891,"1,114",117,304,116,7,0,0,0,0
2020,3,50,"3,947",494,280,"1,134","1,357",136,342,195,9,0,0,0,0
2020,3,60,"3,087",335,231,877,"1,059",124,266,188,7,0,0,0,0
2020,3,70,"2,143",273,151,565,733,100,169,134,18,0,0,0,0
2020,3,80,771,91,75,205,247,35,74,38,6,0,0,0,0
2020,3,90,72,8,5,16,29,5,4,5,0,0,0,0,0
2020,3,100,12,0,0,4,5,2,1,0,0,0,0,0,0
2020,4,총,"23,476","2,832","1,974","6,517","7,827","1,122","1,960","1,192",52,0,0,0,0
2020,4,0,"1,726",197,220,409,598,71,131,100,0,0,0,0,0
2020,4,10,"2,026",288,127,559,737,58,185,69,3,0,0,0,0
2020,4,20,"3,921",443,409,"1,152","1,097",330,281,209,0,0,0,0,0
2020,4,30,"2,623",320,255,703,860,144,198,141,2,0,0,0,0
2020,4,40,"3,145",383,221,888,"1,110",117,305,114,7,0,0,0,0
2020,4,50,"3,929",492,278,"1,132","1,350",133,342,193,9,0,0,0,0
2020,4,60,"3,100",335,233,877,"1,061",128,268,191,7,0,0,0,0
2020,4,70,"2,150",275,151,571,734,99,170,133,17,0,0,0,0
2020,4,80,772,91,75,206,246,35,75,37,7,0,0,0,0
2020,4,90,72,8,5,16,29,5,4,5,0,0,0,0,0
2020,4,100,12,0,0,4,5,2,1,0,0,0,0,0,0
2020,5,총,"23,475","2,819","1,974","6,536","7,829","1,122","1,953","1,190",52,0,0,0,0
2020,5,0,"1,728",197,220,413,593,73,132,100,0,0,0,0,0
2020,5,10,"2,033",286,128,563,738,58,188,69,3,0,0,0,0
2020,5,20,"3,919",435,402,"1,163","1,105",328,279,207,0,0,0,0,0
2020,5,30,"2,612",316,260,699,858,145,195,137,2,0,0,0,0
2020,5,40,"3,128",381,220,889,"1,099",113,303,116,7,0,0,0,0
2020,5,50,"3,919",491,279,"1,125","1,355",133,339,188,9,0,0,0,0
2020,5,60,"3,131",342,235,886,"1,065",130,268,198,7,0,0,0,0
2020,5,70,"2,146",270,150,573,733,100,170,133,17,0,0,0,0
2020,5,80,774,93,75,205,247,35,75,37,7,0,0,0,0
2020,5,90,73,8,5,16,31,5,3,5,0,0,0,0,0
2020,5,100,12,0,0,4,5,2,1,0,0,0,0,0,0
2020,6,총,"23,401","2,803","1,951","6,498","7,834","1,113","1,955","1,195",52,0,0,0,0
2020,6,0,"1,714",191,215,408,591,77,131,101,0,0,0,0,0
2020,6,10,"2,022",285,130,560,730,60,187,67,3,0,0,0,0
2020,6,20,"3,868",426,387,"1,150","1,107",312,280,206,0,0,0,0,0
2020,6,30,"2,612",322,257,690,854,147,200,140,2,0,0,0,0
2020,6,40,"3,122",377,220,887,"1,102",113,304,112,7,0,0,0,0
2020,6,50,"3,904",491,275,"1,115","1,355",131,337,191,9,0,0,0,0
2020,6,60,"3,144",339,237,885,"1,077",131,266,202,7,0,0,0,0
2020,6,70,"2,150",268,149,577,732,100,173,134,17,0,0,0,0
2020,6,80,778,95,76,205,250,35,73,37,7,0,0,0,0
2020,6,90,75,9,5,17,31,5,3,5,0,0,0,0,0
2020,6,100,12,0,0,4,5,2,1,0,0,0,0,0,0
2020,7,총,"23,346","2,796","1,939","6,480","7,821","1,108","1,946","1,206",50,0,0,0,0
2020,7,0,"1,713",192,214,407,590,79,128,103,0,0,0,0,0
2020,7,10,"2,009",284,131,558,722,59,185,67,3,0,0,0,0
2020,7,20,"3,825",425,382,"1,126","1,106",303,276,207,0,0,0,0,0
2020,7,30,"2,611",316,253,696,853,147,199,145,2,0,0,0,0
2020,7,40,"3,103",378,216,878,"1,095",116,301,113,6,0,0,0,0
2020,7,50,"3,911",488,274,"1,119","1,359",130,342,190,9,0,0,0,0
2020,7,60,"3,155",343,239,889,"1,076",132,265,204,7,0,0,0,0
2020,7,70,"2,143",267,150,576,731,99,172,132,16,0,0,0,0
2020,7,80,789,95,75,208,254,36,74,40,7,0,0,0,0
2020,7,90,75,8,5,19,30,5,3,5,0,0,0,0,0
2020,7,100,12,0,0,4,5,2,1,0,0,0,0,0,0
2020,8,총,"23,280","2,792","1,926","6,466","7,791","1,109","1,940","1,206",50,0,0,0,0
2020,8,0,"1,711",198,212,407,587,79,127,101,0,0,0,0,0
2020,8,10,"1,993",281,131,558,717,59,178,67,2,0,0,0,0
2020,8,20,"3,804",421,369,"1,117","1,103",302,285,206,1,0,0,0,0
2020,8,30,"2,592",311,250,691,850,145,198,145,2,0,0,0,0
2020,8,40,"3,096",377,220,880,"1,079",120,297,117,6,0,0,0,0
2020,8,50,"3,885",490,272,"1,109","1,355",128,337,185,9,0,0,0,0
2020,8,60,"3,187",347,243,895,"1,086",133,267,209,7,0,0,0,0
2020,8,70,"2,133",264,147,575,728,100,172,131,16,0,0,0,0
2020,8,80,791,95,77,210,251,36,75,40,7,0,0,0,0
2020,8,90,76,8,5,20,30,5,3,5,0,0,0,0,0
2020,8,100,12,0,0,4,5,2,1,0,0,0,0,0,0
2020,9,총,"23,267","2,788","1,930","6,468","7,784","1,115","1,925","1,207",50,0,0,0,0
2020,9,0,"1,712",196,212,411,586,81,125,101,0,0,0,0,0
2020,9,10,"1,992",282,129,559,716,59,177,68,2,0,0,0,0
2020,9,20,"3,780",412,372,"1,108","1,099",302,286,200,1,0,0,0,0
2020,9,30,"2,604",317,252,696,848,146,194,149,2,0,0,0,0
2020,9,40,"3,082",369,221,875,"1,077",123,295,117,5,0,0,0,0
2020,9,50,"3,873",490,271,"1,108","1,350",128,333,183,10,0,0,0,0
2020,9,60,"3,220",352,244,905,"1,099",134,267,212,7,0,0,0,0
2020,9,70,"2,121",266,148,570,725,98,168,131,15,0,0,0,0
2020,9,80,794,96,75,212,249,37,76,41,8,0,0,0,0
2020,9,90,77,8,6,20,30,5,3,5,0,0,0,0,0
2020,9,100,12,0,0,4,5,2,1,0,0,0,0,0,0
2020,10,총,"23,261","2,777","1,934","6,432","7,799","1,121","1,922","1,225",51,0,0,0,0
2020,10,0,"1,695",192,213,403,580,80,127,100,0,0,0,0,0
2020,10,10,"1,990",280,131,554,721,59,172,71,2,0,0,0,0
2020,10,20,"3,804",412,374,"1,093","1,109",311,286,218,1,0,0,0,0
2020,10,30,"2,591",310,256,693,844,145,197,144,2,0,0,0,0
2020,10,40,"3,069",370,215,872,"1,074",122,292,118,6,0,0,0,0
2020,10,50,"3,863",491,271,"1,098","1,353",128,332,180,10,0,0,0,0
2020,10,60,"3,251",356,246,914,"1,110",133,270,215,7,0,0,0,0
2020,10,70,"2,102",262,145,565,720,98,165,132,15,0,0,0,0
2020,10,80,803,96,77,215,251,37,77,42,8,0,0,0,0
2020,10,90,81,8,6,21,32,6,3,5,0,0,0,0,0
2020,10,100,12,0,0,4,5,2,1,0,0,0,0,0,0
2020,11,총,"23,235","2,763","1,917","6,436","7,803","1,117","1,917","1,231",51,0,0,0,0
2020,11,0,"1,691",193,207,405,575,81,125,105,0,0,0,0,0
2020,11,10,"1,981",276,131,546,726,58,173,69,2,0,0,0,0
2020,11,20,"3,800",408,366,"1,094","1,112",312,289,218,1,0,0,0,0
2020,11,30,"2,574",307,256,700,829,146,188,146,2,0,0,0,0
2020,11,40,"3,055",367,210,865,"1,081",116,292,118,6,0,0,0,0
2020,11,50,"3,862",489,269,"1,094","1,359",129,332,180,10,0,0,0,0
2020,11,60,"3,275",358,249,926,"1,113",131,274,217,7,0,0,0,0
2020,11,70,"2,095",262,145,563,717,99,164,130,15,0,0,0,0
2020,11,80,809,95,78,217,254,37,76,44,8,0,0,0,0
2020,11,90,82,8,6,22,33,6,3,4,0,0,0,0,0
2020,11,100,11,0,0,4,4,2,1,0,0,0,0,0,0
2020,12,총,"23,216","2,757","1,915","6,462","7,794","1,111","1,905","1,220",52,0,0,0,0
2020,12,0,"1,706",193,210,415,576,84,127,101,0,0,0,0,0
2020,12,10,"1,965",278,129,541,719,55,170,71,2,0,0,0,0
2020,12,20,"3,789",404,364,"1,100","1,109",312,283,216,1,0,0,0,0
2020,12,30,"2,583",304,254,716,831,148,182,146,2,0,0,0,0
2020,12,40,"3,036",364,214,863,"1,072",112,289,116,6,0,0,0,0
2020,12,50,"3,857",483,266,"1,094","1,366",129,332,177,10,0,0,0,0
2020,12,60,"3,290",366,251,929,"1,117",129,275,215,8,0,0,0,0
2020,12,70,"2,085",260,141,561,711,101,167,129,15,0,0,0,0
2020,12,80,813,97,80,217,255,35,76,45,8,0,0,0,0
2020,12,90,81,8,6,22,34,4,3,4,0,0,0,0,0
2020,12,100,11,0,0,4,4,2,1,0,0,0,0,0,0
2021,1,총,"23,151","2,748","1,900","6,454","7,781","1,101","1,899","1,216",52,0,0,0,0
2021,1,0,"1,690",194,204,413,573,84,123,99,0,0,0,0,0
2021,1,10,"1,952",272,127,539,716,56,170,70,2,0,0,0,0
2021,1,20,"3,762",403,361,"1,098","1,101",304,282,212,1,0,0,0,0
2021,1,30,"2,581",309,249,715,830,147,179,150,2,0,0,0,0
2021,1,40,"3,032",360,214,861,"1,076",112,287,116,6,0,0,0,0
2021,1,50,"3,826",479,266,"1,082","1,352",126,335,176,10,0,0,0,0
2021,1,60,"3,307",364,252,941,"1,124",130,273,215,8,0,0,0,0
2021,1,70,"2,085",262,138,560,713,101,168,128,15,0,0,0,0
2021,1,80,824,96,82,221,258,35,78,46,8,0,0,0,0
2021,1,90,82,9,7,21,34,4,3,4,0,0,0,0,0
2021,1,100,10,0,0,3,4,2,1,0,0,0,0,0,0
