년도,월,나이,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2020,3,총,"299,042","17,340","27,247","23,211","11,726","15,422","24,453","15,996","15,787","23,826","14,903","26,860","16,756","14,049","17,044","11,340","10,936","12,146"
2020,3,0,"21,364","1,237","2,453","1,278",444,"1,035","1,949","1,240","1,334","1,797","1,420","2,678","1,073",840,898,615,584,489
2020,3,10,"21,142","1,270","1,666","1,783",872,"1,090","2,234","1,747","1,135","1,582",980,"1,707","1,201",990,990,555,651,689
2020,3,20,"45,724","2,560","4,437","4,459","4,319","2,511","3,072","1,791","1,880","3,012","1,594","3,073","2,589","2,227","2,447","2,064","1,706","1,983"
2020,3,30,"50,243","3,005","4,874","3,273","1,621","2,491","3,817","2,293","2,853","4,308","2,836","5,295","2,940","2,596","2,659","2,029","1,668","1,685"
2020,3,40,"46,647","2,732","4,084","3,160","1,171","2,364","4,266","3,052","2,601","3,851","2,632","4,459","2,515","2,226","2,475","1,525","1,655","1,879"
2020,3,50,"48,272","2,805","4,435","3,838","1,288","2,523","3,926","2,446","2,404","3,734","2,154","3,971","3,047","2,169","3,286","1,882","2,039","2,325"
2020,3,60,"35,585","2,049","2,912","2,912",937,"1,835","2,687","1,686","1,973","2,917","1,741","3,072","2,034","1,703","2,510","1,460","1,550","1,607"
2020,3,70,"20,493","1,160","1,588","1,723",763,"1,087","1,710","1,178","1,081","1,776","1,069","1,707",926,886,"1,229",824,748,"1,038"
2020,3,80,"8,199",438,672,682,267,412,674,491,464,718,414,740,373,352,466,339,284,413
2020,3,90,"1,135",64,103,86,34,66,99,64,50,104,54,131,50,46,70,37,43,34
2020,3,100,238,20,23,17,10,8,19,8,12,27,9,27,8,14,14,10,8,4
2020,4,총,"298,249","17,326","27,239","23,204","11,758","14,988","24,407","15,966","15,791","23,759","14,906","26,885","16,706","13,950","16,995","11,313","10,953","12,103"
2020,4,0,"21,235","1,240","2,454","1,267",440,"1,030","1,912","1,228","1,338","1,787","1,419","2,671","1,064",821,889,613,583,479
2020,4,10,"21,009","1,253","1,657","1,771",881,"1,074","2,236","1,730","1,124","1,565",988,"1,703","1,187",978,973,558,650,681
2020,4,20,"45,594","2,560","4,418","4,448","4,365","2,405","3,062","1,784","1,872","3,020","1,579","3,060","2,593","2,211","2,449","2,057","1,716","1,995"
2020,4,30,"50,127","2,993","4,868","3,287","1,618","2,452","3,799","2,309","2,860","4,290","2,833","5,303","2,920","2,582","2,655","2,015","1,656","1,687"
2020,4,40,"46,352","2,716","4,082","3,152","1,144","2,278","4,250","3,030","2,603","3,814","2,636","4,462","2,494","2,208","2,451","1,522","1,657","1,853"
2020,4,50,"48,151","2,813","4,440","3,832","1,294","2,446","3,941","2,446","2,401","3,725","2,147","3,972","3,050","2,163","3,261","1,870","2,043","2,307"
2020,4,60,"35,668","2,062","2,920","2,920",938,"1,790","2,689","1,688","1,976","2,934","1,756","3,091","2,051","1,689","2,536","1,462","1,558","1,608"
2020,4,70,"20,496","1,164","1,600","1,732",764,"1,036","1,717","1,185","1,084","1,776","1,063","1,732",921,883,"1,230",826,748,"1,035"
2020,4,80,"8,244",441,672,692,270,402,682,493,471,714,422,737,371,356,468,342,291,420
2020,4,90,"1,135",64,105,86,34,67,100,65,50,107,54,127,47,45,69,38,43,34
2020,4,100,238,20,23,17,10,8,19,8,12,27,9,27,8,14,14,10,8,4
2020,5,총,"297,820","17,322","27,276","23,148","11,825","14,640","24,385","15,914","15,775","23,768","14,884","26,909","16,715","13,917","17,003","11,294","10,945","12,100"
2020,5,0,"21,133","1,239","2,454","1,257",437,"1,016","1,890","1,214","1,334","1,765","1,417","2,689","1,055",815,897,605,580,469
2020,5,10,"20,911","1,254","1,646","1,749",877,"1,061","2,226","1,731","1,112","1,569",978,"1,710","1,184",972,970,551,637,684
2020,5,20,"45,596","2,562","4,424","4,441","4,425","2,341","3,059","1,780","1,858","3,026","1,564","3,071","2,591","2,230","2,436","2,064","1,719","2,005"
2020,5,30,"50,017","2,983","4,863","3,273","1,634","2,414","3,793","2,285","2,845","4,283","2,829","5,266","2,930","2,566","2,666","2,016","1,668","1,703"
2020,5,40,"46,158","2,702","4,070","3,155","1,138","2,232","4,227","3,011","2,603","3,814","2,623","4,472","2,482","2,186","2,438","1,521","1,640","1,844"
2020,5,50,"48,100","2,816","4,469","3,816","1,290","2,379","3,948","2,450","2,396","3,734","2,159","3,976","3,052","2,157","3,254","1,852","2,043","2,309"
2020,5,60,"35,688","2,065","2,934","2,922",937,"1,715","2,696","1,680","1,999","2,956","1,765","3,094","2,068","1,693","2,544","1,459","1,560","1,601"
2020,5,70,"20,551","1,175","1,609","1,735",760,"1,011","1,738","1,198","1,094","1,765","1,060","1,738",921,882,"1,242",838,755,"1,030"
2020,5,80,"8,272",442,678,698,281,394,687,491,470,722,428,732,377,355,473,338,292,414
2020,5,90,"1,155",64,107,84,36,69,101,66,52,107,52,134,47,47,69,40,43,37
2020,5,100,239,20,22,18,10,8,20,8,12,27,9,27,8,14,14,10,8,4
2020,6,총,"297,397","17,288","27,304","23,094","11,901","14,473","24,349","15,887","15,830","23,743","14,879","26,860","16,714","13,824","16,944","11,312","10,913","12,082"
2020,6,0,"21,109","1,241","2,441","1,252",436,"1,021","1,894","1,209","1,347","1,773","1,410","2,685","1,059",800,896,608,569,468
