년도,월,나이,여주시,가남읍,점동면,흥천면,금사면,능서면,대신면,북내면,강천면,산북면,여흥동,중앙동,오학동,세종대왕면
2020,1,총,"54,629","7,482","2,212","2,398","1,427","3,119","3,449","2,391","1,987","1,309","11,032","9,291","8,532",
2020,1,0,"3,700",544,66,83,42,175,109,79,72,73,829,689,939,
2020,1,10,"4,772",644,134,126,70,203,212,165,121,81,"1,015","1,129",872,
2020,1,20,"5,508",723,193,192,97,249,247,192,154,97,"1,346","1,115",903,
2020,1,30,"5,674",832,136,155,77,243,205,148,138,97,"1,310",984,"1,349",
2020,1,40,"7,771","1,041",194,221,132,289,348,276,212,133,"1,756","1,694","1,475",
2020,1,50,"9,610","1,326",402,475,274,564,654,440,371,229,"1,938","1,560","1,377",
2020,1,60,"8,425","1,157",486,511,349,597,711,445,422,279,"1,515","1,109",844,
2020,1,70,"5,345",684,316,354,226,427,550,360,264,195,829,652,488,
2020,1,80,"3,199",448,250,230,127,312,350,249,181,108,407,300,237,
2020,1,90,600,79,35,50,32,60,61,34,51,16,83,56,43,
2020,1,100,25,4,0,1,1,0,2,3,1,1,4,3,5,
2020,2,총,"54,630","7,465","2,214","2,397","1,429","3,124","3,440","2,382","1,989","1,305","11,021","9,277","8,587",
2020,2,0,"3,705",548,66,83,41,173,113,78,74,72,818,692,947,
2020,2,10,"4,745",633,132,124,69,206,210,164,124,78,"1,011","1,123",871,
2020,2,20,"5,468",717,197,188,97,244,237,190,145,101,"1,333","1,107",912,
2020,2,30,"5,678",825,135,154,79,246,206,142,145,96,"1,312",987,"1,351",
2020,2,40,"7,748","1,043",189,222,130,292,347,272,211,129,"1,751","1,671","1,491",
2020,2,50,"9,585","1,321",405,469,274,557,644,439,366,229,"1,930","1,569","1,382",
2020,2,60,"8,503","1,164",485,526,347,600,717,454,423,281,"1,534","1,122",850,
2020,2,70,"5,356",687,321,349,228,430,549,358,267,194,833,649,491,
2020,2,80,"3,216",445,250,232,131,309,354,248,182,109,411,302,243,
2020,2,90,601,78,34,49,32,67,61,34,51,15,84,52,44,
2020,2,100,25,4,0,1,1,0,2,3,1,1,4,3,5,
2020,3,총,"54,668","7,464","2,219","2,397","1,436","3,125","3,434","2,370","2,001","1,298","11,026","9,258","8,640",
2020,3,0,"3,710",545,75,82,42,175,109,72,75,68,804,689,974,
2020,3,10,"4,731",631,130,125,71,207,207,165,121,77,"1,019","1,107",871,
2020,3,20,"5,493",717,197,188,97,244,238,187,148,103,"1,342","1,114",918,
2020,3,30,"5,640",821,129,149,83,244,203,137,146,93,"1,299",986,"1,350",
2020,3,40,"7,744","1,044",186,221,126,289,349,273,216,126,"1,762","1,657","1,495",
2020,3,50,"9,569","1,313",406,465,276,556,638,434,369,226,"1,928","1,571","1,387",
2020,3,60,"8,568","1,176",488,529,350,606,721,458,427,285,"1,541","1,122",865,
2020,3,70,"5,364",690,322,356,226,426,550,361,270,192,833,653,485,
2020,3,80,"3,217",444,251,231,131,310,356,246,178,110,413,301,246,
2020,3,90,606,79,35,50,33,68,61,33,50,17,81,55,44,
2020,3,100,26,4,0,1,1,0,2,4,1,1,4,3,5,
2020,4,총,"54,706","7,483","2,214","2,408","1,431","3,120","3,434","2,368","2,016","1,292","11,008","9,265","8,667",
2020,4,0,"3,702",544,71,83,43,172,108,73,76,67,798,685,982,
2020,4,10,"4,714",628,131,130,72,205,206,167,121,75,"1,011","1,104",864,
2020,4,20,"5,497",726,198,189,94,251,238,179,148,102,"1,332","1,116",924,
2020,4,30,"5,641",823,129,150,86,236,205,141,149,92,"1,283",997,"1,350",
2020,4,40,"7,735","1,049",184,222,124,288,345,273,219,124,"1,760","1,645","1,502",
2020,4,50,"9,551","1,310",400,460,271,552,635,428,372,227,"1,937","1,575","1,384",
2020,4,60,"8,625","1,180",488,533,349,607,727,462,431,286,"1,551","1,131",880,
2020,4,70,"5,379",698,324,359,228,429,549,362,269,192,831,652,486,
2020,4,80,"3,229",446,253,230,129,312,357,242,182,109,419,303,247,
2020,4,90,607,75,36,51,34,68,62,37,48,17,82,54,43,
2020,4,100,26,4,0,1,1,0,2,4,1,1,4,3,5,
2020,5,총,"54,689","7,507","2,223","2,410","1,438","3,114","3,417","2,367","2,005","1,285","10,979","9,269","8,675",
2020,5,0,"3,698",543,71,85,45,172,103,71,72,65,794,684,993,
2020,5,10,"4,699",632,130,130,73,207,201,166,121,74,"1,006","1,104",855,
2020,5,20,"5,474",734,195,190,92,243,238,177,148,101,"1,320","1,111",925,
2020,5,30,"5,610",823,132,145,87,238,199,143,144,87,"1,263","1,003","1,346",
2020,5,40,"7,723","1,048",185,223,125,287,342,273,216,123,"1,760","1,635","1,506",
2020,5,50,"9,561","1,314",406,462,273,545,634,429,374,228,"1,944","1,577","1,375",
2020,5,60,"8,668","1,185",489,539,345,613,727,463,430,289,"1,556","1,139",893,
2020,5,70,"5,374",699,324,356,231,426,550,362,268,191,826,656,485,
2020,5,80,"3,246",449,252,227,132,316,359,241,183,110,424,304,249,
2020,5,90,609,76,39,52,34,67,62,38,48,16,82,52,43,
2020,5,100,27,4,0,1,1,0,2,4,1,1,4,4,5,
2020,6,총,"54,759","7,521","2,219","2,405","1,442","3,119","3,420","2,364","2,029","1,283","11,002","9,288","8,667",
2020,6,0,"3,694",549,73,81,46,173,105,72,75,65,786,684,985,
2020,6,10,"4,680",633,121,130,76,208,198,164,123,73,"1,004","1,100",850,
2020,6,20,"5,455",723,195,179,88,241,237,175,145,99,"1,333","1,117",923,
2020,6,30,"5,612",833,132,147,86,238,200,143,147,86,"1,262","1,003","1,335",
2020,6,40,"7,733","1,043",179,225,126,289,344,274,223,123,"1,764","1,636","1,507",
2020,6,50,"9,557","1,319",402,464,271,542,629,423,376,226,"1,945","1,586","1,374",
2020,6,60,"8,746","1,195",500,540,352,614,733,469,436,293,"1,563","1,147",904,
2020,6,70,"5,386",694,326,357,231,432,550,358,275,190,831,651,491,
2020,6,80,"3,255",451,252,229,130,317,358,243,179,110,427,308,251,
2020,6,90,611,76,39,52,35,65,64,39,49,17,81,52,42,
2020,6,100,30,5,0,1,1,0,2,4,1,1,6,4,5,
2020,7,총,"54,800","7,531","2,210","2,408","1,444","3,133","3,416","2,371","2,030","1,278","11,010","9,284","8,685",
2020,7,0,"3,686",552,73,81,45,174,104,71,73,62,781,683,987,
2020,7,10,"4,684",637,122,129,78,210,196,163,124,74,"1,002","1,100",849,
2020,7,20,"5,446",721,190,175,87,243,235,182,144,99,"1,332","1,118",920,
2020,7,30,"5,586",829,130,150,86,240,200,141,144,85,"1,257",989,"1,335",
2020,7,40,"7,754","1,042",181,230,126,286,342,278,224,125,"1,760","1,639","1,521",
2020,7,50,"9,528","1,319",396,451,266,541,624,424,375,224,"1,942","1,587","1,379",
2020,7,60,"8,817","1,205",504,549,355,621,742,468,442,295,"1,577","1,152",907,
2020,7,70,"5,403",698,326,363,234,436,544,355,273,189,841,655,489,
2020,7,80,"3,254",447,250,227,130,318,363,245,182,107,429,305,251,
2020,7,90,611,75,38,52,36,64,64,40,48,17,83,52,42,
2020,7,100,31,6,0,1,1,0,2,4,1,1,6,4,5,
2020,8,총,"54,787","7,526","2,228","2,416","1,443","3,116","3,412","2,380","2,023","1,273","10,992","9,287","8,691",
2020,8,0,"3,670",542,75,82,45,168,104,74,74,59,786,682,979,
2020,8,10,"4,655",638,120,130,77,212,190,160,120,77,984,"1,101",846,
2020,8,20,"5,476",728,195,172,86,243,238,188,146,99,"1,332","1,127",922,
2020,8,30,"5,552",814,130,153,86,237,199,141,143,78,"1,256",987,"1,328",
2020,8,40,"7,714","1,043",181,227,123,286,341,275,220,126,"1,743","1,635","1,514",
2020,8,50,"9,526","1,315",398,451,268,532,623,422,380,225,"1,944","1,575","1,393",
2020,8,60,"8,885","1,215",510,558,358,623,745,474,440,295,"1,584","1,163",920,
2020,8,70,"5,379",702,324,361,231,436,544,349,271,189,838,650,484,
2020,8,80,"3,274",447,253,227,132,316,361,250,182,106,432,311,257,
2020,8,90,623,76,41,54,36,63,65,43,46,18,87,51,43,
2020,8,100,33,6,1,1,1,0,2,4,1,1,6,5,5,
2020,9,총,"54,823","7,547","2,244","2,416","1,446","3,107","3,404","2,366","2,033","1,268","11,005","9,289","8,698",
2020,9,0,"3,652",542,75,88,44,163,108,76,71,58,778,674,975,
2020,9,10,"4,681",634,125,128,79,218,192,156,122,79,990,"1,106",852,
2020,9,20,"5,437",735,193,172,83,239,237,185,145,93,"1,321","1,112",922,
2020,9,30,"5,519",813,132,154,88,236,195,137,143,76,"1,258",980,"1,307",
2020,9,40,"7,729","1,055",183,226,123,278,333,270,221,128,"1,746","1,648","1,518",
2020,9,50,"9,529","1,314",398,441,266,517,621,421,383,221,"1,949","1,592","1,406",
2020,9,60,"8,949","1,221",515,562,362,640,750,473,447,298,"1,594","1,161",926,
2020,9,70,"5,360",701,321,359,230,435,537,347,269,188,839,646,488,
2020,9,80,"3,302",450,258,229,135,318,363,255,181,107,436,315,255,
2020,9,90,631,76,43,56,35,63,65,42,50,19,88,50,44,
2020,9,100,34,6,1,1,1,0,3,4,1,1,6,5,5,
2020,10,총,"54,895","7,547","2,248","2,430","1,457","3,116","3,384","2,363","2,029","1,261","11,014","9,307","8,739",
2020,10,0,"3,636",540,79,87,46,164,105,73,68,58,769,672,975,
2020,10,10,"4,675",635,122,126,77,216,187,154,124,77,991,"1,105",861,
2020,10,20,"5,462",735,193,180,84,243,234,185,145,90,"1,320","1,120",933,
2020,10,30,"5,484",801,130,154,92,233,195,133,142,77,"1,250",977,"1,300",
2020,10,40,"7,723","1,053",180,232,124,277,324,268,217,126,"1,761","1,645","1,516",
2020,10,50,"9,535","1,312",401,438,266,516,614,428,383,220,"1,943","1,594","1,420",
2020,10,60,"9,010","1,234",520,571,363,648,753,472,444,297,"1,601","1,171",936,
2020,10,70,"5,375",702,319,358,232,436,537,349,267,189,845,646,495,
2020,10,80,"3,318",450,261,225,136,319,369,254,187,106,439,322,250,
2020,10,90,641,79,42,57,36,64,63,42,51,20,89,50,48,
2020,10,100,36,6,1,2,1,0,3,5,1,1,6,5,5,
2020,11,총,"54,908","7,556","2,250","2,444","1,458","3,112","3,369","2,360","2,019","1,253","11,003","9,311","8,773",
2020,11,0,"3,597",534,75,86,49,160,107,73,63,58,756,668,968,
2020,11,10,"4,663",635,122,126,79,214,184,154,130,75,975,"1,100",869,
2020,11,20,"5,493",732,194,180,80,243,238,187,145,88,"1,325","1,145",936,
