년도,월,나이,오산시,중앙동,남촌동,신장동,세마동,초평동,대원동
2020,1,총,"117,148","17,994","11,564","29,909","16,147","8,399","33,135"
2020,1,0,"12,850","2,143",504,"3,843","2,146",812,"3,402"
2020,1,10,"12,824","2,140",649,"3,377","1,665","1,066","3,927"
2020,1,20,"16,469","2,350","2,070","3,600","2,155","1,183","5,111"
2020,1,30,"21,383","2,985","3,109","5,194","3,213","1,381","5,501"
2020,1,40,"22,362","3,388","2,203","5,790","3,068","1,607","6,306"
2020,1,50,"16,780","2,685","1,692","4,073","2,071","1,275","4,984"
2020,1,60,"8,920","1,415",843,"2,460","1,180",634,"2,388"
2020,1,70,"4,109",628,375,"1,169",502,315,"1,120"
2020,1,80,"1,341",242,111,373,134,117,364
2020,1,90,96,15,6,27,12,5,31
2020,1,100,14,3,2,3,1,4,1
2020,2,총,"117,239","18,041","11,559","29,894","16,246","8,370","33,129"
2020,2,0,"12,752","2,150",495,"3,801","2,142",795,"3,369"
2020,2,10,"12,785","2,133",642,"3,366","1,681","1,053","3,910"
2020,2,20,"16,455","2,338","2,072","3,589","2,156","1,187","5,113"
2020,2,30,"21,333","2,973","3,093","5,177","3,221","1,368","5,501"
2020,2,40,"22,438","3,414","2,200","5,811","3,103","1,604","6,306"
2020,2,50,"16,857","2,709","1,699","4,083","2,080","1,281","5,005"
2020,2,60,"9,018","1,424",860,"2,484","1,202",644,"2,404"
2020,2,70,"4,138",642,374,"1,177",508,313,"1,124"
2020,2,80,"1,352",239,116,375,140,117,365
2020,2,90,98,16,6,28,12,5,31
2020,2,100,13,3,2,3,1,3,1
2020,3,총,"117,359","18,076","11,604","29,873","16,275","8,369","33,162"
2020,3,0,"12,680","2,148",487,"3,765","2,124",792,"3,364"
2020,3,10,"12,748","2,120",635,"3,369","1,681","1,043","3,900"
2020,3,20,"16,517","2,346","2,081","3,611","2,166","1,193","5,120"
2020,3,30,"21,324","2,983","3,115","5,149","3,219","1,354","5,504"
2020,3,40,"22,434","3,423","2,206","5,806","3,100","1,608","6,291"
2020,3,50,"16,902","2,719","1,715","4,070","2,091","1,289","5,018"
2020,3,60,"9,131","1,436",872,"2,516","1,220",650,"2,437"
2020,3,70,"4,146",636,368,"1,182",517,316,"1,127"
2020,3,80,"1,366",247,117,374,145,116,367
2020,3,90,97,14,6,28,11,5,33
2020,3,100,14,4,2,3,1,3,1
2020,4,총,"117,610","18,145","11,621","29,897","16,299","8,379","33,269"
2020,4,0,"12,631","2,153",483,"3,740","2,115",791,"3,349"
2020,4,10,"12,747","2,107",628,"3,381","1,680","1,039","3,912"
2020,4,20,"16,621","2,370","2,094","3,618","2,185","1,204","5,150"
2020,4,30,"21,299","2,983","3,115","5,131","3,220","1,352","5,498"
2020,4,40,"22,486","3,441","2,209","5,827","3,095","1,599","6,315"
2020,4,50,"16,967","2,721","1,727","4,082","2,103","1,298","5,036"
2020,4,60,"9,198","1,465",869,"2,529","1,226",653,"2,456"
2020,4,70,"4,160",637,365,"1,181",514,320,"1,143"
2020,4,80,"1,391",251,123,377,149,114,377
2020,4,90,96,13,6,28,11,6,32
2020,4,100,14,4,2,3,1,3,1
2020,5,총,"117,796","18,141","11,691","29,901","16,333","8,378","33,352"
2020,5,0,"12,542","2,144",480,"3,718","2,107",780,"3,313"
2020,5,10,"12,733","2,089",634,"3,376","1,674","1,045","3,915"
2020,5,20,"16,683","2,368","2,100","3,644","2,186","1,204","5,181"
2020,5,30,"21,329","2,980","3,123","5,106","3,227","1,346","5,547"
2020,5,40,"22,496","3,436","2,229","5,828","3,109","1,595","6,299"
2020,5,50,"17,077","2,741","1,747","4,103","2,117","1,306","5,063"
2020,5,60,"9,263","1,475",878,"2,543","1,234",656,"2,477"
2020,5,70,"4,162",641,367,"1,170",516,324,"1,144"
2020,5,80,"1,399",249,125,381,152,113,379
2020,5,90,98,14,6,29,10,6,33
2020,5,100,14,4,2,3,1,3,1
2020,6,총,"117,949","18,155","11,689","29,958","16,377","8,366","33,404"
2020,6,0,"12,497","2,158",480,"3,679","2,115",781,"3,284"
2020,6,10,"12,732","2,084",631,"3,396","1,664","1,036","3,921"
2020,6,20,"16,713","2,371","2,092","3,648","2,195","1,208","5,199"
2020,6,30,"21,267","2,983","3,106","5,102","3,211","1,335","5,530"
2020,6,40,"22,592","3,433","2,244","5,871","3,129","1,589","6,326"
2020,6,50,"17,101","2,729","1,739","4,120","2,122","1,314","5,077"
2020,6,60,"9,338","1,485",890,"2,554","1,253",655,"2,501"
2020,6,70,"4,200",643,374,"1,176",527,329,"1,151"
2020,6,80,"1,398",251,125,381,150,110,381
2020,6,90,97,14,6,28,10,6,33
2020,6,100,14,4,2,3,1,3,1
2020,7,총,"118,057","18,153","11,729","30,011","16,384","8,340","33,440"
2020,7,0,"12,449","2,149",486,"3,674","2,108",780,"3,252"
2020,7,10,"12,740","2,096",628,"3,398","1,671","1,037","3,910"
2020,7,20,"16,703","2,358","2,077","3,672","2,172","1,191","5,233"
2020,7,30,"21,239","2,981","3,116","5,087","3,196","1,324","5,535"
2020,7,40,"22,660","3,430","2,261","5,889","3,156","1,581","6,343"
2020,7,50,"17,116","2,721","1,751","4,137","2,130","1,314","5,063"
2020,7,60,"9,413","1,504",904,"2,555","1,256",665,"2,529"
2020,7,70,"4,214",642,371,"1,186",532,330,"1,153"
2020,7,80,"1,409",254,127,381,151,109,387
2020,7,90,100,14,6,29,11,6,34
2020,7,100,14,4,2,3,1,3,1
2020,8,총,"118,304","18,110","11,723","30,397","16,379","8,321","33,374"
2020,8,0,"12,367","2,127",479,"3,693","2,092",777,"3,199"
2020,8,10,"12,728","2,093",604,"3,458","1,669","1,022","3,882"
2020,8,20,"16,762","2,343","2,083","3,719","2,170","1,195","5,252"
2020,8,30,"21,231","2,950","3,110","5,163","3,192","1,317","5,499"
2020,8,40,"22,804","3,442","2,273","5,995","3,173","1,580","6,341"
2020,8,50,"17,131","2,722","1,747","4,185","2,110","1,307","5,060"
2020,8,60,"9,511","1,510",916,"2,575","1,279",676,"2,555"
2020,8,70,"4,236",652,375,"1,189",535,329,"1,156"
2020,8,80,"1,420",254,127,388,147,109,395
2020,8,90,101,14,7,29,11,6,34
2020,8,100,13,3,2,3,1,3,1
2020,9,총,"118,568","18,110","11,749","30,591","16,368","8,341","33,409"
2020,9,0,"12,328","2,124",472,"3,695","2,083",765,"3,189"
2020,9,10,"12,724","2,095",596,"3,478","1,668","1,029","3,858"
2020,9,20,"16,835","2,339","2,121","3,725","2,166","1,203","5,281"
2020,9,30,"21,200","2,933","3,088","5,194","3,196","1,321","5,468"
2020,9,40,"22,868","3,447","2,281","6,057","3,148","1,575","6,360"
2020,9,50,"17,174","2,725","1,749","4,205","2,124","1,304","5,067"
2020,9,60,"9,621","1,517",926,"2,610","1,289",689,"2,590"
2020,9,70,"4,272",658,380,"1,211",530,335,"1,158"
2020,9,80,"1,429",254,126,384,152,111,402
2020,9,90,104,15,8,29,11,6,35
2020,9,100,13,3,2,3,1,3,1
2020,10,총,"118,665","18,097","11,765","30,703","16,349","8,339","33,412"
2020,10,0,"12,244","2,113",465,"3,681","2,059",753,"3,173"
2020,10,10,"12,727","2,079",595,"3,489","1,673","1,031","3,860"
2020,10,20,"16,832","2,343","2,112","3,741","2,166","1,195","5,275"
2020,10,30,"21,188","2,922","3,099","5,217","3,185","1,305","5,460"
2020,10,40,"22,888","3,443","2,283","6,077","3,155","1,580","6,350"
2020,10,50,"17,228","2,732","1,753","4,238","2,113","1,312","5,080"
2020,10,60,"9,715","1,532",937,"2,622","1,310",708,"2,606"
2020,10,70,"4,283",662,383,"1,222",527,331,"1,158"
2020,10,80,"1,446",256,129,383,150,114,414
2020,10,90,102,13,7,30,10,7,35
2020,10,100,12,2,2,3,1,3,1
2020,11,총,"118,706","18,120","11,774","30,715","16,372","8,326","33,399"
2020,11,0,"12,164","2,111",467,"3,638","2,045",750,"3,153"
2020,11,10,"12,707","2,087",575,"3,510","1,677","1,026","3,832"
