년도,월,나이,북구,농소1동,농소2동,농소3동,강동동,효문동,송정동,양정동,염포동
2020,1,총,"112,773","19,298","20,546","20,132","8,237","16,077","17,105","5,843","5,535"
2020,1,0,"13,426","2,484","2,946","2,163","1,347","1,475","2,188",387,436
2020,1,10,"12,465","2,047","2,398","3,391",598,"1,315","1,839",440,437
2020,1,20,"15,853","2,479","2,542","2,722",694,"2,720","2,647","1,202",847
2020,1,30,"18,316","3,117","3,494","2,070","1,860","2,870","2,994","1,028",883
2020,1,40,"19,424","3,417","3,766","4,144","1,395","2,390","2,611",833,868
2020,1,50,"19,968","3,237","3,223","3,761","1,092","3,306","3,154","1,182","1,013"
2020,1,60,"9,260","1,744","1,500","1,210",838,"1,472","1,200",556,740
2020,1,70,"3,166",610,529,515,305,411,367,180,249
2020,1,80,829,148,142,141,98,110,99,33,58
2020,1,90,63,14,6,15,10,7,6,2,3
2020,1,100,3,1,0,0,0,1,0,0,1
2020,2,총,"112,835","19,299","20,513","20,063","8,277","16,040","17,318","5,807","5,518"
2020,2,0,"13,421","2,505","2,924","2,144","1,356","1,468","2,215",380,429
2020,2,10,"12,431","2,042","2,400","3,368",602,"1,295","1,857",429,438
2020,2,20,"15,752","2,442","2,516","2,719",694,"2,717","2,657","1,183",824
2020,2,30,"18,280","3,100","3,477","2,056","1,850","2,846","3,052","1,011",888
2020,2,40,"19,500","3,440","3,786","4,113","1,412","2,378","2,655",850,866
2020,2,50,"20,020","3,235","3,225","3,778","1,098","3,303","3,190","1,179","1,012"
2020,2,60,"9,332","1,752","1,503","1,214",847,"1,498","1,212",557,749
2020,2,70,"3,196",619,527,518,309,418,375,182,248
2020,2,80,836,149,148,138,99,109,99,34,60
2020,2,90,64,14,7,15,10,7,6,2,3
2020,2,100,3,1,0,0,0,1,0,0,1
2020,3,총,"112,967","19,289","20,487","20,053","8,332","16,009","17,491","5,789","5,517"
2020,3,0,"13,410","2,505","2,907","2,133","1,369","1,448","2,242",381,425
2020,3,10,"12,401","2,033","2,405","3,350",604,"1,291","1,856",420,442
2020,3,20,"15,762","2,437","2,507","2,727",701,"2,712","2,689","1,165",824
2020,3,30,"18,221","3,089","3,441","2,032","1,849","2,830","3,084","1,014",882
2020,3,40,"19,548","3,452","3,794","4,110","1,430","2,366","2,679",847,870
2020,3,50,"20,034","3,216","3,230","3,795","1,098","3,307","3,217","1,173",998
2020,3,60,"9,449","1,763","1,516","1,225",859,"1,515","1,239",567,765
2020,3,70,"3,229",629,527,528,312,425,381,186,241
2020,3,80,843,149,153,138,99,107,98,34,65
2020,3,90,67,15,7,15,11,7,6,2,4
2020,3,100,3,1,0,0,0,1,0,0,1
2020,4,총,"112,960","19,242","20,498","20,043","8,353","15,967","17,601","5,770","5,486"
2020,4,0,"13,378","2,496","2,913","2,100","1,371","1,451","2,251",376,420
2020,4,10,"12,379","2,022","2,396","3,365",611,"1,279","1,852",419,435
2020,4,20,"15,736","2,415","2,505","2,731",684,"2,690","2,717","1,171",823
2020,4,30,"18,168","3,059","3,428","2,014","1,857","2,827","3,101","1,008",874
2020,4,40,"19,584","3,453","3,810","4,112","1,450","2,351","2,710",837,861
2020,4,50,"20,003","3,214","3,223","3,795","1,089","3,306","3,215","1,166",995
2020,4,60,"9,536","1,778","1,533","1,240",871,"1,518","1,260",567,769
2020,4,70,"3,257",641,529,533,308,427,390,190,239
2020,4,80,845,148,152,138,100,109,99,34,65
2020,4,90,71,15,9,15,12,8,6,2,4
2020,4,100,3,1,0,0,0,1,0,0,1
