년도,월,나이,경상남도 합천군,경상남도 합천군 합천읍,경상남도 합천군 봉산면,경상남도 합천군 묘산면,경상남도 합천군 가야면,경상남도 합천군 야로면,경상남도 합천군 율곡면,경상남도 합천군 초계면,경상남도 합천군 쌍책면,경상남도 합천군 덕곡면,경상남도 합천군 청덕면,경상남도 합천군 적중면,경상남도 합천군 대양면,경상남도 합천군 쌍백면,경상남도 합천군 삼가면,경상남도 합천군 가회면,경상남도 합천군 대병면,경상남도 합천군 용주면
2020,1,총,"23,464","5,968",775,847,"2,255","1,338","1,141","1,314",693,455,887,811,947,955,"1,826",974,"1,115","1,163"
2020,1,0,825,414,16,10,71,41,20,34,12,6,12,19,69,16,41,14,17,13
2020,1,10,"1,261",588,21,28,98,61,38,66,19,11,28,35,33,21,63,47,60,44
2020,1,20,"1,435",604,41,37,136,74,48,87,23,17,31,38,51,28,97,39,48,36
2020,1,30,"1,263",558,27,27,103,65,33,54,23,17,37,26,81,26,69,35,44,38
2020,1,40,"1,957",824,50,49,182,97,81,95,32,21,53,37,72,34,123,49,94,64
2020,1,50,"3,711","1,019",125,125,387,227,151,213,109,56,129,129,115,131,273,160,191,171
2020,1,60,"4,305",811,148,157,461,271,248,287,169,107,169,148,152,178,361,180,218,240
2020,1,70,"4,454",635,163,206,448,244,272,256,137,101,221,194,184,258,405,240,211,279
2020,1,80,"3,711",442,164,184,324,220,210,188,153,107,179,164,170,240,340,184,201,241
2020,1,90,512,66,20,23,42,38,38,33,16,12,27,19,19,23,48,25,26,37
2020,1,100,30,7,0,1,3,0,2,1,0,0,1,2,1,0,6,1,5,0
2020,2,총,"23,362","5,943",768,840,"2,236","1,338","1,137","1,301",689,455,881,811,947,955,"1,822",972,"1,116","1,151"
2020,2,0,821,416,16,10,67,39,20,34,12,7,11,19,68,16,40,14,19,13
2020,2,10,"1,239",577,21,28,92,64,37,64,19,11,25,35,34,21,65,46,61,39
2020,2,20,"1,403",592,38,36,130,74,46,79,24,16,30,38,52,26,98,38,49,37
2020,2,30,"1,250",553,26,26,104,64,32,53,23,16,36,28,81,25,68,36,43,36
2020,2,40,"1,952",825,48,48,179,102,81,94,29,20,53,36,70,32,123,50,100,62
2020,2,50,"3,691","1,011",127,126,382,224,152,213,104,56,126,128,113,136,274,158,193,168
2020,2,60,"4,303",818,151,155,463,268,247,287,172,106,170,148,154,180,354,179,210,241
2020,2,70,"4,444",633,158,206,449,242,268,257,138,103,221,195,182,256,409,240,209,278
2020,2,80,"3,724",445,164,181,326,224,214,186,152,108,181,163,173,241,339,184,202,241
2020,2,90,505,66,19,23,42,37,38,33,16,12,27,19,19,22,46,26,24,36
2020,2,100,30,7,0,1,2,0,2,1,0,0,1,2,1,0,6,1,6,0
