년도,월,나이,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2020,1,총,"261,190","8,020","10,818","10,075","12,674","14,085","7,292","14,522","12,687","19,570","9,692","17,351","17,425","10,664","15,959","3,336","10,740","8,935","21,370","11,981","8,002","8,726","7,266"
2020,1,0,"20,037",539,376,624,"1,103","1,314",528,"1,378","1,142","1,110",408,578,"1,612",890,"1,540",196,824,602,"2,507","1,299",417,686,364
2020,1,10,"31,554",902,452,700,"1,387","1,336",831,"1,906","3,165","3,939","1,440",720,"2,617","1,089","2,157",301,"1,313",864,"2,246","1,976",733,"1,147",333
2020,1,20,"36,393","1,079","2,080","1,580","1,524","2,026","1,148","1,921","1,282","2,832","1,630","3,359","2,069","1,499","1,891",428,"1,502","1,375","2,591","1,395","1,234","1,058",890
2020,1,30,"39,126","1,109","2,805","2,106","1,563","2,169","1,042","2,225",647,"1,604","1,535","4,980","2,353","1,554","1,592",336,"1,405","1,434","3,375","1,447","1,259","1,272","1,314"
2020,1,40,"46,773","1,423","1,853","1,796","2,277","2,377","1,104","2,999","2,769","3,286","1,804","3,053","4,055","1,846","2,959",472,"1,655","1,463","3,830","2,159","1,156","1,523",914
2020,1,50,"39,994","1,223","1,363","1,393","1,916","2,112","1,156","2,021","2,095","3,565","1,591","2,181","2,522","1,694","2,775",582,"1,909","1,508","2,959","1,777","1,268","1,304","1,080"
2020,1,60,"26,493",818,"1,017",962,"1,338","1,545",816,"1,094",935,"1,982",696,"1,408","1,130","1,248","1,634",559,"1,354","1,055","2,095","1,288","1,113","1,018","1,388"
2020,1,70,"15,714",626,655,685,"1,112",897,518,740,500,999,461,807,798,641,"1,051",348,641,484,"1,289",491,650,580,741
2020,1,80,"4,530",271,191,200,418,265,132,217,142,227,123,239,237,172,316,101,124,134,410,133,148,126,204
2020,1,90,524,29,23,23,34,39,15,19,7,22,2,21,30,28,42,13,12,15,67,15,23,12,33
2020,1,100,52,1,3,6,2,5,2,2,3,4,2,5,2,3,2,0,1,1,1,1,1,0,5
2020,2,총,"261,466","8,026","10,847","10,042","12,668","14,062","7,323","14,546","12,740","19,600","9,708","17,359","17,485","10,674","16,056","3,330","10,834","8,914","21,353","11,990","7,971","8,712","7,226"
2020,2,0,"20,184",547,374,613,"1,094","1,310",522,"1,366","1,178","1,148",415,564,"1,635",900,"1,603",200,844,612,"2,479","1,332",410,676,362
2020,2,10,"31,466",891,453,700,"1,395","1,336",826,"1,912","3,163","3,935","1,425",716,"2,619","1,089","2,157",296,"1,317",860,"2,221","1,958",727,"1,145",325
2020,2,20,"36,165","1,085","2,085","1,566","1,507","1,996","1,153","1,927","1,258","2,809","1,617","3,338","2,052","1,491","1,879",420,"1,512","1,352","2,582","1,381","1,230","1,044",881
2020,2,30,"39,124","1,114","2,798","2,076","1,554","2,155","1,059","2,224",658,"1,611","1,543","4,998","2,362","1,554","1,584",342,"1,410","1,432","3,378","1,440","1,256","1,284","1,292"
2020,2,40,"47,034","1,412","1,884","1,799","2,285","2,386","1,107","3,014","2,811","3,303","1,819","3,058","4,075","1,866","2,999",475,"1,675","1,470","3,844","2,179","1,137","1,517",919
2020,2,50,"39,992","1,236","1,366","1,412","1,917","2,120","1,161","2,028","2,073","3,540","1,601","2,208","2,519","1,688","2,771",572,"1,916","1,492","2,952","1,777","1,270","1,296","1,077"
2020,2,60,"26,585",816,"1,011",957,"1,351","1,542",823,"1,088",935,"1,990",698,"1,409","1,151","1,238","1,641",565,"1,374","1,061","2,119","1,285","1,123","1,028","1,380"
2020,2,70,"15,763",625,656,690,"1,108",905,520,746,509,"1,010",461,805,799,641,"1,055",348,644,484,"1,297",491,645,584,740
2020,2,80,"4,578",271,194,200,420,268,133,220,144,229,124,236,242,178,325,100,128,134,413,131,149,126,213
2020,2,90,524,28,23,23,35,39,17,19,8,21,3,22,29,26,40,12,13,16,67,15,23,12,33
2020,2,100,51,1,3,6,2,5,2,2,3,4,2,5,2,3,2,0,1,1,1,1,1,0,4
2020,3,총,"260,654","7,995","10,843","10,003","12,705","13,727","7,313","14,465","12,698","19,526","9,662","17,309","17,449","10,671","15,993","3,323","10,865","8,899","21,377","11,964","7,954","8,715","7,198"
2020,3,0,"19,995",546,368,603,"1,099","1,282",519,"1,354","1,174","1,139",412,562,"1,609",893,"1,582",206,851,604,"2,446","1,313",408,667,358
2020,3,10,"31,332",891,453,690,"1,392","1,299",833,"1,912","3,148","3,920","1,401",692,"2,625","1,094","2,147",290,"1,316",856,"2,233","1,950",726,"1,147",317
2020,3,20,"36,120","1,077","2,107","1,550","1,529","1,945","1,160","1,906","1,253","2,772","1,622","3,314","2,052","1,489","1,878",417,"1,519","1,371","2,608","1,391","1,224","1,054",882
2020,3,30,"38,891","1,112","2,780","2,076","1,541","2,105","1,046","2,185",657,"1,621","1,535","5,006","2,350","1,542","1,567",341,"1,411","1,417","3,375","1,428","1,245","1,276","1,275"
2020,3,40,"46,814","1,396","1,886","1,795","2,286","2,347","1,099","2,997","2,797","3,286","1,791","3,038","4,047","1,871","2,986",469,"1,678","1,465","3,842","2,168","1,132","1,520",918
2020,3,50,"39,882","1,232","1,363","1,403","1,934","2,056","1,154","2,028","2,066","3,522","1,617","2,206","2,534","1,686","2,758",573,"1,908","1,492","2,940","1,776","1,267","1,292","1,075"
2020,3,60,"26,623",815,"1,008",959,"1,352","1,492",833,"1,098",930,"2,000",695,"1,420","1,151","1,240","1,648",559,"1,391","1,051","2,152","1,288","1,134","1,034","1,373"
2020,3,70,"15,799",623,659,700,"1,111",897,514,741,513,"1,012",460,806,801,641,"1,052",350,647,492,"1,295",504,645,586,750
2020,3,80,"4,617",275,193,199,423,262,136,221,147,228,123,239,249,182,332,105,131,135,419,129,149,127,213
2020,3,90,526,27,23,22,36,37,17,21,10,22,4,21,29,30,41,12,12,15,63,16,23,12,33
2020,3,100,55,1,3,6,2,5,2,2,3,4,2,5,2,3,2,1,1,1,4,1,1,0,4
2020,4,총,"259,936","7,970","10,834","10,010","12,701","13,338","7,299","14,471","12,680","19,436","9,661","17,319","17,472","10,674","15,942","3,317","10,858","8,881","21,359","11,924","7,912","8,700","7,178"
2020,4,0,"19,851",535,363,599,"1,089","1,259",523,"1,358","1,158","1,122",405,563,"1,603",897,"1,583",206,849,594,"2,441","1,295",391,670,348
2020,4,10,"31,126",886,452,685,"1,385","1,258",825,"1,906","3,152","3,889","1,392",694,"2,621","1,090","2,111",290,"1,303",855,"2,224","1,940",720,"1,134",314
2020,4,20,"36,067","1,077","2,112","1,550","1,538","1,875","1,160","1,900","1,243","2,760","1,634","3,315","2,069","1,491","1,873",413,"1,518","1,359","2,620","1,389","1,225","1,062",884
2020,4,30,"38,783","1,116","2,759","2,087","1,531","2,048","1,040","2,191",665,"1,618","1,531","5,026","2,349","1,538","1,556",343,"1,411","1,429","3,351","1,431","1,224","1,269","1,270"
2020,4,40,"46,590","1,380","1,897","1,788","2,293","2,300","1,089","2,987","2,776","3,261","1,777","3,030","4,029","1,864","2,969",468,"1,676","1,438","3,840","2,161","1,138","1,521",908
2020,4,50,"39,862","1,225","1,365","1,406","1,941","1,979","1,159","2,045","2,083","3,512","1,628","2,200","2,571","1,691","2,762",572,"1,900","1,498","2,939","1,769","1,253","1,290","1,074"
2020,4,60,"26,628",825,"1,004",965,"1,354","1,460",831,"1,095",930,"2,001",701,"1,421","1,145","1,241","1,651",554,"1,398","1,064","2,167","1,283","1,136","1,029","1,373"
2020,4,70,"15,793",621,659,701,"1,105",864,513,739,512,"1,020",460,800,801,647,"1,057",353,656,490,"1,292",507,650,587,759
2020,4,80,"4,653",277,197,202,426,252,140,228,148,228,125,243,251,182,338,105,134,137,419,131,151,127,212
2020,4,90,527,27,23,21,37,37,17,20,10,21,6,22,31,30,40,12,12,16,62,17,23,11,32
2020,4,100,56,1,3,6,2,6,2,2,3,4,2,5,2,3,2,1,1,1,4,1,1,0,4
2020,5,총,"259,158","7,938","10,852","10,023","12,696","12,931","7,307","14,451","12,664","19,363","9,636","17,322","17,438","10,649","15,910","3,297","10,859","8,853","21,359","11,913","7,863","8,690","7,144"
2020,5,0,"19,718",531,361,600,"1,097","1,234",520,"1,349","1,144","1,106",399,554,"1,603",901,"1,559",205,847,588,"2,426","1,281",391,670,352
2020,5,10,"30,979",868,452,687,"1,381","1,213",822,"1,910","3,149","3,865","1,383",698,"2,619","1,079","2,107",289,"1,292",847,"2,233","1,940",715,"1,121",309
2020,5,20,"35,963","1,088","2,133","1,544","1,535","1,802","1,178","1,889","1,253","2,756","1,634","3,309","2,065","1,479","1,857",406,"1,527","1,348","2,623","1,383","1,198","1,073",883
2020,5,30,"38,547","1,109","2,763","2,089","1,526","1,979","1,027","2,174",662,"1,599","1,520","5,010","2,328","1,541","1,552",342,"1,395","1,432","3,343","1,430","1,218","1,261","1,247"
2020,5,40,"46,421","1,370","1,888","1,793","2,284","2,259","1,082","2,985","2,758","3,223","1,768","3,030","4,015","1,855","2,971",461,"1,695","1,429","3,839","2,150","1,142","1,523",901
2020,5,50,"39,889","1,232","1,376","1,415","1,951","1,913","1,166","2,055","2,090","3,534","1,629","2,223","2,584","1,682","2,760",569,"1,891","1,494","2,943","1,781","1,245","1,286","1,070"
2020,5,60,"26,569",818,993,959,"1,341","1,412",841,"1,088",932,"2,000",704,"1,420","1,139","1,249","1,660",551,"1,400","1,070","2,171","1,290","1,128","1,026","1,377"
2020,5,70,"15,810",617,661,703,"1,109",836,509,747,513,"1,025",458,808,796,647,"1,066",354,665,490,"1,295",510,651,592,758
2020,5,80,"4,679",277,201,205,430,243,143,232,150,231,132,241,256,181,337,109,133,139,419,130,151,127,212
2020,5,90,527,27,21,22,40,34,17,20,10,20,7,24,31,32,39,10,13,15,63,17,23,11,31
2020,5,100,56,1,3,6,2,6,2,2,3,4,2,5,2,3,2,1,1,1,4,1,1,0,4
2020,6,총,"258,753","7,895","10,849","9,985","12,723","12,804","7,293","14,397","12,592","19,392","9,646","17,330","17,448","10,593","15,907","3,303","10,865","8,844","21,326","11,911","7,838","8,677","7,135"
2020,6,0,"19,585",524,365,596,"1,098","1,217",504,"1,343","1,116","1,108",395,558,"1,597",896,"1,542",206,845,586,"2,398","1,284",386,669,352
2020,6,10,"30,921",870,449,688,"1,375","1,209",826,"1,900","3,136","3,848","1,394",703,"2,636","1,067","2,099",292,"1,284",844,"2,240","1,932",708,"1,116",305
2020,6,20,"35,890","1,084","2,134","1,541","1,534","1,787","1,171","1,876","1,253","2,771","1,638","3,276","2,059","1,460","1,865",404,"1,532","1,355","2,626","1,378","1,189","1,075",882
2020,6,30,"38,340","1,098","2,740","2,079","1,525","1,950","1,020","2,164",640,"1,592","1,501","5,039","2,320","1,532","1,539",336,"1,391","1,418","3,313","1,433","1,213","1,263","1,234"
2020,6,40,"46,324","1,349","1,891","1,778","2,286","2,233","1,080","2,972","2,746","3,215","1,774","3,036","4,022","1,847","2,973",465,"1,700","1,424","3,842","2,139","1,141","1,508",903
2020,6,50,"39,891","1,231","1,382","1,419","1,956","1,903","1,172","2,060","2,084","3,552","1,643","2,216","2,582","1,684","2,764",569,"1,890","1,496","2,932","1,778","1,237","1,281","1,060"
2020,6,60,"26,661",820,"1,002",952,"1,360","1,384",847,"1,076",930,"2,014",694,"1,427","1,143","1,249","1,673",555,"1,406","1,079","2,188","1,302","1,137","1,038","1,385"
2020,6,70,"15,847",617,658,702,"1,114",830,510,750,521,"1,034",462,804,800,643,"1,070",356,669,486,"1,297",518,651,589,766
2020,6,80,"4,715",275,204,204,431,252,143,233,152,235,136,242,257,181,340,109,134,141,423,130,153,127,213
2020,6,90,523,26,21,20,42,33,18,21,11,20,7,24,30,31,40,10,13,14,62,16,22,11,31
2020,6,100,56,1,3,6,2,6,2,2,3,3,2,5,2,3,2,1,1,1,5,1,1,0,4
