년도,월,나이,안양시,만안구,안양1동,안양2동,안양3동,안양4동,안양5동,안양6동,안양7동,안양8동,안양9동,석수1동,석수2동,석수3동,박달1동,박달2동,동안구,비산1동,비산2동,비산3동,부흥동,달안동,관양1동,관양2동,부림동,평촌동,평안동,귀인동,호계1동,호계2동,호계3동,범계동,신촌동,갈산동
2020,4,80,"9,148","4,365",173,368,307,194,367,373,146,198,370,376,580,274,344,295,"4,783",278,162,484,312,251,700,316,322,212,312,183,89,283,279,248,161,191
2020,4,90,"1,575",725,35,69,43,28,47,39,47,43,57,80,98,34,54,51,850,47,36,88,46,40,116,46,44,27,55,33,22,61,60,59,27,43
2020,4,100,119,56,1,6,6,0,4,9,4,4,6,3,6,1,4,2,63,18,6,3,1,1,7,5,2,3,0,1,4,5,3,2,0,2
2020,5,총,"282,795","120,857","6,437","10,809","8,454","3,679","6,406","9,811","8,101","5,403","8,932","10,239","16,343","6,940","7,708","11,595","161,938","11,233","5,788","10,935","9,228","6,125","19,167","9,574","14,163","7,767","12,390","8,616","4,025","11,052","11,087","8,141","6,802","5,845"
2020,5,0,"20,270","8,008",505,624,440,155,272,540,895,257,518,701,"1,124",515,393,"1,069","12,262",902,419,583,724,395,"1,096",640,"1,262",697,"1,254",683,497,764,831,603,502,410
2020,5,10,"26,157","9,365",566,733,644,257,434,649,654,355,652,758,"1,276",659,592,"1,136","16,792","1,105",571,830,"1,096",370,"1,485",763,"1,205",850,"1,827","1,636",357,896,"1,081","1,113",824,783
2020,5,20,"38,287","16,697",961,"1,686","1,180",545,838,"1,417","1,044",760,"1,209","1,288","2,260",894,"1,035","1,580","21,590","1,506",788,"1,547","1,053",780,"2,869","1,402","1,886","1,077","1,244",969,495,"1,740","1,558","1,022",931,723
2020,5,30,"38,450","16,032",959,"1,422","1,064",430,718,"1,458","1,460",658,"1,002","1,423","2,139",810,766,"1,723","22,418","1,478",717,"1,301","1,229","1,212","2,375","1,381","2,918","1,006","1,801",737,793,"1,579","1,476","1,030",798,587
2020,5,40,"46,146","17,621","1,041","1,509","1,140",499,893,"1,409","1,284",705,"1,166","1,568","2,396","1,081","1,131","1,799","28,525","1,891",939,"1,497","1,825","1,022","2,758","1,515","2,648","1,412","2,836","2,219",679,"1,555","1,710","1,707","1,247","1,065"
2020,5,50,"51,067","22,481","1,081","2,031","1,648",646,"1,161","1,722","1,340","1,067","1,787","1,918","3,140","1,304","1,513","2,123","28,586","2,087","1,132","2,351","1,397",980,"3,809","1,771","2,088","1,497","1,709","1,229",582,"2,148","2,232","1,285","1,266","1,023"
2020,5,60,"34,531","16,782",744,"1,529","1,323",535,"1,063","1,490",843,922,"1,410","1,429","2,122",907,"1,185","1,280","17,749","1,360",689,"1,575","1,044",688,"2,609","1,136","1,166",686,890,586,371,"1,474","1,381",668,739,687
2020,5,70,"17,014","8,681",371,829,653,382,620,699,381,430,749,690,"1,195",456,689,537,"8,333",558,328,702,498,382,"1,333",599,622,302,466,337,137,548,478,405,306,332
2020,5,80,"9,175","4,398",172,371,310,202,358,376,148,201,373,381,588,279,346,293,"4,777",280,163,460,315,254,709,316,326,210,310,186,87,285,278,247,159,192
2020,5,90,"1,576",736,36,69,46,28,45,42,48,44,60,80,97,34,54,53,840,48,36,85,46,41,116,45,40,27,53,33,23,58,59,59,30,41
2020,5,100,122,56,1,6,6,0,4,9,4,4,6,3,6,1,4,2,66,18,6,4,1,1,8,6,2,3,0,1,4,5,3,2,0,2
2020,6,총,"281,877","120,715","6,442","10,787","8,468","3,681","6,174","9,817","8,134","5,394","8,934","10,236","16,417","6,937","7,698","11,596","161,162","11,240","5,768","10,279","9,231","6,138","19,159","9,605","14,178","7,753","12,408","8,595","4,027","10,972","11,036","8,118","6,811","5,844"
2020,6,0,"20,119","7,941",501,614,429,150,263,541,899,251,511,693,"1,131",511,386,"1,061","12,178",901,415,554,711,391,"1,088",641,"1,260",692,"1,250",678,497,759,824,603,504,410
2020,6,10,"26,038","9,337",563,729,653,254,411,648,653,356,649,756,"1,285",658,583,"1,139","16,701","1,096",570,772,"1,096",366,"1,475",766,"1,205",848,"1,829","1,639",353,887,"1,078","1,114",823,784
2020,6,20,"38,033","16,650",959,"1,687","1,183",548,802,"1,418","1,047",761,"1,204","1,277","2,268",890,"1,030","1,576","21,383","1,494",787,"1,442","1,063",788,"2,866","1,390","1,878","1,068","1,247",957,501,"1,704","1,538","1,015",926,719
2020,6,30,"38,262","15,974",958,"1,403","1,047",434,697,"1,465","1,469",645,"1,000","1,421","2,155",805,761,"1,714","22,288","1,486",713,"1,225","1,211","1,207","2,348","1,384","2,910","1,015","1,810",742,790,"1,564","1,468","1,025",803,587
2020,6,40,"45,949","17,583","1,031","1,502","1,153",492,853,"1,412","1,280",704,"1,166","1,560","2,412","1,084","1,131","1,803","28,366","1,883",932,"1,394","1,823","1,033","2,746","1,518","2,655","1,398","2,836","2,208",680,"1,542","1,700","1,698","1,245","1,075"
2020,6,50,"50,801","22,422","1,094","2,024","1,643",646,"1,129","1,721","1,347","1,060","1,776","1,915","3,147","1,307","1,509","2,104","28,379","2,089","1,130","2,204","1,403",973,"3,808","1,777","2,084","1,490","1,708","1,232",584,"2,135","2,217","1,272","1,261","1,012"
2020,6,60,"34,736","16,901",752,"1,550","1,340",545,"1,029","1,490",853,927,"1,427","1,452","2,132",910,"1,189","1,305","17,835","1,377",691,"1,497","1,053",700,"2,632","1,152","1,196",695,898,584,370,"1,479","1,398",671,753,689
2020,6,70,"17,057","8,718",378,833,661,380,597,696,382,439,757,697,"1,196",461,702,539,"8,339",563,328,673,503,383,"1,354",606,618,302,462,333,135,551,479,407,306,336
2020,6,80,"9,169","4,397",171,371,307,204,347,373,151,202,376,383,591,275,348,298,"4,772",283,160,431,317,255,715,318,330,215,315,188,88,287,272,250,159,189
2020,6,90,"1,590",736,34,68,46,28,43,44,49,44,62,79,94,35,55,55,854,50,36,82,50,41,119,47,40,27,53,33,25,59,59,61,31,41
2020,6,100,123,56,1,6,6,0,3,9,4,5,6,3,6,1,4,2,67,18,6,5,1,1,8,6,2,3,0,1,4,5,3,2,0,2
2020,7,총,"281,243","120,574","6,454","10,810","8,465","3,672","6,026","9,874","8,132","5,383","8,930","10,263","16,370","6,920","7,680","11,595","160,669","11,211","5,769","9,893","9,216","6,128","19,175","9,627","14,197","7,757","12,403","8,590","4,036","10,899","11,018","8,110","6,809","5,831"
2020,7,0,"20,025","7,913",504,609,429,146,256,539,903,250,504,694,"1,128",506,386,"1,059","12,112",886,413,526,709,394,"1,091",639,"1,251",689,"1,248",675,497,759,817,607,506,405
2020,7,10,"25,899","9,283",559,736,648,256,396,654,652,354,648,758,"1,264",643,584,"1,131","16,616","1,103",568,730,"1,094",361,"1,470",766,"1,211",849,"1,823","1,636",355,874,"1,075","1,101",822,778
2020,7,20,"37,839","16,609",971,"1,691","1,178",552,780,"1,416","1,041",752,"1,192","1,288","2,259",890,"1,024","1,575","21,230","1,492",786,"1,379","1,046",781,"2,846","1,400","1,861","1,073","1,244",953,503,"1,680","1,534","1,013",916,723
2020,7,30,"38,117","15,916",947,"1,389","1,042",427,689,"1,477","1,464",645,"1,001","1,410","2,146",803,755,"1,721","22,201","1,459",714,"1,197","1,201","1,201","2,354","1,393","2,917","1,014","1,800",732,793,"1,550","1,464","1,029",805,578
2020,7,40,"45,813","17,536","1,026","1,505","1,157",484,837,"1,434","1,286",699,"1,153","1,564","2,396","1,081","1,117","1,797","28,277","1,886",923,"1,326","1,824","1,038","2,742","1,509","2,661","1,393","2,841","2,206",680,"1,549","1,695","1,690","1,240","1,074"
2020,7,50,"50,684","22,386","1,084","2,041","1,638",649,"1,083","1,726","1,337","1,059","1,785","1,913","3,154","1,304","1,503","2,110","28,298","2,097","1,127","2,118","1,403",971,"3,808","1,789","2,092","1,495","1,709","1,234",576,"2,116","2,225","1,268","1,259","1,011"
2020,7,60,"34,890","16,998",773,"1,560","1,356",546,"1,024","1,487",855,927,"1,432","1,468","2,144",920,"1,197","1,309","17,892","1,372",705,"1,463","1,057",703,"2,652","1,155","1,203",696,913,593,378,"1,477","1,394",685,753,693
2020,7,70,"17,093","8,725",379,832,664,381,576,705,389,442,770,699,"1,187",459,705,537,"8,368",567,335,659,513,383,"1,363",605,625,304,458,338,139,550,484,397,311,337
2020,7,80,"9,172","4,423",175,373,303,203,342,381,154,207,377,389,592,276,350,301,"4,749",283,155,406,318,253,723,316,331,213,316,190,86,281,268,256,165,189
2020,7,90,"1,590",731,35,68,45,28,40,46,47,43,62,77,94,37,55,54,859,48,37,84,50,42,118,49,43,27,51,32,25,59,59,62,32,41
2020,7,100,121,54,1,6,5,0,3,9,4,5,6,3,6,1,4,1,67,18,6,5,1,1,8,6,2,4,0,1,4,4,3,2,0,2
2020,8,총,"280,351","120,254","6,442","10,812","8,472","3,661","5,772","9,983","8,117","5,373","8,964","10,222","16,337","6,909","7,642","11,548","160,097","11,169","5,764","9,697","9,209","6,104","19,130","9,623","14,193","7,747","12,384","8,595","4,040","10,735","10,993","8,088","6,815","5,811"
2020,8,0,"19,839","7,852",511,610,420,145,242,549,904,243,496,691,"1,121",505,370,"1,045","11,987",870,412,507,708,381,"1,082",631,"1,228",682,"1,244",674,497,757,813,602,502,397
2020,8,10,"25,763","9,210",553,732,650,255,380,649,647,354,650,749,"1,254",636,578,"1,123","16,553","1,089",562,710,"1,088",363,"1,468",763,"1,205",851,"1,819","1,636",354,858,"1,079","1,108",817,783
2020,8,20,"37,698","16,585",973,"1,706","1,169",545,741,"1,462","1,037",749,"1,206","1,276","2,251",890,"1,015","1,565","21,113","1,486",781,"1,354","1,037",773,"2,834","1,399","1,857","1,072","1,248",952,499,"1,648","1,527","1,006",924,716
2020,8,30,"37,865","15,806",929,"1,376","1,037",433,661,"1,517","1,453",635,993,"1,404","2,128",797,747,"1,696","22,059","1,461",718,"1,182","1,204","1,186","2,337","1,397","2,911","1,011","1,773",723,794,"1,520","1,449","1,020",809,564
2020,8,40,"45,566","17,423","1,024","1,492","1,158",470,798,"1,430","1,283",693,"1,154","1,564","2,386","1,072","1,108","1,791","28,143","1,872",919,"1,281","1,805","1,039","2,728","1,506","2,665","1,391","2,847","2,213",686,"1,521","1,684","1,676","1,232","1,078"
2020,8,50,"50,562","22,350","1,098","2,046","1,630",642,"1,048","1,746","1,338","1,062","1,791","1,900","3,136","1,303","1,500","2,110","28,212","2,084","1,131","2,070","1,418",963,"3,811","1,785","2,096","1,484","1,714","1,233",576,"2,090","2,217","1,271","1,262","1,007"
2020,8,60,"35,026","17,063",762,"1,561","1,375",550,978,"1,489",862,933,"1,450","1,466","2,169",933,"1,211","1,324","17,963","1,382",702,"1,456","1,062",708,"2,659","1,161","1,215",709,912,602,381,"1,460","1,408",689,759,698
2020,8,70,"17,109","8,744",386,841,674,384,550,704,389,450,775,703,"1,192",457,706,533,"8,365",570,339,648,514,391,"1,362",608,632,300,459,340,140,537,480,399,311,335
2020,8,80,"9,190","4,428",170,375,309,210,331,382,152,206,380,387,595,278,351,302,"4,762",287,157,401,321,256,722,316,336,216,316,186,84,282,272,253,167,190
2020,8,90,"1,611",739,35,67,45,27,40,46,48,43,63,79,99,37,52,58,872,50,37,83,51,43,118,51,46,27,52,35,25,58,61,62,32,41
2020,8,100,122,54,1,6,5,0,3,9,4,5,6,3,6,1,4,1,68,18,6,5,1,1,9,6,2,4,0,1,4,4,3,2,0,2
2020,9,총,"279,609","120,104","6,410","10,847","8,439","3,648","5,629","10,159","8,118","5,343","8,941","10,208","16,326","6,885","7,636","11,515","159,505","11,135","5,768","9,553","9,203","6,114","19,032","9,604","14,193","7,717","12,388","8,576","4,056","10,528","10,994","8,072","6,797","5,775"
2020,9,0,"19,728","7,830",505,612,418,138,241,559,906,241,486,693,"1,119",501,375,"1,036","11,898",865,418,497,703,378,"1,058",626,"1,221",684,"1,239",665,497,754,816,603,492,382
2020,9,10,"25,574","9,111",540,732,638,250,373,655,644,350,639,735,"1,233",626,573,"1,123","16,463","1,083",555,695,"1,082",364,"1,455",760,"1,199",843,"1,817","1,635",359,845,"1,070","1,109",810,782
2020,9,20,"37,531","16,565",974,"1,714","1,165",549,710,"1,500","1,032",732,"1,198","1,271","2,263",884,"1,019","1,554","20,966","1,469",787,"1,322","1,041",783,"2,815","1,386","1,852","1,060","1,244",946,497,"1,595","1,532","1,002",924,711
2020,9,30,"37,595","15,714",910,"1,372","1,030",421,647,"1,559","1,447",625,989,"1,394","2,114",789,739,"1,678","21,881","1,457",722,"1,168","1,199","1,166","2,312","1,399","2,888","1,001","1,766",725,791,"1,485","1,447","1,002",802,551
2020,9,40,"45,382","17,364","1,020","1,478","1,147",469,779,"1,450","1,287",689,"1,157","1,566","2,370","1,061","1,103","1,788","28,018","1,860",910,"1,269","1,809","1,041","2,702","1,490","2,674","1,376","2,855","2,204",684,"1,502","1,675","1,669","1,224","1,074"
2020,9,50,"50,487","22,339","1,103","2,063","1,621",644,"1,020","1,771","1,339","1,051","1,784","1,901","3,134","1,306","1,498","2,104","28,148","2,088","1,121","2,036","1,414",971,"3,789","1,789","2,116","1,494","1,715","1,239",579,"2,038","2,215","1,277","1,260","1,007"
2020,9,60,"35,240","17,175",764,"1,576","1,380",550,968,"1,517",862,946,"1,462","1,475","2,197",933,"1,209","1,336","18,065","1,388",714,"1,442","1,065",716,"2,689","1,167","1,225",717,924,603,392,"1,442","1,418",693,770,700
2020,9,70,"17,133","8,778",390,847,680,388,531,712,387,452,776,703,"1,196",465,714,537,"8,355",570,339,639,516,392,"1,367",610,628,296,460,337,140,534,483,398,311,335
