년도,월,나이,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020,4,70,"5,705",376,265,206,188,220,168,135,171,203,260,270,138,174,96,179,506,145,709,211,327,303,203,252
2020,4,80,"2,634",176,132,112,96,108,71,59,106,109,163,128,85,102,44,92,164,63,251,98,124,106,101,144
2020,4,90,254,23,10,9,9,8,6,7,10,12,26,10,12,5,4,9,16,4,23,14,9,7,9,12
2020,4,100,20,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,6,1,5,2,1,2,0,0
2020,5,총,"54,361","2,791","2,180","1,447","1,069","1,435",896,938,"1,055","1,301","1,728","1,404",856,"1,210",635,"1,072","8,973","1,520","9,931","1,675","5,170","3,046","2,072","1,957"
2020,5,0,"3,430",138,98,31,36,38,29,31,24,47,52,26,23,52,17,30,789,73,838,84,547,246,106,75
2020,5,10,"5,295",243,156,83,45,52,45,61,49,56,74,44,36,93,28,44,"1,102",169,"1,407",149,759,281,183,136
2020,5,20,"5,897",224,229,138,83,118,70,85,81,102,147,84,54,95,47,66,"1,229",182,"1,266",206,634,317,241,199
2020,5,30,"4,881",236,164,80,70,133,56,59,66,88,96,109,69,74,35,61,"1,064",116,971,138,545,337,166,148
2020,5,40,"8,033",386,259,156,122,185,100,110,126,145,234,151,96,152,65,139,"1,656",262,"1,590",217,819,529,267,267
2020,5,50,"10,069",517,483,337,226,263,169,210,217,276,346,268,166,241,139,224,"1,530",297,"1,698",274,856,500,451,381
2020,5,60,"8,103",470,390,293,194,307,183,176,207,261,330,308,174,221,160,229,900,209,"1,165",282,545,412,344,343
2020,5,70,"5,731",380,261,207,187,219,167,138,170,203,260,275,141,173,96,178,517,143,713,210,332,308,205,248
2020,5,80,"2,647",173,131,113,98,110,72,61,104,111,162,128,85,103,44,92,164,64,256,99,124,106,100,147
2020,5,90,254,24,9,9,8,8,5,7,11,12,26,11,12,6,4,9,16,4,21,14,8,8,9,13
2020,5,100,21,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,6,1,6,2,1,2,0,0
2020,6,총,"54,267","2,789","2,170","1,445","1,065","1,432",892,939,"1,044","1,292","1,722","1,405",847,"1,216",633,"1,077","8,951","1,512","9,955","1,680","5,158","3,026","2,046","1,971"
2020,6,0,"3,408",138,95,29,36,38,28,31,24,46,51,26,23,51,17,31,782,72,838,86,543,245,107,71
2020,6,10,"5,264",239,156,84,45,51,44,58,46,56,75,43,37,97,27,44,"1,096",167,"1,405",146,754,280,181,133
2020,6,20,"5,897",224,229,133,83,118,69,86,80,100,144,84,53,94,48,67,"1,225",184,"1,275",207,637,313,233,211
2020,6,30,"4,870",239,158,85,68,130,54,61,64,87,95,109,69,77,33,61,"1,069",115,963,140,545,331,162,155
2020,6,40,"7,981",379,256,150,120,182,102,111,122,144,233,150,96,154,65,141,"1,650",257,"1,596",213,818,523,261,258
2020,6,50,"10,024",520,483,338,223,264,157,205,213,271,342,269,160,239,138,221,"1,517",295,"1,716",274,847,501,442,389
2020,6,60,"8,157",474,389,295,195,308,191,181,210,262,330,311,175,225,162,231,909,211,"1,164",286,545,407,350,346
2020,6,70,"5,747",377,264,209,189,219,168,137,169,205,265,274,141,171,95,180,517,143,715,212,336,311,203,247
2020,6,80,"2,640",175,131,113,98,111,74,62,104,109,160,126,81,102,44,92,166,62,256,100,123,104,98,149
2020,6,90,259,24,9,9,8,9,5,7,12,12,26,13,12,6,4,9,14,5,21,14,9,10,9,12
2020,6,100,20,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,6,1,6,2,1,1,0,0
2020,7,총,"54,186","2,774","2,170","1,444","1,059","1,428",892,937,"1,043","1,290","1,712","1,405",845,"1,208",632,"1,084","8,931","1,495","9,972","1,681","5,155","3,018","2,037","1,974"
2020,7,0,"3,384",136,88,27,37,39,28,30,23,45,49,26,24,51,17,32,778,71,837,87,536,243,108,72
2020,7,10,"5,232",234,157,87,45,50,42,58,48,56,74,42,35,92,28,44,"1,087",162,"1,400",147,756,277,181,130
2020,7,20,"5,875",220,229,130,81,116,68,83,79,99,140,82,52,95,48,66,"1,219",177,"1,285",207,640,314,235,210
2020,7,30,"4,843",237,156,83,65,133,55,59,65,87,98,111,68,73,34,64,"1,053",112,966,143,534,329,158,160
2020,7,40,"7,971",379,264,150,123,180,103,112,120,143,228,149,97,153,65,137,"1,651",254,"1,602",208,821,516,260,256
2020,7,50,"10,009",520,475,341,216,258,158,206,206,272,341,273,159,237,136,226,"1,525",296,"1,716",273,847,503,435,390
2020,7,60,"8,177",475,396,295,196,310,191,180,213,263,332,308,173,226,160,233,915,212,"1,163",285,548,409,348,346
2020,7,70,"5,766",376,264,207,190,219,169,139,173,204,264,275,145,171,96,180,521,143,719,212,339,307,204,249
2020,7,80,"2,648",173,132,115,99,112,73,62,104,109,159,126,80,104,44,93,161,62,256,101,124,109,99,151
2020,7,90,260,24,9,9,7,9,5,8,12,12,26,13,12,6,4,9,15,5,22,16,9,10,9,9
2020,7,100,21,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,6,1,6,2,1,1,0,1
2020,8,총,"54,088","2,764","2,166","1,442","1,058","1,420",898,926,"1,061","1,297","1,706","1,402",848,"1,209",625,"1,078","8,920","1,492","9,950","1,669","5,134","3,012","2,031","1,980"
2020,8,0,"3,358",132,88,28,36,39,30,30,23,45,44,26,23,48,17,32,773,70,828,87,535,243,106,75
2020,8,10,"5,218",235,155,85,46,48,42,57,66,55,75,40,36,93,27,44,"1,082",158,"1,405",144,749,271,177,128
2020,8,20,"5,870",218,227,127,79,117,68,81,77,98,141,81,53,95,47,65,"1,225",180,"1,280",203,640,318,238,212
2020,8,30,"4,815",230,161,85,66,131,57,56,65,88,101,109,70,75,34,66,"1,040",111,950,139,530,327,159,165
2020,8,40,"7,953",381,262,150,121,182,105,109,130,148,226,150,96,153,64,131,"1,636",255,"1,602",210,810,518,260,254
2020,8,50,"9,964",510,468,337,219,254,160,205,204,275,340,273,158,238,133,226,"1,537",292,"1,715",274,835,496,427,388
2020,8,60,"8,226",480,400,299,195,308,190,181,208,266,333,313,175,222,160,234,927,216,"1,165",284,557,415,351,347
2020,8,70,"5,757",383,266,204,191,218,167,137,174,203,260,272,145,174,96,176,518,143,719,210,343,306,202,250
2020,8,80,"2,655",171,131,118,98,112,74,62,102,107,159,126,80,106,43,95,161,62,258,103,126,108,102,151
2020,8,90,252,24,8,9,7,9,5,8,12,12,26,12,12,5,4,9,15,4,23,13,8,9,9,9
