년도,월,나이,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동,광주광역시 남구 진월동
2020,3,총,"104,881","3,470","3,442","4,442","7,036","13,946","2,838","4,011","4,649","3,373","6,092","3,081","9,672","4,291","22,239","9,506","2,793",
2020,3,0,"9,271",291,305,278,526,"1,507",154,201,212,142,581,224,754,281,"2,111","1,546",158,
2020,3,10,"11,795",367,341,417,742,"2,580",165,241,357,206,561,209,"1,107",345,"2,983","1,002",172,
2020,3,20,"14,685",431,459,663,"1,104","1,799",335,525,671,520,814,447,"1,462",627,"3,346","1,180",302,
2020,3,30,"13,299",368,448,511,856,"1,357",395,478,630,453,823,444,"1,184",534,"2,708","1,871",239,
2020,3,40,"16,939",555,580,642,"1,115","2,511",454,624,708,474,957,494,"1,528",603,"3,705","1,591",398,
2020,3,50,"15,910",520,492,715,"1,102","2,018",496,712,787,606,887,471,"1,583",708,"3,170","1,155",488,
2020,3,60,"12,550",423,411,609,866,"1,303",398,584,718,561,806,381,"1,209",650,"2,352",741,538,
2020,3,70,"7,676",365,304,440,497,614,331,485,439,326,468,302,651,416,"1,369",327,342,
2020,3,80,"2,502",127,92,154,208,227,99,147,115,79,173,97,183,117,454,84,146,
2020,3,90,241,21,8,13,19,29,8,14,12,5,22,10,11,10,41,9,9,
2020,3,100,13,2,2,0,1,1,3,0,0,1,0,2,0,0,0,0,1,
2020,4,총,"104,745","3,463","3,430","4,448","7,008","13,896","2,830","4,010","4,646","3,369","6,074","3,067","9,693","4,270","22,217","9,542","2,782",
2020,4,0,"9,204",289,301,283,524,"1,480",151,204,210,138,576,220,758,274,"2,097","1,547",152,
2020,4,10,"11,798",372,338,416,740,"2,575",165,238,359,205,562,212,"1,101",341,"2,995","1,009",170,
2020,4,20,"14,628",436,466,662,"1,083","1,789",339,526,670,525,806,430,"1,471",624,"3,325","1,177",299,
2020,4,30,"13,235",358,442,502,871,"1,348",383,478,629,441,823,447,"1,184",534,"2,693","1,867",235,
2020,4,40,"16,916",552,576,647,"1,107","2,504",448,617,708,473,948,493,"1,519",596,"3,717","1,610",401,
2020,4,50,"15,931",521,490,713,"1,097","2,031",499,707,794,610,895,465,"1,594",708,"3,162","1,158",487,
2020,4,60,"12,572",427,414,609,864,"1,294",401,586,710,560,798,388,"1,217",655,"2,362",751,536,
2020,4,70,"7,673",353,299,448,493,615,332,491,436,331,471,302,651,410,"1,370",328,343,
2020,4,80,"2,533",132,94,155,209,231,102,149,118,79,173,98,187,117,454,86,149,
2020,4,90,242,21,8,13,19,28,7,14,12,6,22,10,11,11,42,9,9,
2020,4,100,13,2,2,0,1,1,3,0,0,1,0,2,0,0,0,0,1,
2020,5,총,"104,351","3,449","3,418","4,426","6,887","13,839","2,824","3,988","4,634","3,356","6,037","3,073","9,669","4,254","22,132","9,565","2,800",
2020,5,0,"9,146",287,300,276,512,"1,450",151,201,210,133,570,223,763,269,"2,086","1,558",157,
2020,5,10,"11,704",369,336,412,731,"2,566",166,237,348,201,561,209,"1,084",340,"2,964","1,012",168,
2020,5,20,"14,572",443,461,661,"1,058","1,773",343,522,673,521,797,431,"1,474",622,"3,312","1,178",303,
2020,5,30,"13,154",349,444,498,839,"1,352",377,472,624,442,810,451,"1,187",529,"2,678","1,873",229,
2020,5,40,"16,848",550,575,648,"1,089","2,508",442,612,705,470,941,497,"1,503",588,"3,702","1,612",406,
2020,5,50,"15,895",526,488,712,"1,075","2,027",497,706,798,611,894,453,"1,589",704,"3,165","1,159",491,
2020,5,60,"12,535",415,410,600,861,"1,293",402,581,708,558,791,395,"1,211",662,"2,352",753,543,
2020,5,70,"7,698",355,299,452,495,609,331,494,440,332,476,303,657,410,"1,380",323,342,
2020,5,80,"2,543",132,95,154,207,232,105,149,116,81,175,98,190,119,450,88,152,
2020,5,90,243,21,8,13,19,28,7,14,12,6,22,11,11,11,43,9,8,
2020,5,100,13,2,2,0,1,1,3,0,0,1,0,2,0,0,0,0,1,
2020,6,총,"104,128","3,439","3,443","4,409","6,796","13,826","2,824","3,951","4,606","3,357","6,029","3,063","9,638","4,244","22,117","9,588","2,798",
2020,6,0,"9,093",284,304,269,507,"1,443",148,200,202,131,563,223,752,262,"2,083","1,568",154,
2020,6,10,"11,680",369,337,410,721,"2,567",162,238,350,202,564,205,"1,077",333,"2,964","1,011",170,
2020,6,20,"14,509",440,463,658,"1,044","1,765",347,507,677,525,802,431,"1,463",626,"3,290","1,174",297,
2020,6,30,"13,078",350,450,499,822,"1,346",376,466,617,439,805,445,"1,179",525,"2,659","1,868",232,
2020,6,40,"16,823",546,574,637,"1,076","2,516",441,609,697,473,935,496,"1,506",583,"3,702","1,626",406,
2020,6,50,"15,821",525,493,715,"1,047","2,010",498,694,787,604,894,449,"1,578",710,"3,183","1,147",487,
2020,6,60,"12,605",420,410,600,864,"1,307",406,580,701,561,794,400,"1,216",665,"2,362",770,549,
2020,6,70,"7,703",352,303,454,493,608,329,495,445,332,472,298,663,409,"1,378",328,344,
2020,6,80,"2,559",131,97,154,202,236,107,149,117,83,178,103,194,119,452,88,149,
2020,6,90,245,21,10,13,19,27,7,13,13,6,22,11,10,12,44,8,9,
2020,6,100,12,1,2,0,1,1,3,0,0,1,0,2,0,0,0,0,1,
2020,7,총,"104,009","3,411","3,427","4,400","6,739","13,811","2,830","3,960","4,590","3,338","6,017","3,061","9,625","4,245","22,109","9,623","2,823",
2020,7,0,"9,056",279,303,264,504,"1,440",146,198,200,127,554,222,746,260,"2,076","1,576",161,
2020,7,10,"11,624",367,336,405,714,"2,549",165,235,344,197,572,205,"1,070",330,"2,952","1,013",170,
2020,7,20,"14,510",434,465,656,"1,039","1,773",347,509,671,525,794,435,"1,467",624,"3,292","1,181",298,
2020,7,30,"13,013",346,444,499,807,"1,327",377,473,616,431,800,444,"1,178",521,"2,645","1,866",239,
2020,7,40,"16,847",538,575,640,"1,072","2,524",444,611,698,478,928,492,"1,501",596,"3,715","1,627",408,
2020,7,50,"15,773",519,489,711,"1,036","2,014",497,689,780,594,899,448,"1,577",703,"3,173","1,150",494,
2020,7,60,"12,632",420,405,601,859,"1,312",410,585,699,567,796,400,"1,214",670,"2,369",778,547,
2020,7,70,"7,723",358,303,453,487,609,321,492,451,330,472,301,668,409,"1,390",331,348,
2020,7,80,"2,575",128,95,158,202,237,113,155,118,82,181,101,195,118,451,93,148,
2020,7,90,244,21,10,13,18,25,7,13,13,6,21,11,9,14,46,8,9,
2020,7,100,12,1,2,0,1,1,3,0,0,1,0,2,0,0,0,0,1,
2020,8,총,"103,846","3,398","3,421","4,370","6,709","13,792","2,813","3,946","4,581","3,330","5,993","3,057","9,613","4,239","22,062","9,649","2,873",
2020,8,0,"9,017",274,299,265,492,"1,445",138,199,198,126,553,222,742,261,"2,055","1,576",172,
2020,8,10,"11,557",365,336,399,712,"2,529",164,236,335,195,569,199,"1,070",328,"2,930","1,018",172,
2020,8,20,"14,498",429,470,649,"1,034","1,769",350,508,665,528,789,441,"1,459",629,"3,303","1,177",298,
2020,8,30,"12,948",340,444,491,800,"1,318",369,471,625,422,789,449,"1,165",514,"2,634","1,864",253,
2020,8,40,"16,853",542,571,633,"1,073","2,529",443,611,697,481,927,491,"1,509",589,"3,697","1,642",418,
2020,8,50,"15,721",519,493,707,"1,028","2,010",496,680,780,589,897,436,"1,569",701,"3,164","1,154",498,
2020,8,60,"12,686",423,403,602,864,"1,318",408,579,700,572,796,403,"1,224",669,"2,385",785,555,
2020,8,70,"7,711",357,299,452,487,609,320,493,444,323,471,300,666,415,"1,393",334,348,
2020,8,80,"2,596",127,95,159,197,239,115,154,124,87,182,103,200,119,455,91,149,
2020,8,90,247,21,9,13,21,25,7,15,13,6,20,11,9,14,46,8,9,
2020,8,100,12,1,2,0,1,1,3,0,0,1,0,2,0,0,0,0,1,
2020,9,총,"103,633","3,363","3,402","4,362","6,698","13,787","2,801","3,909","4,574","3,325","5,975","3,053","9,582","4,227","21,973","9,677","2,925",
2020,9,0,"8,933",270,293,263,488,"1,438",141,200,193,120,546,218,727,259,"2,024","1,572",181,
2020,9,10,"11,500",350,334,397,705,"2,521",164,226,331,192,563,201,"1,055",324,"2,938","1,028",171,
2020,9,20,"14,528",428,472,650,"1,039","1,779",347,510,659,544,789,436,"1,466",621,"3,302","1,186",300,
2020,9,30,"12,824",338,434,485,787,"1,313",366,462,623,420,769,447,"1,157",517,"2,585","1,845",276,
2020,9,40,"16,811",530,570,631,"1,071","2,517",441,609,691,480,934,485,"1,506",586,"3,669","1,662",429,
2020,9,50,"15,699",519,493,703,"1,023","2,015",492,673,775,580,894,447,"1,562",696,"3,171","1,156",500,
2020,9,60,"12,735",423,400,603,875,"1,324",404,576,715,572,804,405,"1,231",673,"2,381",794,555,
2020,9,70,"7,728",355,295,458,489,614,320,486,447,323,470,300,670,417,"1,399",334,351,
2020,9,80,"2,611",128,99,159,196,241,115,150,127,86,186,101,200,121,458,92,152,
2020,9,90,252,21,10,13,24,24,8,17,13,7,20,11,8,13,46,8,9,
2020,9,100,12,1,2,0,1,1,3,0,0,1,0,2,0,0,0,0,1,
2020,10,총,"103,526","3,347","3,384","4,357","6,665","13,802","2,784","3,902","4,561","3,314","5,950","3,064","9,541","4,223","21,960","9,683","2,989",
2020,10,0,"8,859",261,288,252,485,"1,444",140,194,186,115,542,218,722,257,"2,005","1,565",185,
2020,10,10,"11,499",357,333,402,699,"2,537",159,225,331,190,562,199,"1,045",324,"2,929","1,027",180,
2020,10,20,"14,512",418,474,638,"1,036","1,776",340,515,660,547,783,439,"1,456",619,"3,314","1,194",303,
2020,10,30,"12,737",340,429,494,784,"1,288",360,462,619,420,752,443,"1,152",509,"2,569","1,826",290,
2020,10,40,"16,791",522,558,623,"1,055","2,533",446,606,693,474,935,482,"1,493",587,"3,671","1,670",443,
2020,10,50,"15,667",521,494,699,"1,009","2,006",488,665,770,581,889,455,"1,559",696,"3,166","1,162",507,
2020,10,60,"12,817",424,402,614,884,"1,329",409,582,718,574,808,410,"1,231",678,"2,390",802,562,
2020,10,70,"7,755",355,297,463,494,620,316,485,443,319,472,302,672,416,"1,408",336,357,
2020,10,80,"2,626",129,97,159,195,245,114,151,128,86,186,103,203,125,461,92,152,
2020,10,90,250,19,10,13,23,23,9,17,13,7,21,11,7,12,47,9,9,
2020,10,100,13,1,2,0,1,1,3,0,0,1,0,2,1,0,0,0,1,
2020,11,총,"103,360","3,341","3,375","4,338","6,639","13,760","2,767","3,870","4,543","3,307","5,945","3,042","9,520","4,200","21,888","9,787","3,038",
