년도,월,나이,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2020,3,총,"41,764","2,181","2,970","6,602","10,730","4,715","1,088","1,047","4,898","7,533"
2020,3,0,"1,458",41,87,231,411,126,21,14,207,320
2020,3,10,"2,208",80,109,426,623,214,45,29,229,453
2020,3,20,"5,507",443,326,920,"1,461",530,110,74,825,818
2020,3,30,"4,535",334,255,706,"1,148",491,115,104,676,706
2020,3,40,"5,596",262,365,938,"1,502",573,123,113,716,"1,004"
2020,3,50,"7,229",344,569,"1,119","1,843",833,199,207,723,"1,392"
2020,3,60,"7,781",375,590,"1,145","1,926","1,008",263,291,767,"1,416"
2020,3,70,"4,977",189,459,739,"1,224",607,128,156,486,989
2020,3,80,"2,035",86,169,299,509,266,61,47,224,374
2020,3,90,356,25,36,70,70,43,19,11,36,46
2020,3,100,82,2,5,9,13,24,4,1,9,15
2020,4,총,"41,714","2,200","2,964","6,601","10,740","4,708","1,086","1,049","4,858","7,508"
2020,4,0,"1,450",41,85,226,417,121,23,14,204,319
2020,4,10,"2,186",81,112,420,614,213,41,30,222,453
2020,4,20,"5,540",451,321,937,"1,473",537,109,73,819,820
2020,4,30,"4,506",343,257,698,"1,141",487,114,106,663,697
2020,4,40,"5,583",262,368,936,"1,502",573,123,109,712,998
2020,4,50,"7,191",344,563,"1,113","1,850",835,193,208,716,"1,369"
2020,4,60,"7,773",377,586,"1,150","1,916","1,000",267,293,761,"1,423"
2020,4,70,"5,005",188,461,747,"1,228",608,131,155,492,995
2020,4,80,"2,039",85,168,295,516,265,62,49,224,375
2020,4,90,359,26,38,70,70,45,19,11,36,44
2020,4,100,82,2,5,9,13,24,4,1,9,15
2020,5,총,"41,742","2,249","2,973","6,590","10,747","4,711","1,083","1,042","4,851","7,496"
2020,5,0,"1,426",40,85,222,411,117,21,14,201,315
2020,5,10,"2,170",83,109,417,612,216,40,29,219,445
2020,5,20,"5,551",475,319,936,"1,473",534,108,72,815,819
