년도,월,나이,구미시,선산읍,고아읍,무을면,옥성면,도개면,해평면,산동면,장천면,송정동,원평1동,원평2동,도량동,지산동,선주원남동,형곡1동,형곡2동,신평1동,신평2동,비산동,공단1동,공단2동,광평동,상모사곡동,임오동,인동동,진미동,양포동,산동읍,공단동,원평동
2020,1,총,"215,196","7,641","18,944",954,905,"1,181","2,215","13,419","1,691","8,109","2,172","1,762","15,073","1,216","24,193","7,592","9,010","1,892","1,817","3,418","3,470","2,487","2,426","15,260","10,391","25,372","8,680","23,906",,,
2020,1,0,"22,410",491,"1,783",21,10,20,41,"2,751",54,470,39,53,"1,337",45,"2,651",612,538,78,161,380,468,357,166,"1,432","1,248","2,909",543,"3,752",,,
2020,1,10,"24,404",619,"2,191",38,37,112,89,"1,046",131,678,59,95,"1,933",69,"3,396",987,"1,196",106,134,257,323,96,190,"2,009","1,466","3,227",616,"3,304",,,
2020,1,20,"31,991",977,"2,873",69,73,92,195,"1,332",154,"1,454",316,207,"2,327",156,"3,400","1,205","1,636",388,261,551,522,425,436,"2,487","1,462","3,759","2,116","3,118",,,
2020,1,30,"36,207",756,"2,378",63,49,66,160,"4,348",110,"1,275",304,203,"1,888",120,"3,155",906,997,344,347,807,777,707,434,"2,153","1,725","4,909","2,477","4,749",,,
2020,1,40,"37,108","1,059","2,819",88,101,130,315,"2,103",240,"1,145",427,220,"2,393",164,"4,502","1,199","1,337",271,265,515,580,387,412,"2,928","1,976","4,907","1,484","5,141",,,
2020,1,50,"35,354","1,524","3,915",223,196,249,507,"1,079",372,"1,506",518,377,"2,930",263,"4,180","1,461","1,916",355,344,588,530,333,426,"2,889","1,734","3,440",893,"2,606",,,
2020,1,60,"18,390","1,293","1,992",229,214,237,450,499,314,"1,107",337,373,"1,635",251,"2,089",848,"1,058",220,197,223,215,147,216,948,567,"1,538",388,805,,,
2020,1,70,"6,758",636,678,137,140,184,274,169,210,383,138,181,458,105,635,292,265,98,74,79,46,30,114,319,156,523,121,313,,,
2020,1,80,"2,361",262,288,73,73,84,170,80,100,88,32,49,160,43,175,80,64,31,31,17,8,5,28,82,53,146,35,104,,,
2020,1,90,207,24,26,13,12,6,13,12,6,2,2,4,12,0,10,2,3,1,3,1,1,0,4,12,4,14,7,13,,,
2020,1,100,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
2020,2,총,"215,001","7,627","18,907",951,905,"1,185","2,207","13,552","1,686","8,114","2,156","1,754","15,056","1,207","24,143","7,600","8,962","1,891","1,816","3,427","3,492","2,477","2,421","15,212","10,352","25,314","8,622","23,965",,,
2020,2,0,"22,267",478,"1,775",19,10,18,41,"2,770",52,467,37,53,"1,344",42,"2,618",616,530,76,160,382,471,348,168,"1,424","1,240","2,876",521,"3,731",,,
2020,2,10,"24,329",625,"2,181",40,37,115,87,"1,063",139,677,60,91,"1,916",69,"3,384",978,"1,180",104,129,252,326,97,191,"1,978","1,461","3,218",613,"3,318",,,
