년도,월,나이,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼남면,울산광역시 울주군 삼동면,울산광역시 울주군 삼남읍
2020,3,총,"222,711","20,430","28,481","28,755","71,258","19,354","8,500","7,812","4,198","3,144","7,932","21,046","1,801",
2020,3,0,"18,712","1,572","2,493","2,770","7,122","1,848",536,313,135,65,290,"1,531",37,
2020,3,10,"23,055","1,669","2,882","3,336","10,221","1,606",532,435,204,123,428,"1,553",66,
2020,3,20,"26,558","2,579","3,579","3,306","9,171","2,322",785,867,305,180,737,"2,603",124,
2020,3,30,"26,786","2,907","3,322","3,755","8,114","2,941",948,666,298,210,605,"2,914",106,
2020,3,40,"37,984","3,743","4,666","5,416","14,154","3,028","1,180",833,454,273,933,"3,132",172,
2020,3,50,"41,457","3,959","5,253","5,052","12,684","3,454","1,650","1,720",902,569,"1,729","4,112",373,
2020,3,60,"27,838","2,419","3,638","2,975","6,197","2,480","1,553","1,576","1,016",786,"1,717","3,022",459,
2020,3,70,"13,171","1,053","1,703","1,397","2,449","1,097",874,893,527,535,927,"1,444",272,
2020,3,80,"6,177",454,821,667,"1,007",490,390,440,296,335,482,630,165,
2020,3,90,940,65,118,80,137,85,50,69,58,68,82,102,26,
2020,3,100,33,10,6,1,2,3,2,0,3,0,2,3,1,
2020,4,총,"223,056","20,450","28,486","28,773","71,347","19,417","8,527","7,812","4,211","3,158","7,941","21,132","1,802",
2020,4,0,"18,672","1,562","2,498","2,761","7,101","1,853",540,311,137,65,286,"1,522",36,
2020,4,10,"23,001","1,674","2,859","3,336","10,203","1,601",534,427,202,123,428,"1,546",68,
2020,4,20,"26,682","2,582","3,590","3,305","9,219","2,344",784,873,304,182,731,"2,644",124,
2020,4,30,"26,754","2,917","3,323","3,731","8,088","2,952",945,661,302,210,597,"2,921",107,
2020,4,40,"37,897","3,715","4,657","5,427","14,105","3,005","1,193",832,452,270,940,"3,130",171,
2020,4,50,"41,585","3,974","5,239","5,059","12,761","3,478","1,653","1,712",899,573,"1,739","4,127",371,
2020,4,60,"28,030","2,443","3,657","3,000","6,250","2,493","1,559","1,589","1,025",793,"1,718","3,044",459,
2020,4,70,"13,239","1,051","1,710","1,402","2,464","1,109",873,896,533,539,932,"1,458",272,
2020,4,80,"6,217",457,830,668,"1,017",493,394,442,296,337,483,633,167,
2020,4,90,947,65,117,83,137,86,50,69,59,66,85,104,26,
2020,4,100,32,10,6,1,2,3,2,0,2,0,2,3,1,
2020,5,총,"222,802","20,401","28,542","28,754","71,166","19,401","8,500","7,805","4,220","3,155","7,946","21,102","1,810",
2020,5,0,"18,581","1,548","2,511","2,750","7,030","1,858",525,306,144,64,283,"1,524",38,
2020,5,10,"22,871","1,662","2,841","3,325","10,153","1,578",535,423,200,125,427,"1,534",68,
2020,5,20,"26,593","2,567","3,574","3,306","9,192","2,346",777,866,306,179,736,"2,621",123,
2020,5,30,"26,630","2,886","3,337","3,715","8,025","2,946",941,654,299,205,589,"2,923",110,
2020,5,40,"37,789","3,723","4,652","5,421","14,066","2,994","1,186",829,449,272,925,"3,102",170,
2020,5,50,"41,648","3,976","5,266","5,060","12,783","3,484","1,652","1,720",898,570,"1,737","4,133",369,
2020,5,60,"28,150","2,444","3,676","3,011","6,283","2,503","1,559","1,593","1,033",794,"1,733","3,056",465,
2020,5,70,"13,326","1,059","1,725","1,410","2,479","1,108",880,903,535,541,940,"1,475",271,
2020,5,80,"6,227",462,833,672,"1,016",492,391,443,295,341,487,628,167,
2020,5,90,955,64,121,83,137,88,52,68,59,64,87,104,28,
2020,5,100,32,10,6,1,2,4,2,0,2,0,2,2,1,
2020,6,총,"222,633","20,360","28,520","28,678","71,120","19,393","8,476","7,794","4,207","3,163","7,968","21,143","1,811",
2020,6,0,"18,463","1,526","2,497","2,716","6,986","1,851",524,303,136,67,288,"1,527",42,
2020,6,10,"22,835","1,670","2,827","3,319","10,135","1,566",532,425,200,121,432,"1,541",67,
2020,6,20,"26,509","2,544","3,571","3,296","9,187","2,347",775,849,303,179,730,"2,607",121,
2020,6,30,"26,505","2,867","3,319","3,694","7,964","2,945",928,650,299,205,592,"2,931",111,
2020,6,40,"37,703","3,716","4,652","5,394","14,067","2,966","1,172",818,441,276,938,"3,095",168,
2020,6,50,"41,654","3,983","5,253","5,063","12,773","3,503","1,643","1,735",904,570,"1,724","4,136",367,
2020,6,60,"28,354","2,452","3,716","3,030","6,340","2,520","1,577","1,597","1,036",794,"1,745","3,079",468,
2020,6,70,"13,405","1,066","1,730","1,412","2,510","1,116",883,904,533,546,947,"1,488",270,
2020,6,80,"6,216",458,829,668,"1,019",488,388,445,296,341,486,631,167,
2020,6,90,957,68,120,85,137,87,52,68,57,64,84,106,29,
2020,6,100,32,10,6,1,2,4,2,0,2,0,2,2,1,
2020,7,총,"222,707","20,382","28,567","28,689","71,049","19,423","8,462","7,794","4,223","3,164","7,966","21,169","1,819",
2020,7,0,"18,378","1,521","2,493","2,706","6,942","1,847",521,297,137,67,286,"1,516",45,
2020,7,10,"22,767","1,677","2,818","3,300","10,104","1,579",526,421,197,121,423,"1,534",67,
2020,7,20,"26,524","2,529","3,589","3,300","9,188","2,341",766,852,306,182,733,"2,615",123,
2020,7,30,"26,458","2,864","3,327","3,718","7,949","2,932",916,641,297,203,577,"2,923",111,
2020,7,40,"37,664","3,725","4,655","5,354","14,039","2,978","1,171",819,441,277,937,"3,098",170,
2020,7,50,"41,651","3,978","5,241","5,072","12,787","3,496","1,640","1,735",911,562,"1,730","4,135",364,
2020,7,60,"28,539","2,470","3,754","3,065","6,356","2,542","1,591","1,605","1,041",797,"1,755","3,091",472,
2020,7,70,"13,474","1,076","1,733","1,413","2,520","1,124",882,910,538,544,955,"1,508",271,
2020,7,80,"6,255",464,830,671,"1,025",494,394,444,295,347,484,640,167,
2020,7,90,964,68,121,89,137,85,53,70,58,64,84,107,28,
2020,7,100,33,10,6,1,2,5,2,0,2,0,2,2,1,
2020,8,총,"222,752","20,395","28,590","28,737","70,980","19,441","8,446","7,769","4,218","3,160","7,970","21,230","1,816",
2020,8,0,"18,296","1,523","2,484","2,705","6,912","1,828",512,285,134,67,280,"1,519",47,
2020,8,10,"22,669","1,666","2,811","3,299","10,062","1,573",525,414,193,121,423,"1,516",66,
2020,8,20,"26,523","2,540","3,578","3,300","9,187","2,340",760,849,312,177,733,"2,625",122,
2020,8,30,"26,339","2,837","3,323","3,704","7,884","2,941",906,638,291,205,576,"2,924",110,
2020,8,40,"37,672","3,736","4,658","5,385","14,010","2,970","1,175",807,437,272,941,"3,110",171,
2020,8,50,"41,720","3,973","5,258","5,078","12,827","3,508","1,633","1,722",922,561,"1,727","4,150",361,
2020,8,60,"28,729","2,492","3,780","3,094","6,399","2,556","1,601","1,618","1,041",802,"1,761","3,116",469,
2020,8,70,"13,500","1,079","1,730","1,415","2,526","1,134",884,914,534,546,958,"1,508",272,
2020,8,80,"6,295",470,837,667,"1,034",499,394,451,294,345,484,651,169,
2020,8,90,975,69,124,89,137,87,54,71,58,64,85,109,28,
2020,8,100,34,10,7,1,2,5,2,0,2,0,2,2,1,
2020,9,총,"222,713","20,381","28,585","28,723","70,951","19,460","8,439","7,758","4,230","3,159","7,959","21,245","1,823",
2020,9,0,"18,170","1,512","2,475","2,686","6,852","1,818",508,282,135,66,274,"1,511",51,
2020,9,10,"22,610","1,652","2,806","3,302","10,050","1,571",520,407,198,118,418,"1,501",67,
2020,9,20,"26,557","2,528","3,578","3,302","9,230","2,351",750,851,308,174,731,"2,630",124,
2020,9,30,"26,209","2,841","3,317","3,671","7,833","2,916",904,633,290,208,573,"2,913",110,
2020,9,40,"37,566","3,721","4,620","5,381","13,967","2,969","1,188",805,444,266,930,"3,104",171,
2020,9,50,"41,763","3,969","5,270","5,075","12,860","3,517","1,628","1,715",915,565,"1,727","4,164",358,
2020,9,60,"28,949","2,521","3,822","3,124","6,439","2,583","1,599","1,627","1,053",808,"1,770","3,133",470,
2020,9,70,"13,538","1,085","1,721","1,418","2,541","1,139",888,915,532,543,961,"1,521",274,
2020,9,80,"6,340",473,841,675,"1,038",505,396,453,296,348,486,660,169,
2020,9,90,977,69,128,88,139,86,56,70,57,63,87,106,28,
2020,9,100,34,10,7,1,2,5,2,0,2,0,2,2,1,
2020,10,총,"222,608","20,378","28,584","28,692","70,873","19,470","8,429","7,754","4,221","3,153","7,971","21,261","1,822",
2020,10,0,"18,030","1,506","2,463","2,653","6,792","1,816",499,277,137,65,274,"1,495",53,
2020,10,10,"22,545","1,641","2,816","3,298","10,038","1,565",523,393,197,114,411,"1,482",67,
2020,10,20,"26,564","2,532","3,580","3,299","9,220","2,357",743,861,304,174,730,"2,641",123,
2020,10,30,"26,094","2,826","3,314","3,630","7,793","2,902",904,629,285,206,572,"2,921",112,
2020,10,40,"37,474","3,719","4,600","5,370","13,918","2,972","1,184",810,439,258,923,"3,111",170,
2020,10,50,"41,774","3,995","5,276","5,094","12,867","3,504","1,618","1,708",909,565,"1,728","4,156",354,
2020,10,60,"29,137","2,516","3,843","3,159","6,496","2,618","1,608","1,622","1,056",815,"1,784","3,149",471,
2020,10,70,"13,606","1,092","1,720","1,421","2,557","1,140",898,923,533,541,970,"1,537",274,
2020,10,80,"6,371",473,837,677,"1,048",504,396,460,302,352,490,662,170,
2020,10,90,979,67,128,90,142,87,54,71,57,63,87,106,27,
2020,10,100,34,11,7,1,2,5,2,0,2,0,2,1,1,
2020,11,총,"222,540","20,370","28,546","28,678","70,811","19,495","8,400","7,745","4,231","3,140","7,957",0,"1,815","21,352"
2020,11,0,"17,905","1,502","2,431","2,637","6,727","1,818",493,279,144,58,266,0,52,"1,498"
2020,11,10,"22,488","1,644","2,803","3,287","10,016","1,566",521,395,191,113,408,0,67,"1,477"
2020,11,20,"26,516","2,527","3,571","3,284","9,225","2,348",739,852,307,171,722,0,120,"2,650"
2020,11,30,"25,970","2,825","3,293","3,589","7,754","2,908",887,631,295,202,560,0,111,"2,915"
2020,11,40,"37,414","3,720","4,579","5,390","13,865","2,970","1,181",802,431,256,921,0,168,"3,131"
2020,11,50,"41,820","3,977","5,291","5,096","12,902","3,506","1,605","1,703",913,563,"1,732",0,355,"4,177"
2020,11,60,"29,345","2,531","3,868","3,187","6,557","2,630","1,621","1,629","1,054",824,"1,792",0,465,"3,187"
2020,11,70,"13,691","1,099","1,732","1,433","2,580","1,148",906,921,538,541,972,0,277,"1,544"
2020,11,80,"6,384",468,844,683,"1,040",509,393,464,298,350,497,0,173,665
2020,11,90,973,66,127,91,143,87,52,69,58,62,85,0,26,107
2020,11,100,34,11,7,1,2,5,2,0,2,0,2,0,1,1
2020,12,총,"222,538","20,372","28,540","28,688","70,703","19,443","8,401","7,731","4,229","3,140","7,953",,"1,814","21,524"
2020,12,0,"17,806","1,498","2,436","2,620","6,659","1,814",494,272,140,57,265,,52,"1,499"
2020,12,10,"22,472","1,632","2,799","3,284","10,026","1,558",521,393,190,110,406,,67,"1,486"
2020,12,20,"26,512","2,534","3,548","3,315","9,217","2,324",735,847,305,172,722,,118,"2,675"
2020,12,30,"25,848","2,813","3,285","3,543","7,719","2,905",885,623,289,208,551,,113,"2,914"
2020,12,40,"37,317","3,708","4,557","5,371","13,804","2,963","1,181",799,431,253,920,,165,"3,165"
2020,12,50,"41,890","3,997","5,273","5,132","12,906","3,500","1,599","1,696",913,563,"1,727",,355,"4,229"
2020,12,60,"29,530","2,527","3,905","3,213","6,589","2,632","1,635","1,640","1,064",818,"1,808",,465,"3,234"
2020,12,70,"13,741","1,115","1,751","1,432","2,581","1,144",905,929,538,545,973,,279,"1,549"
2020,12,80,"6,416",472,851,685,"1,059",512,393,463,298,353,495,,174,661
2020,12,90,972,65,128,92,141,86,51,69,59,61,84,,25,111
2020,12,100,34,11,7,1,2,5,2,0,2,0,2,,1,1
2021,1,총,"222,628","20,416","28,494","28,702","70,621","19,399","8,399","7,731","4,221","3,140","7,962",,"1,825","21,718"
2021,1,0,"17,680","1,494","2,412","2,597","6,609","1,787",486,281,139,56,266,,53,"1,500"
2021,1,10,"22,393","1,633","2,781","3,282","9,970","1,548",518,390,191,111,409,,68,"1,492"
2021,1,20,"26,537","2,531","3,536","3,323","9,264","2,309",736,831,297,172,712,,114,"2,712"
2021,1,30,"25,734","2,816","3,237","3,522","7,676","2,884",881,628,283,210,545,,116,"2,936"
