년도,월,나이,강화군,강화읍,선원면,불은면,길상면,화도면,양도면,내가면,하점면,양사면,송해면,교동면,삼산면,서도면,서도면볼음출장소
2020,1,총,"69,197","22,843","7,744","4,909","6,905","4,501","4,225","3,111","4,102","1,858","3,163","2,941","2,251",383,261
2020,1,0,"3,329","1,495",538,183,305,167,151,69,109,56,112,67,65,6,6
2020,1,10,"4,789","2,259",681,223,402,194,253,133,169,75,146,127,110,14,3
2020,1,20,"5,608","2,366",703,317,547,305,274,201,249,91,222,191,119,15,8
2020,1,30,"5,491","2,247",681,332,614,321,243,194,243,86,203,160,140,18,9
2020,1,40,"7,985","3,316","1,096",467,740,386,453,297,365,145,286,212,187,24,11
2020,1,50,"12,291","3,812","1,376",896,"1,387",818,753,560,680,357,551,548,417,79,57
2020,1,60,"13,452","3,444","1,301","1,184","1,475","1,103",926,713,905,415,653,626,533,105,69
2020,1,70,"10,024","2,506",819,773,923,739,695,607,836,377,591,622,408,65,63
2020,1,80,"5,423","1,215",474,453,441,393,416,306,483,229,360,335,235,53,30
2020,1,90,765,169,74,78,68,71,59,29,59,26,36,50,37,4,5
2020,1,100,40,14,1,3,3,4,2,2,4,1,3,3,0,0,0
2020,2,총,"69,154","22,840","7,731","4,900","6,918","4,485","4,210","3,117","4,100","1,865","3,164","2,930","2,257",377,260
2020,2,0,"3,329","1,498",532,182,310,164,151,67,115,56,115,65,63,5,6
2020,2,10,"4,785","2,272",675,221,397,196,248,140,168,78,140,123,112,12,3
2020,2,20,"5,547","2,331",704,321,549,293,269,199,245,88,222,182,120,17,7
2020,2,30,"5,476","2,244",680,330,603,325,238,192,247,84,207,163,137,17,9
2020,2,40,"7,952","3,313","1,085",459,740,379,451,297,360,148,279,211,195,23,12
2020,2,50,"12,254","3,821","1,365",891,"1,387",807,752,555,673,353,550,548,419,77,56
2020,2,60,"13,535","3,460","1,313","1,186","1,491","1,114",923,720,908,422,656,630,538,104,70
2020,2,70,"9,999","2,491",822,773,931,736,698,607,828,378,589,617,401,65,63
2020,2,80,"5,455","1,222",480,451,438,396,416,308,493,230,367,337,235,53,29
2020,2,90,783,175,74,83,69,71,62,30,59,27,36,51,37,4,5
2020,2,100,39,13,1,3,3,4,2,2,4,1,3,3,0,0,0
2020,3,총,"68,996","22,772","7,731","4,885","6,907","4,475","4,184","3,103","4,090","1,862","3,172","2,927","2,249",379,260
2020,3,0,"3,298","1,472",529,180,312,160,153,64,118,53,117,66,63,5,6
2020,3,10,"4,738","2,252",663,219,399,195,237,139,168,75,141,121,114,12,3
2020,3,20,"5,520","2,331",708,317,532,288,266,195,242,90,222,183,121,18,7
2020,3,30,"5,442","2,232",678,331,600,321,233,187,240,83,209,166,134,19,9
2020,3,40,"7,859","3,275","1,070",446,738,379,442,294,356,148,274,208,194,23,12
2020,3,50,"12,192","3,824","1,365",884,"1,381",796,742,548,668,352,545,539,418,75,55
2020,3,60,"13,627","3,486","1,324","1,197","1,498","1,119",932,726,913,426,661,632,535,106,72
2020,3,70,"10,002","2,480",837,771,943,743,698,609,817,377,590,615,396,65,61
2020,3,80,"5,501","1,235",480,453,432,401,417,310,506,230,376,342,237,52,30
2020,3,90,776,171,76,84,69,70,61,29,58,27,33,52,37,4,5
2020,3,100,41,14,1,3,3,3,3,2,4,1,4,3,0,0,0
2020,4,총,"69,030","22,749","7,737","4,882","6,931","4,481","4,192","3,108","4,091","1,857","3,175","2,923","2,261",380,263
2020,4,0,"3,274","1,452",518,177,316,158,154,65,120,52,119,69,63,5,6
2020,4,10,"4,721","2,241",661,214,403,199,237,136,165,77,138,118,117,12,3
2020,4,20,"5,519","2,332",715,321,531,284,257,199,242,92,220,179,120,19,8
2020,4,30,"5,424","2,212",679,331,602,323,239,186,240,80,210,164,130,19,9
2020,4,40,"7,874","3,271","1,064",444,746,381,440,298,357,152,278,209,199,23,12
2020,4,50,"12,148","3,822","1,368",880,"1,366",789,745,545,657,347,545,546,409,74,55
2020,4,60,"13,700","3,498","1,336","1,198","1,515","1,127",929,731,925,426,662,627,548,106,72
2020,4,70,"10,034","2,491",843,773,947,748,704,607,810,376,589,615,403,66,62
2020,4,80,"5,521","1,247",475,456,433,401,422,310,511,227,376,343,237,52,31
2020,4,90,777,170,77,85,69,69,62,29,60,27,34,51,35,4,5
2020,4,100,38,13,1,3,3,2,3,2,4,1,4,2,0,0,0
2020,5,총,"69,102","22,749","7,748","4,893","6,944","4,505","4,205","3,107","4,093","1,851","3,184","2,919","2,259",382,263
