년도,월,나이,속초시,영랑동,동명동,금호동,교동,노학동,조양동,청호동,대포동
2020,9,20,"3,898",166,151,257,460,"1,033","1,564",163,104
2020,9,30,"4,308",181,169,198,433,"1,011","2,010",220,86
2020,9,40,"6,302",230,235,382,702,"1,759","2,586",252,156
2020,9,50,"7,693",446,357,681,928,"2,023","2,544",399,315
2020,9,60,"6,467",512,347,619,873,"1,542","1,770",426,378
2020,9,70,"3,821",281,221,423,496,896,960,297,247
2020,9,80,"2,087",149,131,232,264,516,466,203,126
2020,9,90,487,37,21,71,66,115,94,52,31
2020,9,100,20,1,2,2,2,5,4,2,2
2020,10,총,"41,651","2,188","1,890","3,193","4,915","10,659","15,030","2,243","1,533"
2020,10,0,"2,904",84,120,111,271,687,"1,479",114,38
2020,10,10,"3,626",114,129,226,414,"1,093","1,484",119,47
2020,10,20,"3,923",163,152,256,468,"1,030","1,584",164,106
2020,10,30,"4,266",176,171,193,435,994,"1,996",215,86
2020,10,40,"6,316",229,236,377,697,"1,760","2,609",253,155
2020,10,50,"7,687",441,354,681,932,"2,004","2,561",400,314
2020,10,60,"6,504",510,352,625,868,"1,558","1,792",426,373
2020,10,70,"3,824",285,220,417,498,894,957,297,256
2020,10,80,"2,096",148,133,234,265,521,470,201,124
2020,10,90,486,37,21,71,65,114,94,52,32
2020,10,100,19,1,2,2,2,4,4,2,2
2020,11,총,"41,705","2,187","1,877","3,186","4,945","10,677","15,075","2,236","1,522"
2020,11,0,"2,905",84,109,107,275,692,"1,488",113,37
2020,11,10,"3,619",113,124,229,418,"1,086","1,484",118,47
2020,11,20,"3,934",162,154,256,483,"1,024","1,585",164,106
2020,11,30,"4,268",181,169,187,437,995,"1,996",218,85
2020,11,40,"6,305",226,233,374,698,"1,757","2,614",249,154
2020,11,50,"7,685",437,356,678,929,"2,007","2,572",394,312
2020,11,60,"6,556",508,355,630,879,"1,572","1,809",432,371
2020,11,70,"3,829",289,221,415,495,902,956,296,255
2020,11,80,"2,098",149,131,236,264,525,473,198,122
2020,11,90,487,37,23,71,65,113,95,52,31
2020,11,100,19,1,2,3,2,4,3,2,2
2020,12,총,"41,700","2,178","1,868","3,177","4,943","10,682","15,090","2,245","1,517"
2020,12,0,"2,878",83,108,103,268,689,"1,479",111,37
2020,12,10,"3,615",111,126,225,417,"1,087","1,481",122,46
2020,12,20,"3,924",162,153,258,481,"1,014","1,589",161,106
2020,12,30,"4,271",173,172,183,450,"1,001","1,991",216,85
2020,12,40,"6,271",226,230,375,693,"1,745","2,599",253,150
2020,12,50,"7,684",432,356,680,918,"2,011","2,579",397,311
2020,12,60,"6,610",515,355,635,882,"1,586","1,835",432,370
2020,12,70,"3,827",286,217,407,502,901,961,298,255
2020,12,80,"2,111",152,127,239,263,532,475,201,122
2020,12,90,490,37,22,69,67,112,98,52,33
2020,12,100,19,1,2,3,2,4,3,2,2
2021,1,총,"41,712","2,181","1,859","3,164","4,948","10,700","15,085","2,254","1,521"
2021,1,0,"2,857",83,108,98,267,685,"1,466",111,39
2021,1,10,"3,601",110,123,226,407,"1,086","1,478",127,44
2021,1,20,"3,918",162,149,255,495,"1,014","1,576",160,107
2021,1,30,"4,268",177,168,186,446,"1,003","1,987",216,85
2021,1,40,"6,247",226,233,373,685,"1,736","2,594",253,147
2021,1,50,"7,679",426,355,663,920,"2,016","2,594",398,307
2021,1,60,"6,679",520,355,641,888,"1,611","1,850",436,378
2021,1,70,"3,830",286,218,409,502,898,960,301,256
2021,1,80,"2,119",154,126,238,270,534,478,197,122
2021,1,90,496,36,22,73,65,114,99,53,34
2021,1,100,18,1,2,2,3,3,3,2,2
2021,2,총,"41,657","2,170","1,864","3,159","4,946","10,680","15,080","2,240","1,518"
2021,2,0,"2,844",81,111,97,270,678,"1,459",109,39
2021,2,10,"3,566",110,121,226,396,"1,073","1,473",124,43
2021,2,20,"3,918",161,148,251,505,"1,018","1,567",163,105
2021,2,30,"4,249",172,168,187,436,997,"1,991",213,85
2021,2,40,"6,220",224,236,372,679,"1,727","2,586",250,146
2021,2,50,"7,641",422,354,652,917,"2,006","2,594",393,303
2021,2,60,"6,740",524,355,652,895,"1,629","1,864",439,382
2021,2,70,"3,829",286,217,404,506,896,965,300,255
2021,2,80,"2,135",153,129,241,276,534,483,195,124
2021,2,90,495,35,23,75,62,119,95,52,34
2021,2,100,20,2,2,2,4,3,3,2,2
2021,3,총,"41,477","2,145","1,848","3,108","4,904","10,735","15,020","2,204","1,513"
2021,3,0,"2,838",78,113,95,270,682,"1,449",111,40
2021,3,10,"3,533",109,120,223,393,"1,074","1,448",124,42
2021,3,20,"3,900",157,145,245,498,"1,023","1,569",158,105
2021,3,30,"4,220",168,165,189,431,"1,004","1,974",205,84
2021,3,40,"6,158",219,235,359,671,"1,720","2,565",245,144
2021,3,50,"7,584",412,350,640,904,"2,018","2,584",379,297
2021,3,60,"6,786",526,350,651,900,"1,650","1,879",443,387
2021,3,70,"3,826",285,218,401,497,901,973,296,255
2021,3,80,"2,133",155,129,235,280,535,483,192,124
2021,3,90,487,34,23,70,57,126,93,50,34
2021,3,100,12,2,0,0,3,2,3,1,1
2021,4,총,"41,531","2,141","1,831","3,110","4,895","10,802","14,983","2,272","1,497"
2021,4,0,"2,844",82,112,98,268,687,"1,440",118,39
2021,4,10,"3,531",103,116,225,391,"1,088","1,440",129,39
2021,4,20,"3,907",156,141,245,501,"1,034","1,560",163,107
2021,4,30,"4,215",167,165,188,424,"1,012","1,958",223,78
2021,4,40,"6,141",218,231,359,673,"1,722","2,548",254,136
2021,4,50,"7,594",409,348,631,907,"2,031","2,576",392,300
2021,4,60,"6,824",531,349,653,897,"1,666","1,888",454,386
2021,4,70,"3,828",283,216,402,498,895,986,296,252
2021,4,80,"2,144",156,129,237,277,539,490,191,125
2021,4,90,490,34,24,72,56,126,94,50,34
2021,4,100,13,2,0,0,3,2,3,2,1
2021,5,총,"41,491","2,135","1,805","3,088","4,885","10,846","14,924","2,314","1,494"
2021,5,0,"2,828",83,111,97,262,689,"1,425",122,39
2021,5,10,"3,508",99,116,222,390,"1,072","1,440",132,37
2021,5,20,"3,896",158,139,245,498,"1,043","1,544",163,106
2021,5,30,"4,217",168,161,184,426,"1,025","1,945",230,78
2021,5,40,"6,103",213,227,356,666,"1,717","2,531",261,132
2021,5,50,"7,581",408,348,612,906,"2,037","2,562",408,300
