년도,월,나이,고성군,간성읍,거진읍,현내면,죽왕면,토성면,수동면
2020,1,총,"27,165","7,196","6,466","2,436","3,824","7,243",0
2020,1,0,"1,327",574,236,63,170,284,0
2020,1,10,"1,757",624,391,117,201,424,0
2020,1,20,"3,136",973,570,179,437,977,0
2020,1,30,"2,229",812,379,151,320,567,0
2020,1,40,"3,181",949,693,219,407,913,0
2020,1,50,"4,989","1,190","1,194",468,729,"1,408",0
2020,1,60,"4,899",976,"1,336",561,694,"1,332",0
2020,1,70,"3,578",683,"1,040",438,544,873,0
2020,1,80,"1,723",335,510,209,281,388,0
2020,1,90,332,75,113,31,39,74,0
2020,1,100,14,5,4,0,2,3,0
2020,2,총,"27,080","7,153","6,469","2,431","3,820","7,207",0
2020,2,0,"1,312",568,237,59,169,279,0
2020,2,10,"1,745",619,387,118,199,422,0
2020,2,20,"3,072",951,573,181,427,940,0
2020,2,30,"2,218",806,379,149,315,569,0
2020,2,40,"3,178",947,691,219,416,905,0
2020,2,50,"4,964","1,185","1,185",463,729,"1,402",0
2020,2,60,"4,940",987,"1,342",566,700,"1,345",0
2020,2,70,"3,567",673,"1,043",435,539,877,0
2020,2,80,"1,737",339,514,210,284,390,0
2020,2,90,331,72,114,31,39,75,0
2020,2,100,16,6,4,0,3,3,0
2020,3,총,"27,064","7,155","6,449","2,428","3,828","7,204",0
2020,3,0,"1,306",572,236,58,166,274,0
2020,3,10,"1,724",608,383,114,195,424,0
2020,3,20,"3,035",945,560,179,425,926,0
2020,3,30,"2,234",810,385,154,322,563,0
2020,3,40,"3,163",946,682,215,412,908,0
2020,3,50,"4,976","1,181","1,187",469,728,"1,411",0
2020,3,60,"4,961",997,"1,341",562,712,"1,349",0
2020,3,70,"3,569",676,"1,041",433,542,877,0
2020,3,80,"1,742",339,514,212,283,394,0
2020,3,90,338,76,116,32,40,74,0
2020,3,100,16,5,4,0,3,4,0
2020,4,총,"26,959","7,106","6,420","2,427","3,836","7,170",0
2020,4,0,"1,290",567,233,57,165,268,0
2020,4,10,"1,702",602,378,111,194,417,0
2020,4,20,"3,013",928,555,182,432,916,0
2020,4,30,"2,225",799,381,153,326,566,0
2020,4,40,"3,124",939,672,212,406,895,0
2020,4,50,"4,952","1,171","1,183",466,733,"1,399",0
2020,4,60,"4,991","1,001","1,347",567,717,"1,359",0
2020,4,70,"3,546",672,"1,033",430,534,877,0
2020,4,80,"1,763",346,520,217,285,395,0
2020,4,90,337,76,114,32,41,74,0
2020,4,100,16,5,4,0,3,4,0
2020,5,총,"26,921","7,102","6,396","2,427","3,806","7,190",0
2020,5,0,"1,291",574,229,58,159,271,0
2020,5,10,"1,689",601,373,109,191,415,0
2020,5,20,"2,990",915,550,182,431,912,0
2020,5,30,"2,222",807,373,152,314,576,0
2020,5,40,"3,109",934,660,212,401,902,0
2020,5,50,"4,943","1,166","1,186",470,727,"1,394",0
2020,5,60,"5,015","1,009","1,352",565,727,"1,362",0
2020,5,70,"3,541",668,"1,034",429,529,881,0
2020,5,80,"1,772",349,523,216,283,401,0
2020,5,90,333,74,112,34,41,72,0
2020,5,100,16,5,4,0,3,4,0
2020,6,총,"26,886","7,070","6,387","2,430","3,800","7,199",0
2020,6,0,"1,290",572,228,57,161,272,0
2020,6,10,"1,663",594,370,109,180,410,0
2020,6,20,"2,966",907,548,179,434,898,0
2020,6,30,"2,231",806,373,155,316,581,0
2020,6,40,"3,105",922,660,212,401,910,0
2020,6,50,"4,932","1,167","1,182",466,721,"1,396",0
2020,6,60,"5,031","1,006","1,354",569,734,"1,368",0
2020,6,70,"3,537",666,"1,027",431,525,888,0
2020,6,80,"1,784",354,529,217,282,402,0
2020,6,90,331,71,112,35,43,70,0
2020,6,100,16,5,4,0,3,4,0
2020,7,총,"26,867","7,047","6,356","2,438","3,784","7,242",0
2020,7,0,"1,298",575,229,59,162,273,0
2020,7,10,"1,650",590,361,108,178,413,0
2020,7,20,"2,948",906,545,181,421,895,0
2020,7,30,"2,226",807,360,156,313,590,0
2020,7,40,"3,101",909,654,215,400,923,0
2020,7,50,"4,926","1,164","1,180",458,718,"1,406",0
2020,7,60,"5,047","1,004","1,354",578,737,"1,374",0
2020,7,70,"3,527",668,"1,018",427,528,886,0
2020,7,80,"1,798",350,536,220,282,410,0
2020,7,90,331,69,115,36,42,69,0
2020,7,100,15,5,4,0,3,3,0
2020,8,총,"26,857","7,001","6,349","2,431","3,770","7,306",0
2020,8,0,"1,302",564,226,58,160,294,0
2020,8,10,"1,647",582,359,107,181,418,0
2020,8,20,"2,921",904,540,175,414,888,0
2020,8,30,"2,217",783,360,156,308,610,0
2020,8,40,"3,097",906,654,211,400,926,0
2020,8,50,"4,915","1,152","1,177",459,712,"1,415",0
2020,8,60,"5,074","1,012","1,356",577,740,"1,389",0
2020,8,70,"3,528",668,"1,018",430,527,885,0
2020,8,80,"1,808",355,538,220,286,409,0
2020,8,90,332,70,117,38,38,69,0
2020,8,100,16,5,4,0,4,3,0
2020,9,총,"26,787","6,997","6,324","2,409","3,754","7,303",0
2020,9,0,"1,293",560,223,57,156,297,0
2020,9,10,"1,641",582,349,105,186,419,0
2020,9,20,"2,895",904,536,168,405,882,0
2020,9,30,"2,210",784,357,153,307,609,0
2020,9,40,"3,064",902,642,209,392,919,0
2020,9,50,"4,903","1,155","1,173",456,710,"1,409",0
2020,9,60,"5,101","1,016","1,364",574,747,"1,400",0
2020,9,70,"3,513",666,"1,014",430,518,885,0
2020,9,80,"1,818",352,546,219,287,414,0
2020,9,90,333,71,116,38,42,66,0
2020,9,100,16,5,4,0,4,3,0
2020,10,총,"26,781","7,007","6,305","2,402","3,764","7,303",0
2020,10,0,"1,285",561,214,56,156,298,0
2020,10,10,"1,626",587,343,103,187,406,0
2020,10,20,"2,887",892,533,165,410,887,0
2020,10,30,"2,217",787,359,151,314,606,0
2020,10,40,"3,064",908,636,207,394,919,0
2020,10,50,"4,879","1,153","1,161",452,695,"1,418",0
2020,10,60,"5,129","1,016","1,376",580,754,"1,403",0
2020,10,70,"3,505",670,"1,008",431,519,877,0
2020,10,80,"1,838",359,554,218,288,419,0
2020,10,90,335,69,117,39,43,67,0
2020,10,100,16,5,4,0,4,3,0
2020,11,총,"26,798","7,014","6,288","2,402","3,781","7,313",0
2020,11,0,"1,290",563,209,59,157,302,0
2020,11,10,"1,628",590,342,102,189,405,0
2020,11,20,"2,868",891,533,158,411,875,0
2020,11,30,"2,228",792,359,154,314,609,0
2020,11,40,"3,067",909,633,206,397,922,0
2020,11,50,"4,844","1,141","1,148",450,695,"1,410",0
2020,11,60,"5,166","1,019","1,379",583,762,"1,423",0
2020,11,70,"3,509",668,"1,009",431,523,878,0
2020,11,80,"1,843",363,556,221,286,417,0
2020,11,90,338,73,116,37,43,69,0
2020,11,100,17,5,4,1,4,3,0
2020,12,총,"26,757","6,981","6,251","2,407","3,777","7,341",0
2020,12,0,"1,273",545,204,59,157,308,0
2020,12,10,"1,621",583,340,101,194,403,0
2020,12,20,"2,868",900,526,159,409,874,0
2020,12,30,"2,219",780,355,154,316,614,0
2020,12,40,"3,063",905,628,209,389,932,0
2020,12,50,"4,822","1,135","1,141",449,689,"1,408",0
2020,12,60,"5,193","1,025","1,379",588,765,"1,436",0
2020,12,70,"3,499",663,"1,011",428,520,877,0
2020,12,80,"1,843",368,548,220,291,416,0
2020,12,90,339,72,115,39,43,70,0
2020,12,100,17,5,4,1,4,3,0
2021,1,총,"26,687","6,967","6,239","2,405","3,739","7,337",0
2021,1,0,"1,271",545,202,60,153,311,0
2021,1,10,"1,601",579,338,99,184,401,0
2021,1,20,"2,832",889,525,157,398,863,0
2021,1,30,"2,224",783,354,157,313,617,0
2021,1,40,"3,043",903,616,209,381,934,0
2021,1,50,"4,786","1,131","1,140",444,678,"1,393",0
2021,1,60,"5,227","1,030","1,385",589,774,"1,449",0
2021,1,70,"3,483",656,"1,010",430,516,871,0
2021,1,80,"1,861",372,547,222,295,425,0
2021,1,90,342,74,118,37,43,70,0
2021,1,100,17,5,4,1,4,3,0
2021,2,총,"26,734","6,979","6,204","2,402","3,723","7,426",0
2021,2,0,"1,296",556,199,60,148,333,0
2021,2,10,"1,607",578,331,101,187,410,0
2021,2,20,"2,784",874,516,153,386,855,0
2021,2,30,"2,235",786,349,155,306,639,0
2021,2,40,"3,046",901,608,206,384,947,0
2021,2,50,"4,766","1,129","1,127",439,668,"1,403",0
2021,2,60,"5,274","1,045","1,389",599,789,"1,452",0
2021,2,70,"3,468",655,"1,003",425,506,879,0
2021,2,80,"1,893",376,559,223,302,433,0
2021,2,90,348,74,119,40,43,72,0
2021,2,100,17,5,4,1,4,3,0
2021,3,총,"26,743","6,895","6,204","2,377","3,698","7,569",0
2021,3,0,"1,289",543,201,56,138,351,0
2021,3,10,"1,603",556,333,98,191,425,0
2021,3,20,"2,743",853,505,150,380,855,0
2021,3,30,"2,247",778,348,154,300,667,0
2021,3,40,"3,042",883,608,201,379,971,0
2021,3,50,"4,750","1,124","1,118",428,662,"1,418",0
2021,3,60,"5,328","1,049","1,400",606,786,"1,487",0
2021,3,70,"3,466",655,999,421,509,882,0
2021,3,80,"1,913",376,570,221,307,439,0
2021,3,90,344,73,118,40,42,71,0
2021,3,100,18,5,4,2,4,3,0
2021,4,총,"26,760","6,861","6,161","2,359","3,704","7,675",0
2021,4,0,"1,292",538,198,55,140,361,0
2021,4,10,"1,603",552,329,95,195,432,0
2021,4,20,"2,707",845,490,146,372,854,0
2021,4,30,"2,259",772,348,148,299,692,0
2021,4,40,"3,043",879,609,195,380,980,0
2021,4,50,"4,742","1,115","1,100",432,658,"1,437",0
2021,4,60,"5,392","1,060","1,406",608,796,"1,522",0
2021,4,70,"3,449",649,988,418,510,884,0
2021,4,80,"1,913",373,570,222,309,439,0
2021,4,90,342,73,119,38,41,71,0
2021,4,100,18,5,4,2,4,3,0
2021,5,총,"26,864","6,753","6,154","2,349","3,656","7,952",0
2021,5,0,"1,304",522,190,56,134,402,0
2021,5,10,"1,600",529,334,95,191,451,0
2021,5,20,"2,695",840,483,141,368,863,0
2021,5,30,"2,280",747,343,148,289,753,0
2021,5,40,"3,075",851,610,195,374,"1,045",0
2021,5,50,"4,753","1,111","1,095",425,645,"1,477",0
2021,5,60,"5,436","1,056","1,420",610,794,"1,556",0
2021,5,70,"3,443",648,984,419,506,886,0
2021,5,80,"1,927",376,573,221,312,445,0
2021,5,90,336,70,118,38,40,70,0
2021,5,100,15,3,4,1,3,4,0
2021,6,총,"26,924","6,718","6,074","2,342","3,638","8,152",0
2021,6,0,"1,308",521,179,55,128,425,0
2021,6,10,"1,605",527,333,96,185,464,0
2021,6,20,"2,697",826,480,137,361,893,0
2021,6,30,"2,284",747,329,141,290,777,0
2021,6,40,"3,062",829,594,196,368,"1,075",0
2021,6,50,"4,761","1,106","1,084",417,641,"1,513",0
2021,6,60,"5,503","1,065","1,416",621,801,"1,600",0
2021,6,70,"3,431",644,972,416,512,887,0
2021,6,80,"1,930",380,572,222,310,446,0
2021,6,90,331,70,114,40,39,68,0
2021,6,100,12,3,1,1,3,4,0
2021,7,총,"26,960","6,701","6,062","2,327","3,621","8,249",0
2021,7,0,"1,301",516,170,52,126,437,0
2021,7,10,"1,614",525,336,97,180,476,0
2021,7,20,"2,643",816,472,131,351,873,0
2021,7,30,"2,301",749,329,138,291,794,0
2021,7,40,"3,078",827,594,195,367,"1,095",0
2021,7,50,"4,777","1,104","1,087",414,635,"1,537",0
2021,7,60,"5,543","1,064","1,418",626,807,"1,628",0
2021,7,70,"3,434",648,972,414,511,889,0
2021,7,80,"1,929",379,571,220,311,448,0
2021,7,90,328,70,112,39,39,68,0
2021,7,100,12,3,1,1,3,4,0
2021,8,총,"27,005","6,719","6,066","2,323","3,609","8,288",0
2021,8,0,"1,302",518,174,53,123,434,0
2021,8,10,"1,615",523,337,100,178,477,0
2021,8,20,"2,656",823,475,126,348,884,0
2021,8,30,"2,300",743,335,134,289,799,0
2021,8,40,"3,065",828,589,195,361,"1,092",0
2021,8,50,"4,797","1,108","1,094",412,634,"1,549",0
2021,8,60,"5,564","1,072","1,415",627,809,"1,641",0
2021,8,70,"3,430",645,967,414,510,894,0
2021,8,80,"1,935",384,569,222,312,448,0
2021,8,90,329,72,110,39,42,66,0
2021,8,100,12,3,1,1,3,4,0
2021,9,총,"26,981","6,717","6,053","2,304","3,585","8,322",0
2021,9,0,"1,307",516,177,53,124,437,0
2021,9,10,"1,592",523,329,95,176,469,0
2021,9,20,"2,635",825,476,122,336,876,0
2021,9,30,"2,290",741,333,133,284,799,0
2021,9,40,"3,064",822,583,194,354,"1,111",0
2021,9,50,"4,805","1,109","1,096",407,632,"1,561",0
2021,9,60,"5,575","1,076","1,409",628,816,"1,646",0
2021,9,70,"3,439",649,970,413,508,899,0
2021,9,80,"1,936",384,569,220,308,455,0
2021,9,90,326,69,110,38,44,65,0
2021,9,100,12,3,1,1,3,4,0
2021,10,총,"27,014","6,818","6,057","2,295","3,518","8,326",0
2021,10,0,"1,301",532,179,53,109,428,0
2021,10,10,"1,586",525,330,92,173,466,0
2021,10,20,"2,646",857,471,120,316,882,0
2021,10,30,"2,302",765,327,134,271,805,0
2021,10,40,"3,056",831,581,195,344,"1,105",0
2021,10,50,"4,788","1,104","1,102",400,625,"1,557",0
2021,10,60,"5,615","1,094","1,413",626,826,"1,656",0
2021,10,70,"3,430",646,967,415,503,899,0
2021,10,80,"1,950",394,575,219,305,457,0
2021,10,90,328,67,111,40,43,67,0
2021,10,100,12,3,1,1,3,4,0
2021,11,총,"27,119","7,008","6,003","2,288","3,473","8,347",0
2021,11,0,"1,330",574,168,53,104,431,0
2021,11,10,"1,585",538,319,93,164,471,0
2021,11,20,"2,657",893,459,117,314,874,0
2021,11,30,"2,344",819,320,134,263,808,0
2021,11,40,"3,057",852,569,194,336,"1,106",0
2021,11,50,"4,792","1,121","1,098",394,620,"1,559",0
2021,11,60,"5,640","1,102","1,417",628,823,"1,670",0
2021,11,70,"3,419",645,963,415,497,899,0
2021,11,80,"1,958",397,577,219,306,459,0
2021,11,90,326,65,112,40,43,66,0
2021,11,100,11,2,1,1,3,4,0
2021,12,총,"27,249","7,110","5,989","2,292","3,468","8,390",0
2021,12,0,"1,354",585,169,53,109,438,0
2021,12,10,"1,588",550,317,94,163,464,0
2021,12,20,"2,678",916,453,117,318,874,0
2021,12,30,"2,379",849,316,134,257,823,0
2021,12,40,"3,077",868,566,200,338,"1,105",0
2021,12,50,"4,797","1,125","1,094",387,615,"1,576",0
2021,12,60,"5,651","1,107","1,420",632,818,"1,674",0
2021,12,70,"3,408",644,957,412,495,900,0
2021,12,80,"1,981",399,584,222,311,465,0
2021,12,90,327,65,112,40,42,68,0
2021,12,100,9,2,1,1,2,3,0
