년도,월,나이,연제구,거제제1동,거제제2동,거제제3동,거제제4동,연산제1동,연산제2동,연산제3동,연산제4동,연산제5동,연산제6동,연산제8동,연산제9동
2020,5,60,"31,672","3,581","1,620","1,797","1,728","2,682","2,486","1,597","3,112","2,083","3,049","2,243","5,694"
2020,5,70,"17,818","2,189",917,"1,274",901,"1,424","1,527","1,006","1,751","1,161","1,888","1,133","2,647"
2020,5,80,"6,627",825,354,574,358,519,558,343,606,415,719,368,988
2020,5,90,832,109,33,88,50,48,81,37,69,33,76,48,160
2020,5,100,81,3,9,7,1,8,8,5,4,8,11,7,10
2020,6,총,"209,514","30,169","12,705","10,520","10,909","16,727","18,191","7,715","17,040","16,553","17,512","14,785","36,688"
2020,6,0,"15,082","2,740","1,141",531,784,"1,318","1,602",251,776,808,"1,098","1,323","2,710"
2020,6,10,"16,658","3,613","1,586",754,990,"1,273","1,134",421,913,695,"1,052","1,159","3,068"
2020,6,20,"26,367","3,294","1,335","1,206","1,276","1,888","2,252",850,"2,430","3,464","2,015","1,717","4,640"
2020,6,30,"27,779","3,418","1,321","1,132","1,255","2,301","3,107",783,"2,123","3,228","2,442","1,946","4,723"
2020,6,40,"31,963","5,588","2,413","1,425","1,638","2,508","2,598","1,046","2,309","2,319","2,355","2,283","5,481"
2020,6,50,"34,434","4,768","1,971","1,725","1,916","2,748","2,812","1,360","2,943","2,332","2,779","2,544","6,536"
2020,6,60,"31,775","3,597","1,624","1,796","1,734","2,687","2,502","1,601","3,114","2,092","3,064","2,255","5,709"
2020,6,70,"17,909","2,213",922,"1,280",902,"1,435","1,533","1,009","1,746","1,167","1,898","1,139","2,665"
2020,6,80,"6,634",825,348,578,365,512,562,351,612,407,721,366,987
2020,6,90,832,110,35,86,48,49,81,38,70,33,77,47,158
2020,6,100,81,3,9,7,1,8,8,5,4,8,11,6,11
2020,7,총,"209,345","30,110","12,682","10,501","10,876","16,737","18,375","7,639","17,023","16,541","17,493","14,732","36,636"
2020,7,0,"15,050","2,734","1,132",530,777,"1,314","1,630",245,764,809,"1,110","1,321","2,684"
2020,7,10,"16,599","3,592","1,586",750,980,"1,274","1,142",413,908,684,"1,052","1,151","3,067"
2020,7,20,"26,292","3,271","1,331","1,207","1,281","1,902","2,274",839,"2,425","3,463","1,981","1,701","4,617"
2020,7,30,"27,687","3,382","1,310","1,129","1,235","2,284","3,163",767,"2,123","3,221","2,433","1,935","4,705"
2020,7,40,"31,963","5,601","2,412","1,406","1,633","2,515","2,638","1,028","2,315","2,315","2,358","2,271","5,471"
2020,7,50,"34,342","4,749","1,974","1,715","1,903","2,736","2,804","1,342","2,942","2,344","2,774","2,532","6,527"
2020,7,60,"31,861","3,607","1,624","1,805","1,752","2,702","2,526","1,600","3,114","2,081","3,072","2,246","5,732"
2020,7,70,"17,962","2,219",922,"1,287",899,"1,443","1,544","1,009","1,748","1,173","1,894","1,147","2,677"
2020,7,80,"6,685",842,347,580,364,511,565,355,611,413,732,375,990
2020,7,90,823,110,35,85,51,48,81,36,69,30,76,47,155
2020,7,100,81,3,9,7,1,8,8,5,4,8,11,6,11
2020,8,총,"210,146","30,032","12,630","10,399","10,851","16,636","20,044","7,592","16,915","16,502","17,409","14,673","36,463"
2020,8,0,"15,167","2,714","1,123",514,773,"1,289","1,892",241,748,798,"1,092","1,319","2,664"
2020,8,10,"16,602","3,586","1,574",737,976,"1,270","1,259",408,899,670,"1,037","1,143","3,043"
2020,8,20,"26,338","3,233","1,323","1,191","1,280","1,888","2,461",828,"2,411","3,473","1,978","1,684","4,588"
2020,8,30,"27,876","3,344","1,301","1,116","1,229","2,256","3,579",757,"2,100","3,182","2,413","1,932","4,667"
2020,8,40,"32,048","5,614","2,395","1,379","1,622","2,493","2,899","1,018","2,304","2,311","2,328","2,250","5,435"
2020,8,50,"34,385","4,736","1,971","1,705","1,891","2,712","3,007","1,342","2,907","2,348","2,763","2,519","6,484"
2020,8,60,"32,053","3,618","1,627","1,803","1,761","2,724","2,664","1,594","3,109","2,086","3,068","2,250","5,749"
2020,8,70,"18,034","2,228",920,"1,277",904,"1,437","1,603","1,009","1,745","1,178","1,907","1,149","2,677"
2020,8,80,"6,743",848,352,583,363,512,592,353,617,418,734,374,997
2020,8,90,816,108,35,87,51,47,80,37,71,30,77,46,147
2020,8,100,84,3,9,7,1,8,8,5,4,8,12,7,12
2020,9,총,"210,362","29,973","12,634","10,341","10,825","16,561","20,694","7,537","16,944","16,503","17,346","14,612","36,392"
2020,9,0,"15,152","2,700","1,112",497,767,"1,268","1,983",241,746,801,"1,090","1,320","2,627"
2020,9,10,"16,588","3,586","1,567",735,979,"1,262","1,286",397,890,677,"1,036","1,143","3,030"
2020,9,20,"26,342","3,239","1,340","1,187","1,258","1,880","2,534",831,"2,431","3,459","1,946","1,658","4,579"
2020,9,30,"27,878","3,291","1,292","1,117","1,223","2,234","3,713",747,"2,114","3,168","2,400","1,923","4,656"
2020,9,40,"32,012","5,596","2,385","1,366","1,614","2,476","2,993","1,001","2,298","2,309","2,314","2,251","5,409"
2020,9,50,"34,369","4,758","1,968","1,670","1,889","2,706","3,073","1,332","2,905","2,344","2,750","2,495","6,479"
2020,9,60,"32,222","3,617","1,641","1,816","1,771","2,734","2,771","1,581","3,120","2,103","3,070","2,246","5,752"
2020,9,70,"18,095","2,221",928,"1,275",910,"1,438","1,642","1,008","1,739","1,181","1,903","1,150","2,700"
2020,9,80,"6,784",851,356,584,361,509,608,356,625,421,744,370,999
2020,9,90,835,112,36,87,52,46,83,38,71,32,81,49,148
2020,9,100,85,2,9,7,1,8,8,5,5,8,12,7,13
2020,10,총,"210,191","29,925","12,628","10,288","10,800","16,537","20,852","7,502","16,980","16,536","17,246","14,558","36,339"
2020,10,0,"15,018","2,663","1,110",490,759,"1,260","1,989",234,750,790,"1,074","1,309","2,590"
2020,10,10,"16,560","3,573","1,564",724,973,"1,261","1,298",392,901,694,"1,019","1,129","3,032"
2020,10,20,"26,341","3,269","1,338","1,172","1,261","1,879","2,558",811,"2,441","3,453","1,930","1,652","4,577"
2020,10,30,"27,682","3,232","1,292","1,106","1,193","2,220","3,708",739,"2,092","3,166","2,385","1,905","4,644"
2020,10,40,"32,030","5,599","2,385","1,356","1,629","2,480","3,006",994,"2,314","2,322","2,301","2,255","5,389"
2020,10,50,"34,332","4,767","1,970","1,673","1,888","2,680","3,106","1,332","2,893","2,344","2,733","2,495","6,451"
2020,10,60,"32,356","3,617","1,651","1,810","1,764","2,739","2,826","1,587","3,150","2,116","3,065","2,240","5,791"
2020,10,70,"18,136","2,235",916,"1,276",914,"1,457","1,646","1,016","1,734","1,191","1,905","1,153","2,693"
2020,10,80,"6,810",857,358,587,365,507,621,351,628,420,742,366,"1,008"
2020,10,90,837,110,35,87,52,46,85,41,72,31,80,47,151
2020,10,100,89,3,9,7,2,8,9,5,5,9,12,7,13
2020,11,총,"209,688","29,811","12,651","10,207","10,780","16,499","20,889","7,464","16,893","16,528","17,203","14,516","36,247"
2020,11,0,"14,858","2,654","1,103",477,747,"1,247","1,977",227,730,775,"1,076","1,290","2,555"
2020,11,10,"16,496","3,550","1,562",705,977,"1,256","1,297",384,905,689,"1,021","1,132","3,018"
2020,11,20,"26,263","3,261","1,356","1,171","1,251","1,874","2,565",811,"2,409","3,444","1,913","1,636","4,572"
2020,11,30,"27,444","3,179","1,287","1,085","1,176","2,193","3,702",739,"2,072","3,150","2,392","1,887","4,582"
2020,11,40,"31,997","5,598","2,389","1,341","1,643","2,487","2,999",974,"2,306","2,339","2,284","2,251","5,386"
2020,11,50,"34,215","4,740","1,976","1,665","1,881","2,666","3,122","1,326","2,862","2,342","2,713","2,485","6,437"
2020,11,60,"32,459","3,613","1,664","1,810","1,769","2,751","2,850","1,584","3,166","2,119","3,066","2,247","5,820"
2020,11,70,"18,174","2,237",906,"1,278",916,"1,465","1,652","1,015","1,731","1,202","1,899","1,166","2,707"
2020,11,80,"6,851",868,363,581,363,507,628,356,634,424,747,369,"1,011"
2020,11,90,841,107,36,87,55,45,88,42,74,35,80,46,146
2020,11,100,90,4,9,7,2,8,9,6,4,9,12,7,13
2020,12,총,"209,157","29,710","12,587","10,209","10,774","16,447","20,934","7,419","16,808","16,537","17,101","14,470","36,161"
2020,12,0,"14,747","2,630","1,097",478,750,"1,230","1,975",222,716,775,"1,066","1,277","2,531"
2020,12,10,"16,467","3,563","1,551",701,981,"1,254","1,308",380,907,688,"1,014","1,127","2,993"
2020,12,20,"26,131","3,241","1,330","1,182","1,237","1,881","2,563",804,"2,390","3,432","1,891","1,614","4,566"
2020,12,30,"27,194","3,139","1,287","1,080","1,165","2,149","3,666",734,"2,050","3,147","2,370","1,881","4,526"
2020,12,40,"31,907","5,581","2,365","1,345","1,640","2,481","3,027",961,"2,279","2,333","2,264","2,255","5,376"
2020,12,50,"34,141","4,734","1,967","1,664","1,885","2,659","3,120","1,311","2,834","2,359","2,695","2,472","6,441"
2020,12,60,"32,509","3,605","1,663","1,804","1,773","2,766","2,863","1,586","3,172","2,122","3,062","2,258","5,835"
2020,12,70,"18,197","2,231",921,"1,270",912,"1,467","1,673","1,015","1,741","1,203","1,889","1,165","2,710"
2020,12,80,"6,931",876,360,594,371,507,642,358,639,434,760,367,"1,023"
2020,12,90,843,106,37,84,58,45,89,42,76,35,78,46,147
2020,12,100,90,4,9,7,2,8,8,6,4,9,12,8,13
2021,1,총,"208,900","29,668","12,563","10,188","10,769","16,438","20,943","7,413","16,752","16,526","17,084","14,420","36,136"
2021,1,0,"14,599","2,590","1,085",473,738,"1,224","1,974",221,708,770,"1,059","1,258","2,499"
2021,1,10,"16,422","3,564","1,558",693,980,"1,246","1,299",380,903,682,"1,014","1,123","2,980"
2021,1,20,"26,013","3,230","1,329","1,169","1,241","1,852","2,531",803,"2,386","3,412","1,882","1,608","4,570"
2021,1,30,"27,051","3,115","1,283","1,091","1,159","2,139","3,665",728,"2,021","3,139","2,354","1,855","4,502"
