년도,월,나이,홍성군,홍성읍,광천읍,홍북읍,금마면,홍동면,장곡면,은하면,결성면,서부면,갈산면,구항면
2020,1,총,"49,896","19,216","4,294","14,022","1,755","1,780","1,440","1,198","1,042","1,607","1,788","1,754"
2020,1,0,"4,167","1,356",168,"2,300",52,75,39,26,15,42,47,47
2020,1,10,"5,016","2,366",245,"1,810",89,131,63,37,30,70,81,94
2020,1,20,"5,413","2,730",381,"1,350",138,157,99,88,76,130,123,141
2020,1,30,"5,693","1,964",328,"2,568",130,118,84,83,75,105,132,106
2020,1,40,"7,679","3,103",513,"2,651",214,219,165,107,90,185,204,228
2020,1,50,"8,338","3,465",796,"1,716",361,335,255,234,195,297,325,359
2020,1,60,"6,824","2,316",848,949,365,345,306,265,244,375,418,393
2020,1,70,"4,372","1,317",683,473,249,241,248,215,192,255,253,246
2020,1,80,"2,172",535,289,194,144,151,171,128,119,133,181,127
2020,1,90,205,58,38,11,12,8,9,15,6,13,22,13
2020,1,100,17,6,5,0,1,0,1,0,0,2,2,0
2020,2,총,"49,839","19,158","4,274","14,075","1,746","1,775","1,438","1,191","1,042","1,606","1,783","1,751"
2020,2,0,"4,170","1,352",165,"2,311",52,75,41,26,15,40,46,47
2020,2,10,"4,993","2,336",249,"1,812",85,131,64,37,32,72,80,95
2020,2,20,"5,356","2,700",379,"1,348",139,150,96,84,74,129,118,139
2020,2,30,"5,650","1,946",317,"2,570",126,113,85,80,74,99,133,107
2020,2,40,"7,699","3,095",516,"2,677",211,222,165,104,88,190,204,227
2020,2,50,"8,300","3,470",782,"1,713",358,335,249,229,197,291,319,357
2020,2,60,"6,882","2,337",853,963,365,347,308,272,244,376,424,393
2020,2,70,"4,375","1,315",681,472,251,242,246,216,194,257,253,248
2020,2,80,"2,192",544,289,198,147,152,173,128,118,137,181,125
2020,2,90,205,57,38,11,11,8,10,15,6,13,23,13
2020,2,100,17,6,5,0,1,0,1,0,0,2,2,0
2020,3,총,"49,737","19,107","4,239","14,089","1,753","1,767","1,437","1,188","1,041","1,601","1,771","1,744"
2020,3,0,"4,154","1,350",159,"2,302",55,75,42,25,15,38,45,48
2020,3,10,"4,947","2,307",245,"1,808",85,124,63,37,32,73,79,94
2020,3,20,"5,346","2,701",374,"1,347",135,157,92,83,75,127,117,138
2020,3,30,"5,621","1,931",312,"2,570",130,112,86,77,74,94,130,105
2020,3,40,"7,669","3,069",505,"2,688",211,221,163,105,89,193,198,227
2020,3,50,"8,251","3,468",774,"1,716",354,325,248,227,190,284,315,350
2020,3,60,"6,938","2,351",854,973,371,351,315,273,248,379,427,396
2020,3,70,"4,389","1,325",687,472,251,244,242,217,191,258,254,248
2020,3,80,"2,198",541,288,201,148,150,175,128,121,140,181,125
2020,3,90,207,58,36,12,12,8,10,16,6,13,23,13
2020,3,100,17,6,5,0,1,0,1,0,0,2,2,0
2020,4,총,"49,723","19,090","4,227","14,122","1,763","1,758","1,436","1,188","1,038","1,605","1,763","1,733"
2020,4,0,"4,127","1,338",154,"2,290",59,73,43,27,14,36,45,48
2020,4,10,"4,929","2,274",245,"1,827",82,124,61,37,30,71,84,94
2020,4,20,"5,363","2,714",372,"1,350",133,155,95,82,78,133,115,136
2020,4,30,"5,601","1,934",309,"2,564",131,109,85,74,73,91,128,103
2020,4,40,"7,659","3,052",499,"2,710",212,219,163,110,87,190,193,224
2020,4,50,"8,244","3,474",762,"1,728",353,321,249,223,188,289,314,343
2020,4,60,"6,967","2,370",870,962,377,354,309,274,247,379,428,397
2020,4,70,"4,414","1,333",684,478,253,247,246,217,195,261,249,251
2020,4,80,"2,196",537,293,200,148,148,174,128,119,140,183,126
2020,4,90,205,57,34,13,14,8,10,16,7,13,22,11
2020,4,100,18,7,5,0,1,0,1,0,0,2,2,0
2020,5,총,"49,731","19,094","4,215","14,154","1,771","1,759","1,423","1,179","1,030","1,607","1,765","1,734"
2020,5,0,"4,142","1,343",158,"2,293",60,74,42,27,13,36,47,49
2020,5,10,"4,914","2,261",245,"1,827",81,125,59,37,30,69,85,95
2020,5,20,"5,370","2,726",370,"1,362",135,156,91,79,75,132,112,132
2020,5,30,"5,559","1,914",306,"2,549",131,108,85,71,71,90,128,106
2020,5,40,"7,646","3,045",491,"2,716",214,215,161,110,87,191,193,223
2020,5,50,"8,277","3,482",766,"1,749",352,319,252,222,188,290,316,341
2020,5,60,"6,971","2,377",864,964,380,359,302,272,246,378,428,401
2020,5,70,"4,433","1,348",681,480,256,249,245,215,194,265,249,251
2020,5,80,"2,195",534,294,201,147,147,174,129,119,141,184,125
