년도,월,나이,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2020,3,총,"205,787","10,236","8,884","15,020","15,433","16,526","5,707","15,855","7,764","9,576","9,266","9,923","8,274","9,711","10,645","10,847","21,696","11,485","8,939"
2020,3,0,"18,433",852,754,910,"1,646","1,430",321,"1,592","1,050",978,939,769,631,651,722,876,"2,357",861,"1,094"
2020,3,10,"23,277","1,028",871,"1,570","2,202","2,070",984,"1,804","1,362","1,380","1,123","1,354",751,874,"1,080","1,207","2,155",833,629
2020,3,20,"27,137","1,395","1,239","2,436","1,717","2,193",735,"2,002",682,"1,117","1,163","1,266","1,235","1,431","1,529","1,410","2,713","1,815","1,059"
2020,3,30,"30,317","1,696","1,752","2,400","1,710","2,403",406,"2,653",663,"1,084","1,247","1,109","1,407","1,496","1,478","1,637","3,418","2,367","1,391"
2020,3,40,"37,035","1,846","1,585","2,341","3,064","3,046","1,000","3,388","1,722","1,923","1,631","1,785","1,340","1,500","1,551","1,933","3,839","2,014","1,527"
2020,3,50,"30,830","1,434","1,212","2,297","2,417","2,716","1,070","2,102","1,118","1,531","1,352","1,726","1,146","1,480","1,729","1,681","2,996","1,644","1,179"
2020,3,60,"21,555","1,128",826,"1,651","1,425","1,595",566,"1,378",596,862,"1,026","1,047",929,"1,250","1,469","1,081","2,425","1,178","1,123"
2020,3,70,"12,664",637,481,"1,030",885,751,446,714,409,495,581,581,618,778,819,727,"1,391",597,724
2020,3,80,"4,009",186,141,343,321,275,168,190,142,186,172,256,184,226,237,277,361,156,188
2020,3,90,478,33,22,37,40,40,9,28,12,19,30,30,28,24,31,16,40,16,23
2020,3,100,52,1,1,5,6,7,2,4,8,1,2,0,5,1,0,2,1,4,2
2020,4,총,"205,452","10,269","8,892","15,001","15,404","16,489","5,693","15,828","7,752","9,595","9,253","9,881","8,270","9,660","10,603","10,830","21,650","11,445","8,937"
2020,4,0,"18,303",848,754,891,"1,638","1,408",327,"1,586","1,037",980,936,761,630,632,726,868,"2,337",851,"1,093"
2020,4,10,"23,264","1,022",876,"1,568","2,201","2,054",974,"1,808","1,373","1,387","1,127","1,346",748,878,"1,074","1,209","2,157",839,623
2020,4,20,"27,048","1,404","1,226","2,431","1,708","2,192",742,"1,991",682,"1,116","1,154","1,261","1,239","1,415","1,524","1,401","2,704","1,806","1,052"
2020,4,30,"30,186","1,705","1,763","2,409","1,710","2,398",401,"2,626",652,"1,078","1,238","1,105","1,397","1,495","1,465","1,620","3,388","2,355","1,381"
2020,4,40,"36,990","1,851","1,584","2,332","3,048","3,046",983,"3,386","1,720","1,926","1,633","1,770","1,357","1,488","1,541","1,945","3,837","2,013","1,530"
2020,4,50,"30,807","1,439","1,217","2,303","2,417","2,708","1,071","2,116","1,130","1,542","1,347","1,720","1,132","1,466","1,707","1,674","3,002","1,631","1,185"
2020,4,60,"21,601","1,135",826,"1,647","1,430","1,602",570,"1,385",589,865,"1,032","1,046",932,"1,250","1,472","1,092","2,429","1,173","1,126"
2020,4,70,"12,694",646,481,"1,035",884,753,450,706,406,495,579,589,618,780,826,727,"1,383",601,735
2020,4,80,"4,029",186,141,341,323,281,164,193,143,186,174,251,184,232,239,275,372,157,187
2020,4,90,477,32,23,39,39,40,9,27,12,19,31,32,27,23,29,17,40,15,23
2020,4,100,53,1,1,5,6,7,2,4,8,1,2,0,6,1,0,2,1,4,2
2020,5,총,"205,264","10,230","8,878","14,986","15,413","16,309","5,696","15,783","7,740","9,841","9,257","9,859","8,237","9,653","10,555","10,847","21,612","11,430","8,938"
2020,5,0,"18,217",835,752,884,"1,643","1,373",327,"1,582","1,034",998,936,759,624,625,728,864,"2,325",847,"1,081"
2020,5,10,"23,166","1,007",877,"1,560","2,194","2,030",967,"1,800","1,359","1,405","1,119","1,323",743,873,"1,059","1,207","2,162",845,636
2020,5,20,"27,045","1,395","1,213","2,432","1,725","2,173",744,"1,966",686,"1,153","1,155","1,282","1,218","1,421","1,519","1,422","2,692","1,793","1,056"
2020,5,30,"30,084","1,700","1,767","2,420","1,690","2,354",407,"2,625",641,"1,098","1,235","1,086","1,397","1,502","1,454","1,614","3,358","2,364","1,372"
2020,5,40,"36,897","1,844","1,583","2,312","3,054","3,000",977,"3,378","1,714","1,969","1,634","1,768","1,352","1,476","1,538","1,934","3,838","2,001","1,525"
2020,5,50,"30,885","1,438","1,219","2,306","2,426","2,699","1,074","2,108","1,138","1,600","1,355","1,724","1,136","1,466","1,694","1,688","3,000","1,622","1,192"
2020,5,60,"21,668","1,145",824,"1,644","1,431","1,592",574,"1,385",594,891,"1,034","1,052",930,"1,257","1,465","1,089","2,445","1,191","1,125"
2020,5,70,"12,707",644,479,"1,039",881,759,451,718,409,509,579,579,616,778,824,731,"1,381",591,739
2020,5,80,"4,065",189,140,346,325,281,164,193,144,198,178,254,187,230,243,279,371,157,186
2020,5,90,475,32,23,38,38,39,9,24,13,19,30,32,28,24,31,17,39,15,24
2020,5,100,55,1,1,5,6,9,2,4,8,1,2,0,6,1,0,2,1,4,2
2020,6,총,"205,037","10,212","8,869","14,973","15,430","15,956","5,714","15,736","7,717","10,244","9,243","9,825","8,215","9,611","10,509","10,862","21,600","11,402","8,919"
2020,6,0,"18,111",831,743,885,"1,632","1,340",326,"1,569","1,025","1,028",937,751,616,606,729,865,"2,307",846,"1,075"
2020,6,10,"23,115","1,004",877,"1,547","2,199","1,976",975,"1,798","1,352","1,452","1,120","1,315",740,866,"1,052","1,194","2,171",843,634
2020,6,20,"26,986","1,389","1,208","2,429","1,725","2,141",746,"1,972",684,"1,196","1,144","1,274","1,222","1,422","1,487","1,425","2,701","1,760","1,061"
2020,6,30,"30,014","1,692","1,779","2,417","1,703","2,273",411,"2,608",642,"1,151","1,225","1,087","1,392","1,500","1,457","1,623","3,347","2,362","1,345"
2020,6,40,"36,789","1,848","1,583","2,311","3,048","2,921",966,"3,359","1,712","2,033","1,625","1,756","1,340","1,456","1,532","1,939","3,831","1,991","1,538"
2020,6,50,"30,903","1,440","1,218","2,314","2,428","2,652","1,077","2,097","1,136","1,678","1,363","1,721","1,137","1,471","1,678","1,686","2,993","1,628","1,186"
2020,6,60,"21,731","1,141",815,"1,649","1,441","1,574",584,"1,390",591,944,"1,035","1,049",931,"1,253","1,474","1,089","2,452","1,190","1,129"
