년도,월,나이,진안군,진안읍,용담면,안천면,동향면,상전면,백운면,성수면,마령면,부귀면,정천면,주천면
2020,1,총,"25,681","10,322",841,"1,065","1,437",888,"1,983","1,774","1,877","2,903","1,071","1,520"
2020,1,0,"1,383",752,16,50,73,35,85,82,60,136,52,42
2020,1,10,"1,714",879,26,64,81,38,94,81,92,224,60,75
2020,1,20,"2,051",952,44,65,85,65,159,134,144,244,74,85
2020,1,30,"1,813",923,39,60,68,62,121,98,101,205,79,57
2020,1,40,"2,893","1,411",71,87,123,85,210,182,172,325,87,140
2020,1,50,"4,650","1,739",180,205,272,171,359,315,337,560,215,297
2020,1,60,"4,623","1,524",212,201,286,193,380,365,373,579,210,300
2020,1,70,"3,791","1,246",161,181,244,138,321,302,348,376,163,311
2020,1,80,"2,383",788,77,132,166,94,219,185,217,212,113,180
2020,1,90,355,99,13,20,36,7,34,25,30,41,17,33
2020,1,100,25,9,2,0,3,0,1,5,3,1,1,0
2020,2,총,"25,652","10,303",833,"1,065","1,427",886,"1,964","1,794","1,882","2,917","1,072","1,509"
2020,2,0,"1,377",748,16,50,72,32,84,82,60,144,51,38
2020,2,10,"1,705",873,26,62,81,39,90,86,92,224,60,72
2020,2,20,"2,031",946,44,70,82,61,153,136,141,241,72,85
2020,2,30,"1,798",914,38,57,64,63,118,99,106,205,79,55
2020,2,40,"2,872","1,395",68,87,124,83,207,188,168,327,87,138
2020,2,50,"4,669","1,756",177,206,274,170,354,315,342,565,212,298
2020,2,60,"4,634","1,525",213,203,283,196,384,365,372,583,212,298
2020,2,70,"3,782","1,244",159,179,242,140,318,303,354,370,162,311
2020,2,80,"2,398",790,77,131,167,95,220,188,213,217,118,182
2020,2,90,360,103,13,20,35,7,35,26,31,40,18,32
2020,2,100,26,9,2,0,3,0,1,6,3,1,1,0
2020,3,총,"25,621","10,295",830,"1,053","1,424",894,"1,971","1,795","1,873","2,904","1,069","1,513"
2020,3,0,"1,361",739,16,47,73,31,85,82,59,142,49,38
2020,3,10,"1,694",864,26,61,82,41,89,84,91,227,60,69
2020,3,20,"2,015",949,44,65,76,62,153,134,142,236,67,87
2020,3,30,"1,777",900,39,55,62,61,117,99,106,202,81,55
2020,3,40,"2,864","1,395",65,85,127,87,209,182,162,326,89,137
2020,3,50,"4,665","1,765",175,206,272,171,352,318,340,558,213,295
2020,3,60,"4,672","1,531",212,203,287,197,392,371,376,586,210,307
2020,3,70,"3,782","1,248",160,180,240,140,317,304,351,368,162,312
2020,3,80,"2,400",789,77,131,167,97,222,189,212,218,118,180
2020,3,90,365,106,14,20,35,7,34,26,31,40,19,33
