년도,월,나이,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2020,1,총,"219,805","14,152","13,608","13,875","5,713","3,063","4,502","25,272","18,424","11,657","30,310","20,410","19,484","15,119","24,216"
2020,1,0,"26,542",952,"1,401","1,059",182,70,166,"1,996","2,604",935,"3,804","3,289","3,359","2,619","4,106"
2020,1,10,"22,898","1,250","1,410","1,178",322,138,262,"3,088","2,697","1,165","3,623","2,412","1,622","1,181","2,550"
2020,1,20,"24,771","1,896","1,450","1,533",572,318,510,"3,762","1,794","1,781","3,578","1,956","2,144","1,287","2,190"
2020,1,30,"34,625","1,667","1,827","1,906",543,244,389,"2,769","2,639","1,561","4,543","3,360","4,887","3,724","4,566"
2020,1,40,"42,127","2,321","2,432","2,492",873,391,587,"4,224","4,064","1,996","5,796","4,638","3,932","2,958","5,423"
2020,1,50,"32,228","2,816","2,134","2,502","1,430",700,"1,006","4,782","2,317","2,120","4,369","2,373","1,660","1,377","2,642"
2020,1,60,"21,454","1,979","1,803","1,919","1,070",673,861,"2,735","1,291","1,237","2,619","1,407","1,158","1,083","1,619"
2020,1,70,"11,219",884,868,951,507,372,487,"1,353",764,631,"1,485",769,565,718,865
2020,1,80,"3,592",352,251,304,194,143,207,505,238,220,453,192,144,152,237
2020,1,90,331,33,29,27,20,13,25,54,15,11,40,14,13,19,18
2020,1,100,18,2,3,4,0,1,2,4,1,0,0,0,0,1,0
2020,2,총,"220,617","14,164","13,807","13,895","5,715","3,051","4,505","25,210","18,858","11,635","30,382","20,385","19,628","15,151","24,231"
2020,2,0,"26,542",948,"1,435","1,043",179,70,163,"1,981","2,669",929,"3,793","3,264","3,369","2,614","4,085"
2020,2,10,"23,007","1,249","1,435","1,182",322,135,262,"3,058","2,765","1,157","3,616","2,413","1,650","1,201","2,562"
2020,2,20,"24,809","1,886","1,467","1,538",574,314,513,"3,740","1,829","1,768","3,604","1,966","2,156","1,273","2,181"
2020,2,30,"34,507","1,659","1,839","1,894",543,245,382,"2,758","2,700","1,546","4,520","3,321","4,892","3,682","4,526"
