년도,월,나이,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020,11,30,"25,713",415,"3,092","1,673","1,509",767,"1,741","2,080","1,106","1,444","1,952","3,121","1,527","1,311","1,447",163,"2,365"
2020,11,40,"34,036",554,"4,935","1,830","1,779","1,027","2,513","2,360","1,277","2,090","2,766","3,156","1,811","1,619","2,220",273,"3,826"
2020,11,50,"36,743","1,011","3,622","1,980","2,220","1,577","3,003","2,444","1,554","2,414","3,309","3,360","2,136","1,877","2,613",474,"3,149"
2020,11,60,"32,329","1,181","2,875","1,895","1,963","1,895","2,435","1,920","1,506","2,199","2,652","2,615","1,919","1,629","2,409",546,"2,690"
2020,11,70,"19,080",814,"1,596","1,204","1,170","1,267","1,317","1,166",916,"1,302","1,458","1,340","1,177",882,"1,530",344,"1,597"
2020,11,80,"8,283",343,613,498,589,683,543,505,369,555,586,491,480,373,659,252,744
2020,11,90,"1,122",43,89,78,71,89,73,75,41,63,67,75,79,49,87,34,109
2020,11,100,95,12,8,12,3,2,7,8,5,6,0,2,10,2,7,2,9
2020,12,총,"223,021","4,963","25,338","12,322","12,503","8,811","18,610","15,175","10,582","13,994","18,475","20,607","12,341","11,051","14,590","2,491","21,168"
2020,12,0,"15,010",108,"2,632",909,791,283,"1,222","1,469",385,808,981,"1,115",892,586,815,69,"1,945"
2020,12,10,"19,901",143,"3,366",902,982,406,"1,624","1,397",784,"1,130","1,772","1,496",932,810,"1,298",140,"2,719"
2020,12,20,"30,186",373,"2,653","1,384","1,494",815,"2,961","1,814","2,681","2,022","2,946","3,881","1,395","1,932","1,553",206,"2,076"
2020,12,30,"25,852",411,"3,028","1,646","1,469",749,"2,205","2,042","1,083","1,423","1,950","3,093","1,531","1,294","1,447",156,"2,325"
2020,12,40,"34,080",557,"4,888","1,802","1,749","1,031","2,801","2,349","1,254","2,081","2,750","3,144","1,793","1,604","2,198",267,"3,812"
2020,12,50,"36,736",994,"3,598","1,974","2,200","1,568","3,181","2,424","1,564","2,394","3,292","3,344","2,119","1,887","2,594",472,"3,131"
