년도,월,나이,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2020,1,총,"37,233","11,352","6,395","2,414","1,182","1,508",549,943,"1,788","6,548","2,833","1,721"
2020,1,0,"1,829",889,246,55,18,37,8,33,50,371,92,30
2020,1,10,"2,209",952,319,66,46,44,19,33,80,465,128,57
2020,1,20,"2,647","1,030",471,146,53,77,17,53,101,515,122,62
2020,1,30,"2,694","1,171",428,119,52,63,15,40,87,499,150,70
2020,1,40,"4,127","1,607",760,196,79,114,38,89,181,744,207,112
2020,1,50,"6,419","1,895","1,193",419,202,291,88,144,324,"1,132",467,264
2020,1,60,"7,143","1,731","1,346",562,263,347,138,186,414,"1,173",592,391
2020,1,70,"6,052","1,274","1,059",482,257,312,141,206,363,954,587,417
2020,1,80,"3,608",689,507,316,184,195,77,137,171,616,438,278
2020,1,90,477,105,65,52,26,26,7,20,17,79,48,32
2020,1,100,28,9,1,1,2,2,1,2,0,0,2,8
2020,2,총,"37,096","11,300","6,385","2,402","1,179","1,505",548,942,"1,779","6,510","2,835","1,711"
2020,2,0,"1,796",868,240,55,18,37,9,33,50,368,89,29
2020,2,10,"2,190",952,317,67,44,42,19,33,76,460,127,53
2020,2,20,"2,609","1,012",471,143,53,76,17,51,103,500,121,62
2020,2,30,"2,667","1,156",422,118,52,61,15,43,84,500,147,69
2020,2,40,"4,095","1,602",748,194,78,114,38,88,179,732,211,111
2020,2,50,"6,385","1,888","1,191",416,199,292,86,144,317,"1,123",465,264
2020,2,60,"7,185","1,743","1,352",557,267,349,137,187,419,"1,180",602,392
2020,2,70,"6,022","1,260","1,065",482,256,313,142,207,358,946,578,415
2020,2,80,"3,640",704,512,318,184,193,77,136,177,617,445,277
2020,2,90,479,106,66,51,26,26,7,18,16,84,48,31
2020,2,100,28,9,1,1,2,2,1,2,0,0,2,8
2020,3,총,"36,969","11,255","6,367","2,404","1,172","1,490",544,956,"1,774","6,477","2,832","1,698"
2020,3,0,"1,787",856,246,57,19,38,9,36,48,362,89,27
2020,3,10,"2,159",942,308,69,43,38,19,36,76,448,129,51
2020,3,20,"2,611","1,012",473,142,53,77,16,53,100,506,119,60
2020,3,30,"2,631","1,150",420,114,50,58,14,44,80,487,147,67
2020,3,40,"4,065","1,586",747,196,77,109,37,90,178,727,207,111
2020,3,50,"6,347","1,890","1,176",416,194,291,82,145,316,"1,118",461,258
2020,3,60,"7,184","1,749","1,353",557,269,348,139,183,414,"1,172",604,396
2020,3,70,"6,011","1,255","1,061",478,253,312,143,207,365,950,578,409
2020,3,80,"3,676",708,516,322,186,191,77,142,180,624,449,281
2020,3,90,472,98,66,52,26,26,8,18,17,83,47,31
2020,3,100,26,9,1,1,2,2,0,2,0,0,2,7
2020,4,총,"36,845","11,237","6,351","2,391","1,153","1,478",541,952,"1,756","6,466","2,822","1,698"
2020,4,0,"1,767",853,247,55,16,36,8,36,40,360,90,26
2020,4,10,"2,150",933,305,70,42,37,19,37,75,452,127,53
2020,4,20,"2,569",995,469,135,54,75,16,50,98,499,119,59
2020,4,30,"2,594","1,135",415,112,47,53,14,41,78,487,148,64
2020,4,40,"4,025","1,591",737,198,71,111,36,91,173,701,205,111
2020,4,50,"6,335","1,896","1,167",413,191,285,79,146,315,"1,124",457,262
2020,4,60,"7,200","1,759","1,362",554,269,350,140,180,414,"1,178",601,393
2020,4,70,"6,014","1,258","1,063",474,252,310,143,207,368,955,574,410
2020,4,80,"3,685",709,520,325,181,194,78,145,178,622,451,282
2020,4,90,481,99,65,54,28,26,8,17,17,88,48,31
2020,4,100,25,9,1,1,2,1,0,2,0,0,2,7
2020,5,총,"36,763","11,209","6,324","2,384","1,150","1,476",544,948,"1,763","6,471","2,797","1,697"
2020,5,0,"1,761",849,246,53,17,36,8,35,41,361,89,26
2020,5,10,"2,134",933,296,69,42,37,19,36,73,456,122,51
2020,5,20,"2,546",989,463,135,54,74,16,49,99,490,119,58
2020,5,30,"2,565","1,115",412,112,49,54,13,41,80,484,143,62
2020,5,40,"4,014","1,603",731,195,70,107,35,89,174,697,198,115
2020,5,50,"6,318","1,884","1,164",411,188,284,81,148,317,"1,127",454,260
2020,5,60,"7,219","1,767","1,360",555,271,353,142,181,414,"1,178",603,395
2020,5,70,"6,002","1,254","1,066",473,252,309,142,203,367,964,568,404
2020,5,80,"3,690",703,521,327,177,196,80,147,181,623,447,288
2020,5,90,489,103,64,53,28,25,8,17,17,91,52,31
2020,5,100,25,9,1,1,2,1,0,2,0,0,2,7
