년도,월,나이,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2020,3,총,"204,964","7,344","7,054","8,626","9,311","9,186","4,021","23,505","16,046","9,677","11,885","13,680","10,817","9,275","4,590","7,233","8,875","11,485","6,499","10,736","7,782","7,337"
2020,3,0,"14,620",584,545,562,368,734,152,"2,285","1,218",647,924,"1,098",767,536,280,317,443,"1,119",324,738,596,383
2020,3,10,"16,894",496,431,754,533,778,205,"2,548","1,871",988,805,"1,081",459,639,357,456,642,965,555,"1,009",684,638
2020,3,20,"30,278",991,"1,015","1,122","2,415","1,401",507,"3,296","2,261","1,384","1,704","1,806","2,183","1,292",636,937,"1,327","1,465",853,"1,570","1,121",992
2020,3,30,"30,569","1,182","1,318","1,289","1,076","1,568",517,"3,251","1,797","1,236","2,044","2,370","2,494","1,235",563,941,"1,362","1,958",811,"1,433","1,044","1,080"
2020,3,40,"33,917","1,216","1,098","1,325","1,270","1,411",637,"4,280","2,827","1,555","1,971","2,229","1,724","1,435",774,"1,072","1,471","2,101","1,071","1,712","1,176","1,562"
2020,3,50,"34,090","1,207","1,129","1,440","1,388","1,361",739,"3,825","2,829","1,666","1,909","2,183","1,573","1,643",794,"1,273","1,585","1,707","1,137","1,941","1,314","1,447"
2020,3,60,"25,782",958,900,"1,150","1,172","1,075",673,"2,439","1,961","1,247","1,432","1,789","1,038","1,371",669,"1,192","1,197","1,242",989,"1,394","1,115",779
2020,3,70,"13,879",517,438,737,796,662,400,"1,197",956,713,797,828,437,832,389,768,621,665,540,695,553,338
2020,3,80,"4,462",170,166,214,265,171,167,353,294,213,269,271,132,268,111,256,202,243,198,226,160,113
2020,3,90,426,23,11,33,25,21,21,31,28,23,29,20,8,22,15,18,22,17,19,18,18,4
2020,3,100,47,0,3,0,3,4,3,0,4,5,1,5,2,2,2,3,3,3,2,0,1,1
2020,4,총,"204,942","7,342","7,076","8,621","9,316","9,176","4,009","23,716","16,011","9,633","11,869","13,670","10,800","9,212","4,578","7,177","8,853","11,518","6,481","10,725","7,788","7,371"
2020,4,0,"14,570",588,554,562,365,734,151,"2,287","1,219",631,918,"1,095",758,524,278,312,440,"1,126",315,729,595,389
2020,4,10,"16,832",491,437,747,532,768,199,"2,555","1,852",977,797,"1,083",468,642,355,447,632,971,557,"1,005",684,633
