년도,월,나이,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2020,1,총,"117,983","3,658","1,550",783,"3,769","1,461","5,950",545,"3,825","1,803",564,"1,636",690,"2,930","4,558","12,801","3,320","12,796","9,009","17,751","17,051","11,533"
2020,1,0,"13,867",258,38,15,201,32,805,13,263,109,13,40,26,233,298,"2,340",293,"1,351",829,"1,879","3,059","1,772"
2020,1,10,"13,384",282,65,28,316,68,535,25,329,121,15,59,37,311,493,"1,602",284,"1,461","1,126","2,141","2,347","1,739"
2020,1,20,"11,190",300,114,36,285,91,440,38,351,166,31,116,35,291,475,"1,086",335,"1,369","1,190","1,942","1,508",991
2020,1,30,"18,551",383,93,35,315,64,982,28,403,154,26,85,48,304,456,"3,012",512,"1,860","1,297","2,660","3,726","2,108"
2020,1,40,"21,533",550,160,60,467,138,930,52,591,197,47,159,63,514,764,"2,466",561,"2,350","1,839","3,470","3,483","2,672"
2020,1,50,"18,196",721,305,141,665,303,887,114,753,323,96,288,120,559,948,"1,312",669,"2,398","1,660","2,972","1,693","1,269"
2020,1,60,"11,618",579,350,182,631,315,678,121,554,339,124,336,146,373,665,602,438,"1,347",724,"1,757",765,592
2020,1,70,"5,578",323,236,169,443,245,415,97,302,209,113,294,121,200,290,218,140,410,209,600,308,236
2020,1,80,"3,405",225,169,103,359,169,235,47,234,153,80,221,81,121,142,141,72,208,109,282,130,124
2020,1,90,628,35,20,14,81,34,40,10,43,31,19,37,12,18,25,22,16,40,26,46,31,28
